Date,Open,High,Low,Close,Volume
29-Dec-17,350.00,352.00,348.00,350.00,3256100
28-Dec-17,354.00,356.00,348.00,348.00,8044300
27-Dec-17,352.00,358.00,352.00,356.00,2146400
22-Dec-17,358.00,358.00,352.00,352.00,5224100
21-Dec-17,356.00,358.00,354.00,356.00,4348900
20-Dec-17,368.00,370.00,348.00,356.00,35297600
19-Dec-17,372.00,374.00,366.00,368.00,14913500
18-Dec-17,376.00,376.00,370.00,374.00,9517500
15-Dec-17,374.00,376.00,370.00,376.00,11595400
14-Dec-17,374.00,374.00,372.00,374.00,11154500
13-Dec-17,372.00,376.00,372.00,376.00,5400200
12-Dec-17,376.00,376.00,368.00,376.00,16420900
11-Dec-17,376.00,376.00,372.00,376.00,2278900
8-Dec-17,376.00,376.00,372.00,376.00,2506600
7-Dec-17,376.00,376.00,370.00,376.00,6753800
6-Dec-17,376.00,376.00,370.00,376.00,6101400
5-Dec-17,378.00,378.00,366.00,376.00,17611900
4-Dec-17,376.00,378.00,366.00,378.00,41755500
30-Nov-17,376.00,376.00,370.00,376.00,10324200
29-Nov-17,378.00,386.00,370.00,376.00,7596600
28-Nov-17,372.00,382.00,364.00,378.00,41221700
27-Nov-17,382.00,384.00,366.00,372.00,27958000
24-Nov-17,392.00,394.00,380.00,382.00,18246100
23-Nov-17,388.00,404.00,388.00,392.00,26568700
22-Nov-17,382.00,394.00,380.00,388.00,23963600
21-Nov-17,378.00,384.00,376.00,380.00,17502200
20-Nov-17,382.00,382.00,378.00,378.00,11195000
17-Nov-17,386.00,386.00,380.00,380.00,5516700
16-Nov-17,394.00,396.00,386.00,386.00,9854300
15-Nov-17,386.00,394.00,384.00,392.00,20250000
14-Nov-17,388.00,394.00,384.00,386.00,29311000
13-Nov-17,382.00,394.00,380.00,388.00,44112800
10-Nov-17,376.00,380.00,370.00,380.00,9583400
9-Nov-17,380.00,380.00,372.00,376.00,6938300
8-Nov-17,382.00,382.00,376.00,380.00,8077100
7-Nov-17,386.00,388.00,380.00,382.00,3593000
6-Nov-17,382.00,394.00,378.00,386.00,13926600
3-Nov-17,384.00,386.00,380.00,382.00,3902900
2-Nov-17,390.00,390.00,382.00,384.00,4549700
1-Nov-17,388.00,388.00,378.00,388.00,15318500
31-Oct-17,400.00,400.00,386.00,388.00,23274200
30-Oct-17,400.00,400.00,396.00,398.00,3784900
27-Oct-17,402.00,402.00,398.00,398.00,2570500
26-Oct-17,402.00,402.00,398.00,400.00,6921000
25-Oct-17,404.00,406.00,400.00,400.00,4486600
24-Oct-17,404.00,406.00,402.00,404.00,1310100
23-Oct-17,406.00,412.00,402.00,404.00,4692400
20-Oct-17,400.00,412.00,400.00,404.00,10797800
19-Oct-17,398.00,402.00,398.00,400.00,5979000
18-Oct-17,398.00,398.00,392.00,396.00,4295000
17-Oct-17,400.00,400.00,394.00,398.00,4532500
16-Oct-17,402.00,408.00,394.00,398.00,17976800
13-Oct-17,404.00,404.00,400.00,402.00,3216700
12-Oct-17,400.00,410.00,400.00,402.00,17588500
11-Oct-17,404.00,406.00,400.00,400.00,2484300
10-Oct-17,408.00,408.00,404.00,404.00,1057700
9-Oct-17,404.00,412.00,404.00,404.00,4297800
6-Oct-17,410.00,410.00,404.00,404.00,4520300
5-Oct-17,414.00,414.00,406.00,408.00,6492600
4-Oct-17,414.00,418.00,410.00,414.00,6572000
3-Oct-17,410.00,416.00,408.00,414.00,10602800
2-Oct-17,414.00,416.00,408.00,410.00,3980700
29-Sep-17,412.00,418.00,408.00,412.00,7237500
28-Sep-17,414.00,416.00,408.00,412.00,7631000
27-Sep-17,412.00,414.00,402.00,414.00,4494700
26-Sep-17,416.00,420.00,410.00,412.00,10736800
25-Sep-17,414.00,426.00,412.00,416.00,12055700
22-Sep-17,418.00,422.00,414.00,414.00,10071100
20-Sep-17,418.00,430.00,410.00,418.00,14122800
19-Sep-17,420.00,428.00,418.00,418.00,12671100
18-Sep-17,426.00,426.00,418.00,420.00,13131100
15-Sep-17,418.00,432.00,418.00,424.00,22258700
14-Sep-17,404.00,420.00,404.00,418.00,18165700
13-Sep-17,418.00,418.00,404.00,406.00,9284200
12-Sep-17,432.00,436.00,414.00,418.00,12567600
11-Sep-17,440.00,446.00,426.00,432.00,10180400
8-Sep-17,434.00,460.00,434.00,442.00,44599300
7-Sep-17,422.00,436.00,420.00,434.00,20190400
6-Sep-17,410.00,424.00,408.00,420.00,12740600
5-Sep-17,408.00,412.00,404.00,408.00,27340600
4-Sep-17,410.00,416.00,406.00,408.00,5232600
31-Aug-17,412.00,418.00,408.00,410.00,22357600
30-Aug-17,410.00,414.00,408.00,410.00,7263200
29-Aug-17,406.00,410.00,406.00,408.00,1314500
28-Aug-17,406.00,410.00,406.00,406.00,5136300
25-Aug-17,412.00,412.00,406.00,406.00,3565800
24-Aug-17,420.00,420.00,410.00,410.00,10872100
23-Aug-17,418.00,428.00,416.00,420.00,14119600
22-Aug-17,414.00,418.00,410.00,418.00,11583600
21-Aug-17,406.00,416.00,402.00,414.00,11681700
18-Aug-17,410.00,410.00,404.00,406.00,9084500
16-Aug-17,404.00,414.00,404.00,410.00,7912900
15-Aug-17,404.00,410.00,400.00,402.00,14135000
14-Aug-17,410.00,412.00,394.00,400.00,18896100
11-Aug-17,410.00,412.00,404.00,410.00,1622600
10-Aug-17,424.00,428.00,414.00,414.00,12608500
9-Aug-17,412.00,426.00,412.00,424.00,7085400
8-Aug-17,402.00,410.00,400.00,410.00,1823100
7-Aug-17,402.00,402.00,402.00,402.00,446500
4-Aug-17,402.00,404.00,400.00,402.00,395800
3-Aug-17,404.00,404.00,402.00,402.00,1370700
2-Aug-17,400.00,404.00,400.00,404.00,463800
1-Aug-17,402.00,402.00,398.00,400.00,2152200
31-Jul-17,404.00,404.00,400.00,402.00,790500
28-Jul-17,408.00,410.00,402.00,404.00,1868900
27-Jul-17,402.00,412.00,402.00,408.00,5240800
26-Jul-17,402.00,402.00,398.00,398.00,414000
25-Jul-17,400.00,404.00,398.00,402.00,4312700
24-Jul-17,400.00,402.00,398.00,398.00,333100
21-Jul-17,400.00,402.00,398.00,400.00,3213000
20-Jul-17,402.00,402.00,396.00,398.00,3654800
19-Jul-17,394.00,402.00,394.00,400.00,3485600
18-Jul-17,404.00,404.00,390.00,394.00,4450100
17-Jul-17,404.00,404.00,400.00,402.00,955300
14-Jul-17,404.00,404.00,402.00,404.00,411600
13-Jul-17,404.00,404.00,400.00,404.00,681000
12-Jul-17,404.00,404.00,402.00,404.00,436100
11-Jul-17,402.00,404.00,402.00,404.00,489200
