Date,Open,High,Low,Close,Volume
29-Dec-17,398.00,398.00,384.00,394.00,965000
28-Dec-17,386.00,396.00,386.00,396.00,112900
27-Dec-17,390.00,400.00,390.00,400.00,350000
22-Dec-17,382.00,384.00,378.00,384.00,143000
21-Dec-17,380.00,390.00,380.00,386.00,373900
20-Dec-17,384.00,388.00,380.00,384.00,22100
19-Dec-17,394.00,394.00,384.00,386.00,563600
18-Dec-17,392.00,396.00,390.00,396.00,424300
15-Dec-17,398.00,398.00,398.00,398.00,50000
14-Dec-17,398.00,398.00,398.00,398.00,215500
13-Dec-17,388.00,400.00,386.00,400.00,305000
12-Dec-17,386.00,400.00,384.00,400.00,171000
11-Dec-17,400.00,400.00,382.00,400.00,490600
8-Dec-17,400.00,410.00,392.00,410.00,911000
7-Dec-17,396.00,400.00,392.00,400.00,127100
6-Dec-17,400.00,410.00,390.00,410.00,632400
5-Dec-17,400.00,402.00,390.00,400.00,158000
4-Dec-17,390.00,400.00,390.00,400.00,2793500
30-Nov-17,408.00,410.00,408.00,410.00,601800
29-Nov-17,408.00,408.00,404.00,408.00,180000
28-Nov-17,414.00,414.00,402.00,412.00,220100
27-Nov-17,408.00,408.00,408.00,408.00,70000
24-Nov-17,408.00,408.00,406.00,406.00,212700
23-Nov-17,410.00,412.00,406.00,410.00,449900
22-Nov-17,418.00,418.00,408.00,410.00,953300
21-Nov-17,412.00,418.00,412.00,418.00,87900
20-Nov-17,412.00,420.00,410.00,420.00,258200
17-Nov-17,420.00,420.00,420.00,420.00,120000
16-Nov-17,408.00,416.00,406.00,416.00,363100
15-Nov-17,412.00,414.00,412.00,414.00,90000
14-Nov-17,410.00,414.00,410.00,414.00,125900
13-Nov-17,416.00,416.00,408.00,416.00,319200
10-Nov-17,416.00,416.00,404.00,416.00,272500
9-Nov-17,412.00,416.00,410.00,416.00,268500
8-Nov-17,412.00,418.00,412.00,412.00,81600
7-Nov-17,418.00,420.00,418.00,418.00,552600
6-Nov-17,410.00,418.00,410.00,418.00,461200
3-Nov-17,418.00,424.00,406.00,420.00,1078700
2-Nov-17,420.00,426.00,412.00,426.00,785000
1-Nov-17,434.00,434.00,418.00,430.00,1243400
31-Oct-17,432.00,436.00,428.00,436.00,286000
30-Oct-17,446.00,446.00,432.00,436.00,459600
27-Oct-17,436.00,436.00,434.00,436.00,126600
26-Oct-17,438.00,438.00,434.00,436.00,136200
25-Oct-17,440.00,440.00,432.00,440.00,486300
24-Oct-17,446.00,446.00,440.00,440.00,310800
23-Oct-17,450.00,450.00,444.00,446.00,239400
20-Oct-17,458.00,458.00,442.00,450.00,145500
19-Oct-17,440.00,460.00,432.00,458.00,872600
18-Oct-17,448.00,448.00,432.00,440.00,354500
17-Oct-17,438.00,458.00,438.00,448.00,2261800
16-Oct-17,436.00,438.00,432.00,438.00,137900
13-Oct-17,438.00,438.00,430.00,438.00,458500
12-Oct-17,438.00,438.00,430.00,438.00,956400
11-Oct-17,430.00,438.00,428.00,438.00,408500
10-Oct-17,430.00,434.00,428.00,432.00,1577000
9-Oct-17,436.00,436.00,428.00,430.00,607300
6-Oct-17,440.00,440.00,432.00,438.00,549000
5-Oct-17,438.00,440.00,430.00,440.00,125600
4-Oct-17,440.00,448.00,434.00,440.00,956900
3-Oct-17,440.00,440.00,426.00,440.00,562100
2-Oct-17,440.00,442.00,430.00,440.00,1202800
29-Sep-17,420.00,442.00,420.00,442.00,1422200
28-Sep-17,430.00,434.00,430.00,434.00,573900
27-Sep-17,438.00,438.00,430.00,434.00,407900
26-Sep-17,436.00,438.00,428.00,438.00,829300
25-Sep-17,438.00,440.00,434.00,440.00,593600
22-Sep-17,438.00,438.00,436.00,438.00,203600
20-Sep-17,436.00,438.00,430.00,436.00,285100
19-Sep-17,446.00,446.00,436.00,436.00,297300
18-Sep-17,442.00,448.00,436.00,440.00,182300
15-Sep-17,440.00,440.00,434.00,438.00,208800
14-Sep-17,440.00,442.00,436.00,440.00,368600
13-Sep-17,444.00,444.00,438.00,442.00,571300
12-Sep-17,442.00,448.00,442.00,448.00,527700
11-Sep-17,442.00,448.00,442.00,448.00,228600
8-Sep-17,450.00,450.00,442.00,448.00,562400
7-Sep-17,442.00,450.00,442.00,450.00,2554800
6-Sep-17,448.00,448.00,442.00,448.00,673600
5-Sep-17,440.00,448.00,438.00,448.00,2986300
4-Sep-17,440.00,450.00,438.00,442.00,1684600
31-Aug-17,444.00,444.00,438.00,440.00,910800
30-Aug-17,450.00,450.00,442.00,450.00,613600
29-Aug-17,448.00,450.00,440.00,450.00,1858000
28-Aug-17,434.00,460.00,430.00,448.00,2084900
25-Aug-17,426.00,430.00,424.00,430.00,575200
24-Aug-17,432.00,434.00,424.00,430.00,750000
23-Aug-17,430.00,432.00,430.00,432.00,501000
22-Aug-17,424.00,430.00,422.00,430.00,522400
21-Aug-17,434.00,434.00,420.00,432.00,584400
18-Aug-17,420.00,434.00,412.00,434.00,995700
16-Aug-17,420.00,428.00,420.00,428.00,308100
15-Aug-17,426.00,428.00,416.00,428.00,225100
14-Aug-17,414.00,424.00,412.00,424.00,328500
11-Aug-17,420.00,420.00,412.00,420.00,343600
10-Aug-17,418.00,420.00,416.00,420.00,143900
9-Aug-17,418.00,422.00,418.00,422.00,1692900
8-Aug-17,416.00,418.00,416.00,418.00,724600
7-Aug-17,420.00,424.00,414.00,422.00,1522000
4-Aug-17,416.00,434.00,414.00,434.00,600800
3-Aug-17,428.00,428.00,420.00,424.00,176900
2-Aug-17,424.00,428.00,424.00,428.00,107500
1-Aug-17,428.00,430.00,402.00,428.00,507800
31-Jul-17,432.00,434.00,430.00,434.00,152000
28-Jul-17,434.00,434.00,428.00,432.00,125900
27-Jul-17,434.00,434.00,428.00,434.00,133100
26-Jul-17,430.00,434.00,426.00,434.00,999500
25-Jul-17,432.00,432.00,426.00,430.00,210400
24-Jul-17,434.00,434.00,424.00,430.00,357600
21-Jul-17,432.00,432.00,430.00,432.00,106500
20-Jul-17,432.00,434.00,430.00,432.00,164400
19-Jul-17,432.00,432.00,428.00,432.00,421700
18-Jul-17,430.00,432.00,430.00,432.00,79800
17-Jul-17,436.00,436.00,430.00,432.00,539400
14-Jul-17,432.00,436.00,432.00,436.00,309200
13-Jul-17,434.00,438.00,430.00,438.00,736700
12-Jul-17,428.00,436.00,426.00,436.00,305000
11-Jul-17,430.00,436.00,430.00,436.00,230200
10-Jul-17,438.00,438.00,424.00,436.00,501300
7-Jul-17,434.00,436.00,432.00,436.00,135400
6-Jul-17,442.00,442.00,432.00,432.00,175200
5-Jul-17,442.00,446.00,430.00,442.00,383300
4-Jul-17,432.00,442.00,422.00,442.00,1564900
3-Jul-17,436.00,450.00,430.00,448.00,133700
22-Jun-17,438.00,440.00,430.00,436.00,581900
21-Jun-17,438.00,440.00,424.00,438.00,271600
20-Jun-17,436.00,440.00,426.00,438.00,987100
19-Jun-17,428.00,434.00,420.00,428.00,715400
16-Jun-17,430.00,450.00,418.00,422.00,1127300
15-Jun-17,418.00,424.00,410.00,420.00,171700
14-Jun-17,416.00,420.00,414.00,414.00,287100
13-Jun-17,424.00,424.00,414.00,416.00,240700
12-Jun-17,430.00,430.00,414.00,426.00,179600
9-Jun-17,420.00,430.00,410.00,430.00,25400
8-Jun-17,416.00,426.00,408.00,426.00,198700
7-Jun-17,426.00,426.00,414.00,420.00,151400
6-Jun-17,424.00,424.00,418.00,418.00,73200
5-Jun-17,430.00,430.00,414.00,424.00,315200
2-Jun-17,428.00,428.00,428.00,428.00,18700
31-May-17,430.00,430.00,428.00,428.00,36100
30-May-17,424.00,430.00,422.00,430.00,173500
29-May-17,430.00,430.00,426.00,428.00,229400
26-May-17,430.00,432.00,430.00,430.00,60200
24-May-17,432.00,432.00,426.00,430.00,225200
23-May-17,432.00,438.00,430.00,438.00,120100
22-May-17,430.00,440.00,426.00,440.00,378500
19-May-17,430.00,442.00,424.00,442.00,2570500
18-May-17,418.00,430.00,418.00,430.00,152000
17-May-17,424.00,444.00,418.00,424.00,566700
16-May-17,430.00,450.00,416.00,424.00,380700
15-May-17,430.00,430.00,380.00,430.00,779100
12-May-17,436.00,440.00,430.00,430.00,272700
10-May-17,432.00,438.00,428.00,436.00,180400
9-May-17,436.00,436.00,430.00,432.00,476200
8-May-17,438.00,438.00,430.00,436.00,221100
5-May-17,436.00,440.00,430.00,438.00,235800
4-May-17,440.00,442.00,436.00,436.00,552600
3-May-17,446.00,446.00,440.00,444.00,367300
2-May-17,444.00,446.00,440.00,444.00,562800
28-Apr-17,446.00,446.00,440.00,444.00,460100
27-Apr-17,444.00,446.00,440.00,446.00,659700
26-Apr-17,446.00,446.00,444.00,444.00,685900
25-Apr-17,448.00,448.00,440.00,446.00,1061600
21-Apr-17,448.00,448.00,446.00,446.00,651100
20-Apr-17,448.00,450.00,440.00,444.00,1632400
18-Apr-17,448.00,448.00,442.00,446.00,460300
17-Apr-17,450.00,454.00,440.00,448.00,2599700
13-Apr-17,456.00,456.00,440.00,450.00,539100
12-Apr-17,450.00,458.00,438.00,456.00,793100
11-Apr-17,456.00,456.00,450.00,450.00,236000
10-Apr-17,458.00,458.00,450.00,452.00,525000
7-Apr-17,456.00,458.00,450.00,454.00,757800
6-Apr-17,468.00,494.00,456.00,458.00,1182500
5-Apr-17,456.00,468.00,456.00,464.00,1166400
4-Apr-17,476.00,476.00,452.00,472.00,1153300
3-Apr-17,500.00,500.00,454.00,468.00,1965100
31-Mar-17,500.00,505.00,486.00,488.00,1046800
30-Mar-17,505.00,520.00,482.00,500.00,7528000
29-Mar-17,438.00,530.00,438.00,500.00,22131900
27-Mar-17,400.00,430.00,400.00,424.00,4891200
24-Mar-17,398.00,402.00,398.00,400.00,840600
23-Mar-17,400.00,402.00,400.00,400.00,1214200
22-Mar-17,398.00,402.00,398.00,402.00,2005800
21-Mar-17,400.00,400.00,392.00,398.00,2067700
20-Mar-17,398.00,400.00,396.00,400.00,1391500
17-Mar-17,400.00,400.00,396.00,400.00,130300
16-Mar-17,400.00,400.00,394.00,400.00,2847300
15-Mar-17,396.00,398.00,392.00,398.00,512500
14-Mar-17,398.00,398.00,398.00,398.00,70000
13-Mar-17,396.00,400.00,394.00,400.00,289200
10-Mar-17,396.00,400.00,394.00,400.00,1940000
9-Mar-17,398.00,398.00,392.00,398.00,498100
8-Mar-17,398.00,400.00,394.00,400.00,322100
7-Mar-17,396.00,398.00,394.00,398.00,400600
6-Mar-17,398.00,400.00,394.00,398.00,104200
3-Mar-17,398.00,400.00,394.00,400.00,561100
2-Mar-17,398.00,400.00,394.00,400.00,724700
1-Mar-17,396.00,400.00,392.00,400.00,641800
28-Feb-17,398.00,400.00,396.00,400.00,1000000
27-Feb-17,398.00,398.00,396.00,396.00,172500
24-Feb-17,398.00,400.00,392.00,398.00,549700
23-Feb-17,392.00,400.00,392.00,400.00,359800
22-Feb-17,400.00,400.00,392.00,398.00,353100
21-Feb-17,396.00,400.00,396.00,400.00,558000
20-Feb-17,396.00,398.00,394.00,396.00,366000
17-Feb-17,398.00,400.00,394.00,400.00,478300
16-Feb-17,396.00,400.00,394.00,400.00,1332100
14-Feb-17,400.00,400.00,390.00,400.00,3543000
13-Feb-17,394.00,402.00,388.00,402.00,1794400
10-Feb-17,402.00,402.00,390.00,400.00,985000
9-Feb-17,402.00,402.00,390.00,400.00,830100
8-Feb-17,400.00,400.00,396.00,400.00,107000
7-Feb-17,396.00,398.00,394.00,398.00,225300
6-Feb-17,396.00,398.00,388.00,396.00,749100
3-Feb-17,400.00,400.00,388.00,394.00,338400
2-Feb-17,400.00,400.00,390.00,400.00,1379500
1-Feb-17,400.00,402.00,394.00,402.00,931300
31-Jan-17,404.00,404.00,390.00,400.00,1014500
30-Jan-17,406.00,406.00,398.00,400.00,1184900
27-Jan-17,400.00,402.00,398.00,400.00,211000
26-Jan-17,406.00,406.00,400.00,400.00,816800
25-Jan-17,402.00,404.00,398.00,402.00,315900
24-Jan-17,400.00,402.00,398.00,400.00,5222600
23-Jan-17,402.00,404.00,398.00,400.00,292100
20-Jan-17,402.00,410.00,396.00,404.00,742300
19-Jan-17,410.00,410.00,400.00,400.00,253300
18-Jan-17,410.00,410.00,402.00,404.00,324500
17-Jan-17,406.00,412.00,390.00,404.00,2306600
16-Jan-17,400.00,408.00,390.00,402.00,2588900
13-Jan-17,404.00,412.00,390.00,402.00,3076600
12-Jan-17,404.00,430.00,404.00,404.00,4210900
11-Jan-17,408.00,410.00,402.00,404.00,345200
10-Jan-17,408.00,410.00,400.00,408.00,632300
9-Jan-17,400.00,416.00,396.00,408.00,2604100
6-Jan-17,408.00,408.00,386.00,400.00,5073400
5-Jan-17,356.00,420.00,354.00,400.00,13011600
4-Jan-17,342.00,360.00,342.00,352.00,624800
3-Jan-17,348.00,348.00,338.00,342.00,52500
30-Dec-16,344.00,348.00,334.00,334.00,290900
29-Dec-16,340.00,340.00,336.00,340.00,194200
28-Dec-16,332.00,332.00,328.00,330.00,79100
27-Dec-16,330.00,330.00,328.00,328.00,40800
23-Dec-16,330.00,330.00,328.00,328.00,61900
22-Dec-16,338.00,338.00,320.00,334.00,626000
21-Dec-16,332.00,340.00,332.00,334.00,50500
20-Dec-16,340.00,340.00,320.00,332.00,574000
19-Dec-16,340.00,340.00,330.00,340.00,258400
16-Dec-16,340.00,340.00,338.00,340.00,179800
15-Dec-16,338.00,338.00,338.00,338.00,22000
14-Dec-16,338.00,340.00,336.00,340.00,129700
13-Dec-16,336.00,340.00,334.00,340.00,622300
9-Dec-16,338.00,340.00,332.00,334.00,46700
8-Dec-16,338.00,338.00,330.00,330.00,319800
7-Dec-16,346.00,348.00,336.00,336.00,204500
6-Dec-16,340.00,342.00,330.00,334.00,353600
5-Dec-16,324.00,340.00,324.00,340.00,333500
2-Dec-16,326.00,340.00,324.00,330.00,558600
1-Dec-16,324.00,350.00,320.00,330.00,612100
30-Nov-16,334.00,338.00,322.00,322.00,753000
29-Nov-16,334.00,342.00,332.00,334.00,1201500
28-Nov-16,340.00,348.00,330.00,334.00,627000
25-Nov-16,330.00,340.00,328.00,340.00,1286100
24-Nov-16,340.00,346.00,328.00,334.00,896700
23-Nov-16,334.00,342.00,334.00,340.00,226000
22-Nov-16,344.00,352.00,332.00,334.00,1796200
21-Nov-16,328.00,340.00,312.00,334.00,8005900
18-Nov-16,336.00,344.00,320.00,328.00,741500
17-Nov-16,320.00,340.00,318.00,328.00,1885800
16-Nov-16,314.00,320.00,314.00,320.00,510400
15-Nov-16,310.00,310.00,308.00,310.00,330500
14-Nov-16,310.00,310.00,306.00,310.00,292600
11-Nov-16,308.00,320.00,306.00,310.00,679800
10-Nov-16,302.00,318.00,302.00,314.00,166000
9-Nov-16,304.00,304.00,300.00,304.00,108400
8-Nov-16,302.00,310.00,302.00,306.00,247500
7-Nov-16,298.00,304.00,292.00,302.00,159700
4-Nov-16,298.00,302.00,298.00,300.00,12200
3-Nov-16,300.00,304.00,294.00,294.00,77600
2-Nov-16,302.00,308.00,296.00,298.00,2485700
1-Nov-16,310.00,312.00,304.00,306.00,163800
31-Oct-16,312.00,312.00,302.00,302.00,894400
28-Oct-16,314.00,322.00,314.00,320.00,24900
27-Oct-16,314.00,322.00,314.00,314.00,348100
26-Oct-16,312.00,322.00,312.00,320.00,159100
25-Oct-16,320.00,322.00,308.00,318.00,42000
24-Oct-16,318.00,318.00,302.00,318.00,14745700
21-Oct-16,318.00,320.00,316.00,320.00,180900
20-Oct-16,318.00,320.00,316.00,318.00,492900
19-Oct-16,320.00,324.00,316.00,318.00,1279400
18-Oct-16,316.00,320.00,316.00,318.00,487600
17-Oct-16,320.00,320.00,312.00,316.00,51300
14-Oct-16,316.00,320.00,312.00,318.00,560400
13-Oct-16,322.00,322.00,310.00,320.00,407000
12-Oct-16,330.00,330.00,316.00,322.00,271600
11-Oct-16,346.00,346.00,330.00,340.00,126700
10-Oct-16,330.00,346.00,330.00,346.00,109200
7-Oct-16,328.00,338.00,326.00,334.00,301900
6-Oct-16,322.00,326.00,314.00,324.00,87800
5-Oct-16,316.00,324.00,314.00,322.00,125600
4-Oct-16,314.00,318.00,306.00,316.00,1432200
3-Oct-16,322.00,322.00,306.00,312.00,75900
30-Sep-16,320.00,320.00,310.00,316.00,65200
29-Sep-16,318.00,318.00,312.00,312.00,74400
28-Sep-16,320.00,322.00,320.00,322.00,55500
27-Sep-16,318.00,320.00,314.00,320.00,62400
26-Sep-16,328.00,328.00,310.00,310.00,205800
23-Sep-16,330.00,332.00,320.00,320.00,28500
22-Sep-16,324.00,330.00,310.00,324.00,230700
21-Sep-16,340.00,340.00,320.00,334.00,75900
20-Sep-16,336.00,346.00,330.00,334.00,268700
19-Sep-16,324.00,336.00,320.00,330.00,30100
16-Sep-16,338.00,338.00,328.00,328.00,372500
15-Sep-16,336.00,342.00,330.00,330.00,143500
14-Sep-16,310.00,328.00,306.00,328.00,220700
13-Sep-16,340.00,346.00,316.00,340.00,307600
9-Sep-16,348.00,350.00,346.00,346.00,143600
8-Sep-16,356.00,358.00,348.00,354.00,616100
7-Sep-16,356.00,362.00,350.00,356.00,739600
6-Sep-16,356.00,360.00,352.00,352.00,215700
5-Sep-16,350.00,366.00,350.00,358.00,788100
2-Sep-16,372.00,372.00,356.00,356.00,155200
1-Sep-16,374.00,374.00,362.00,362.00,150800
31-Aug-16,352.00,382.00,348.00,378.00,2507500
30-Aug-16,356.00,356.00,348.00,352.00,348900
29-Aug-16,370.00,370.00,346.00,356.00,204500
26-Aug-16,372.00,372.00,350.00,366.00,205000
25-Aug-16,370.00,376.00,366.00,366.00,1167700
24-Aug-16,374.00,378.00,368.00,370.00,1211100
23-Aug-16,384.00,384.00,370.00,374.00,719300
22-Aug-16,390.00,398.00,380.00,384.00,1685200
19-Aug-16,360.00,386.00,360.00,376.00,1823400
18-Aug-16,358.00,396.00,356.00,360.00,481500
16-Aug-16,354.00,364.00,344.00,358.00,348100
15-Aug-16,356.00,356.00,342.00,356.00,805700
