Date,Open,High,Low,Close,Volume
29-Dec-17,166.00,172.00,166.00,171.00,16690800
28-Dec-17,173.00,173.00,165.00,165.00,11582300
27-Dec-17,170.00,175.00,168.00,170.00,4169600
22-Dec-17,169.00,173.00,167.00,167.00,3352900
21-Dec-17,167.00,169.00,167.00,169.00,7441600
20-Dec-17,172.00,174.00,165.00,167.00,6916500
19-Dec-17,172.00,172.00,170.00,170.00,3461200
18-Dec-17,175.00,178.00,170.00,172.00,4263300
15-Dec-17,164.00,184.00,164.00,174.00,17387900
14-Dec-17,164.00,165.00,163.00,163.00,13005600
13-Dec-17,166.00,166.00,163.00,164.00,11842900
12-Dec-17,168.00,168.00,166.00,166.00,7527700
11-Dec-17,166.00,169.00,166.00,168.00,13855300
8-Dec-17,168.00,170.00,166.00,167.00,7904500
7-Dec-17,169.00,172.00,165.00,168.00,6209100
6-Dec-17,172.00,173.00,168.00,169.00,3591100
5-Dec-17,170.00,174.00,169.00,170.00,6742200
4-Dec-17,173.00,177.00,169.00,169.00,3119200
30-Nov-17,170.00,174.00,170.00,172.00,3605900
29-Nov-17,173.00,173.00,170.00,170.00,2638000
28-Nov-17,174.00,175.00,170.00,173.00,13481300
27-Nov-17,175.00,175.00,173.00,173.00,7521300
24-Nov-17,181.00,181.00,175.00,175.00,9939500
23-Nov-17,181.00,184.00,181.00,181.00,6932200
22-Nov-17,182.00,182.00,180.00,181.00,8883500
21-Nov-17,181.00,183.00,180.00,181.00,5332100
20-Nov-17,181.00,185.00,180.00,181.00,5927600
17-Nov-17,176.00,180.00,174.00,180.00,3640000
16-Nov-17,176.00,177.00,175.00,176.00,3422000
15-Nov-17,176.00,177.00,175.00,176.00,3557300
14-Nov-17,179.00,179.00,176.00,176.00,7690100
13-Nov-17,180.00,181.00,177.00,178.00,7442400
10-Nov-17,180.00,183.00,179.00,179.00,11111700
9-Nov-17,185.00,186.00,180.00,182.00,25482700
8-Nov-17,184.00,186.00,183.00,185.00,8838800
7-Nov-17,186.00,187.00,184.00,184.00,8270800
6-Nov-17,187.00,189.00,185.00,186.00,2020800
3-Nov-17,189.00,189.00,185.00,186.00,2876200
2-Nov-17,187.00,190.00,185.00,188.00,16314500
1-Nov-17,189.00,190.00,184.00,186.00,26812200
31-Oct-17,189.00,191.00,187.00,188.00,49305900
30-Oct-17,190.00,193.00,188.00,189.00,21281800
27-Oct-17,194.00,194.00,190.00,190.00,27056400
26-Oct-17,193.00,194.00,191.00,194.00,4315200
25-Oct-17,196.00,196.00,192.00,193.00,5710600
24-Oct-17,197.00,198.00,193.00,195.00,11732300
23-Oct-17,199.00,200.00,194.00,196.00,9415900
20-Oct-17,187.00,202.00,187.00,198.00,135477000
19-Oct-17,188.00,190.00,187.00,187.00,5396600
18-Oct-17,189.00,191.00,187.00,188.00,14138300
17-Oct-17,188.00,191.00,188.00,189.00,14368600
16-Oct-17,192.00,193.00,186.00,187.00,30745700
13-Oct-17,188.00,191.00,183.00,191.00,50651800
12-Oct-17,186.00,190.00,185.00,187.00,39921900
11-Oct-17,188.00,189.00,185.00,186.00,35277100
10-Oct-17,192.00,192.00,188.00,188.00,32892300
9-Oct-17,195.00,195.00,190.00,190.00,44404700
6-Oct-17,197.00,198.00,192.00,195.00,20045500
5-Oct-17,199.00,202.00,193.00,196.00,49681600
4-Oct-17,202.00,202.00,198.00,199.00,16785300
3-Oct-17,202.00,202.00,198.00,202.00,3113100
2-Oct-17,202.00,202.00,198.00,200.00,3470000
29-Sep-17,200.00,202.00,197.00,200.00,31059700
28-Sep-17,204.00,204.00,199.00,200.00,2074200
27-Sep-17,198.00,204.00,196.00,202.00,10875300
26-Sep-17,199.00,199.00,197.00,198.00,3539000
25-Sep-17,200.00,200.00,197.00,199.00,5270200
22-Sep-17,202.00,202.00,198.00,200.00,4359100
20-Sep-17,202.00,202.00,196.00,200.00,30986100
19-Sep-17,197.00,204.00,196.00,200.00,20665900
18-Sep-17,198.00,200.00,197.00,197.00,7883200
15-Sep-17,194.00,198.00,192.00,198.00,20627900
14-Sep-17,195.00,196.00,194.00,195.00,37813800
13-Sep-17,195.00,199.00,194.00,195.00,11820700
12-Sep-17,198.00,198.00,193.00,194.00,24248400
11-Sep-17,202.00,202.00,197.00,198.00,19200000
8-Sep-17,197.00,202.00,196.00,200.00,25793400
7-Sep-17,202.00,202.00,196.00,197.00,10721200
6-Sep-17,195.00,202.00,195.00,202.00,17154000
5-Sep-17,200.00,200.00,194.00,197.00,7617500
4-Sep-17,204.00,204.00,199.00,200.00,14321000
31-Aug-17,204.00,206.00,202.00,204.00,14616100
30-Aug-17,202.00,204.00,202.00,204.00,4578900
29-Aug-17,202.00,204.00,202.00,202.00,3123700
28-Aug-17,204.00,206.00,202.00,202.00,8128700
25-Aug-17,202.00,206.00,202.00,204.00,4897800
24-Aug-17,206.00,206.00,202.00,202.00,21698000
23-Aug-17,204.00,206.00,204.00,204.00,11099500
22-Aug-17,206.00,206.00,204.00,204.00,16412500
21-Aug-17,204.00,206.00,204.00,206.00,6076600
18-Aug-17,206.00,208.00,204.00,204.00,7864400
16-Aug-17,204.00,206.00,202.00,206.00,7031700
15-Aug-17,204.00,208.00,202.00,204.00,27339700
14-Aug-17,204.00,208.00,204.00,204.00,7394100
11-Aug-17,206.00,208.00,202.00,204.00,16104300
10-Aug-17,206.00,206.00,200.00,206.00,9454200
9-Aug-17,208.00,208.00,202.00,204.00,45165400
8-Aug-17,204.00,210.00,202.00,208.00,17149900
7-Aug-17,206.00,210.00,202.00,204.00,29026900
4-Aug-17,204.00,206.00,202.00,204.00,30643300
3-Aug-17,208.00,208.00,202.00,204.00,22423900
2-Aug-17,206.00,208.00,204.00,206.00,16061600
1-Aug-17,208.00,208.00,206.00,206.00,8440400
31-Jul-17,206.00,214.00,206.00,208.00,33203500
28-Jul-17,210.00,212.00,204.00,212.00,84065000
27-Jul-17,206.00,212.00,204.00,212.00,26288000
26-Jul-17,212.00,214.00,200.00,204.00,35415500
25-Jul-17,208.00,212.00,204.00,210.00,88859800
24-Jul-17,200.00,210.00,200.00,208.00,60243500
21-Jul-17,195.00,202.00,191.00,200.00,101467400
20-Jul-17,190.00,192.00,189.00,191.00,83723900
19-Jul-17,192.00,193.00,189.00,190.00,23632100
18-Jul-17,191.00,192.00,189.00,190.00,44793400
17-Jul-17,197.00,197.00,190.00,190.00,91183400
14-Jul-17,197.00,197.00,196.00,196.00,10851200
13-Jul-17,197.00,200.00,196.00,197.00,29120800
12-Jul-17,199.00,200.00,195.00,197.00,32872000
11-Jul-17,196.00,210.00,194.00,199.00,32184300
10-Jul-17,208.00,208.00,196.00,196.00,18708300
7-Jul-17,206.00,206.00,195.00,198.00,88207000
6-Jul-17,210.00,210.00,204.00,206.00,31728800
5-Jul-17,216.00,216.00,208.00,210.00,43468400
4-Jul-17,216.00,218.00,214.00,216.00,5717600
3-Jul-17,216.00,216.00,212.00,216.00,9987700
22-Jun-17,216.00,218.00,214.00,216.00,6256900
21-Jun-17,218.00,220.00,216.00,218.00,12394000
20-Jun-17,218.00,220.00,216.00,220.00,20911700
19-Jun-17,218.00,220.00,214.00,220.00,13138400
16-Jun-17,220.00,220.00,210.00,218.00,20692000
15-Jun-17,218.00,220.00,216.00,220.00,15680600
14-Jun-17,216.00,220.00,216.00,218.00,5825500
13-Jun-17,220.00,222.00,216.00,216.00,4856900
12-Jun-17,216.00,222.00,214.00,220.00,18659700
9-Jun-17,216.00,216.00,214.00,216.00,3938000
8-Jun-17,216.00,218.00,214.00,214.00,20858200
7-Jun-17,216.00,220.00,214.00,216.00,8758100
6-Jun-17,220.00,220.00,214.00,216.00,32570500
5-Jun-17,222.00,222.00,220.00,220.00,25522200
2-Jun-17,220.00,226.00,218.00,220.00,62335000
31-May-17,226.00,232.00,216.00,220.00,189993100
30-May-17,240.00,242.00,234.00,236.00,70987100
29-May-17,240.00,240.00,238.00,238.00,13858800
26-May-17,240.00,240.00,238.00,240.00,5339100
24-May-17,240.00,240.00,236.00,238.00,17820200
23-May-17,240.00,244.00,236.00,240.00,22600000
22-May-17,260.00,260.00,236.00,238.00,46629500
19-May-17,230.00,250.00,228.00,250.00,58325100
18-May-17,230.00,230.00,224.00,228.00,44533900
17-May-17,232.00,234.00,228.00,230.00,2157400
16-May-17,236.00,238.00,230.00,230.00,19540400
15-May-17,232.00,238.00,232.00,236.00,6165000
12-May-17,234.00,238.00,232.00,234.00,27976000
10-May-17,234.00,238.00,232.00,234.00,45885600
9-May-17,242.00,244.00,232.00,234.00,39596400
8-May-17,242.00,246.00,238.00,238.00,35021500
5-May-17,240.00,248.00,236.00,240.00,33858400
4-May-17,234.00,240.00,232.00,240.00,14569100
3-May-17,238.00,238.00,232.00,236.00,25475800
2-May-17,240.00,242.00,236.00,236.00,11994800
28-Apr-17,234.00,240.00,232.00,240.00,39992800
27-Apr-17,238.00,240.00,234.00,236.00,23380300
26-Apr-17,238.00,240.00,236.00,238.00,29341800
25-Apr-17,234.00,240.00,230.00,236.00,38446400
21-Apr-17,236.00,236.00,230.00,232.00,70181400
20-Apr-17,238.00,238.00,230.00,232.00,84125800
18-Apr-17,238.00,238.00,234.00,236.00,21837300
17-Apr-17,236.00,240.00,236.00,238.00,54264100
13-Apr-17,244.00,244.00,236.00,236.00,25102900
12-Apr-17,238.00,242.00,232.00,242.00,40880700
11-Apr-17,232.00,238.00,228.00,238.00,25329100
10-Apr-17,230.00,234.00,228.00,230.00,8152400
7-Apr-17,232.00,232.00,228.00,232.00,8938000
6-Apr-17,232.00,236.00,230.00,232.00,42930700
5-Apr-17,228.00,244.00,228.00,232.00,60069000
4-Apr-17,228.00,230.00,224.00,228.00,35146800
3-Apr-17,230.00,230.00,224.00,228.00,17892100
31-Mar-17,226.00,228.00,224.00,228.00,29316600
30-Mar-17,230.00,232.00,224.00,226.00,57934700
29-Mar-17,228.00,234.00,224.00,228.00,64625200
27-Mar-17,228.00,234.00,226.00,228.00,16227300
24-Mar-17,232.00,234.00,226.00,228.00,43708800
23-Mar-17,236.00,238.00,232.00,232.00,14972500
22-Mar-17,236.00,236.00,232.00,232.00,25961500
21-Mar-17,234.00,240.00,232.00,234.00,6117800
20-Mar-17,238.00,240.00,234.00,234.00,12272400
17-Mar-17,242.00,242.00,238.00,238.00,37338100
16-Mar-17,246.00,250.00,240.00,242.00,19572800
15-Mar-17,244.00,246.00,240.00,246.00,18382300
14-Mar-17,246.00,246.00,240.00,246.00,4003900
13-Mar-17,246.00,248.00,240.00,246.00,1637600
10-Mar-17,244.00,248.00,236.00,244.00,36574000
9-Mar-17,244.00,248.00,240.00,244.00,6416500
8-Mar-17,238.00,246.00,236.00,244.00,45936100
7-Mar-17,232.00,238.00,232.00,238.00,7674800
6-Mar-17,230.00,236.00,226.00,230.00,71255000
3-Mar-17,234.00,234.00,224.00,230.00,69383300
2-Mar-17,240.00,242.00,232.00,234.00,20658600
1-Mar-17,242.00,246.00,240.00,240.00,9394500
28-Feb-17,246.00,250.00,242.00,242.00,22450000
27-Feb-17,250.00,252.00,244.00,246.00,3203200
24-Feb-17,252.00,254.00,246.00,246.00,7891800
23-Feb-17,244.00,258.00,244.00,250.00,57708900
22-Feb-17,248.00,252.00,244.00,244.00,14580600
21-Feb-17,248.00,256.00,244.00,244.00,35674200
20-Feb-17,256.00,256.00,248.00,248.00,28640900
17-Feb-17,254.00,256.00,250.00,252.00,22590100
16-Feb-17,252.00,260.00,250.00,254.00,34958400
14-Feb-17,260.00,266.00,252.00,252.00,77979700
13-Feb-17,246.00,264.00,244.00,260.00,144115500
10-Feb-17,242.00,246.00,240.00,246.00,35837200
9-Feb-17,236.00,242.00,234.00,240.00,120883500
8-Feb-17,230.00,236.00,226.00,236.00,75254300
7-Feb-17,228.00,230.00,224.00,228.00,13783300
6-Feb-17,228.00,228.00,222.00,228.00,44388000
3-Feb-17,228.00,230.00,226.00,226.00,9363600
2-Feb-17,228.00,232.00,224.00,226.00,8671300
1-Feb-17,236.00,236.00,226.00,228.00,8657000
31-Jan-17,228.00,238.00,222.00,238.00,23132900
30-Jan-17,224.00,230.00,224.00,226.00,12381400
27-Jan-17,226.00,228.00,224.00,224.00,9891200
26-Jan-17,226.00,226.00,224.00,226.00,30692100
25-Jan-17,230.00,230.00,224.00,226.00,18633800
24-Jan-17,228.00,232.00,222.00,230.00,27730800
