Date,Open,High,Low,Close,Volume
29-Dec-17,280.00,280.00,280.00,280.00,100
28-Dec-17,296.00,298.00,270.00,270.00,20100
27-Dec-17,298.00,298.00,298.00,298.00,100
22-Dec-17,-,-,-,294.00,0
21-Dec-17,272.00,294.00,272.00,294.00,5200
20-Dec-17,-,-,-,272.00,0
19-Dec-17,272.00,272.00,272.00,272.00,5000
18-Dec-17,270.00,272.00,270.00,272.00,200
15-Dec-17,272.00,296.00,272.00,296.00,200
14-Dec-17,298.00,298.00,298.00,298.00,6000
13-Dec-17,310.00,310.00,310.00,310.00,100
12-Dec-17,-,-,-,302.00,0
11-Dec-17,302.00,302.00,302.00,302.00,100
8-Dec-17,272.00,292.00,272.00,292.00,6100
7-Dec-17,270.00,270.00,270.00,270.00,100
6-Dec-17,270.00,308.00,270.00,298.00,8600
5-Dec-17,270.00,272.00,270.00,272.00,800
4-Dec-17,-,-,-,272.00,0
30-Nov-17,-,-,-,272.00,0
29-Nov-17,-,-,-,272.00,0
28-Nov-17,-,-,-,272.00,0
27-Nov-17,272.00,272.00,272.00,272.00,100
24-Nov-17,-,-,-,286.00,0
23-Nov-17,300.00,300.00,286.00,286.00,143600
22-Nov-17,300.00,300.00,300.00,300.00,1000
21-Nov-17,290.00,290.00,272.00,286.00,400
20-Nov-17,-,-,-,316.00,0
17-Nov-17,-,-,-,316.00,0
16-Nov-17,-,-,-,316.00,0
15-Nov-17,308.00,316.00,308.00,316.00,195000
14-Nov-17,318.00,320.00,318.00,320.00,2700
13-Nov-17,330.00,340.00,330.00,340.00,65000
10-Nov-17,-,-,-,340.00,0
9-Nov-17,280.00,340.00,280.00,340.00,181400
8-Nov-17,280.00,280.00,280.00,280.00,47000
7-Nov-17,-,-,-,280.00,0
6-Nov-17,-,-,-,280.00,0
3-Nov-17,270.00,280.00,270.00,280.00,36000
2-Nov-17,260.00,270.00,260.00,270.00,1200
1-Nov-17,-,-,-,280.00,0
31-Oct-17,-,-,-,280.00,0
30-Oct-17,-,-,-,280.00,0
27-Oct-17,272.00,280.00,272.00,280.00,5100
26-Oct-17,-,-,-,272.00,0
25-Oct-17,272.00,272.00,272.00,272.00,8200
24-Oct-17,-,-,-,272.00,0
23-Oct-17,-,-,-,272.00,0
20-Oct-17,270.00,272.00,270.00,272.00,300
19-Oct-17,270.00,270.00,270.00,270.00,18000
18-Oct-17,278.00,278.00,278.00,278.00,200
17-Oct-17,-,-,-,278.00,0
16-Oct-17,278.00,278.00,278.00,278.00,1700
13-Oct-17,234.00,278.00,234.00,278.00,600
12-Oct-17,234.00,234.00,234.00,234.00,100
11-Oct-17,-,-,-,280.00,0
10-Oct-17,-,-,-,280.00,0
9-Oct-17,-,-,-,280.00,0
6-Oct-17,240.00,280.00,240.00,280.00,4200
5-Oct-17,280.00,280.00,280.00,280.00,200
4-Oct-17,-,-,-,280.00,0
3-Oct-17,-,-,-,280.00,0
2-Oct-17,-,-,-,280.00,0
29-Sep-17,-,-,-,280.00,0
28-Sep-17,256.00,280.00,256.00,280.00,500
27-Sep-17,280.00,280.00,280.00,280.00,40000
26-Sep-17,-,-,-,280.00,0
25-Sep-17,280.00,290.00,280.00,280.00,55000
22-Sep-17,-,-,-,280.00,0
20-Sep-17,280.00,280.00,280.00,280.00,5100
19-Sep-17,-,-,-,282.00,0
18-Sep-17,-,-,-,282.00,0
15-Sep-17,-,-,-,282.00,0
14-Sep-17,280.00,282.00,280.00,282.00,12600
13-Sep-17,260.00,292.00,260.00,292.00,500
12-Sep-17,290.00,290.00,290.00,290.00,10000
11-Sep-17,-,-,-,296.00,0
8-Sep-17,-,-,-,296.00,0
7-Sep-17,296.00,296.00,296.00,296.00,300
6-Sep-17,280.00,280.00,280.00,280.00,20000
5-Sep-17,286.00,286.00,280.00,286.00,7200
4-Sep-17,280.00,286.00,280.00,286.00,700
