Date,Open,High,Low,Close,Volume
29-Dec-17,2220.00,2250.00,2180.00,2250.00,100900
28-Dec-17,2200.00,2220.00,2200.00,2220.00,25300
27-Dec-17,2200.00,2200.00,2200.00,2200.00,20500
22-Dec-17,2210.00,2220.00,2180.00,2220.00,30200
21-Dec-17,2210.00,2210.00,2200.00,2210.00,11500
20-Dec-17,2180.00,2210.00,2170.00,2210.00,18100
19-Dec-17,2180.00,2210.00,2170.00,2210.00,22700
18-Dec-17,2180.00,2210.00,2170.00,2210.00,16700
15-Dec-17,2210.00,2210.00,2200.00,2210.00,17000
14-Dec-17,2170.00,2210.00,2150.00,2210.00,60400
13-Dec-17,2170.00,2210.00,2150.00,2210.00,29400
12-Dec-17,2110.00,2210.00,2100.00,2210.00,88200
11-Dec-17,2120.00,2210.00,2120.00,2210.00,17600
8-Dec-17,2180.00,2200.00,2180.00,2200.00,25200
7-Dec-17,2130.00,2210.00,2130.00,2210.00,23300
6-Dec-17,2120.00,2210.00,2100.00,2210.00,34400
5-Dec-17,2210.00,2220.00,2100.00,2210.00,102500
4-Dec-17,2150.00,2210.00,2150.00,2210.00,81000
30-Nov-17,2110.00,2210.00,2110.00,2210.00,54100
29-Nov-17,2150.00,2210.00,2150.00,2210.00,20200
28-Nov-17,2210.00,2210.00,2210.00,2210.00,30000
27-Nov-17,2150.00,2210.00,2110.00,2210.00,30500
24-Nov-17,2150.00,2210.00,2100.00,2210.00,20900
23-Nov-17,2150.00,2210.00,2000.00,2210.00,31900
22-Nov-17,2170.00,2210.00,2100.00,2210.00,30800
21-Nov-17,2170.00,2210.00,2170.00,2210.00,42200
20-Nov-17,2220.00,2220.00,2220.00,2220.00,30000
17-Nov-17,2210.00,2210.00,2210.00,2210.00,35200
16-Nov-17,2150.00,2210.00,2130.00,2210.00,30600
15-Nov-17,2100.00,2220.00,2100.00,2220.00,28200
14-Nov-17,2140.00,2220.00,2140.00,2220.00,31200
13-Nov-17,2200.00,2220.00,2200.00,2220.00,34500
10-Nov-17,2120.00,2230.00,2120.00,2200.00,400
9-Nov-17,2230.00,2230.00,2220.00,2220.00,30300
8-Nov-17,2210.00,2220.00,2210.00,2220.00,48000
7-Nov-17,2220.00,2240.00,2220.00,2240.00,63600
6-Nov-17,2220.00,2220.00,2220.00,2220.00,30000
3-Nov-17,2210.00,2240.00,2210.00,2220.00,46600
2-Nov-17,2240.00,2240.00,2210.00,2240.00,16900
1-Nov-17,2210.00,2240.00,2200.00,2240.00,20400
31-Oct-17,2210.00,2240.00,2210.00,2240.00,9500
30-Oct-17,2210.00,2250.00,2210.00,2240.00,17000
27-Oct-17,-,-,-,2240.00,0
26-Oct-17,2210.00,2240.00,2210.00,2240.00,10400
25-Oct-17,2240.00,2240.00,2210.00,2240.00,12900
24-Oct-17,2210.00,2240.00,2210.00,2240.00,20000
23-Oct-17,2210.00,2240.00,2210.00,2240.00,8100
20-Oct-17,2240.00,2240.00,2240.00,2240.00,10000
19-Oct-17,2210.00,2240.00,2210.00,2240.00,10400
18-Oct-17,2240.00,2240.00,2240.00,2240.00,20000
17-Oct-17,2210.00,2210.00,2210.00,2210.00,200
16-Oct-17,2240.00,2240.00,2240.00,2240.00,10000
13-Oct-17,2210.00,2250.00,2200.00,2240.00,4700
12-Oct-17,2200.00,2240.00,2200.00,2240.00,7200
11-Oct-17,2240.00,2240.00,2240.00,2240.00,4600
10-Oct-17,2190.00,2250.00,2190.00,2240.00,12000
9-Oct-17,2190.00,2230.00,2190.00,2200.00,2000
6-Oct-17,2170.00,2240.00,2170.00,2240.00,10400
5-Oct-17,2240.00,2240.00,2230.00,2230.00,8700
4-Oct-17,2240.00,2240.00,2240.00,2240.00,10000
3-Oct-17,2200.00,2240.00,2200.00,2240.00,19000
2-Oct-17,2250.00,2250.00,2240.00,2240.00,11000
29-Sep-17,2180.00,2240.00,2180.00,2240.00,13700
28-Sep-17,2240.00,2240.00,2240.00,2240.00,5000
27-Sep-17,2200.00,2250.00,2180.00,2250.00,12000
26-Sep-17,2190.00,2250.00,2190.00,2250.00,10200
25-Sep-17,2240.00,2250.00,2190.00,2250.00,12600
22-Sep-17,-,-,-,2250.00,0
20-Sep-17,2250.00,2250.00,2250.00,2250.00,10000
19-Sep-17,2250.00,2260.00,2250.00,2260.00,28400
18-Sep-17,2250.00,2250.00,2200.00,2250.00,30500
15-Sep-17,2240.00,2270.00,2240.00,2250.00,28400
14-Sep-17,2180.00,2250.00,2170.00,2250.00,13600
13-Sep-17,2250.00,2250.00,2250.00,2250.00,2600
12-Sep-17,2250.00,2260.00,2250.00,2260.00,15000
11-Sep-17,2260.00,2260.00,2260.00,2260.00,5000
8-Sep-17,2260.00,2260.00,2130.00,2260.00,24300
7-Sep-17,2250.00,2250.00,2250.00,2250.00,3200
6-Sep-17,2250.00,2250.00,2250.00,2250.00,4500
5-Sep-17,2210.00,2250.00,2210.00,2250.00,15000
4-Sep-17,2210.00,2250.00,2200.00,2250.00,4500
31-Aug-17,2200.00,2260.00,2200.00,2260.00,1500
30-Aug-17,2170.00,2270.00,2170.00,2270.00,5100
29-Aug-17,2270.00,2270.00,2210.00,2250.00,1000
28-Aug-17,2270.00,2270.00,2140.00,2250.00,16100
25-Aug-17,2270.00,2270.00,2270.00,2270.00,10000
24-Aug-17,2260.00,2260.00,2260.00,2260.00,5000
23-Aug-17,2250.00,2270.00,2150.00,2250.00,14300
22-Aug-17,2220.00,2220.00,2220.00,2220.00,1000
21-Aug-17,2220.00,2220.00,2220.00,2220.00,400
18-Aug-17,2110.00,2220.00,2110.00,2220.00,72100
16-Aug-17,2030.00,2110.00,2030.00,2110.00,21800
15-Aug-17,2000.00,2100.00,2000.00,2100.00,42500
14-Aug-17,2050.00,2120.00,2000.00,2050.00,42000
11-Aug-17,2050.00,2130.00,2050.00,2130.00,36900
10-Aug-17,2130.00,2130.00,2130.00,2130.00,11000
9-Aug-17,2200.00,2210.00,1900.00,2150.00,181500
