Date,Open,High,Low,Close,Volume
29-Dec-17,286.00,286.00,268.00,278.00,615100
28-Dec-17,284.00,288.00,276.00,286.00,147700
27-Dec-17,280.00,298.00,274.00,284.00,218000
22-Dec-17,280.00,284.00,276.00,276.00,131900
21-Dec-17,280.00,280.00,276.00,280.00,853400
20-Dec-17,280.00,284.00,276.00,280.00,119600
19-Dec-17,280.00,284.00,272.00,280.00,329800
18-Dec-17,284.00,286.00,278.00,278.00,118700
15-Dec-17,278.00,294.00,278.00,284.00,54400
14-Dec-17,280.00,282.00,276.00,280.00,89900
13-Dec-17,278.00,282.00,278.00,282.00,5400
12-Dec-17,280.00,286.00,278.00,282.00,94600
11-Dec-17,284.00,286.00,278.00,280.00,129000
8-Dec-17,280.00,288.00,278.00,280.00,147500
7-Dec-17,284.00,290.00,280.00,286.00,94600
6-Dec-17,284.00,286.00,278.00,282.00,52300
5-Dec-17,280.00,286.00,278.00,284.00,87700
4-Dec-17,280.00,294.00,276.00,284.00,183600
30-Nov-17,280.00,292.00,276.00,282.00,746400
29-Nov-17,280.00,282.00,278.00,278.00,180500
28-Nov-17,284.00,288.00,278.00,280.00,118000
27-Nov-17,286.00,288.00,278.00,284.00,148800
24-Nov-17,288.00,290.00,280.00,288.00,634600
23-Nov-17,290.00,290.00,282.00,282.00,1129600
22-Nov-17,290.00,296.00,286.00,286.00,763500
21-Nov-17,286.00,290.00,284.00,286.00,374500
20-Nov-17,286.00,292.00,286.00,288.00,3300
17-Nov-17,286.00,290.00,286.00,286.00,30900
16-Nov-17,288.00,288.00,288.00,288.00,8400
15-Nov-17,290.00,290.00,282.00,288.00,42300
14-Nov-17,280.00,296.00,280.00,288.00,98900
13-Nov-17,280.00,300.00,280.00,286.00,93600
10-Nov-17,288.00,290.00,274.00,280.00,99900
9-Nov-17,288.00,300.00,284.00,290.00,76300
8-Nov-17,288.00,290.00,280.00,286.00,78000
7-Nov-17,294.00,294.00,284.00,288.00,115700
6-Nov-17,284.00,298.00,282.00,290.00,207300
3-Nov-17,278.00,282.00,278.00,282.00,157500
2-Nov-17,276.00,286.00,270.00,282.00,1621500
1-Nov-17,276.00,280.00,274.00,276.00,1294400
31-Oct-17,278.00,286.00,278.00,278.00,140200
30-Oct-17,280.00,280.00,276.00,280.00,266800
27-Oct-17,286.00,286.00,270.00,276.00,840500
26-Oct-17,282.00,284.00,278.00,284.00,174400
25-Oct-17,286.00,286.00,280.00,280.00,221000
24-Oct-17,280.00,284.00,276.00,282.00,772900
23-Oct-17,282.00,282.00,278.00,280.00,25000
20-Oct-17,278.00,282.00,278.00,282.00,162900
19-Oct-17,278.00,282.00,276.00,282.00,361700
18-Oct-17,280.00,286.00,278.00,280.00,339300
17-Oct-17,282.00,290.00,282.00,282.00,300400
16-Oct-17,276.00,292.00,276.00,282.00,681300
13-Oct-17,278.00,284.00,274.00,276.00,5592800
12-Oct-17,278.00,278.00,272.00,276.00,475700
11-Oct-17,278.00,278.00,272.00,276.00,4271400
10-Oct-17,276.00,284.00,274.00,276.00,116000
9-Oct-17,280.00,286.00,276.00,280.00,132000
6-Oct-17,292.00,294.00,280.00,282.00,368900
5-Oct-17,280.00,308.00,278.00,290.00,1450400
4-Oct-17,292.00,292.00,274.00,280.00,1864600
3-Oct-17,312.00,318.00,276.00,290.00,998500
2-Oct-17,330.00,332.00,310.00,316.00,28900
29-Sep-17,304.00,340.00,304.00,330.00,16000
28-Sep-17,300.00,304.00,300.00,304.00,26000
27-Sep-17,302.00,310.00,302.00,302.00,10300
26-Sep-17,310.00,310.00,300.00,310.00,54000
25-Sep-17,310.00,312.00,310.00,310.00,24600
22-Sep-17,306.00,312.00,306.00,312.00,7600
20-Sep-17,308.00,312.00,306.00,306.00,483100
19-Sep-17,308.00,308.00,306.00,306.00,9400
18-Sep-17,314.00,314.00,304.00,312.00,37100
15-Sep-17,322.00,322.00,314.00,314.00,10200
14-Sep-17,320.00,322.00,316.00,322.00,23900
13-Sep-17,320.00,322.00,312.00,320.00,96100
12-Sep-17,322.00,322.00,310.00,310.00,410800
11-Sep-17,306.00,326.00,300.00,320.00,241100
8-Sep-17,302.00,318.00,292.00,304.00,228900
7-Sep-17,304.00,312.00,300.00,300.00,208900
6-Sep-17,320.00,320.00,310.00,310.00,281700
5-Sep-17,326.00,326.00,320.00,326.00,80200
4-Sep-17,336.00,336.00,326.00,328.00,76200
31-Aug-17,330.00,336.00,330.00,336.00,9300
30-Aug-17,338.00,338.00,328.00,336.00,25700
29-Aug-17,338.00,338.00,330.00,336.00,289700
28-Aug-17,338.00,346.00,326.00,346.00,1267200
25-Aug-17,346.00,346.00,334.00,338.00,187200
24-Aug-17,346.00,346.00,338.00,340.00,36800
23-Aug-17,348.00,348.00,340.00,340.00,133200
22-Aug-17,350.00,350.00,336.00,346.00,171700
21-Aug-17,340.00,348.00,340.00,348.00,117100
18-Aug-17,346.00,348.00,340.00,342.00,153100
16-Aug-17,340.00,352.00,338.00,346.00,36800
15-Aug-17,344.00,370.00,338.00,344.00,143200
14-Aug-17,346.00,346.00,340.00,344.00,13900
11-Aug-17,348.00,348.00,342.00,342.00,117600
10-Aug-17,348.00,352.00,348.00,350.00,9500
9-Aug-17,350.00,354.00,344.00,346.00,65500
8-Aug-17,356.00,356.00,350.00,354.00,25200
7-Aug-17,360.00,360.00,350.00,356.00,63800
4-Aug-17,362.00,362.00,360.00,360.00,56800
3-Aug-17,358.00,366.00,356.00,362.00,5500
2-Aug-17,374.00,374.00,352.00,360.00,68200
1-Aug-17,376.00,378.00,356.00,370.00,48100
31-Jul-17,370.00,376.00,350.00,376.00,76000
28-Jul-17,352.00,358.00,350.00,350.00,121300
27-Jul-17,350.00,352.00,342.00,350.00,330600
26-Jul-17,360.00,360.00,350.00,350.00,236300
25-Jul-17,360.00,364.00,352.00,352.00,336800
24-Jul-17,350.00,364.00,350.00,350.00,24200
21-Jul-17,364.00,366.00,358.00,362.00,34300
20-Jul-17,364.00,366.00,354.00,356.00,43700
19-Jul-17,364.00,364.00,358.00,364.00,8900
18-Jul-17,368.00,368.00,350.00,362.00,2000
17-Jul-17,350.00,360.00,344.00,350.00,522700
14-Jul-17,368.00,368.00,350.00,350.00,714400
13-Jul-17,386.00,410.00,360.00,364.00,3366300
12-Jul-17,372.00,388.00,370.00,386.00,19500
11-Jul-17,380.00,398.00,370.00,380.00,521400
10-Jul-17,380.00,400.00,374.00,380.00,14100
7-Jul-17,390.00,390.00,380.00,380.00,287400
6-Jul-17,410.00,410.00,390.00,390.00,451700
5-Jul-17,426.00,438.00,398.00,398.00,1125600
4-Jul-17,438.00,440.00,426.00,428.00,83500
3-Jul-17,438.00,440.00,428.00,440.00,52500
22-Jun-17,450.00,450.00,428.00,438.00,89500
21-Jun-17,438.00,438.00,438.00,438.00,3300
20-Jun-17,440.00,440.00,428.00,438.00,82300
19-Jun-17,432.00,446.00,432.00,440.00,13400
16-Jun-17,426.00,444.00,426.00,440.00,4400
15-Jun-17,434.00,448.00,428.00,428.00,363500
14-Jun-17,434.00,470.00,428.00,466.00,514100
13-Jun-17,476.00,476.00,424.00,458.00,159200
12-Jun-17,476.00,476.00,450.00,462.00,10700
9-Jun-17,478.00,478.00,432.00,466.00,171200
8-Jun-17,456.00,468.00,450.00,466.00,53500
7-Jun-17,466.00,472.00,456.00,472.00,21500
6-Jun-17,482.00,482.00,460.00,474.00,51200
5-Jun-17,468.00,468.00,462.00,468.00,22700
2-Jun-17,474.00,490.00,468.00,468.00,20600
31-May-17,482.00,482.00,466.00,474.00,115200
30-May-17,474.00,480.00,470.00,476.00,69000
29-May-17,446.00,482.00,440.00,478.00,47200
26-May-17,430.00,440.00,430.00,440.00,27600
24-May-17,430.00,444.00,430.00,430.00,54900
23-May-17,438.00,438.00,422.00,438.00,12800
22-May-17,424.00,424.00,420.00,422.00,1400
19-May-17,440.00,442.00,420.00,420.00,94300
18-May-17,436.00,436.00,400.00,428.00,75000
17-May-17,450.00,466.00,440.00,442.00,130100
16-May-17,462.00,462.00,448.00,448.00,32700
15-May-17,466.00,466.00,462.00,462.00,3200
12-May-17,466.00,466.00,440.00,464.00,27500
10-May-17,464.00,478.00,446.00,466.00,42300
9-May-17,470.00,480.00,460.00,464.00,61300
8-May-17,488.00,488.00,450.00,470.00,153700
5-May-17,470.00,498.00,470.00,488.00,107300
4-May-17,500.00,505.00,470.00,470.00,183700
3-May-17,480.00,500.00,472.00,498.00,181700
2-May-17,478.00,480.00,470.00,480.00,13100
28-Apr-17,462.00,488.00,462.00,476.00,800
27-Apr-17,472.00,472.00,460.00,460.00,47500
26-Apr-17,474.00,474.00,470.00,470.00,21500
25-Apr-17,470.00,474.00,470.00,474.00,10100
21-Apr-17,476.00,498.00,470.00,470.00,5123400
20-Apr-17,480.00,500.00,470.00,476.00,2405200
18-Apr-17,490.00,490.00,470.00,480.00,62100
17-Apr-17,490.00,510.00,470.00,482.00,129800
13-Apr-17,460.00,520.00,442.00,482.00,146000
12-Apr-17,450.00,456.00,440.00,452.00,45000
11-Apr-17,446.00,454.00,444.00,452.00,11800
10-Apr-17,450.00,460.00,446.00,446.00,21700
7-Apr-17,450.00,450.00,440.00,440.00,5300
6-Apr-17,448.00,450.00,442.00,450.00,5600
5-Apr-17,444.00,446.00,434.00,442.00,15600
4-Apr-17,448.00,450.00,440.00,444.00,84600
3-Apr-17,458.00,458.00,442.00,448.00,62000
31-Mar-17,460.00,466.00,450.00,450.00,317500
30-Mar-17,450.00,480.00,440.00,464.00,126700
29-Mar-17,430.00,452.00,420.00,452.00,34800
27-Mar-17,446.00,446.00,440.00,440.00,13700
24-Mar-17,446.00,476.00,444.00,446.00,21900
23-Mar-17,464.00,464.00,444.00,446.00,16600
22-Mar-17,448.00,456.00,448.00,450.00,8500
21-Mar-17,450.00,464.00,450.00,456.00,7100
20-Mar-17,464.00,464.00,440.00,450.00,100900
17-Mar-17,460.00,464.00,440.00,464.00,59600
16-Mar-17,464.00,464.00,460.00,464.00,83700
15-Mar-17,474.00,476.00,464.00,464.00,36300
14-Mar-17,478.00,484.00,464.00,476.00,22800
13-Mar-17,476.00,476.00,470.00,476.00,6400
10-Mar-17,462.00,476.00,462.00,476.00,12900
