Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,13900.00,0
28-Dec-17,13900.00,13900.00,13900.00,13900.00,200
27-Dec-17,14000.00,14000.00,14000.00,14000.00,800
22-Dec-17,-,-,-,14000.00,0
21-Dec-17,-,-,-,14000.00,0
20-Dec-17,14000.00,14000.00,14000.00,14000.00,100
19-Dec-17,-,-,-,13900.00,0
18-Dec-17,13900.00,13900.00,13900.00,13900.00,500
15-Dec-17,-,-,-,13900.00,0
14-Dec-17,-,-,-,13900.00,0
13-Dec-17,-,-,-,13900.00,0
12-Dec-17,-,-,-,13900.00,0
11-Dec-17,-,-,-,13900.00,0
8-Dec-17,-,-,-,13900.00,0
7-Dec-17,13900.00,13900.00,13900.00,13900.00,500
6-Dec-17,13900.00,13900.00,13900.00,13900.00,100
5-Dec-17,13900.00,13900.00,13900.00,13900.00,2000
4-Dec-17,13900.00,13900.00,13900.00,13900.00,1000
30-Nov-17,-,-,-,13900.00,0
29-Nov-17,13900.00,13900.00,13900.00,13900.00,500
28-Nov-17,-,-,-,13900.00,0
27-Nov-17,-,-,-,13900.00,0
24-Nov-17,-,-,-,13900.00,0
23-Nov-17,-,-,-,13900.00,0
22-Nov-17,-,-,-,13900.00,0
21-Nov-17,-,-,-,13900.00,0
20-Nov-17,13925.00,13925.00,13900.00,13900.00,1000
17-Nov-17,13900.00,13900.00,13900.00,13900.00,1000
16-Nov-17,-,-,-,13900.00,0
15-Nov-17,13900.00,13900.00,13900.00,13900.00,400
14-Nov-17,13900.00,13900.00,13900.00,13900.00,500
13-Nov-17,13900.00,13900.00,13900.00,13900.00,800
10-Nov-17,-,-,-,13900.00,0
9-Nov-17,13900.00,13900.00,13900.00,13900.00,1000
8-Nov-17,-,-,-,13900.00,0
7-Nov-17,-,-,-,13900.00,0
6-Nov-17,-,-,-,13900.00,0
3-Nov-17,13900.00,13900.00,13900.00,13900.00,1000
2-Nov-17,13900.00,13900.00,13900.00,13900.00,1400
1-Nov-17,-,-,-,13900.00,0
31-Oct-17,-,-,-,13900.00,0
30-Oct-17,13900.00,13900.00,13900.00,13900.00,500
27-Oct-17,-,-,-,13900.00,0
26-Oct-17,13900.00,13900.00,13900.00,13900.00,100
25-Oct-17,13900.00,13900.00,13900.00,13900.00,500
24-Oct-17,-,-,-,13900.00,0
23-Oct-17,13900.00,13900.00,13900.00,13900.00,500
20-Oct-17,-,-,-,13800.00,0
19-Oct-17,13800.00,13800.00,13800.00,13800.00,1000
18-Oct-17,-,-,-,13800.00,0
17-Oct-17,-,-,-,13800.00,0
16-Oct-17,-,-,-,13800.00,0
13-Oct-17,-,-,-,13800.00,0
12-Oct-17,13800.00,13800.00,13800.00,13800.00,500
11-Oct-17,-,-,-,13800.00,0
10-Oct-17,13800.00,13800.00,13800.00,13800.00,500
9-Oct-17,-,-,-,13800.00,0
6-Oct-17,-,-,-,13800.00,0
5-Oct-17,-,-,-,13800.00,0
4-Oct-17,13800.00,13800.00,13800.00,13800.00,100
3-Oct-17,-,-,-,13800.00,0
2-Oct-17,-,-,-,13800.00,0
29-Sep-17,-,-,-,13800.00,0
28-Sep-17,-,-,-,13800.00,0
27-Sep-17,-,-,-,13800.00,0
26-Sep-17,-,-,-,13800.00,0
25-Sep-17,13800.00,13800.00,13800.00,13800.00,500
22-Sep-17,-,-,-,13800.00,0
20-Sep-17,13800.00,13800.00,13800.00,13800.00,2000
19-Sep-17,13800.00,13800.00,13800.00,13800.00,1900
18-Sep-17,14000.00,14000.00,14000.00,14000.00,200
15-Sep-17,-,-,-,14125.00,0
14-Sep-17,-,-,-,14125.00,0
13-Sep-17,-,-,-,14125.00,0
12-Sep-17,14125.00,14125.00,14125.00,14125.00,100
11-Sep-17,13700.00,14200.00,13700.00,14000.00,32100
8-Sep-17,13500.00,13600.00,13500.00,13600.00,1000
7-Sep-17,12700.00,13000.00,12700.00,13000.00,600
6-Sep-17,12000.00,12500.00,12000.00,12500.00,4500
5-Sep-17,11700.00,11700.00,11700.00,11700.00,100
4-Sep-17,11000.00,12000.00,11000.00,12000.00,4800
31-Aug-17,12000.00,12000.00,11700.00,11700.00,1100
30-Aug-17,-,-,-,11700.00,0
29-Aug-17,9600.00,12000.00,9600.00,11700.00,900
28-Aug-17,-,-,-,12000.00,0
25-Aug-17,-,-,-,12000.00,0
24-Aug-17,-,-,-,12000.00,0
23-Aug-17,-,-,-,12000.00,0
22-Aug-17,-,-,-,12000.00,0
21-Aug-17,-,-,-,12000.00,0
18-Aug-17,-,-,-,12000.00,0
16-Aug-17,-,-,-,12000.00,0
15-Aug-17,12200.00,12200.00,12000.00,12000.00,500
14-Aug-17,12000.00,12000.00,12000.00,12000.00,8100
11-Aug-17,10750.00,11000.00,10750.00,11000.00,2500
10-Aug-17,-,-,-,10750.00,0
9-Aug-17,10750.00,10750.00,10750.00,10750.00,100
8-Aug-17,-,-,-,10750.00,0
7-Aug-17,-,-,-,10750.00,0
4-Aug-17,-,-,-,10750.00,0
3-Aug-17,-,-,-,10750.00,0
2-Aug-17,-,-,-,10750.00,0
1-Aug-17,-,-,-,10750.00,0
31-Jul-17,-,-,-,10750.00,0
28-Jul-17,-,-,-,10750.00,0
27-Jul-17,-,-,-,10750.00,0
26-Jul-17,-,-,-,10750.00,0
25-Jul-17,-,-,-,10750.00,0
24-Jul-17,-,-,-,10750.00,0
21-Jul-17,-,-,-,10750.00,0
20-Jul-17,-,-,-,10750.00,0
19-Jul-17,-,-,-,10750.00,0
18-Jul-17,-,-,-,10750.00,0
17-Jul-17,-,-,-,10750.00,0
14-Jul-17,-,-,-,10750.00,0
13-Jul-17,-,-,-,10750.00,0
12-Jul-17,-,-,-,10750.00,0
11-Jul-17,-,-,-,10750.00,0
10-Jul-17,-,-,-,10750.00,0
7-Jul-17,10750.00,10750.00,10750.00,10750.00,100
6-Jul-17,11650.00,11750.00,11650.00,11750.00,1500
5-Jul-17,-,-,-,12000.00,0
4-Jul-17,-,-,-,12000.00,0
3-Jul-17,-,-,-,12000.00,0
22-Jun-17,-,-,-,12000.00,0
21-Jun-17,-,-,-,12000.00,0
20-Jun-17,-,-,-,12000.00,0
19-Jun-17,-,-,-,12000.00,0
15-Jun-17,-,-,-,12000.00,0
14-Jun-17,-,-,-,12000.00,0
13-Jun-17,-,-,-,12000.00,0
9-Jun-17,-,-,-,12000.00,0
8-Jun-17,-,-,-,12000.00,0
7-Jun-17,-,-,-,12000.00,0
6-Jun-17,-,-,-,12000.00,0
5-Jun-17,-,-,-,12000.00,0
31-May-17,-,-,-,12000.00,0
30-May-17,-,-,-,12000.00,0
29-May-17,-,-,-,12000.00,0
26-May-17,-,-,-,12000.00,0
24-May-17,-,-,-,12000.00,0
23-May-17,-,-,-,12000.00,0
22-May-17,-,-,-,12000.00,0
19-May-17,-,-,-,12000.00,0
18-May-17,-,-,-,12000.00,0
17-May-17,-,-,-,12000.00,0
16-May-17,-,-,-,12000.00,0
15-May-17,-,-,-,12000.00,0
12-May-17,-,-,-,12000.00,0
10-May-17,-,-,-,12000.00,0
9-May-17,-,-,-,12000.00,0
8-May-17,-,-,-,12000.00,0
5-May-17,-,-,-,12000.00,0
4-May-17,-,-,-,12000.00,0
3-May-17,-,-,-,12000.00,0
2-May-17,12000.00,12000.00,12000.00,12000.00,21000
28-Apr-17,-,-,-,12000.00,0
25-Apr-17,12000.00,12000.00,12000.00,12000.00,5500
21-Apr-17,-,-,-,12000.00,0
20-Apr-17,-,-,-,12000.00,0
18-Apr-17,-,-,-,12000.00,0
17-Apr-17,-,-,-,12000.00,0
13-Apr-17,-,-,-,12000.00,0
12-Apr-17,-,-,-,12000.00,0
11-Apr-17,-,-,-,12000.00,0
10-Apr-17,-,-,-,12000.00,0
7-Apr-17,12000.00,12100.00,12000.00,12000.00,30200
6-Apr-17,-,-,-,11900.00,0
5-Apr-17,11700.00,11900.00,11700.00,11900.00,5500
4-Apr-17,-,-,-,11700.00,0
3-Apr-17,11700.00,11700.00,11700.00,11700.00,7500
31-Mar-17,-,-,-,11500.00,0
30-Mar-17,11500.00,11500.00,11500.00,11500.00,500
29-Mar-17,-,-,-,11500.00,0
27-Mar-17,-,-,-,11500.00,0
24-Mar-17,11000.00,11500.00,11000.00,11500.00,3500
23-Mar-17,-,-,-,11200.00,0
22-Mar-17,11200.00,11200.00,11200.00,11200.00,100
21-Mar-17,-,-,-,11000.00,0
20-Mar-17,11000.00,11000.00,11000.00,11000.00,700
17-Mar-17,-,-,-,11000.00,0
16-Mar-17,-,-,-,11000.00,0
15-Mar-17,-,-,-,11000.00,0
14-Mar-17,11000.00,11000.00,11000.00,11000.00,4900
13-Mar-17,-,-,-,10500.00,0
10-Mar-17,-,-,-,10500.00,0
9-Mar-17,-,-,-,10500.00,0
8-Mar-17,-,-,-,10500.00,0
7-Mar-17,-,-,-,10500.00,0
6-Mar-17,-,-,-,10500.00,0
3-Mar-17,-,-,-,10500.00,0
2-Mar-17,10500.00,10500.00,10500.00,10500.00,10500
1-Mar-17,10500.00,10500.00,10500.00,10500.00,100
28-Feb-17,10800.00,10800.00,10800.00,10800.00,500
27-Feb-17,-,-,-,10800.00,0
24-Feb-17,-,-,-,10800.00,0
23-Feb-17,10800.00,10800.00,10800.00,10800.00,5000
22-Feb-17,-,-,-,10600.00,0
21-Feb-17,10600.00,10600.00,10600.00,10600.00,1100
20-Feb-17,10100.00,10500.00,10100.00,10500.00,1000
17-Feb-17,10100.00,10100.00,10100.00,10100.00,2000
16-Feb-17,9575.00,9800.00,9575.00,9800.00,3000
14-Feb-17,-,-,-,9100.00,0
13-Feb-17,9100.00,9100.00,9100.00,9100.00,2000
10-Feb-17,-,-,-,8650.00,0
9-Feb-17,8650.00,8650.00,8650.00,8650.00,500
8-Feb-17,8650.00,8650.00,8650.00,8650.00,142500
7-Feb-17,-,-,-,8650.00,0
6-Feb-17,-,-,-,8650.00,0
3-Feb-17,-,-,-,8650.00,0
2-Feb-17,8000.00,8650.00,8000.00,8650.00,500
1-Feb-17,-,-,-,7975.00,0
31-Jan-17,7600.00,7975.00,7600.00,7975.00,1100
30-Jan-17,-,-,-,7300.00,0
27-Jan-17,7300.00,7300.00,7300.00,7300.00,1000
26-Jan-17,7000.00,7000.00,7000.00,7000.00,2000
25-Jan-17,7000.00,7000.00,7000.00,7000.00,200
24-Jan-17,6300.00,6700.00,6300.00,6700.00,3000
23-Jan-17,5550.00,6000.00,5550.00,6000.00,2500
19-Jan-17,-,-,-,5550.00,0
18-Jan-17,-,-,-,5550.00,0
17-Jan-17,-,-,-,5550.00,0
16-Jan-17,-,-,-,5550.00,0
13-Jan-17,-,-,-,5550.00,0
12-Jan-17,-,-,-,5550.00,0
11-Jan-17,-,-,-,5550.00,0
10-Jan-17,-,-,-,5550.00,0
9-Jan-17,-,-,-,5550.00,0
6-Jan-17,-,-,-,5550.00,0
5-Jan-17,-,-,-,5550.00,0
4-Jan-17,-,-,-,5550.00,0
3-Jan-17,-,-,-,5550.00,0
30-Dec-16,5550.00,5550.00,5550.00,5550.00,200
29-Dec-16,-,-,-,5550.00,0
28-Dec-16,-,-,-,5550.00,0
27-Dec-16,-,-,-,5550.00,0
23-Dec-16,-,-,-,5550.00,0
22-Dec-16,5550.00,5550.00,5550.00,5550.00,100
21-Dec-16,-,-,-,5375.00,0
20-Dec-16,5375.00,5375.00,5375.00,5375.00,100
19-Dec-16,-,-,-,5500.00,0
16-Dec-16,-,-,-,5500.00,0
15-Dec-16,-,-,-,5500.00,0
14-Dec-16,-,-,-,5500.00,0
13-Dec-16,5550.00,5550.00,5500.00,5500.00,200
9-Dec-16,-,-,-,5500.00,0
8-Dec-16,5500.00,5500.00,5500.00,5500.00,500
5-Dec-16,-,-,-,5500.00,0
2-Dec-16,-,-,-,5500.00,0
1-Dec-16,-,-,-,5500.00,0
16-Nov-16,-,-,-,5500.00,0
10-Nov-16,5500.00,5500.00,5500.00,5500.00,500
9-Nov-16,-,-,-,6000.00,0
8-Nov-16,-,-,-,6000.00,0
7-Nov-16,-,-,-,6000.00,0
3-Nov-16,-,-,-,6000.00,0
2-Nov-16,-,-,-,6000.00,0
1-Nov-16,-,-,-,6000.00,0
31-Oct-16,-,-,-,6000.00,0
28-Oct-16,-,-,-,6000.00,0
27-Oct-16,-,-,-,6000.00,0
25-Oct-16,-,-,-,6000.00,0
24-Oct-16,-,-,-,6000.00,0
21-Oct-16,-,-,-,6000.00,0
20-Oct-16,-,-,-,6000.00,0
19-Oct-16,-,-,-,6000.00,0
18-Oct-16,-,-,-,6000.00,0
17-Oct-16,6000.00,6000.00,6000.00,6000.00,400
14-Oct-16,-,-,-,6000.00,0
13-Oct-16,6000.00,6000.00,6000.00,6000.00,100
12-Oct-16,-,-,-,6300.00,0
11-Oct-16,-,-,-,6300.00,0
10-Oct-16,-,-,-,6300.00,0
7-Oct-16,-,-,-,6300.00,0
6-Oct-16,-,-,-,6300.00,0
5-Oct-16,6300.00,6300.00,6300.00,6300.00,100
4-Oct-16,-,-,-,6400.00,0
3-Oct-16,-,-,-,6400.00,0
30-Sep-16,6500.00,6500.00,6400.00,6400.00,2000
29-Sep-16,7500.00,7500.00,7100.00,7100.00,2100
28-Sep-16,-,-,-,7850.00,0
27-Sep-16,-,-,-,7850.00,0
26-Sep-16,-,-,-,7850.00,0
23-Sep-16,-,-,-,7850.00,0
22-Sep-16,-,-,-,7850.00,0
21-Sep-16,-,-,-,7850.00,0
20-Sep-16,-,-,-,7850.00,0
19-Sep-16,-,-,-,7850.00,0
16-Sep-16,-,-,-,7850.00,0
15-Sep-16,-,-,-,7850.00,0
14-Sep-16,7850.00,7850.00,7850.00,7850.00,200
