Date,Open,High,Low,Close,Volume
29-Dec-17,376.00,380.00,370.00,372.00,75468800
28-Dec-17,382.00,384.00,370.00,372.00,94413800
27-Dec-17,360.00,384.00,360.00,380.00,198043700
22-Dec-17,362.00,364.00,356.00,356.00,26062900
21-Dec-17,360.00,368.00,360.00,360.00,54510100
20-Dec-17,364.00,368.00,356.00,358.00,44797600
19-Dec-17,368.00,376.00,358.00,362.00,99832800
18-Dec-17,370.00,372.00,364.00,368.00,31771800
15-Dec-17,370.00,378.00,368.00,370.00,46010800
14-Dec-17,368.00,374.00,360.00,374.00,82683500
13-Dec-17,360.00,374.00,358.00,370.00,141599200
12-Dec-17,336.00,364.00,330.00,362.00,180790400
11-Dec-17,352.00,356.00,334.00,334.00,73098500
8-Dec-17,338.00,354.00,338.00,348.00,70398100
7-Dec-17,352.00,352.00,336.00,338.00,97176300
6-Dec-17,368.00,372.00,350.00,350.00,110616000
5-Dec-17,394.00,396.00,350.00,366.00,292582600
4-Dec-17,380.00,394.00,374.00,394.00,192103600
30-Nov-17,384.00,386.00,372.00,376.00,78347800
29-Nov-17,390.00,394.00,384.00,386.00,63045800
28-Nov-17,404.00,404.00,376.00,388.00,177336800
27-Nov-17,412.00,414.00,404.00,404.00,45643900
24-Nov-17,406.00,412.00,404.00,408.00,60257600
23-Nov-17,418.00,420.00,402.00,406.00,154487100
22-Nov-17,400.00,416.00,398.00,414.00,314641300
21-Nov-17,400.00,414.00,388.00,394.00,464084400
20-Nov-17,380.00,398.00,380.00,398.00,250314000
17-Nov-17,374.00,380.00,372.00,376.00,87510900
16-Nov-17,374.00,384.00,372.00,372.00,126041800
15-Nov-17,374.00,382.00,368.00,374.00,109606000
14-Nov-17,394.00,396.00,374.00,376.00,149424400
13-Nov-17,392.00,400.00,384.00,394.00,144268000
10-Nov-17,364.00,402.00,364.00,394.00,539189600
9-Nov-17,372.00,386.00,362.00,364.00,394729100
8-Nov-17,344.00,370.00,340.00,370.00,459234300
7-Nov-17,322.00,340.00,318.00,340.00,304672400
6-Nov-17,306.00,316.00,306.00,316.00,118720300
3-Nov-17,310.00,312.00,300.00,302.00,36930200
2-Nov-17,308.00,314.00,304.00,308.00,62859300
1-Nov-17,306.00,312.00,302.00,308.00,88456600
31-Oct-17,326.00,328.00,304.00,308.00,130900700
30-Oct-17,322.00,332.00,322.00,326.00,117082400
27-Oct-17,322.00,326.00,316.00,318.00,32862700
26-Oct-17,326.00,328.00,318.00,320.00,36702900
25-Oct-17,318.00,328.00,316.00,326.00,88283000
24-Oct-17,320.00,324.00,316.00,316.00,51662600
23-Oct-17,324.00,326.00,318.00,320.00,34853800
20-Oct-17,320.00,332.00,318.00,320.00,75081100
19-Oct-17,328.00,332.00,318.00,320.00,60743500
18-Oct-17,334.00,336.00,324.00,328.00,62068100
17-Oct-17,334.00,342.00,328.00,332.00,171232700
16-Oct-17,330.00,334.00,326.00,332.00,83483400
13-Oct-17,316.00,332.00,316.00,326.00,169221400
12-Oct-17,320.00,324.00,316.00,318.00,140112700
11-Oct-17,318.00,326.00,316.00,318.00,205735600
10-Oct-17,304.00,316.00,302.00,314.00,180380800
9-Oct-17,296.00,306.00,294.00,302.00,62363700
6-Oct-17,302.00,304.00,296.00,296.00,32973000
5-Oct-17,300.00,308.00,298.00,298.00,78468400
4-Oct-17,296.00,306.00,294.00,300.00,78741900
