Date,Open,High,Low,Close,Volume
29-Dec-17,750.00,760.00,730.00,735.00,8416200
28-Dec-17,765.00,770.00,745.00,750.00,3404400
27-Dec-17,780.00,785.00,760.00,765.00,3812000
22-Dec-17,780.00,785.00,775.00,775.00,4671500
21-Dec-17,765.00,780.00,765.00,780.00,7891700
20-Dec-17,770.00,775.00,745.00,765.00,15254200
19-Dec-17,755.00,780.00,755.00,770.00,6627300
18-Dec-17,765.00,775.00,760.00,770.00,11769300
15-Dec-17,750.00,770.00,750.00,760.00,18245700
14-Dec-17,760.00,760.00,740.00,750.00,3612200
13-Dec-17,740.00,750.00,735.00,750.00,4528100
12-Dec-17,740.00,750.00,725.00,740.00,6567700
11-Dec-17,720.00,765.00,720.00,740.00,13996600
8-Dec-17,725.00,760.00,725.00,745.00,20724000
7-Dec-17,710.00,740.00,710.00,725.00,6472100
6-Dec-17,725.00,735.00,715.00,720.00,3381900
5-Dec-17,710.00,725.00,690.00,725.00,3672400
4-Dec-17,735.00,740.00,700.00,725.00,4153400
30-Nov-17,730.00,730.00,710.00,730.00,2263300
29-Nov-17,710.00,735.00,710.00,730.00,2128800
28-Nov-17,730.00,735.00,710.00,710.00,4136800
27-Nov-17,745.00,750.00,735.00,735.00,3007100
24-Nov-17,730.00,740.00,720.00,740.00,2431000
23-Nov-17,750.00,750.00,715.00,730.00,11827100
22-Nov-17,750.00,750.00,735.00,745.00,3151100
21-Nov-17,740.00,780.00,735.00,740.00,18694300
20-Nov-17,760.00,760.00,725.00,740.00,10865100
17-Nov-17,775.00,785.00,755.00,760.00,3380000
16-Nov-17,755.00,775.00,750.00,775.00,2445600
15-Nov-17,765.00,775.00,745.00,750.00,6352300
14-Nov-17,785.00,790.00,755.00,765.00,5824100
13-Nov-17,785.00,795.00,780.00,785.00,1757300
10-Nov-17,780.00,800.00,780.00,785.00,3724600
9-Nov-17,810.00,820.00,780.00,795.00,8554600
8-Nov-17,805.00,820.00,800.00,810.00,2786000
7-Nov-17,820.00,835.00,815.00,820.00,12309200
6-Nov-17,790.00,820.00,775.00,820.00,9180700
3-Nov-17,790.00,800.00,770.00,785.00,6005900
2-Nov-17,800.00,800.00,775.00,790.00,5706100
1-Nov-17,815.00,815.00,785.00,800.00,15668500
31-Oct-17,800.00,830.00,775.00,790.00,27437200
30-Oct-17,765.00,800.00,765.00,775.00,12491700
27-Oct-17,760.00,770.00,745.00,760.00,4934100
26-Oct-17,775.00,790.00,755.00,755.00,10887200
25-Oct-17,790.00,810.00,770.00,775.00,11960800
24-Oct-17,775.00,790.00,730.00,785.00,5140100
23-Oct-17,790.00,805.00,780.00,780.00,6323300
20-Oct-17,835.00,845.00,775.00,785.00,21321500
19-Oct-17,860.00,870.00,820.00,830.00,8486300
18-Oct-17,880.00,910.00,860.00,860.00,17918500
17-Oct-17,845.00,890.00,845.00,870.00,9440300
16-Oct-17,825.00,840.00,815.00,840.00,2970900
13-Oct-17,825.00,840.00,800.00,820.00,7611600
12-Oct-17,845.00,855.00,825.00,825.00,1904400
11-Oct-17,830.00,860.00,825.00,840.00,7325400
10-Oct-17,850.00,850.00,820.00,830.00,6460300
9-Oct-17,865.00,875.00,845.00,850.00,5010800
6-Oct-17,880.00,880.00,845.00,860.00,5471800
5-Oct-17,870.00,885.00,850.00,875.00,3479400
4-Oct-17,885.00,905.00,860.00,870.00,25391100
3-Oct-17,860.00,905.00,860.00,880.00,23388500
2-Oct-17,835.00,870.00,825.00,860.00,14017000
29-Sep-17,815.00,855.00,810.00,830.00,26605900
28-Sep-17,820.00,820.00,795.00,815.00,8741700
27-Sep-17,820.00,830.00,805.00,820.00,7458000
26-Sep-17,810.00,835.00,810.00,810.00,6986700
25-Sep-17,810.00,845.00,800.00,810.00,19638500
22-Sep-17,800.00,820.00,775.00,815.00,5655800
20-Sep-17,835.00,850.00,800.00,800.00,10579600
19-Sep-17,810.00,840.00,805.00,830.00,21867000
18-Sep-17,765.00,820.00,760.00,805.00,23386500
15-Sep-17,765.00,770.00,730.00,760.00,9235300
14-Sep-17,770.00,775.00,750.00,765.00,15643700
13-Sep-17,735.00,795.00,735.00,755.00,49710100
12-Sep-17,700.00,745.00,690.00,730.00,43860600
11-Sep-17,700.00,700.00,685.00,690.00,2545200
8-Sep-17,700.00,705.00,695.00,695.00,1399100
7-Sep-17,705.00,710.00,695.00,700.00,9288600
6-Sep-17,695.00,705.00,685.00,705.00,9226400
5-Sep-17,685.00,700.00,670.00,695.00,7484000
4-Sep-17,700.00,700.00,685.00,690.00,2984600
31-Aug-17,705.00,705.00,695.00,700.00,3995900
30-Aug-17,715.00,720.00,705.00,705.00,3651300
29-Aug-17,715.00,730.00,705.00,715.00,9414100
28-Aug-17,700.00,725.00,690.00,720.00,24961000
25-Aug-17,730.00,745.00,700.00,700.00,18002400
24-Aug-17,680.00,725.00,680.00,725.00,40576900
23-Aug-17,700.00,700.00,675.00,680.00,15810000
22-Aug-17,710.00,725.00,690.00,700.00,11261700
21-Aug-17,725.00,730.00,705.00,710.00,6737500
18-Aug-17,710.00,750.00,695.00,725.00,46357300
16-Aug-17,660.00,730.00,660.00,720.00,94297600
15-Aug-17,640.00,665.00,635.00,660.00,18102600
14-Aug-17,635.00,640.00,625.00,635.00,1257200
11-Aug-17,645.00,650.00,630.00,635.00,1318400
10-Aug-17,645.00,655.00,640.00,645.00,2804300
9-Aug-17,645.00,650.00,635.00,645.00,966700
8-Aug-17,640.00,645.00,630.00,645.00,2881100
7-Aug-17,645.00,655.00,640.00,645.00,4654800
4-Aug-17,645.00,650.00,640.00,640.00,3074600
3-Aug-17,640.00,650.00,635.00,645.00,6069100
2-Aug-17,620.00,645.00,600.00,640.00,7257600
1-Aug-17,640.00,645.00,630.00,640.00,3833200
31-Jul-17,645.00,650.00,625.00,640.00,10075200
28-Jul-17,650.00,655.00,615.00,645.00,8797900
27-Jul-17,655.00,655.00,645.00,650.00,3444600
26-Jul-17,655.00,670.00,645.00,655.00,11442100
25-Jul-17,640.00,670.00,640.00,650.00,11908200
24-Jul-17,645.00,645.00,635.00,640.00,3242500
21-Jul-17,635.00,645.00,635.00,645.00,5051000
20-Jul-17,640.00,645.00,635.00,635.00,4801900
19-Jul-17,630.00,650.00,630.00,640.00,6669100
18-Jul-17,615.00,655.00,615.00,650.00,19089000
17-Jul-17,620.00,620.00,610.00,615.00,2542800
14-Jul-17,625.00,630.00,600.00,615.00,6394300
13-Jul-17,580.00,625.00,580.00,625.00,19519200
12-Jul-17,580.00,590.00,565.00,575.00,8125200
11-Jul-17,575.00,580.00,565.00,575.00,2312100
10-Jul-17,585.00,595.00,565.00,570.00,2090700
7-Jul-17,605.00,605.00,580.00,585.00,10344600
6-Jul-17,605.00,610.00,600.00,605.00,3993700
5-Jul-17,610.00,615.00,595.00,605.00,5188900
4-Jul-17,630.00,630.00,615.00,615.00,2980400
3-Jul-17,630.00,630.00,620.00,630.00,7354300
