Date,Open,High,Low,Close,Volume
29-Dec-17,2980.00,3000.00,2960.00,2960.00,2845800
28-Dec-17,2890.00,2970.00,2890.00,2970.00,3844800
27-Dec-17,2880.00,2900.00,2860.00,2890.00,2357900
22-Dec-17,2870.00,2890.00,2830.00,2880.00,4370300
21-Dec-17,2840.00,2900.00,2840.00,2880.00,4836400
20-Dec-17,2910.00,2980.00,2810.00,2840.00,9533700
19-Dec-17,2990.00,2990.00,2930.00,2950.00,3071900
18-Dec-17,2990.00,3030.00,2910.00,2990.00,4515800
15-Dec-17,3080.00,3080.00,2950.00,3000.00,7271900
14-Dec-17,3080.00,3100.00,3040.00,3050.00,5765900
13-Dec-17,3100.00,3100.00,3040.00,3090.00,2996400
12-Dec-17,2900.00,3070.00,2900.00,3070.00,6063500
11-Dec-17,2940.00,2950.00,2890.00,2900.00,3394500
8-Dec-17,2950.00,2980.00,2920.00,2940.00,6073400
7-Dec-17,2990.00,2990.00,2950.00,2950.00,2159700
6-Dec-17,3010.00,3010.00,2940.00,2980.00,3316400
5-Dec-17,3000.00,3060.00,2970.00,3010.00,6281500
4-Dec-17,3100.00,3150.00,2960.00,2960.00,10841200
30-Nov-17,3170.00,3190.00,3060.00,3080.00,11993600
29-Nov-17,3020.00,3170.00,3010.00,3130.00,12522100
28-Nov-17,2900.00,3020.00,2900.00,2980.00,11478100
27-Nov-17,3010.00,3050.00,2890.00,2900.00,7947500
24-Nov-17,3100.00,3100.00,3000.00,3010.00,7208700
23-Nov-17,3090.00,3120.00,3070.00,3070.00,4022400
22-Nov-17,3110.00,3170.00,3000.00,3000.00,12340400
21-Nov-17,3180.00,3180.00,3030.00,3090.00,9143500
20-Nov-17,3230.00,3250.00,3190.00,3190.00,5584800
17-Nov-17,3290.00,3290.00,3210.00,3210.00,4249400
16-Nov-17,3330.00,3360.00,3240.00,3250.00,5151300
15-Nov-17,3340.00,3390.00,3330.00,3330.00,5931000
14-Nov-17,3450.00,3480.00,3360.00,3360.00,2616900
13-Nov-17,3520.00,3530.00,3490.00,3500.00,4114000
10-Nov-17,3520.00,3550.00,3500.00,3500.00,3427600
9-Nov-17,3500.00,3560.00,3500.00,3520.00,3457400
8-Nov-17,3540.00,3550.00,3500.00,3520.00,5370500
7-Nov-17,3550.00,3580.00,3540.00,3570.00,2988000
6-Nov-17,3560.00,3570.00,3530.00,3550.00,2411300
3-Nov-17,3600.00,3600.00,3490.00,3560.00,6422500
2-Nov-17,3570.00,3600.00,3510.00,3560.00,16658200
1-Nov-17,3380.00,3540.00,3380.00,3500.00,12536100
31-Oct-17,3390.00,3390.00,3300.00,3380.00,7903700
30-Oct-17,3400.00,3440.00,3300.00,3310.00,4305700
27-Oct-17,3380.00,3440.00,3320.00,3380.00,6912000
26-Oct-17,3400.00,3530.00,3330.00,3330.00,7313400
25-Oct-17,3300.00,3400.00,3260.00,3400.00,10969800
24-Oct-17,3450.00,3450.00,3230.00,3230.00,3358700
23-Oct-17,3400.00,3430.00,3370.00,3400.00,5319200
20-Oct-17,3330.00,3400.00,3290.00,3400.00,4830600
19-Oct-17,3400.00,3440.00,3320.00,3370.00,4635800
18-Oct-17,3540.00,3550.00,3360.00,3400.00,7734200
17-Oct-17,3550.00,3560.00,3520.00,3530.00,6178400
16-Oct-17,3520.00,3560.00,3510.00,3540.00,4567900
13-Oct-17,3530.00,3570.00,3500.00,3530.00,2742000
12-Oct-17,3500.00,3540.00,3500.00,3530.00,6976700
11-Oct-17,3620.00,3620.00,3400.00,3460.00,9089600
10-Oct-17,3680.00,3680.00,3610.00,3630.00,3362300
9-Oct-17,3690.00,3710.00,3600.00,3630.00,6050100
