Date,Open,High,Low,Close,Volume
29-Dec-17,5325.00,5400.00,5325.00,5400.00,126700
28-Dec-17,5300.00,5325.00,5275.00,5325.00,160900
27-Dec-17,5000.00,5300.00,5000.00,5300.00,343700
22-Dec-17,5025.00,5050.00,4980.00,5000.00,191600
21-Dec-17,5000.00,5025.00,5000.00,5025.00,105700
20-Dec-17,5025.00,5050.00,4990.00,4990.00,139000
19-Dec-17,4980.00,5050.00,4960.00,5050.00,162900
18-Dec-17,5025.00,5025.00,4980.00,5000.00,150000
15-Dec-17,5100.00,5100.00,5000.00,5000.00,113500
14-Dec-17,5100.00,5150.00,5075.00,5100.00,140500
13-Dec-17,5100.00,5150.00,5075.00,5100.00,173300
12-Dec-17,5325.00,5325.00,5100.00,5100.00,158000
11-Dec-17,5325.00,5425.00,5325.00,5325.00,164600
8-Dec-17,5275.00,5350.00,5275.00,5350.00,121700
7-Dec-17,5325.00,5325.00,5250.00,5275.00,134800
6-Dec-17,5275.00,5350.00,5275.00,5325.00,153100
5-Dec-17,5250.00,5325.00,5250.00,5275.00,136100
4-Dec-17,5225.00,5275.00,5225.00,5250.00,140500
30-Nov-17,5250.00,5250.00,5200.00,5225.00,103700
29-Nov-17,5275.00,5275.00,5225.00,5275.00,186200
28-Nov-17,5375.00,5375.00,5250.00,5275.00,207700
27-Nov-17,5500.00,5500.00,5400.00,5400.00,219900
24-Nov-17,5550.00,5550.00,5500.00,5500.00,139100
23-Nov-17,5700.00,5700.00,5525.00,5550.00,149300
22-Nov-17,5650.00,5650.00,5525.00,5600.00,224800
21-Nov-17,5550.00,5600.00,5500.00,5525.00,181300
20-Nov-17,5425.00,5650.00,5400.00,5650.00,393400
17-Nov-17,5025.00,5425.00,5025.00,5400.00,584000
16-Nov-17,5050.00,5075.00,4960.00,5075.00,326600
15-Nov-17,5050.00,5050.00,4940.00,5050.00,312100
14-Nov-17,4980.00,5050.00,4980.00,5050.00,259000
13-Nov-17,5000.00,5050.00,4990.00,5000.00,197100
10-Nov-17,5000.00,5075.00,4990.00,5000.00,214800
9-Nov-17,5050.00,5075.00,5000.00,5050.00,256100
8-Nov-17,5125.00,5125.00,5025.00,5050.00,126500
7-Nov-17,5125.00,5150.00,5050.00,5125.00,236000
6-Nov-17,5125.00,5150.00,5050.00,5125.00,211000
3-Nov-17,5175.00,5175.00,5100.00,5125.00,125900
2-Nov-17,5225.00,5225.00,5150.00,5175.00,201700
1-Nov-17,5350.00,5350.00,5200.00,5225.00,177000
31-Oct-17,5125.00,5250.00,5125.00,5250.00,329500
30-Oct-17,4970.00,5100.00,4970.00,5100.00,259300
27-Oct-17,4870.00,5050.00,4870.00,4970.00,422700
26-Oct-17,4690.00,4890.00,4670.00,4890.00,446500
25-Oct-17,4710.00,4770.00,4630.00,4710.00,408400
24-Oct-17,4730.00,4730.00,4670.00,4670.00,104300
23-Oct-17,4630.00,4750.00,4630.00,4730.00,321100
20-Oct-17,4550.00,4610.00,4550.00,4610.00,278500
19-Oct-17,4710.00,4710.00,4570.00,4570.00,329000
18-Oct-17,4830.00,4830.00,4730.00,4730.00,243300
17-Oct-17,4910.00,4910.00,4830.00,4830.00,283100
16-Oct-17,4870.00,4930.00,4870.00,4910.00,249100
13-Oct-17,4870.00,4900.00,4850.00,4870.00,231300
12-Oct-17,4900.00,4900.00,4830.00,4850.00,276300
11-Oct-17,4990.00,4990.00,4900.00,4900.00,334800
10-Oct-17,5075.00,5075.00,4990.00,5000.00,144300
9-Oct-17,5075.00,5125.00,5075.00,5100.00,208200
6-Oct-17,5150.00,5150.00,5025.00,5075.00,313500
5-Oct-17,5175.00,5175.00,5075.00,5075.00,241700
4-Oct-17,5175.00,5200.00,5150.00,5175.00,220300
3-Oct-17,5225.00,5225.00,5175.00,5175.00,262300
2-Oct-17,5225.00,5350.00,5225.00,5250.00,584200
29-Sep-17,5025.00,5225.00,5025.00,5225.00,746500
28-Sep-17,4960.00,5050.00,4960.00,5025.00,550500
27-Sep-17,4960.00,4990.00,4940.00,4980.00,353600
26-Sep-17,4960.00,5000.00,4960.00,4980.00,273000
25-Sep-17,4980.00,5000.00,4940.00,4960.00,217300
22-Sep-17,4980.00,5000.00,4960.00,5000.00,260900
20-Sep-17,5025.00,5050.00,5000.00,5000.00,253200
