Date,Open,High,Low,Close,Volume
29-Dec-17,515.00,515.00,515.00,515.00,3414500
28-Dec-17,525.00,525.00,520.00,520.00,280400
27-Dec-17,520.00,535.00,520.00,535.00,354600
22-Dec-17,500.00,555.00,500.00,555.00,632300
21-Dec-17,515.00,520.00,515.00,520.00,451300
20-Dec-17,525.00,525.00,520.00,520.00,552600
19-Dec-17,530.00,530.00,484.00,525.00,357600
18-Dec-17,535.00,535.00,535.00,535.00,321800
15-Dec-17,535.00,535.00,535.00,535.00,248600
14-Dec-17,480.00,535.00,480.00,535.00,381700
13-Dec-17,530.00,535.00,530.00,535.00,351800
12-Dec-17,535.00,535.00,535.00,535.00,301200
11-Dec-17,540.00,545.00,535.00,535.00,1660500
8-Dec-17,535.00,540.00,535.00,540.00,120100
7-Dec-17,545.00,545.00,545.00,545.00,301800
6-Dec-17,540.00,545.00,540.00,545.00,240000
5-Dec-17,540.00,550.00,540.00,550.00,693700
4-Dec-17,550.00,550.00,545.00,545.00,515500
30-Nov-17,545.00,550.00,545.00,550.00,301200
29-Nov-17,540.00,550.00,540.00,550.00,261500
28-Nov-17,550.00,550.00,540.00,545.00,325200
27-Nov-17,550.00,570.00,550.00,550.00,542800
24-Nov-17,550.00,580.00,550.00,550.00,386300
23-Nov-17,550.00,565.00,550.00,550.00,350900
22-Nov-17,570.00,585.00,540.00,540.00,592200
21-Nov-17,570.00,570.00,570.00,570.00,470000
20-Nov-17,600.00,600.00,560.00,575.00,1019000
17-Nov-17,560.00,560.00,560.00,560.00,422300
16-Nov-17,550.00,575.00,550.00,570.00,488700
15-Nov-17,560.00,560.00,550.00,550.00,249300
14-Nov-17,545.00,560.00,545.00,560.00,301500
13-Nov-17,545.00,545.00,545.00,545.00,110000
10-Nov-17,540.00,555.00,540.00,555.00,596800
9-Nov-17,540.00,545.00,540.00,545.00,202300
8-Nov-17,535.00,540.00,535.00,540.00,320000
7-Nov-17,535.00,540.00,535.00,535.00,212000
6-Nov-17,545.00,545.00,535.00,540.00,217700
3-Nov-17,545.00,545.00,545.00,545.00,200000
2-Nov-17,540.00,545.00,540.00,545.00,250000
1-Nov-17,-,-,-,540.00,0
31-Oct-17,540.00,540.00,540.00,540.00,120000
30-Oct-17,540.00,540.00,540.00,540.00,75000
27-Oct-17,530.00,535.00,530.00,535.00,570000
26-Oct-17,530.00,530.00,530.00,530.00,126200
25-Oct-17,515.00,530.00,515.00,530.00,288000
24-Oct-17,470.00,520.00,470.00,520.00,13600
23-Oct-17,454.00,454.00,454.00,454.00,100
20-Oct-17,456.00,540.00,456.00,540.00,300
19-Oct-17,-,-,-,540.00,0
18-Oct-17,545.00,550.00,500.00,540.00,201200
17-Oct-17,540.00,540.00,454.00,540.00,2300
16-Oct-17,-,-,-,550.00,0
13-Oct-17,-,-,-,550.00,0
12-Oct-17,-,-,-,550.00,0
11-Oct-17,-,-,-,550.00,0
10-Oct-17,550.00,550.00,550.00,550.00,180000
9-Oct-17,-,-,-,550.00,0
6-Oct-17,-,-,-,550.00,0
5-Oct-17,560.00,565.00,550.00,550.00,160100
4-Oct-17,-,-,-,555.00,0
3-Oct-17,-,-,-,555.00,0
2-Oct-17,-,-,-,555.00,0
29-Sep-17,550.00,555.00,550.00,555.00,106300
28-Sep-17,545.00,545.00,490.00,540.00,112900
27-Sep-17,-,-,-,550.00,0
26-Sep-17,-,-,-,550.00,0
25-Sep-17,-,-,-,550.00,0
22-Sep-17,-,-,-,550.00,0
20-Sep-17,-,-,-,550.00,0
19-Sep-17,535.00,550.00,535.00,550.00,100100
18-Sep-17,-,-,-,550.00,0
15-Sep-17,-,-,-,550.00,0
14-Sep-17,565.00,565.00,550.00,550.00,200
13-Sep-17,460.00,550.00,460.00,550.00,200
12-Sep-17,-,-,-,575.00,0
11-Sep-17,575.00,575.00,575.00,575.00,100
8-Sep-17,-,-,-,575.00,0
7-Sep-17,575.00,575.00,575.00,575.00,80000
6-Sep-17,575.00,575.00,446.00,565.00,300
5-Sep-17,540.00,570.00,510.00,570.00,3400
4-Sep-17,-,-,-,585.00,0
31-Aug-17,585.00,585.00,585.00,585.00,15000
30-Aug-17,585.00,585.00,500.00,570.00,5800
29-Aug-17,500.00,575.00,472.00,575.00,10300
28-Aug-17,444.00,580.00,444.00,580.00,212000
25-Aug-17,-,-,-,590.00,0
24-Aug-17,-,-,-,590.00,0
23-Aug-17,-,-,-,590.00,0
22-Aug-17,-,-,-,590.00,0
21-Aug-17,-,-,-,590.00,0
18-Aug-17,590.00,590.00,590.00,590.00,100
16-Aug-17,-,-,-,590.00,0
15-Aug-17,-,-,-,590.00,0
14-Aug-17,590.00,590.00,590.00,590.00,160000
11-Aug-17,-,-,-,585.00,0
10-Aug-17,585.00,585.00,585.00,585.00,207500
9-Aug-17,-,-,-,595.00,0
8-Aug-17,-,-,-,595.00,0
7-Aug-17,-,-,-,595.00,0
4-Aug-17,590.00,595.00,590.00,595.00,175000
3-Aug-17,590.00,590.00,590.00,590.00,130000
2-Aug-17,-,-,-,585.00,0
1-Aug-17,-,-,-,585.00,0
31-Jul-17,585.00,585.00,585.00,585.00,180000
28-Jul-17,-,-,-,585.00,0
27-Jul-17,585.00,585.00,585.00,585.00,145000
26-Jul-17,-,-,-,600.00,0
25-Jul-17,-,-,-,600.00,0
24-Jul-17,-,-,-,600.00,0
21-Jul-17,-,-,-,600.00,0
20-Jul-17,-,-,-,600.00,0
19-Jul-17,-,-,-,600.00,0
18-Jul-17,-,-,-,600.00,0
17-Jul-17,-,-,-,600.00,0
14-Jul-17,-,-,-,600.00,0
13-Jul-17,600.00,600.00,600.00,600.00,123000
12-Jul-17,595.00,600.00,595.00,600.00,50000
11-Jul-17,595.00,595.00,595.00,595.00,135000
10-Jul-17,595.00,595.00,595.00,595.00,330000
7-Jul-17,600.00,605.00,600.00,605.00,80000
6-Jul-17,-,-,-,605.00,0
5-Jul-17,-,-,-,605.00,0
4-Jul-17,595.00,605.00,595.00,605.00,252300
3-Jul-17,600.00,600.00,450.00,595.00,409200
22-Jun-17,600.00,600.00,600.00,600.00,190000
21-Jun-17,600.00,605.00,600.00,605.00,305000
20-Jun-17,600.00,600.00,600.00,600.00,177500
