Date,Open,High,Low,Close,Volume
29-Dec-17,60.00,72.00,55.00,69.00,59827800
28-Dec-17,60.00,62.00,54.00,60.00,22287300
27-Dec-17,58.00,64.00,52.00,58.00,22285700
22-Dec-17,50.00,62.00,50.00,60.00,68042700
21-Dec-17,-,-,-,50.00,0
20-Dec-17,-,-,-,50.00,0
19-Dec-17,50.00,50.00,50.00,50.00,100
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,-,-,-,50.00,0
13-Dec-17,50.00,50.00,50.00,50.00,3020500
12-Dec-17,-,-,-,50.00,0
11-Dec-17,50.00,50.00,50.00,50.00,200000
8-Dec-17,50.00,50.00,50.00,50.00,200000
7-Dec-17,50.00,50.00,50.00,50.00,100000
6-Dec-17,50.00,50.00,50.00,50.00,209000
5-Dec-17,50.00,50.00,50.00,50.00,100000
4-Dec-17,50.00,50.00,50.00,50.00,100000
30-Nov-17,50.00,50.00,50.00,50.00,200
29-Nov-17,50.00,50.00,50.00,50.00,800
28-Nov-17,50.00,50.00,50.00,50.00,50000
27-Nov-17,50.00,50.00,50.00,50.00,100
24-Nov-17,-,-,-,50.00,0
23-Nov-17,-,-,-,50.00,0
22-Nov-17,50.00,50.00,50.00,50.00,100
21-Nov-17,-,-,-,50.00,0
20-Nov-17,50.00,50.00,50.00,50.00,15600
17-Nov-17,-,-,-,50.00,0
16-Nov-17,50.00,50.00,50.00,50.00,300
15-Nov-17,50.00,50.00,50.00,50.00,1100
14-Nov-17,50.00,50.00,50.00,50.00,300
13-Nov-17,50.00,50.00,50.00,50.00,400
10-Nov-17,50.00,50.00,50.00,50.00,1100
9-Nov-17,-,-,-,50.00,0
8-Nov-17,50.00,50.00,50.00,50.00,200
7-Nov-17,-,-,-,50.00,0
6-Nov-17,50.00,50.00,50.00,50.00,250000
3-Nov-17,50.00,50.00,50.00,50.00,50000
2-Nov-17,50.00,50.00,50.00,50.00,100
1-Nov-17,-,-,-,50.00,0
31-Oct-17,50.00,50.00,50.00,50.00,15500
30-Oct-17,50.00,50.00,50.00,50.00,100
27-Oct-17,-,-,-,50.00,0
26-Oct-17,50.00,50.00,50.00,50.00,7400
25-Oct-17,50.00,50.00,50.00,50.00,11000
24-Oct-17,50.00,50.00,50.00,50.00,17000
23-Oct-17,-,-,-,50.00,0
20-Oct-17,50.00,50.00,50.00,50.00,100
19-Oct-17,-,-,-,50.00,0
18-Oct-17,50.00,50.00,50.00,50.00,100
17-Oct-17,50.00,50.00,50.00,50.00,16500
16-Oct-17,50.00,50.00,50.00,50.00,95000
13-Oct-17,50.00,50.00,50.00,50.00,20400
12-Oct-17,50.00,50.00,50.00,50.00,10000
11-Oct-17,50.00,50.00,50.00,50.00,7100
10-Oct-17,50.00,50.00,50.00,50.00,10300
9-Oct-17,50.00,50.00,50.00,50.00,19000
6-Oct-17,50.00,50.00,50.00,50.00,10000
5-Oct-17,50.00,50.00,50.00,50.00,10500
4-Oct-17,50.00,50.00,50.00,50.00,60000
3-Oct-17,50.00,50.00,50.00,50.00,8100
2-Oct-17,50.00,50.00,50.00,50.00,10100
29-Sep-17,50.00,50.00,50.00,50.00,7900
28-Sep-17,50.00,50.00,50.00,50.00,2000
27-Sep-17,50.00,50.00,50.00,50.00,20800
26-Sep-17,50.00,50.00,50.00,50.00,10000
25-Sep-17,50.00,50.00,50.00,50.00,51900
22-Sep-17,50.00,50.00,50.00,50.00,200
20-Sep-17,50.00,50.00,50.00,50.00,5600
19-Sep-17,50.00,50.00,50.00,50.00,1400
18-Sep-17,50.00,50.00,50.00,50.00,57600
15-Sep-17,50.00,50.00,50.00,50.00,169300
14-Sep-17,-,-,-,50.00,0
13-Sep-17,50.00,50.00,50.00,50.00,400
12-Sep-17,50.00,50.00,50.00,50.00,1000
11-Sep-17,50.00,50.00,50.00,50.00,24800
8-Sep-17,50.00,50.00,50.00,50.00,6400
7-Sep-17,50.00,50.00,50.00,50.00,391300
6-Sep-17,50.00,50.00,50.00,50.00,500
5-Sep-17,50.00,50.00,50.00,50.00,65300
