Date,Open,High,Low,Close,Volume
29-Dec-17,81800.00,83800.00,81775.00,83800.00,876800
28-Dec-17,81500.00,81750.00,80225.00,81750.00,803800
27-Dec-17,80100.00,81450.00,80100.00,81400.00,265000
22-Dec-17,81000.00,81000.00,79925.00,80950.00,431800
21-Dec-17,79975.00,81100.00,79700.00,81000.00,516700
20-Dec-17,80100.00,80350.00,79000.00,79075.00,730000
19-Dec-17,80000.00,81075.00,79950.00,81000.00,593800
18-Dec-17,79800.00,81000.00,78800.00,81000.00,580400
15-Dec-17,79500.00,79500.00,77525.00,78575.00,1020600
14-Dec-17,79275.00,80200.00,78300.00,78300.00,848700
13-Dec-17,78400.00,78825.00,77500.00,78300.00,448600
12-Dec-17,81000.00,81000.00,78400.00,78400.00,335700
11-Dec-17,79750.00,80250.00,79750.00,79850.00,485200
8-Dec-17,81000.00,81000.00,80400.00,80575.00,398400
7-Dec-17,80000.00,80325.00,79725.00,79950.00,451500
6-Dec-17,80300.00,81500.00,79700.00,80325.00,689200
5-Dec-17,80300.00,81000.00,78550.00,80300.00,710900
4-Dec-17,78150.00,80325.00,78150.00,79150.00,1698000
30-Nov-17,79550.00,80400.00,76525.00,76525.00,2034100
29-Nov-17,79850.00,81200.00,79150.00,80100.00,942800
28-Nov-17,79400.00,80050.00,78300.00,79850.00,1177700
27-Nov-17,79500.00,80700.00,78300.00,79500.00,938600
24-Nov-17,78000.00,80300.00,77050.00,79500.00,895500
23-Nov-17,78000.00,78600.00,77950.00,78000.00,531500
22-Nov-17,78850.00,79225.00,77700.00,77975.00,663400
21-Nov-17,79925.00,80250.00,78300.00,78850.00,924300
20-Nov-17,78300.00,81000.00,78250.00,80375.00,725900
17-Nov-17,81925.00,83100.00,77975.00,77975.00,1763600
16-Nov-17,77900.00,81950.00,77750.00,81000.00,2118600
15-Nov-17,76950.00,78050.00,76950.00,76950.00,1051800
14-Nov-17,77550.00,78950.00,75950.00,75950.00,958900
13-Nov-17,76000.00,79100.00,76000.00,78950.00,1565600
10-Nov-17,77425.00,77500.00,76000.00,76000.00,612500
9-Nov-17,77000.00,78150.00,75500.00,77250.00,1873600
8-Nov-17,75650.00,77000.00,75650.00,76525.00,1129100
7-Nov-17,73950.00,77050.00,73925.00,76800.00,1931200
6-Nov-17,73600.00,74500.00,72500.00,73950.00,1703200
3-Nov-17,72500.00,73925.00,72000.00,73600.00,1703100
2-Nov-17,71000.00,72400.00,71000.00,71925.00,1595300
1-Nov-17,70100.00,72000.00,69000.00,71750.00,1585500
31-Oct-17,68100.00,71025.00,67725.00,70000.00,3640600
30-Oct-17,66500.00,68050.00,66475.00,67675.00,1848300
27-Oct-17,64250.00,67100.00,64250.00,66900.00,3154200
26-Oct-17,63000.00,65050.00,62725.00,64675.00,1959200
25-Oct-17,62500.00,63000.00,62000.00,63000.00,1338100
24-Oct-17,62900.00,63100.00,61925.00,62025.00,963300
23-Oct-17,62800.00,63250.00,62675.00,62775.00,1025700
20-Oct-17,63125.00,63800.00,62350.00,62500.00,2631900
19-Oct-17,64900.00,65175.00,63025.00,63125.00,1758400
18-Oct-17,64125.00,64950.00,64050.00,64200.00,1111500
17-Oct-17,65300.00,65575.00,64000.00,64475.00,992500
16-Oct-17,64500.00,65350.00,64000.00,64475.00,1715800
13-Oct-17,66000.00,66000.00,64125.00,64200.00,1914800
12-Oct-17,65825.00,66250.00,65350.00,65600.00,1927700
11-Oct-17,66000.00,66250.00,65500.00,66000.00,1206700
10-Oct-17,67500.00,67700.00,66025.00,66250.00,1160700
9-Oct-17,66125.00,67900.00,66100.00,67900.00,795200
6-Oct-17,66000.00,66725.00,65300.00,66425.00,849800
5-Oct-17,66700.00,66700.00,65500.00,65850.00,1283000
4-Oct-17,65700.00,66750.00,65700.00,66525.00,657800
3-Oct-17,64775.00,66675.00,64750.00,65700.00,1183300
2-Oct-17,65850.00,66325.00,64650.00,64775.00,1189600
29-Sep-17,65650.00,66175.00,65650.00,65800.00,739700
28-Sep-17,65575.00,66200.00,65575.00,65575.00,635600
27-Sep-17,65600.00,66100.00,65500.00,65575.00,980300
26-Sep-17,67050.00,67050.00,65600.00,65675.00,878200
25-Sep-17,68000.00,68000.00,66525.00,67150.00,449700
22-Sep-17,68000.00,68550.00,67500.00,68000.00,913100
20-Sep-17,67375.00,68950.00,67300.00,68950.00,448100
19-Sep-17,67000.00,67750.00,66850.00,67125.00,652800
18-Sep-17,68000.00,68400.00,66875.00,67775.00,542100
15-Sep-17,69225.00,69550.00,67525.00,68000.00,1776800
14-Sep-17,65600.00,69400.00,65600.00,69250.00,2048200
13-Sep-17,65600.00,66200.00,65575.00,65575.00,903600
12-Sep-17,66175.00,66200.00,65550.00,65575.00,903400
11-Sep-17,66300.00,66400.00,65800.00,66125.00,924300
8-Sep-17,67100.00,67125.00,65775.00,66250.00,1897600
7-Sep-17,67000.00,67500.00,66900.00,67125.00,781000
6-Sep-17,66100.00,67275.00,65500.00,66700.00,1126700
5-Sep-17,67100.00,67400.00,65750.00,66100.00,1414000
4-Sep-17,69200.00,69200.00,67025.00,67025.00,868400
31-Aug-17,68900.00,69200.00,67875.00,69200.00,829400
30-Aug-17,71300.00,71300.00,68500.00,68850.00,1741700
29-Aug-17,71550.00,71750.00,71200.00,71500.00,578200
28-Aug-17,71775.00,71975.00,71400.00,71650.00,251500
25-Aug-17,70500.00,72100.00,70400.00,71975.00,880400
24-Aug-17,71500.00,71500.00,71000.00,71300.00,681000
23-Aug-17,71000.00,71725.00,70525.00,71100.00,878400
22-Aug-17,72500.00,72600.00,70500.00,70500.00,937300
21-Aug-17,73975.00,73975.00,71275.00,72300.00,923100
18-Aug-17,71500.00,74975.00,69700.00,74000.00,3388300
16-Aug-17,67325.00,71000.00,67325.00,70950.00,2158100
15-Aug-17,66800.00,67600.00,66550.00,67325.00,1154800
14-Aug-17,66700.00,67225.00,66225.00,66800.00,1310000
11-Aug-17,66700.00,66700.00,65700.00,65900.00,1172700
10-Aug-17,66575.00,67450.00,65500.00,66900.00,2255700
9-Aug-17,68600.00,68600.00,65975.00,66300.00,3621900
8-Aug-17,69650.00,69725.00,68325.00,68800.00,1713400
7-Aug-17,72200.00,72375.00,69100.00,69500.00,2050800
4-Aug-17,71100.00,71900.00,69675.00,71650.00,1260300
3-Aug-17,70400.00,71400.00,70400.00,71100.00,1244300
2-Aug-17,72400.00,72500.00,70200.00,70400.00,2465400
1-Aug-17,76700.00,76700.00,72200.00,72275.00,1639900
31-Jul-17,79800.00,79800.00,75650.00,76100.00,1838800
28-Jul-17,78300.00,80050.00,77850.00,79800.00,976100
27-Jul-17,76650.00,78925.00,76500.00,78000.00,756400
26-Jul-17,76850.00,77000.00,76075.00,76100.00,699800
25-Jul-17,76500.00,76750.00,75650.00,76625.00,670300
24-Jul-17,75700.00,77200.00,75675.00,76950.00,857900
21-Jul-17,76450.00,76500.00,75650.00,75700.00,401400
20-Jul-17,75700.00,76400.00,75700.00,76250.00,467000
19-Jul-17,76500.00,76525.00,75850.00,76150.00,616500
18-Jul-17,75825.00,76750.00,75825.00,76750.00,321300
17-Jul-17,76475.00,76475.00,75575.00,75800.00,940000
14-Jul-17,78200.00,78375.00,76050.00,76150.00,715500
13-Jul-17,78000.00,79300.00,78000.00,78900.00,351800
12-Jul-17,76500.00,79300.00,76000.00,78200.00,718900
11-Jul-17,76500.00,76525.00,75575.00,75825.00,490900
10-Jul-17,76300.00,76725.00,75850.00,76500.00,281900
7-Jul-17,78000.00,78000.00,75850.00,76350.00,999200
6-Jul-17,76000.00,78000.00,75925.00,77875.00,713800
5-Jul-17,78500.00,78600.00,75000.00,75800.00,790800
4-Jul-17,79500.00,79725.00,78325.00,78500.00,764200
3-Jul-17,78900.00,81300.00,78750.00,81300.00,1561900
22-Jun-17,79450.00,79450.00,77600.00,78300.00,751300
21-Jun-17,79350.00,79400.00,77775.00,78400.00,870800
20-Jun-17,79650.00,79850.00,79025.00,79400.00,1047500
19-Jun-17,79025.00,80075.00,79025.00,79900.00,1217600
16-Jun-17,79000.00,79750.00,79000.00,79000.00,1400300
15-Jun-17,78800.00,80325.00,77825.00,80000.00,1075900
14-Jun-17,77600.00,79000.00,77600.00,79000.00,967000
13-Jun-17,77750.00,78500.00,77275.00,77675.00,515500
12-Jun-17,75000.00,78050.00,74900.00,77750.00,838500
9-Jun-17,74800.00,75875.00,74450.00,75500.00,735800
8-Jun-17,74525.00,75375.00,74525.00,74950.00,500000
7-Jun-17,74000.00,75500.00,74000.00,75500.00,664200
6-Jun-17,75000.00,75000.00,73400.00,74400.00,904800
5-Jun-17,74500.00,75175.00,74025.00,74300.00,375900
2-Jun-17,73800.00,75450.00,73200.00,74500.00,514100
31-May-17,73750.00,75000.00,73400.00,73950.00,2191900
30-May-17,73425.00,75050.00,73425.00,73500.00,796600
29-May-17,74000.00,74525.00,73275.00,73400.00,297000
26-May-17,75200.00,75275.00,73600.00,74275.00,639600
24-May-17,72775.00,75025.00,72100.00,73600.00,674800
23-May-17,74250.00,74275.00,72025.00,73100.00,1155000
22-May-17,76000.00,78475.00,72800.00,74250.00,1664700
19-May-17,73000.00,77975.00,72875.00,76500.00,1380100
18-May-17,69200.00,72550.00,69200.00,72025.00,804700
17-May-17,70450.00,71350.00,69975.00,70100.00,675800
16-May-17,73700.00,73700.00,70500.00,70500.00,643300
15-May-17,73875.00,74000.00,72850.00,73600.00,677900
12-May-17,70975.00,74000.00,70925.00,73900.00,1541600
10-May-17,70425.00,71975.00,69500.00,70975.00,856600
9-May-17,70000.00,72000.00,70000.00,71200.00,881600
8-May-17,71300.00,71400.00,69950.00,70000.00,936500
5-May-17,67825.00,71475.00,67700.00,71400.00,1679700
4-May-17,67850.00,68000.00,67000.00,68000.00,540400
3-May-17,67400.00,68125.00,67400.00,67800.00,938700
2-May-17,66400.00,67250.00,66325.00,67150.00,896300
28-Apr-17,66300.00,67525.00,65950.00,66400.00,828100
27-Apr-17,65800.00,67000.00,65025.00,66400.00,821500
26-Apr-17,65000.00,65950.00,64050.00,65950.00,1197900
25-Apr-17,64200.00,64500.00,63650.00,64500.00,844100
21-Apr-17,63750.00,64450.00,63500.00,64200.00,634100
20-Apr-17,64600.00,64625.00,63500.00,63575.00,1033700
18-Apr-17,64800.00,65100.00,64800.00,64900.00,876600
17-Apr-17,65000.00,65000.00,64400.00,64600.00,528500
13-Apr-17,65200.00,65225.00,64525.00,64675.00,382800
12-Apr-17,65450.00,65500.00,64500.00,64950.00,862600
11-Apr-17,66275.00,66750.00,65450.00,65450.00,672500
10-Apr-17,67850.00,67950.00,66750.00,67000.00,606100
7-Apr-17,68250.00,68250.00,67850.00,68200.00,560300
6-Apr-17,67625.00,68575.00,67625.00,68000.00,1286800
5-Apr-17,67700.00,67975.00,67000.00,67950.00,999200
4-Apr-17,67200.00,67725.00,66875.00,67700.00,820300
3-Apr-17,65025.00,67300.00,65025.00,66700.00,709800
31-Mar-17,66900.00,66900.00,65500.00,65525.00,587600
30-Mar-17,65400.00,66700.00,65075.00,66700.00,882700
29-Mar-17,64500.00,65500.00,64500.00,65500.00,400500
27-Mar-17,64500.00,65225.00,64400.00,64500.00,589800
24-Mar-17,65025.00,65600.00,64850.00,64925.00,399300
23-Mar-17,65800.00,65950.00,65400.00,65450.00,475100
22-Mar-17,65650.00,65650.00,65200.00,65425.00,997600
21-Mar-17,65300.00,66000.00,65200.00,65800.00,1132200
20-Mar-17,65650.00,65650.00,65225.00,65450.00,255600
17-Mar-17,65700.00,65950.00,64925.00,65250.00,1453100
16-Mar-17,64900.00,65400.00,64700.00,65050.00,812300
15-Mar-17,64300.00,64825.00,63725.00,64450.00,640200
14-Mar-17,63000.00,64500.00,62925.00,64475.00,594800
13-Mar-17,63425.00,63500.00,62475.00,63000.00,348300
10-Mar-17,63875.00,63950.00,62850.00,63500.00,333000
9-Mar-17,62825.00,63625.00,62400.00,63625.00,284500
8-Mar-17,62500.00,63475.00,62150.00,62825.00,716600
7-Mar-17,64200.00,64200.00,62500.00,62850.00,756400
6-Mar-17,64400.00,64425.00,63250.00,63400.00,768100
3-Mar-17,64600.00,65075.00,64475.00,64475.00,747500
2-Mar-17,64700.00,66000.00,64700.00,65850.00,853400
1-Mar-17,66000.00,66000.00,64300.00,64625.00,887700
28-Feb-17,65750.00,66000.00,64075.00,65850.00,838300
27-Feb-17,65250.00,66000.00,64700.00,65750.00,1286400
24-Feb-17,63250.00,65050.00,62600.00,65000.00,2201000
23-Feb-17,62225.00,63300.00,62225.00,63125.00,1195000
22-Feb-17,60150.00,62375.00,60075.00,62200.00,1557600
21-Feb-17,60500.00,60525.00,60050.00,60150.00,941900
20-Feb-17,60500.00,61200.00,60425.00,60500.00,239500
17-Feb-17,61000.00,61100.00,60350.00,60800.00,529500
16-Feb-17,61675.00,62075.00,60775.00,61000.00,856800
14-Feb-17,62000.00,62000.00,61500.00,61500.00,397800
13-Feb-17,62000.00,62475.00,61425.00,62000.00,731700
10-Feb-17,62000.00,62500.00,61800.00,62000.00,757200
9-Feb-17,62850.00,62850.00,61875.00,62400.00,757900
8-Feb-17,62800.00,62800.00,62500.00,62600.00,637200
7-Feb-17,62475.00,62625.00,61875.00,62500.00,750300
6-Feb-17,62000.00,62000.00,61800.00,61850.00,504900
3-Feb-17,62000.00,62000.00,61550.00,61800.00,582500
2-Feb-17,62725.00,62725.00,61800.00,62000.00,542300
1-Feb-17,62300.00,62800.00,62000.00,62700.00,608200
31-Jan-17,63300.00,63300.00,61750.00,61750.00,649000
30-Jan-17,62800.00,63400.00,62700.00,62800.00,204400
27-Jan-17,63750.00,63750.00,62700.00,62800.00,373400
26-Jan-17,63900.00,63900.00,63225.00,63400.00,290000
25-Jan-17,63750.00,63750.00,63000.00,63000.00,309300
24-Jan-17,63475.00,63800.00,63375.00,63750.00,406300
23-Jan-17,63000.00,63500.00,62975.00,63475.00,288700
20-Jan-17,63400.00,63475.00,62500.00,62500.00,326000
19-Jan-17,63700.00,63725.00,63250.00,63400.00,356700
18-Jan-17,62600.00,63900.00,62600.00,63000.00,296400
17-Jan-17,63250.00,63450.00,62500.00,62500.00,269000
16-Jan-17,62800.00,64075.00,62800.00,63200.00,445000
13-Jan-17,63775.00,63925.00,63025.00,63050.00,531400
12-Jan-17,63700.00,63975.00,63250.00,63250.00,370300
11-Jan-17,63200.00,63200.00,63025.00,63150.00,334500
10-Jan-17,63700.00,63700.00,63000.00,63000.00,620000
9-Jan-17,64775.00,64850.00,63125.00,63600.00,397300
6-Jan-17,65450.00,65450.00,63900.00,64425.00,339100
5-Jan-17,63200.00,65600.00,63200.00,65600.00,1023100
4-Jan-17,63400.00,64450.00,62300.00,63200.00,578800
3-Jan-17,63650.00,64350.00,63100.00,63300.00,340700
30-Dec-16,63350.00,64400.00,63350.00,63900.00,465300
29-Dec-16,63200.00,64125.00,62900.00,64000.00,673400
28-Dec-16,62900.00,64150.00,62900.00,63850.00,645300
27-Dec-16,60700.00,63100.00,60700.00,62900.00,622500
23-Dec-16,60025.00,61325.00,60025.00,60300.00,592400
22-Dec-16,62025.00,62125.00,60800.00,60850.00,653200
21-Dec-16,62000.00,62900.00,61900.00,62000.00,1050200
