Date,Open,High,Low,Close,Volume
29-Dec-17,302.00,306.00,300.00,300.00,3557900
28-Dec-17,302.00,308.00,300.00,302.00,10153100
27-Dec-17,306.00,306.00,300.00,302.00,9712200
22-Dec-17,298.00,306.00,298.00,302.00,3526800
21-Dec-17,308.00,308.00,304.00,304.00,1131800
20-Dec-17,308.00,312.00,306.00,306.00,2992800
19-Dec-17,302.00,310.00,302.00,308.00,3831600
18-Dec-17,302.00,306.00,302.00,302.00,1527200
15-Dec-17,308.00,308.00,300.00,300.00,3060700
14-Dec-17,304.00,308.00,302.00,306.00,1633900
13-Dec-17,300.00,306.00,300.00,304.00,2588000
12-Dec-17,302.00,302.00,300.00,300.00,4936700
11-Dec-17,304.00,306.00,300.00,300.00,3789700
8-Dec-17,306.00,308.00,300.00,302.00,4289300
7-Dec-17,316.00,316.00,304.00,304.00,2159400
6-Dec-17,304.00,314.00,302.00,304.00,8967600
5-Dec-17,312.00,316.00,300.00,300.00,7921300
4-Dec-17,312.00,320.00,310.00,310.00,5871000
30-Nov-17,320.00,324.00,310.00,310.00,34504200
29-Nov-17,328.00,330.00,320.00,320.00,10461400
28-Nov-17,334.00,334.00,326.00,326.00,5039300
27-Nov-17,330.00,338.00,326.00,332.00,11055000
24-Nov-17,326.00,334.00,326.00,332.00,8181400
23-Nov-17,328.00,332.00,326.00,326.00,8479800
22-Nov-17,330.00,332.00,324.00,326.00,3670100
21-Nov-17,326.00,334.00,324.00,328.00,8918800
20-Nov-17,332.00,336.00,324.00,326.00,11375800
17-Nov-17,336.00,338.00,330.00,332.00,8683400
16-Nov-17,344.00,344.00,332.00,336.00,9425200
15-Nov-17,338.00,346.00,336.00,340.00,3292200
14-Nov-17,344.00,346.00,338.00,338.00,3690000
13-Nov-17,342.00,348.00,338.00,344.00,5098100
10-Nov-17,344.00,346.00,340.00,340.00,5121300
9-Nov-17,344.00,354.00,332.00,344.00,10107700
8-Nov-17,352.00,352.00,340.00,344.00,9948200
7-Nov-17,360.00,360.00,350.00,352.00,7195400
6-Nov-17,360.00,362.00,352.00,360.00,3920700
3-Nov-17,366.00,368.00,356.00,360.00,3169800
2-Nov-17,360.00,368.00,356.00,360.00,5178100
1-Nov-17,366.00,368.00,358.00,360.00,4325700
31-Oct-17,372.00,374.00,362.00,366.00,10393400
30-Oct-17,374.00,380.00,366.00,372.00,36118000
27-Oct-17,348.00,372.00,338.00,372.00,47079000
26-Oct-17,342.00,346.00,338.00,346.00,10703300
25-Oct-17,326.00,352.00,326.00,340.00,49148200
24-Oct-17,326.00,332.00,324.00,326.00,12280700
23-Oct-17,328.00,334.00,320.00,322.00,21884000
20-Oct-17,326.00,332.00,324.00,328.00,12665900
19-Oct-17,324.00,328.00,322.00,324.00,7424400
18-Oct-17,328.00,330.00,324.00,324.00,7989000
17-Oct-17,328.00,328.00,324.00,326.00,5068600
16-Oct-17,324.00,328.00,324.00,326.00,9884300
13-Oct-17,322.00,328.00,320.00,324.00,6964100
12-Oct-17,322.00,326.00,322.00,322.00,3399600
11-Oct-17,330.00,330.00,320.00,322.00,3253100
10-Oct-17,336.00,336.00,326.00,326.00,3164400
9-Oct-17,330.00,334.00,330.00,332.00,1307600
6-Oct-17,330.00,332.00,328.00,332.00,534600
5-Oct-17,332.00,334.00,328.00,328.00,6442600
4-Oct-17,330.00,334.00,330.00,332.00,2652300
3-Oct-17,330.00,332.00,326.00,330.00,3584800
2-Oct-17,334.00,336.00,330.00,330.00,2080900
29-Sep-17,334.00,334.00,332.00,334.00,1180700
28-Sep-17,334.00,338.00,330.00,334.00,4246700
27-Sep-17,334.00,340.00,330.00,332.00,6227600
26-Sep-17,330.00,332.00,328.00,330.00,3566100
25-Sep-17,332.00,334.00,330.00,330.00,2889200
22-Sep-17,330.00,336.00,330.00,330.00,5351400
20-Sep-17,330.00,334.00,328.00,330.00,1073300
19-Sep-17,332.00,334.00,330.00,330.00,1228500
18-Sep-17,344.00,344.00,330.00,332.00,2576900
15-Sep-17,338.00,340.00,334.00,338.00,2537900
14-Sep-17,338.00,344.00,332.00,338.00,5296600
13-Sep-17,328.00,346.00,324.00,338.00,6594300
12-Sep-17,324.00,336.00,324.00,328.00,6866900
11-Sep-17,322.00,324.00,320.00,322.00,1168800
8-Sep-17,322.00,326.00,320.00,322.00,2805700
7-Sep-17,320.00,324.00,320.00,322.00,2070600
6-Sep-17,320.00,322.00,318.00,320.00,1063000
5-Sep-17,322.00,322.00,318.00,318.00,2179500
4-Sep-17,326.00,328.00,322.00,322.00,2177400
31-Aug-17,328.00,330.00,324.00,326.00,3548000
30-Aug-17,330.00,334.00,328.00,328.00,10174900
29-Aug-17,332.00,334.00,330.00,330.00,4099400
28-Aug-17,332.00,334.00,330.00,332.00,4249700
25-Aug-17,336.00,340.00,330.00,332.00,4186100
24-Aug-17,334.00,340.00,330.00,336.00,4081900
23-Aug-17,336.00,338.00,332.00,334.00,4445700
22-Aug-17,340.00,342.00,332.00,334.00,11086900
21-Aug-17,338.00,340.00,338.00,340.00,1061800
18-Aug-17,338.00,340.00,336.00,338.00,1959200
16-Aug-17,340.00,342.00,336.00,338.00,4240100
15-Aug-17,348.00,348.00,338.00,340.00,3225900
14-Aug-17,342.00,342.00,338.00,342.00,1112200
11-Aug-17,344.00,344.00,338.00,340.00,2475500
