Date,Open,High,Low,Close,Volume
25-May-15,645.00,645.00,645.00,645.00,0
20-Feb-15,1000.00,1000.00,1000.00,1000.00,0
7-Jan-15,645.00,645.00,645.00,645.00,0
15-Oct-14,650.00,650.00,650.00,650.00,0
9-May-14,645.00,645.00,645.00,645.00,0
17-Feb-14,750.00,750.00,750.00,750.00,0
5-Feb-14,700.00,700.00,700.00,700.00,0
7-Jan-14,860.00,860.00,860.00,860.00,0
31-Oct-13,650.00,650.00,650.00,650.00,0
30-May-13,650.00,650.00,650.00,650.00,0
9-Nov-12,700.00,700.00,700.00,700.00,0
8-Nov-12,700.00,700.00,700.00,700.00,0
7-Nov-12,700.00,700.00,700.00,700.00,0
19-Oct-12,850.00,850.00,850.00,850.00,0
11-May-12,650.00,650.00,650.00,650.00,0
30-Apr-12,650.00,650.00,650.00,650.00,0
16-Apr-12,650.00,650.00,650.00,650.00,0
21-Mar-12,700.00,700.00,700.00,700.00,0
20-Mar-12,860.00,860.00,860.00,860.00,500
17-Feb-12,700.00,700.00,700.00,700.00,0
8-Jun-11,800.00,800.00,800.00,800.00,0
11-May-11,840.00,840.00,840.00,840.00,0
5-Apr-11,650.00,650.00,650.00,650.00,0
16-Jul-10,930.00,930.00,930.00,930.00,0
12-May-10,830.00,830.00,830.00,830.00,0
10-Feb-10,700.00,700.00,700.00,700.00,0
9-Jul-08,700.00,700.00,700.00,700.00,0
8-Jul-08,700.00,700.00,700.00,700.00,0
7-Jul-08,700.00,700.00,700.00,700.00,0
4-Jul-08,700.00,700.00,700.00,700.00,0
2-Jul-08,700.00,700.00,700.00,700.00,0
1-Jul-08,700.00,700.00,700.00,700.00,0
30-Jun-08,700.00,700.00,700.00,700.00,0
25-Jun-08,700.00,700.00,700.00,700.00,0
24-Jun-08,700.00,700.00,700.00,700.00,0
23-Jun-08,750.00,750.00,750.00,750.00,0
20-Jun-08,700.00,700.00,700.00,700.00,0
19-Jun-08,850.00,850.00,850.00,850.00,0
18-Jun-08,700.00,700.00,700.00,700.00,0
17-Jun-08,700.00,700.00,700.00,700.00,0
16-Jun-08,700.00,700.00,700.00,700.00,0
13-Jun-08,700.00,700.00,700.00,700.00,0
12-Jun-08,700.00,700.00,700.00,700.00,0
11-Jun-08,700.00,700.00,700.00,700.00,0
10-Jun-08,700.00,700.00,700.00,700.00,0
6-Jun-08,700.00,700.00,700.00,700.00,0
5-Jun-08,700.00,700.00,700.00,700.00,0
4-Jun-08,700.00,700.00,700.00,700.00,0
3-Jun-08,700.00,700.00,700.00,700.00,0
2-Jun-08,700.00,700.00,700.00,700.00,0
30-May-08,710.00,710.00,710.00,710.00,0
29-May-08,820.00,820.00,820.00,820.00,0
28-May-08,700.00,700.00,700.00,700.00,0
27-Feb-08,860.00,860.00,860.00,860.00,0
22-Feb-08,660.00,660.00,660.00,660.00,0
21-Feb-08,850.00,860.00,850.00,860.00,8500
17-Jan-08,600.00,600.00,600.00,600.00,0
2-Jan-08,700.00,700.00,700.00,700.00,0
14-Dec-07,830.00,830.00,830.00,830.00,500
13-Dec-07,800.00,800.00,800.00,800.00,0
12-Dec-07,800.00,800.00,800.00,800.00,0
11-Dec-07,800.00,800.00,800.00,800.00,0
10-Dec-07,800.00,800.00,800.00,800.00,0
7-Dec-07,800.00,800.00,800.00,800.00,0
6-Dec-07,810.00,810.00,810.00,810.00,5000
5-Dec-07,800.00,800.00,800.00,800.00,0
4-Dec-07,800.00,800.00,800.00,800.00,0
3-Dec-07,700.00,700.00,700.00,700.00,0
