Date,Open,High,Low,Close,Volume
29-Dec-17,118.00,126.00,113.00,118.00,14800
28-Dec-17,117.00,118.00,117.00,118.00,800
27-Dec-17,117.00,117.00,117.00,117.00,100
22-Dec-17,116.00,117.00,116.00,117.00,300
21-Dec-17,115.00,117.00,115.00,117.00,7000
20-Dec-17,114.00,114.00,113.00,114.00,1300
19-Dec-17,115.00,115.00,114.00,114.00,34500
18-Dec-17,113.00,126.00,113.00,115.00,40100
15-Dec-17,-,-,-,120.00,0
14-Dec-17,120.00,120.00,120.00,120.00,200
13-Dec-17,115.00,115.00,115.00,115.00,56000
12-Dec-17,115.00,115.00,115.00,115.00,1500
11-Dec-17,123.00,125.00,115.00,115.00,11400
8-Dec-17,118.00,125.00,118.00,125.00,10100
7-Dec-17,121.00,125.00,118.00,118.00,30900
6-Dec-17,118.00,119.00,118.00,118.00,18000
5-Dec-17,118.00,118.00,118.00,118.00,6300
4-Dec-17,120.00,128.00,120.00,120.00,92300
30-Nov-17,119.00,119.00,119.00,119.00,2200
29-Nov-17,118.00,120.00,118.00,120.00,18200
28-Nov-17,118.00,120.00,118.00,120.00,53400
27-Nov-17,119.00,120.00,118.00,120.00,35500
24-Nov-17,118.00,120.00,118.00,119.00,16200
23-Nov-17,120.00,120.00,118.00,118.00,7200
22-Nov-17,120.00,120.00,117.00,120.00,36200
21-Nov-17,120.00,121.00,118.00,120.00,100300
20-Nov-17,120.00,120.00,118.00,120.00,45000
17-Nov-17,123.00,123.00,117.00,120.00,46300
16-Nov-17,118.00,122.00,118.00,118.00,4800
15-Nov-17,120.00,124.00,115.00,122.00,614200
14-Nov-17,123.00,124.00,120.00,120.00,330000
13-Nov-17,135.00,145.00,125.00,125.00,8119500
10-Nov-17,124.00,140.00,124.00,135.00,1528100
9-Nov-17,123.00,137.00,120.00,124.00,4047000
8-Nov-17,121.00,123.00,117.00,120.00,483600
7-Nov-17,119.00,122.00,118.00,121.00,12300
6-Nov-17,117.00,122.00,116.00,120.00,4300
3-Nov-17,119.00,122.00,112.00,122.00,21800
2-Nov-17,120.00,122.00,117.00,122.00,67600
1-Nov-17,119.00,124.00,116.00,123.00,92800
31-Oct-17,122.00,137.00,120.00,120.00,29300
30-Oct-17,122.00,125.00,118.00,122.00,191400
27-Oct-17,127.00,130.00,119.00,124.00,210100
26-Oct-17,131.00,137.00,121.00,121.00,2184800
25-Oct-17,126.00,148.00,122.00,131.00,6877600
24-Oct-17,122.00,126.00,122.00,126.00,5300
23-Oct-17,120.00,126.00,120.00,121.00,9300
20-Oct-17,125.00,125.00,120.00,120.00,2200
19-Oct-17,120.00,125.00,120.00,121.00,9400
18-Oct-17,124.00,124.00,120.00,121.00,67900
17-Oct-17,124.00,124.00,119.00,120.00,99900
16-Oct-17,124.00,124.00,120.00,124.00,1900
12-Oct-17,123.00,123.00,123.00,123.00,200
11-Oct-17,120.00,125.00,120.00,123.00,22800
10-Oct-17,121.00,123.00,121.00,121.00,26300
9-Oct-17,124.00,127.00,119.00,122.00,1800
6-Oct-17,120.00,123.00,120.00,120.00,9600
5-Oct-17,125.00,125.00,125.00,125.00,100
