Date,Open,High,Low,Close,Volume
29-Dec-17,178.00,178.00,169.00,169.00,1027000
28-Dec-17,181.00,185.00,176.00,178.00,294000
27-Dec-17,179.00,185.00,172.00,180.00,625500
22-Dec-17,165.00,190.00,163.00,172.00,1365100
21-Dec-17,165.00,170.00,159.00,165.00,690600
20-Dec-17,171.00,173.00,160.00,165.00,417800
19-Dec-17,176.00,182.00,165.00,165.00,781700
18-Dec-17,182.00,184.00,170.00,177.00,163900
15-Dec-17,188.00,188.00,175.00,175.00,981200
14-Dec-17,185.00,199.00,178.00,185.00,1766600
13-Dec-17,190.00,218.00,165.00,185.00,4407600
12-Dec-17,280.00,310.00,195.00,195.00,10831900
11-Feb-15,266.00,268.00,260.00,260.00,745400
10-Feb-15,265.00,269.00,263.00,266.00,682800
9-Feb-15,271.00,272.00,258.00,265.00,1849300
6-Feb-15,274.00,285.00,269.00,271.00,2303400
5-Feb-15,283.00,294.00,273.00,274.00,2222200
4-Feb-15,300.00,300.00,278.00,283.00,4328000
3-Feb-15,305.00,329.00,298.00,300.00,3418800
2-Feb-15,328.00,390.00,300.00,300.00,12232700
30-Jan-15,350.00,402.00,323.00,326.00,6990500
29-Jan-15,265.00,325.00,261.00,325.00,2057900
28-Jan-15,270.00,276.00,260.00,260.00,422700
27-Jan-15,270.00,281.00,270.00,277.00,58500
26-Jan-15,278.00,281.00,275.00,276.00,83000
23-Jan-15,279.00,289.00,279.00,280.00,106100
22-Jan-15,299.00,299.00,275.00,279.00,271500
21-Jan-15,300.00,310.00,295.00,295.00,837900
20-Jan-15,317.00,320.00,298.00,300.00,127600
19-Jan-15,310.00,328.00,308.00,317.00,266600
16-Jan-15,343.00,350.00,300.00,310.00,171400
15-Jan-15,350.00,363.00,342.00,342.00,281700
14-Jan-15,363.00,363.00,349.00,350.00,238000
13-Jan-15,367.00,374.00,363.00,363.00,192100
12-Jan-15,374.00,374.00,367.00,367.00,102700
9-Jan-15,370.00,388.00,365.00,369.00,662800
8-Jan-15,374.00,374.00,363.00,366.00,95800
7-Jan-15,368.00,381.00,366.00,374.00,93100
6-Jan-15,388.00,388.00,365.00,368.00,73200
5-Jan-15,380.00,389.00,379.00,384.00,120000
2-Jan-15,363.00,394.00,363.00,379.00,182400
30-Dec-14,367.00,373.00,363.00,363.00,111900
29-Dec-14,371.00,374.00,366.00,366.00,147700
24-Dec-14,360.00,374.00,360.00,366.00,121200
23-Dec-14,375.00,383.00,360.00,367.00,198800
22-Dec-14,395.00,396.00,370.00,370.00,389100
19-Dec-14,400.00,407.00,393.00,395.00,332100
18-Dec-14,395.00,415.00,395.00,398.00,207200
17-Dec-14,400.00,408.00,395.00,399.00,166300
16-Dec-14,419.00,420.00,400.00,403.00,120700
15-Dec-14,434.00,435.00,419.00,425.00,283000
12-Dec-14,440.00,441.00,430.00,434.00,223700
11-Dec-14,442.00,446.00,439.00,440.00,304800
10-Dec-14,444.00,459.00,439.00,440.00,570100
9-Dec-14,435.00,459.00,430.00,443.00,801500
8-Dec-14,454.00,460.00,430.00,434.00,527400
5-Dec-14,455.00,470.00,450.00,454.00,846200
4-Dec-14,453.00,482.00,450.00,455.00,1445600
