Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,100
28-Dec-17,-,-,-,50.00,0
27-Dec-17,50.00,50.00,50.00,50.00,100
22-Dec-17,-,-,-,50.00,0
21-Dec-17,50.00,50.00,50.00,50.00,100
20-Dec-17,-,-,-,50.00,0
19-Dec-17,-,-,-,50.00,0
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,-,-,-,50.00,0
13-Dec-17,-,-,-,50.00,0
12-Dec-17,50.00,50.00,50.00,50.00,500
11-Dec-17,-,-,-,50.00,0
8-Dec-17,50.00,50.00,50.00,50.00,10100
7-Dec-17,50.00,50.00,50.00,50.00,10000
6-Dec-17,50.00,50.00,50.00,50.00,200
5-Dec-17,50.00,50.00,50.00,50.00,100000
4-Dec-17,50.00,50.00,50.00,50.00,650900
30-Nov-17,50.00,50.00,50.00,50.00,150400
29-Nov-17,50.00,52.00,50.00,50.00,2106500
15-Mar-17,50.00,50.00,50.00,50.00,21100
14-Mar-17,50.00,50.00,50.00,50.00,5500
13-Mar-17,51.00,51.00,50.00,50.00,57000
10-Mar-17,50.00,50.00,50.00,50.00,2500
9-Mar-17,51.00,51.00,50.00,50.00,5700
8-Mar-17,50.00,51.00,50.00,50.00,439900
7-Mar-17,50.00,50.00,50.00,50.00,327700
6-Mar-17,50.00,50.00,50.00,50.00,5000
3-Mar-17,50.00,50.00,50.00,50.00,115300
2-Mar-17,50.00,50.00,50.00,50.00,113300
1-Mar-17,51.00,51.00,50.00,50.00,1932500
28-Feb-17,50.00,53.00,50.00,51.00,1190800
27-Feb-17,50.00,51.00,50.00,50.00,603300
24-Feb-17,51.00,52.00,50.00,50.00,4902500
23-Feb-17,52.00,54.00,51.00,51.00,1259800
22-Feb-17,53.00,54.00,51.00,52.00,1572100
21-Feb-17,54.00,59.00,53.00,53.00,3855400
20-Feb-17,52.00,58.00,51.00,54.00,4153000
17-Feb-17,56.00,58.00,50.00,52.00,2404500
16-Feb-17,63.00,63.00,56.00,56.00,1933100
14-Feb-17,61.00,64.00,59.00,62.00,1551000
13-Feb-17,63.00,65.00,60.00,61.00,2627200
10-Feb-17,64.00,69.00,63.00,63.00,3939300
9-Feb-17,58.00,70.00,54.00,64.00,17369300
8-Feb-17,69.00,69.00,53.00,58.00,16644600
7-Feb-17,70.00,81.00,65.00,69.00,110939000
6-Feb-17,52.00,70.00,52.00,70.00,103680400
3-Feb-17,50.00,56.00,50.00,52.00,56904500
2-Feb-17,50.00,50.00,50.00,50.00,114100
1-Feb-17,50.00,50.00,50.00,50.00,781800
31-Jan-17,-,-,-,50.00,0
30-Jan-17,50.00,50.00,50.00,50.00,10100
27-Jan-17,50.00,50.00,50.00,50.00,1659100
26-Jan-17,50.00,50.00,50.00,50.00,11700
25-Jan-17,50.00,50.00,50.00,50.00,20000
24-Jan-17,50.00,50.00,50.00,50.00,100
23-Jan-17,-,-,-,50.00,0
20-Jan-17,-,-,-,50.00,0
19-Jan-17,50.00,50.00,50.00,50.00,17000
18-Jan-17,50.00,50.00,50.00,50.00,500100
17-Jan-17,-,-,-,50.00,0
