Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,222.00,0
28-Dec-17,-,-,-,222.00,0
27-Dec-17,222.00,222.00,222.00,222.00,200
22-Dec-17,-,-,-,220.00,0
21-Dec-17,242.00,242.00,220.00,220.00,400
20-Dec-17,230.00,230.00,230.00,230.00,100
19-Dec-17,210.00,210.00,210.00,210.00,300
18-Dec-17,200.00,200.00,200.00,200.00,200
15-Dec-17,214.00,214.00,214.00,214.00,100
14-Dec-17,214.00,214.00,214.00,214.00,100
13-Dec-17,-,-,-,214.00,0
12-Dec-17,214.00,214.00,214.00,214.00,100
11-Dec-17,-,-,-,206.00,0
8-Dec-17,-,-,-,206.00,0
7-Dec-17,-,-,-,206.00,0
6-Dec-17,-,-,-,206.00,0
5-Dec-17,204.00,254.00,204.00,206.00,3400
4-Dec-17,200.00,208.00,200.00,204.00,500
30-Nov-17,198.00,222.00,198.00,208.00,2600
29-Nov-17,-,-,-,197.00,0
28-Nov-17,195.00,197.00,195.00,197.00,200
27-Nov-17,202.00,202.00,180.00,195.00,2100
24-Nov-17,200.00,200.00,200.00,200.00,200
23-Nov-17,191.00,200.00,191.00,200.00,3400
22-Nov-17,-,-,-,194.00,0
21-Nov-17,191.00,199.00,191.00,194.00,900
20-Nov-17,180.00,180.00,180.00,180.00,100
17-Nov-17,174.00,176.00,174.00,176.00,1500
16-Nov-17,-,-,-,191.00,0
15-Nov-17,204.00,204.00,191.00,191.00,1700
14-Nov-17,193.00,193.00,184.00,184.00,2700
13-Nov-17,-,-,-,214.00,0
10-Nov-17,-,-,-,214.00,0
9-Nov-17,-,-,-,214.00,0
8-Nov-17,195.00,214.00,193.00,214.00,300
7-Nov-17,-,-,-,216.00,0
6-Nov-17,-,-,-,216.00,0
3-Nov-17,216.00,216.00,216.00,216.00,300
2-Nov-17,224.00,224.00,183.00,216.00,2700
1-Nov-17,210.00,210.00,208.00,208.00,800
31-Oct-17,210.00,220.00,210.00,210.00,500
30-Oct-17,212.00,212.00,193.00,210.00,5000
27-Oct-17,-,-,-,218.00,0
26-Oct-17,218.00,218.00,218.00,218.00,100
25-Oct-17,214.00,252.00,186.00,218.00,11000
24-Oct-17,188.00,202.00,188.00,202.00,5000
23-Oct-17,188.00,188.00,188.00,188.00,1900
20-Oct-17,220.00,220.00,188.00,188.00,7000
19-Oct-17,204.00,204.00,178.00,185.00,15700
18-Oct-17,202.00,204.00,202.00,204.00,37500
17-Oct-17,230.00,230.00,226.00,226.00,16600
16-Oct-17,202.00,220.00,202.00,220.00,10300
13-Oct-17,226.00,226.00,218.00,218.00,43500
12-Oct-17,200.00,226.00,200.00,214.00,16500
11-Oct-17,220.00,240.00,204.00,230.00,8600
10-Oct-17,200.00,240.00,200.00,202.00,12600
9-Oct-17,230.00,230.00,173.00,186.00,3800
6-Oct-17,230.00,230.00,230.00,230.00,1300
5-Oct-17,171.00,171.00,171.00,171.00,100
4-Oct-17,236.00,236.00,210.00,228.00,1200
3-Oct-17,220.00,240.00,200.00,236.00,2600
2-Oct-17,238.00,238.00,238.00,238.00,600
29-Sep-17,-,-,-,240.00,0
28-Sep-17,250.00,250.00,238.00,240.00,700
27-Sep-17,230.00,230.00,230.00,230.00,100
26-Sep-17,228.00,240.00,228.00,230.00,2700
25-Sep-17,190.00,238.00,190.00,230.00,5300
22-Sep-17,204.00,204.00,204.00,204.00,1000
20-Sep-17,202.00,204.00,202.00,202.00,1700
19-Sep-17,-,-,-,193.00,0
18-Sep-17,193.00,193.00,193.00,193.00,3000
15-Sep-17,-,-,-,186.00,0
14-Sep-17,266.00,266.00,186.00,186.00,3200
13-Sep-17,248.00,248.00,248.00,248.00,800
12-Sep-17,220.00,260.00,204.00,250.00,8200
11-Sep-17,250.00,250.00,226.00,240.00,17700
8-Sep-17,262.00,262.00,262.00,262.00,100
7-Sep-17,254.00,300.00,224.00,260.00,41200
6-Sep-17,230.00,260.00,230.00,248.00,41600
5-Sep-17,190.00,240.00,190.00,236.00,66900
4-Sep-17,179.00,179.00,179.00,179.00,100
31-Aug-17,191.00,200.00,191.00,200.00,300
30-Aug-17,230.00,230.00,171.00,200.00,21700
29-Aug-17,204.00,220.00,164.00,210.00,1000
28-Aug-17,202.00,202.00,202.00,202.00,800
25-Aug-17,200.00,202.00,200.00,202.00,500
24-Aug-17,206.00,206.00,200.00,200.00,4100
23-Aug-17,-,-,-,228.00,0
22-Aug-17,199.00,228.00,199.00,228.00,1800
21-Aug-17,199.00,199.00,197.00,199.00,8500
18-Aug-17,184.00,184.00,184.00,184.00,1000
16-Aug-17,172.00,185.00,172.00,184.00,2200
15-Aug-17,172.00,220.00,172.00,208.00,2300
14-Aug-17,172.00,172.00,172.00,172.00,300
11-Aug-17,140.00,170.00,140.00,170.00,500
10-Aug-17,196.00,196.00,196.00,196.00,100
9-Aug-17,130.00,164.00,130.00,164.00,3600
8-Aug-17,184.00,185.00,122.00,122.00,2600
7-Aug-17,234.00,234.00,173.00,185.00,10000
4-Aug-17,-,-,-,230.00,0
3-Aug-17,230.00,230.00,230.00,230.00,100
2-Aug-17,180.00,222.00,180.00,222.00,1700
1-Aug-17,226.00,226.00,200.00,200.00,4200
31-Jul-17,224.00,224.00,208.00,208.00,1200
28-Jul-17,220.00,220.00,166.00,175.00,5800
27-Jul-17,260.00,260.00,220.00,220.00,10300
26-Jul-17,228.00,238.00,193.00,193.00,61300
25-Jul-17,238.00,250.00,238.00,240.00,16800
24-Jul-17,260.00,260.00,230.00,238.00,53600
21-Jul-17,195.00,260.00,195.00,260.00,8100
20-Jul-17,193.00,193.00,193.00,193.00,10000
19-Jul-17,191.00,193.00,190.00,193.00,11800
18-Jul-17,155.00,193.00,155.00,193.00,700
17-Jul-17,133.00,189.00,133.00,189.00,13600
14-Jul-17,177.00,236.00,177.00,189.00,18600
13-Jul-17,193.00,193.00,170.00,177.00,4800
12-Jul-17,-,-,-,146.00,0
11-Jul-17,-,-,-,146.00,0
10-Jul-17,-,-,-,146.00,0
7-Jul-17,141.00,146.00,141.00,146.00,1400
6-Jul-17,127.00,136.00,127.00,136.00,1100
5-Jul-17,136.00,136.00,126.00,126.00,1100
4-Jul-17,-,-,-,146.00,0
3-Jul-17,137.00,146.00,137.00,146.00,200
22-Jun-17,151.00,166.00,151.00,165.00,10700
21-Jun-17,200.00,200.00,170.00,182.00,66100
20-Jun-17,230.00,230.00,218.00,218.00,15200
19-Jun-17,-,-,-,230.00,0
16-Jun-17,181.00,238.00,181.00,230.00,3500
15-Jun-17,130.00,181.00,130.00,181.00,6700
14-Jun-17,238.00,238.00,200.00,200.00,10100
13-Jun-17,199.00,250.00,199.00,210.00,3600
12-Jun-17,130.00,199.00,130.00,199.00,11200
9-Jun-17,210.00,210.00,200.00,200.00,1100
