Date,Open,High,Low,Close,Volume
29-Dec-17,930.00,930.00,915.00,925.00,33100
28-Dec-17,930.00,935.00,905.00,905.00,24300
27-Dec-17,930.00,945.00,905.00,905.00,46200
22-Dec-17,-,-,-,970.00,0
21-Dec-17,-,-,-,970.00,0
20-Dec-17,930.00,970.00,930.00,970.00,2600
19-Dec-17,930.00,980.00,880.00,970.00,46500
18-Dec-17,950.00,950.00,930.00,930.00,16600
15-Dec-17,905.00,1000.00,880.00,950.00,108600
14-Dec-17,880.00,1000.00,880.00,1000.00,45900
13-Dec-17,900.00,900.00,880.00,880.00,22300
12-Dec-17,900.00,900.00,900.00,900.00,500
11-Dec-17,900.00,900.00,900.00,900.00,200
8-Dec-17,-,-,-,1000.00,0
7-Dec-17,1000.00,1000.00,1000.00,1000.00,100
6-Dec-17,1005.00,1005.00,980.00,1000.00,5700
5-Dec-17,1010.00,1010.00,1005.00,1005.00,300
4-Dec-17,1010.00,1010.00,1010.00,1010.00,100
30-Nov-17,1030.00,1030.00,1000.00,1010.00,9200
29-Nov-17,-,-,-,1065.00,0
28-Nov-17,1065.00,1065.00,1065.00,1065.00,100
27-Nov-17,-,-,-,1065.00,0
24-Nov-17,1065.00,1065.00,1065.00,1065.00,1000
23-Nov-17,1065.00,1065.00,1065.00,1065.00,2800
22-Nov-17,1060.00,1065.00,1060.00,1065.00,1200
21-Nov-17,-,-,-,1110.00,0
20-Nov-17,1110.00,1110.00,1110.00,1110.00,200
17-Nov-17,-,-,-,1100.00,0
16-Nov-17,-,-,-,1100.00,0
15-Nov-17,-,-,-,1100.00,0
14-Nov-17,-,-,-,1100.00,0
13-Nov-17,-,-,-,1100.00,0
10-Nov-17,-,-,-,1100.00,0
9-Nov-17,1100.00,1100.00,1100.00,1100.00,100
8-Nov-17,-,-,-,1100.00,0
7-Nov-17,1055.00,1100.00,1055.00,1100.00,77800
6-Nov-17,1060.00,1060.00,1060.00,1060.00,200
3-Nov-17,-,-,-,1050.00,0
2-Nov-17,1045.00,1050.00,1045.00,1050.00,600
1-Nov-17,1100.00,1100.00,1000.00,1000.00,3100
31-Oct-17,-,-,-,1100.00,0
30-Oct-17,-,-,-,1100.00,0
27-Oct-17,1090.00,1100.00,1090.00,1100.00,43200
26-Oct-17,1075.00,1090.00,1075.00,1090.00,1400
25-Oct-17,1100.00,1100.00,1075.00,1075.00,1000
24-Oct-17,1100.00,1100.00,1100.00,1100.00,100
23-Oct-17,1100.00,1100.00,1100.00,1100.00,400
20-Oct-17,-,-,-,1100.00,0
19-Oct-17,-,-,-,1100.00,0
18-Oct-17,1100.00,1100.00,1100.00,1100.00,181700
17-Oct-17,1100.00,1100.00,1100.00,1100.00,18300
16-Oct-17,1100.00,1100.00,1100.00,1100.00,476800
13-Oct-17,1100.00,1100.00,1100.00,1100.00,100
12-Oct-17,1100.00,1100.00,1100.00,1100.00,1300
11-Oct-17,-,-,-,1140.00,0
10-Oct-17,1140.00,1140.00,1140.00,1140.00,300
9-Oct-17,1140.00,1140.00,1140.00,1140.00,100
6-Oct-17,1100.00,1100.00,1100.00,1100.00,1000
5-Oct-17,1100.00,1100.00,1100.00,1100.00,600
4-Oct-17,1130.00,1140.00,1100.00,1140.00,4000
3-Oct-17,1100.00,1130.00,1100.00,1130.00,300
2-Oct-17,1200.00,1200.00,1190.00,1190.00,4500
29-Sep-17,1190.00,1190.00,1190.00,1190.00,1500
28-Sep-17,1190.00,1190.00,1190.00,1190.00,700
27-Sep-17,1200.00,1200.00,1190.00,1190.00,600
26-Sep-17,1200.00,1200.00,1190.00,1190.00,500
25-Sep-17,1200.00,1200.00,1195.00,1195.00,400
22-Sep-17,1200.00,1200.00,1200.00,1200.00,400
20-Sep-17,-,-,-,1200.00,0
19-Sep-17,1160.00,1200.00,1160.00,1200.00,1100
18-Sep-17,1160.00,1160.00,1160.00,1160.00,600
15-Sep-17,1135.00,1180.00,1135.00,1150.00,305000
14-Sep-17,1070.00,1085.00,1070.00,1085.00,4700
13-Sep-17,1120.00,1150.00,1120.00,1150.00,1147800
12-Sep-17,1150.00,1150.00,1150.00,1150.00,1100
11-Sep-17,1070.00,1070.00,1070.00,1070.00,1800
8-Sep-17,1100.00,1100.00,1050.00,1070.00,3600
7-Sep-17,1100.00,1100.00,1100.00,1100.00,2500
6-Sep-17,-,-,-,1195.00,0
5-Sep-17,-,-,-,1195.00,0
4-Sep-17,-,-,-,1195.00,0
31-Aug-17,-,-,-,1195.00,0
30-Aug-17,1190.00,1195.00,1150.00,1195.00,6200
29-Aug-17,1100.00,1100.00,1100.00,1100.00,2000
28-Aug-17,1100.00,1100.00,1100.00,1100.00,100
25-Aug-17,-,-,-,1150.00,0
24-Aug-17,1150.00,1150.00,1150.00,1150.00,200
23-Aug-17,1200.00,1200.00,1200.00,1200.00,3100
22-Aug-17,-,-,-,1200.00,0
21-Aug-17,-,-,-,1200.00,0
18-Aug-17,1250.00,1250.00,1200.00,1200.00,3600
16-Aug-17,-,-,-,1200.00,0
15-Aug-17,1185.00,1200.00,1185.00,1200.00,188700
14-Aug-17,-,-,-,1190.00,0
11-Aug-17,1190.00,1190.00,1190.00,1190.00,100
10-Aug-17,1200.00,1200.00,1200.00,1200.00,6100
9-Aug-17,1110.00,1110.00,1110.00,1110.00,400
8-Aug-17,1100.00,1110.00,1100.00,1110.00,5200
7-Aug-17,1240.00,1250.00,1110.00,1110.00,3200
4-Aug-17,1230.00,1230.00,1230.00,1230.00,300
3-Aug-17,-,-,-,1230.00,0
2-Aug-17,1230.00,1230.00,1220.00,1230.00,115900
1-Aug-17,1180.00,1180.00,1180.00,1180.00,1200
31-Jul-17,1175.00,1175.00,1170.00,1170.00,1500
28-Jul-17,1200.00,1200.00,1175.00,1175.00,700
27-Jul-17,1180.00,1180.00,1180.00,1180.00,3100
26-Jul-17,1220.00,1220.00,1180.00,1180.00,4900
25-Jul-17,1150.00,1220.00,1150.00,1220.00,8100
24-Jul-17,1095.00,1200.00,1050.00,1085.00,3314900
21-Jul-17,1085.00,1280.00,1080.00,1200.00,1600
20-Jul-17,1100.00,1100.00,1085.00,1085.00,5000
19-Jul-17,-,-,-,1080.00,0
18-Jul-17,1045.00,1080.00,1000.00,1080.00,3900
17-Jul-17,1050.00,1050.00,1050.00,1050.00,35000
14-Jul-17,-,-,-,1080.00,0
13-Jul-17,-,-,-,1080.00,0
12-Jul-17,-,-,-,1080.00,0
11-Jul-17,-,-,-,1080.00,0
10-Jul-17,-,-,-,1080.00,0
7-Jul-17,-,-,-,1080.00,0
6-Jul-17,1080.00,1080.00,1080.00,1080.00,1800
5-Jul-17,-,-,-,1120.00,0
4-Jul-17,1120.00,1120.00,1120.00,1120.00,13500
3-Jul-17,1110.00,1120.00,1110.00,1120.00,200
22-Jun-17,1200.00,1200.00,1200.00,1200.00,300
21-Jun-17,-,-,-,1200.00,0
20-Jun-17,-,-,-,1200.00,0
19-Jun-17,-,-,-,1200.00,0
16-Jun-17,-,-,-,1200.00,0
15-Jun-17,-,-,-,1200.00,0
14-Jun-17,1120.00,1200.00,1120.00,1200.00,179600
13-Jun-17,1200.00,1200.00,1200.00,1200.00,174700
12-Jun-17,1200.00,1200.00,1200.00,1200.00,76200
9-Jun-17,1250.00,1250.00,1200.00,1200.00,57400
8-Jun-17,1245.00,1250.00,1245.00,1250.00,5200
7-Jun-17,1250.00,1250.00,1250.00,1250.00,10200
6-Jun-17,1250.00,1250.00,1250.00,1250.00,24000
5-Jun-17,1270.00,1270.00,1250.00,1270.00,49600
2-Jun-17,1250.00,1270.00,1250.00,1270.00,7400
31-May-17,1390.00,1390.00,1270.00,1270.00,26900
30-May-17,1270.00,1500.00,1270.00,1270.00,72600
29-May-17,1270.00,1270.00,1270.00,1270.00,100
26-May-17,1305.00,1350.00,1305.00,1350.00,1100
24-May-17,1400.00,1400.00,1400.00,1400.00,2000
23-May-17,1405.00,1405.00,1405.00,1405.00,1100
22-May-17,1415.00,1415.00,1415.00,1415.00,300
19-May-17,1450.00,1450.00,1450.00,1450.00,100
18-May-17,-,-,-,1470.00,0
17-May-17,-,-,-,1470.00,0
16-May-17,-,-,-,1470.00,0
15-May-17,-,-,-,1470.00,0
12-May-17,-,-,-,1470.00,0
10-May-17,-,-,-,1470.00,0
9-May-17,-,-,-,1470.00,0
8-May-17,-,-,-,1470.00,0
5-May-17,-,-,-,1470.00,0
4-May-17,1480.00,1480.00,1470.00,1470.00,168300
3-May-17,1300.00,1480.00,1300.00,1480.00,6000
2-May-17,-,-,-,1280.00,0
28-Apr-17,1300.00,1300.00,1280.00,1280.00,5200
27-Apr-17,1270.00,1270.00,1270.00,1270.00,10000
26-Apr-17,1600.00,1600.00,1600.00,1600.00,100
25-Apr-17,1600.00,1600.00,1600.00,1600.00,200
21-Apr-17,1590.00,1600.00,1590.00,1600.00,5400
20-Apr-17,1580.00,1590.00,1580.00,1590.00,700
18-Apr-17,1570.00,1580.00,1500.00,1580.00,4500
17-Apr-17,1465.00,1550.00,1465.00,1500.00,2200
13-Apr-17,1460.00,1460.00,1460.00,1460.00,700
