Date,Open,High,Low,Close,Volume
29-Dec-17,3030.00,3030.00,2990.00,2990.00,42700
28-Dec-17,3000.00,3000.00,2940.00,2940.00,17800
27-Dec-17,3030.00,3100.00,3000.00,3000.00,527400
22-Dec-17,3090.00,3100.00,3000.00,3000.00,162500
21-Dec-17,2780.00,3000.00,2780.00,2990.00,67900
20-Dec-17,2750.00,2800.00,2750.00,2750.00,93900
19-Dec-17,2740.00,2760.00,2740.00,2750.00,151100
18-Dec-17,2750.00,2770.00,2740.00,2740.00,494100
15-Dec-17,2760.00,2760.00,2740.00,2750.00,42000
14-Dec-17,2780.00,2780.00,2750.00,2760.00,212600
13-Dec-17,2900.00,2900.00,2760.00,2800.00,175300
12-Dec-17,3050.00,3050.00,2870.00,2920.00,24000
11-Dec-17,3000.00,3050.00,3000.00,3000.00,1409600
8-Dec-17,3100.00,3100.00,3050.00,3050.00,101800
7-Dec-17,3190.00,3190.00,3020.00,3180.00,17000
6-Dec-17,3270.00,3270.00,3210.00,3210.00,9500
5-Dec-17,3310.00,3310.00,3300.00,3300.00,10500
4-Dec-17,3330.00,3330.00,3320.00,3320.00,15500
30-Nov-17,3350.00,3360.00,3280.00,3330.00,9500
29-Nov-17,3400.00,3420.00,3350.00,3350.00,9000
28-Nov-17,3400.00,3400.00,3400.00,3400.00,6400
27-Nov-17,3450.00,3450.00,3400.00,3410.00,10500
24-Nov-17,3450.00,3470.00,3410.00,3440.00,28000
23-Nov-17,3460.00,3480.00,3460.00,3480.00,8200
22-Nov-17,3480.00,3490.00,3480.00,3490.00,12500
21-Nov-17,3500.00,3500.00,3490.00,3500.00,5600
20-Nov-17,3600.00,3600.00,3490.00,3490.00,94300
17-Nov-17,3580.00,3610.00,3580.00,3610.00,4700
16-Nov-17,3630.00,3640.00,3580.00,3630.00,43800
15-Nov-17,3640.00,3640.00,3640.00,3640.00,200
14-Nov-17,3740.00,3740.00,3580.00,3580.00,16200
13-Nov-17,3660.00,3790.00,3650.00,3740.00,2800
10-Nov-17,3600.00,3690.00,3570.00,3650.00,105200
9-Nov-17,3580.00,3700.00,3520.00,3690.00,317200
8-Nov-17,3580.00,3610.00,3580.00,3600.00,83300
7-Nov-17,3590.00,3600.00,3580.00,3600.00,42600
6-Nov-17,3600.00,3620.00,3580.00,3580.00,52200
3-Nov-17,3590.00,3590.00,3560.00,3590.00,4500
2-Nov-17,3600.00,3660.00,3590.00,3650.00,41200
1-Nov-17,3500.00,3600.00,3500.00,3580.00,5700
31-Oct-17,3540.00,3540.00,3450.00,3470.00,24300
30-Oct-17,3550.00,3550.00,3550.00,3550.00,6500
27-Oct-17,3550.00,3550.00,3540.00,3550.00,10100
26-Oct-17,3560.00,3560.00,3520.00,3520.00,21800
25-Oct-17,3530.00,3560.00,3530.00,3540.00,32000
24-Oct-17,3550.00,3560.00,3550.00,3560.00,1500
23-Oct-17,3500.00,3560.00,3500.00,3560.00,115100
20-Oct-17,3530.00,3530.00,3520.00,3520.00,4900
19-Oct-17,3600.00,3600.00,3520.00,3530.00,26600
18-Oct-17,3650.00,3660.00,3600.00,3600.00,133300
17-Oct-17,3670.00,3670.00,3650.00,3650.00,26300
16-Oct-17,3660.00,3680.00,3600.00,3670.00,6700
13-Oct-17,3670.00,3710.00,3670.00,3670.00,8300
12-Oct-17,3670.00,3670.00,3660.00,3670.00,39200
11-Oct-17,3680.00,3690.00,3680.00,3680.00,21400
10-Oct-17,3700.00,3700.00,3680.00,3690.00,29600
9-Oct-17,3730.00,3740.00,3680.00,3700.00,23100
6-Oct-17,3820.00,3830.00,3700.00,3740.00,13600
5-Oct-17,3850.00,3850.00,3830.00,3830.00,6600
4-Oct-17,3870.00,3870.00,3840.00,3850.00,25300
3-Oct-17,3850.00,3890.00,3850.00,3890.00,3900
2-Oct-17,3900.00,3920.00,3840.00,3840.00,10000
29-Sep-17,4030.00,4040.00,3850.00,3900.00,49600
28-Sep-17,4050.00,4110.00,4030.00,4080.00,107500
27-Sep-17,4100.00,4100.00,4030.00,4030.00,85000
26-Sep-17,4050.00,4100.00,4030.00,4040.00,50300
