Date,Open,High,Low,Close,Volume
29-Dec-17,4700.00,4780.00,4650.00,4730.00,25061500
28-Dec-17,4680.00,4710.00,4540.00,4710.00,41794100
27-Dec-17,4620.00,4700.00,4600.00,4690.00,13192800
22-Dec-17,4550.00,4660.00,4510.00,4650.00,16377500
21-Dec-17,4450.00,4600.00,4450.00,4600.00,22165400
20-Dec-17,4550.00,4550.00,4360.00,4450.00,30354500
19-Dec-17,4450.00,4650.00,4450.00,4550.00,22790500
18-Dec-17,4420.00,4500.00,4390.00,4500.00,9244800
15-Dec-17,4400.00,4460.00,4330.00,4390.00,23749200
14-Dec-17,4370.00,4540.00,4350.00,4400.00,22072700
13-Dec-17,4370.00,4370.00,4250.00,4350.00,8403000
12-Dec-17,4400.00,4400.00,4320.00,4370.00,6081700
11-Dec-17,4370.00,4400.00,4340.00,4400.00,8345200
8-Dec-17,4320.00,4360.00,4320.00,4340.00,10050400
7-Dec-17,4370.00,4380.00,4300.00,4320.00,11070100
6-Dec-17,4390.00,4480.00,4350.00,4370.00,15504500
5-Dec-17,4350.00,4490.00,4320.00,4370.00,20729600
4-Dec-17,4200.00,4390.00,4200.00,4320.00,26010000
30-Nov-17,4270.00,4320.00,4100.00,4100.00,48254700
29-Nov-17,4350.00,4390.00,4290.00,4310.00,29510300
28-Nov-17,4200.00,4380.00,4200.00,4380.00,23263700
27-Nov-17,4160.00,4280.00,4120.00,4220.00,19503000
24-Nov-17,4120.00,4240.00,4050.00,4150.00,20616800
23-Nov-17,4140.00,4170.00,4100.00,4110.00,10557700
22-Nov-17,4180.00,4200.00,4110.00,4110.00,17817600
21-Nov-17,4170.00,4220.00,4100.00,4180.00,21509300
20-Nov-17,4120.00,4300.00,4120.00,4140.00,24461300
17-Nov-17,4230.00,4340.00,4100.00,4100.00,22405100
16-Nov-17,4060.00,4290.00,4020.00,4250.00,31396600
15-Nov-17,4080.00,4170.00,4020.00,4030.00,11168100
14-Nov-17,4100.00,4140.00,4010.00,4050.00,11552400
13-Nov-17,4000.00,4100.00,3980.00,4100.00,10236900
10-Nov-17,3980.00,4050.00,3950.00,4030.00,9488900
9-Nov-17,4020.00,4030.00,3950.00,3950.00,10570000
8-Nov-17,3940.00,4030.00,3920.00,4020.00,15649500
7-Nov-17,3970.00,4000.00,3920.00,3940.00,12613300
6-Nov-17,3950.00,3990.00,3930.00,3940.00,9774200
3-Nov-17,3920.00,4000.00,3870.00,3990.00,15228400
2-Nov-17,4000.00,4000.00,3880.00,3900.00,14701800
1-Nov-17,3990.00,4000.00,3920.00,4000.00,12053200
31-Oct-17,3970.00,3980.00,3900.00,3980.00,17176400
30-Oct-17,3990.00,4010.00,3870.00,3900.00,21604000
27-Oct-17,3980.00,4000.00,3940.00,3990.00,28254000
26-Oct-17,4020.00,4030.00,3930.00,3990.00,25216400
25-Oct-17,3920.00,4060.00,3890.00,4020.00,27136800
24-Oct-17,3930.00,3950.00,3890.00,3920.00,12244900
23-Oct-17,3890.00,3950.00,3870.00,3930.00,16485300
20-Oct-17,3820.00,3930.00,3810.00,3870.00,11527200
19-Oct-17,3930.00,3950.00,3820.00,3820.00,35357700
18-Oct-17,3910.00,3930.00,3840.00,3930.00,16480900
17-Oct-17,3860.00,3910.00,3850.00,3910.00,13015100
16-Oct-17,3760.00,3870.00,3760.00,3850.00,14130900
13-Oct-17,3790.00,3830.00,3760.00,3760.00,12875700
12-Oct-17,3830.00,3840.00,3790.00,3790.00,22367000
11-Oct-17,3900.00,3900.00,3800.00,3820.00,21604200
10-Oct-17,3920.00,3920.00,3840.00,3900.00,9378400
9-Oct-17,3830.00,3930.00,3830.00,3920.00,13574600
6-Oct-17,3900.00,3900.00,3830.00,3860.00,10356800
5-Oct-17,3900.00,3910.00,3850.00,3880.00,18316000
4-Oct-17,3960.00,3960.00,3900.00,3920.00,16596400
