Date,Open,High,Low,Close,Volume
29-Dec-17,98.00,103.00,96.00,97.00,302400
28-Dec-17,93.00,101.00,93.00,97.00,603700
27-Dec-17,100.00,101.00,93.00,98.00,502800
22-Dec-17,104.00,107.00,100.00,100.00,554400
21-Dec-17,102.00,109.00,102.00,104.00,2333300
20-Dec-17,95.00,107.00,91.00,102.00,3613100
19-Dec-17,86.00,95.00,86.00,95.00,2520300
18-Dec-17,79.00,90.00,78.00,87.00,2653500
15-Dec-17,79.00,80.00,77.00,79.00,196700
14-Dec-17,79.00,82.00,77.00,78.00,98700
13-Dec-17,79.00,83.00,77.00,79.00,523500
12-Dec-17,79.00,79.00,75.00,76.00,607100
11-Dec-17,84.00,84.00,63.00,79.00,1346600
8-Dec-17,87.00,87.00,81.00,83.00,462600
7-Dec-17,85.00,88.00,81.00,84.00,483900
6-Dec-17,92.00,92.00,81.00,84.00,529500
5-Dec-17,92.00,93.00,77.00,85.00,2028400
4-Dec-17,96.00,97.00,90.00,92.00,1374500
30-Nov-17,99.00,100.00,96.00,96.00,1409900
29-Nov-17,102.00,104.00,99.00,99.00,739800
28-Nov-17,103.00,104.00,99.00,100.00,831900
27-Nov-17,102.00,105.00,101.00,101.00,1215500
24-Nov-17,105.00,105.00,101.00,101.00,512900
23-Nov-17,107.00,107.00,101.00,103.00,1671600
22-Nov-17,102.00,109.00,100.00,105.00,1691200
21-Nov-17,104.00,105.00,100.00,100.00,1175200
20-Nov-17,110.00,110.00,104.00,104.00,979400
17-Nov-17,114.00,115.00,106.00,107.00,3045600
16-Nov-17,100.00,123.00,99.00,113.00,15402300
15-Nov-17,102.00,105.00,95.00,99.00,2166500
14-Nov-17,104.00,112.00,100.00,102.00,2254600
9-Nov-17,112.00,115.00,102.00,104.00,3159400
8-Nov-17,119.00,119.00,108.00,111.00,3252500
7-Nov-17,119.00,120.00,115.00,116.00,1154100
6-Nov-17,118.00,119.00,115.00,117.00,1214300
3-Nov-17,118.00,125.00,115.00,117.00,1870400
2-Nov-17,117.00,120.00,116.00,117.00,1437700
1-Nov-17,119.00,121.00,115.00,116.00,958100
31-Oct-17,121.00,122.00,114.00,117.00,3420900
30-Oct-17,127.00,127.00,120.00,121.00,4801600
27-Oct-17,128.00,132.00,125.00,127.00,3705400
26-Oct-17,118.00,139.00,116.00,128.00,20189600
25-Oct-17,130.00,137.00,112.00,118.00,14523600
24-Oct-17,168.00,175.00,129.00,130.00,70331700
23-Oct-17,214.00,222.00,170.00,170.00,168282400
20-Oct-17,272.00,302.00,204.00,214.00,170427900
19-Oct-17,220.00,274.00,206.00,272.00,62543000
18-Oct-17,222.00,222.00,220.00,220.00,5500
17-Oct-17,224.00,224.00,224.00,224.00,11200
16-Oct-17,220.00,224.00,220.00,224.00,1300
13-Oct-17,228.00,228.00,220.00,220.00,2000
12-Oct-17,218.00,228.00,218.00,228.00,1400
11-Oct-17,230.00,230.00,230.00,230.00,300
10-Oct-17,238.00,238.00,232.00,236.00,3100
9-Oct-17,234.00,234.00,234.00,234.00,5900
6-Oct-17,238.00,238.00,230.00,234.00,3700
5-Oct-17,224.00,224.00,206.00,218.00,900
4-Oct-17,230.00,230.00,230.00,230.00,500
3-Oct-17,236.00,238.00,228.00,230.00,2100
2-Oct-17,242.00,242.00,226.00,226.00,52000
29-Sep-17,240.00,240.00,240.00,240.00,99900
28-Sep-17,240.00,240.00,240.00,240.00,100
27-Sep-17,230.00,230.00,230.00,230.00,8500
26-Sep-17,234.00,234.00,226.00,230.00,10000
25-Sep-17,210.00,234.00,210.00,234.00,600
22-Sep-17,240.00,240.00,226.00,226.00,20500
20-Sep-17,226.00,226.00,224.00,226.00,20400
19-Sep-17,230.00,230.00,170.00,224.00,13500
18-Sep-17,226.00,226.00,224.00,226.00,21600
15-Sep-17,234.00,234.00,222.00,226.00,37300
14-Sep-17,222.00,222.00,222.00,222.00,100
13-Sep-17,222.00,222.00,222.00,222.00,1600
12-Sep-17,-,-,-,226.00,0
11-Sep-17,226.00,226.00,226.00,226.00,13800
8-Sep-17,222.00,236.00,222.00,226.00,27500
28-Jul-17,232.00,232.00,222.00,222.00,19700
27-Jul-17,214.00,236.00,214.00,224.00,5700
26-Jul-17,234.00,240.00,226.00,226.00,14900
25-Jul-17,230.00,240.00,224.00,226.00,18200
24-Jul-17,244.00,244.00,210.00,228.00,66300
21-Jul-17,244.00,250.00,226.00,228.00,374200
20-Jul-17,298.00,298.00,224.00,224.00,1029700
19-Jul-17,296.00,300.00,296.00,298.00,1400
18-Jul-17,298.00,298.00,298.00,298.00,1000
17-Jul-17,290.00,290.00,290.00,290.00,1000
14-Jul-17,294.00,298.00,290.00,290.00,1700
13-Jul-17,294.00,294.00,294.00,294.00,2900
12-Jul-17,298.00,298.00,298.00,298.00,1000
11-Jul-17,296.00,298.00,296.00,298.00,6000
10-Jul-17,330.00,330.00,298.00,298.00,3200
7-Jul-17,292.00,306.00,280.00,280.00,2800
6-Jul-17,290.00,296.00,264.00,270.00,8900
5-Jul-17,278.00,300.00,226.00,284.00,11700
4-Jul-17,282.00,318.00,278.00,278.00,5200
3-Jul-17,272.00,272.00,272.00,272.00,700
22-Jun-17,270.00,280.00,270.00,280.00,14000
21-Jun-17,278.00,280.00,262.00,280.00,14100
20-Jun-17,300.00,300.00,260.00,278.00,49100
19-Jun-17,296.00,316.00,280.00,280.00,453500
16-Jun-17,396.00,396.00,296.00,296.00,2399000
15-Jun-17,330.00,420.00,330.00,390.00,22800
14-Jun-17,404.00,404.00,332.00,336.00,18200
13-Jun-17,390.00,450.00,390.00,404.00,611200
12-Jun-17,394.00,400.00,392.00,400.00,1786700
9-Jun-17,380.00,402.00,380.00,402.00,547400
8-Jun-17,370.00,380.00,370.00,380.00,17200
7-Jun-17,360.00,370.00,360.00,370.00,1100
6-Jun-17,380.00,400.00,360.00,360.00,418100
5-Jun-17,360.00,380.00,358.00,380.00,261900
2-Jun-17,358.00,360.00,358.00,360.00,900
31-May-17,330.00,360.00,330.00,360.00,130100
30-May-17,318.00,330.00,316.00,330.00,398500
29-May-17,300.00,320.00,298.00,318.00,414800
26-May-17,270.00,300.00,270.00,300.00,1619300
24-May-17,260.00,262.00,260.00,262.00,1075300
23-May-17,266.00,268.00,256.00,256.00,1066400
22-May-17,272.00,274.00,260.00,260.00,1088500
19-May-17,274.00,280.00,260.00,270.00,1082100
18-May-17,248.00,290.00,230.00,290.00,1139900
17-May-17,262.00,264.00,250.00,250.00,1085800
16-May-17,260.00,262.00,260.00,260.00,1076300
15-May-17,258.00,260.00,258.00,260.00,1055900
12-May-17,246.00,266.00,240.00,266.00,1127900
10-May-17,246.00,248.00,246.00,248.00,1061600
9-May-17,250.00,252.00,216.00,238.00,1077400
8-May-17,242.00,256.00,242.00,250.00,1080500
5-May-17,260.00,260.00,224.00,228.00,1093300
4-May-17,260.00,262.00,260.00,262.00,1020900
3-May-17,244.00,260.00,244.00,260.00,1094000
2-May-17,220.00,260.00,220.00,250.00,1078600
28-Apr-17,236.00,238.00,208.00,208.00,1059200
27-Apr-17,234.00,236.00,234.00,236.00,1060400
26-Apr-17,224.00,230.00,224.00,230.00,1055200
25-Apr-17,220.00,224.00,220.00,224.00,1078100
21-Apr-17,256.00,258.00,212.00,212.00,1056100
20-Apr-17,254.00,256.00,254.00,256.00,1077000
