Date,Open,High,Low,Close,Volume
29-Dec-17,2080.00,2080.00,2050.00,2050.00,1541700
28-Dec-17,2120.00,2120.00,2070.00,2070.00,1182200
27-Dec-17,2120.00,2140.00,2120.00,2120.00,381600
22-Dec-17,2150.00,2150.00,2100.00,2120.00,634900
21-Dec-17,2150.00,2190.00,2130.00,2150.00,848000
20-Dec-17,2190.00,2190.00,2120.00,2160.00,1658700
19-Dec-17,2080.00,2200.00,2080.00,2170.00,4833300
18-Dec-17,2130.00,2150.00,2090.00,2090.00,1205900
15-Dec-17,2070.00,2120.00,2040.00,2120.00,827000
14-Dec-17,2080.00,2100.00,2040.00,2060.00,1164500
13-Dec-17,2090.00,2150.00,2040.00,2080.00,2407000
12-Dec-17,2010.00,2120.00,2010.00,2090.00,2517300
11-Dec-17,2020.00,2020.00,1990.00,1990.00,446400
8-Dec-17,2000.00,2020.00,1985.00,1995.00,1634200
7-Dec-17,2000.00,2030.00,1990.00,1995.00,563300
6-Dec-17,1970.00,2040.00,1970.00,2020.00,726900
5-Dec-17,2100.00,2100.00,1970.00,2000.00,3586700
4-Dec-17,2050.00,2120.00,2040.00,2080.00,2755800
30-Nov-17,2070.00,2090.00,2020.00,2040.00,4648100
29-Nov-17,2070.00,2100.00,2060.00,2060.00,1718600
28-Nov-17,2080.00,2080.00,2050.00,2070.00,1387700
27-Nov-17,2100.00,2120.00,2070.00,2080.00,1156300
24-Nov-17,2100.00,2120.00,2100.00,2100.00,531600
23-Nov-17,2140.00,2150.00,2100.00,2100.00,1928800
22-Nov-17,2130.00,2160.00,2110.00,2130.00,1314900
21-Nov-17,2140.00,2150.00,2100.00,2110.00,1647000
20-Nov-17,2150.00,2170.00,2130.00,2140.00,1917800
17-Nov-17,2240.00,2250.00,2130.00,2140.00,3088500
16-Nov-17,2220.00,2240.00,2200.00,2220.00,1460800
15-Nov-17,2270.00,2300.00,2200.00,2220.00,1718400
14-Nov-17,2270.00,2290.00,2270.00,2280.00,276700
13-Nov-17,2240.00,2290.00,2240.00,2260.00,478200
10-Nov-17,2260.00,2280.00,2240.00,2240.00,1195900
9-Nov-17,2280.00,2300.00,2260.00,2260.00,1872000
8-Nov-17,2270.00,2290.00,2260.00,2280.00,1163400
7-Nov-17,2270.00,2320.00,2270.00,2270.00,3135000
6-Nov-17,2350.00,2350.00,2260.00,2270.00,1836600
3-Nov-17,2310.00,2330.00,2290.00,2300.00,2075700
2-Nov-17,2360.00,2370.00,2310.00,2310.00,1909000
1-Nov-17,2350.00,2400.00,2330.00,2350.00,1985000
31-Oct-17,2400.00,2410.00,2350.00,2350.00,2138100
30-Oct-17,2390.00,2400.00,2350.00,2350.00,979500
27-Oct-17,2390.00,2400.00,2340.00,2370.00,882600
26-Oct-17,2410.00,2420.00,2370.00,2390.00,1201900
25-Oct-17,2380.00,2460.00,2350.00,2410.00,4718900
24-Oct-17,2330.00,2420.00,2310.00,2390.00,2375300
23-Oct-17,2380.00,2410.00,2330.00,2330.00,2930400
20-Oct-17,2390.00,2410.00,2350.00,2380.00,1572100
19-Oct-17,2410.00,2430.00,2370.00,2400.00,3230700
18-Oct-17,2430.00,2460.00,2370.00,2390.00,6062400
17-Oct-17,2230.00,2440.00,2230.00,2430.00,11827500
16-Oct-17,2260.00,2270.00,2220.00,2230.00,873000
13-Oct-17,2250.00,2280.00,2240.00,2250.00,1072600
12-Oct-17,2290.00,2310.00,2250.00,2250.00,1489100
11-Oct-17,2250.00,2290.00,2220.00,2290.00,1930600
10-Oct-17,2250.00,2270.00,2240.00,2250.00,1183300
9-Oct-17,2260.00,2280.00,2240.00,2250.00,397800
6-Oct-17,2250.00,2290.00,2240.00,2260.00,2474100
5-Oct-17,2250.00,2320.00,2230.00,2240.00,4051200
4-Oct-17,2140.00,2260.00,2130.00,2250.00,5317400
3-Oct-17,2130.00,2130.00,2090.00,2120.00,1492200
2-Oct-17,2140.00,2150.00,2090.00,2100.00,804400
29-Sep-17,2150.00,2170.00,2130.00,2140.00,1538600
28-Sep-17,2080.00,2180.00,2080.00,2150.00,2989400
27-Sep-17,2100.00,2130.00,2080.00,2090.00,2455500
26-Sep-17,2130.00,2180.00,2100.00,2130.00,1340000
25-Sep-17,2180.00,2180.00,2120.00,2130.00,1228700
22-Sep-17,2190.00,2190.00,2160.00,2180.00,868700
20-Sep-17,2180.00,2200.00,2170.00,2190.00,1550700
19-Sep-17,2210.00,2210.00,2140.00,2190.00,2791600
18-Sep-17,2120.00,2190.00,2100.00,2170.00,1873900
15-Sep-17,2170.00,2170.00,2080.00,2120.00,3154700
14-Sep-17,2190.00,2230.00,2110.00,2110.00,11151900
13-Sep-17,2320.00,2320.00,2120.00,2180.00,12250300
12-Sep-17,2350.00,2350.00,2290.00,2290.00,2767000
11-Sep-17,2260.00,2400.00,2260.00,2290.00,7041100
8-Sep-17,2270.00,2280.00,2250.00,2260.00,1146600
7-Sep-17,2320.00,2330.00,2250.00,2270.00,1967100
6-Sep-17,2290.00,2340.00,2250.00,2310.00,2419700
5-Sep-17,2240.00,2300.00,2200.00,2290.00,4156100
4-Sep-17,2340.00,2350.00,2230.00,2240.00,2316000
31-Aug-17,2310.00,2330.00,2250.00,2320.00,2465600
30-Aug-17,2370.00,2370.00,2300.00,2300.00,6095000
29-Aug-17,2390.00,2410.00,2360.00,2370.00,1868300
28-Aug-17,2400.00,2430.00,2380.00,2380.00,2302600
25-Aug-17,2410.00,2440.00,2400.00,2400.00,1371900
24-Aug-17,2370.00,2490.00,2370.00,2400.00,4282100
23-Aug-17,2400.00,2500.00,2380.00,2460.00,11237700
22-Aug-17,2370.00,2420.00,2350.00,2380.00,3738200
21-Aug-17,2380.00,2440.00,2350.00,2350.00,4992600
18-Aug-17,2350.00,2400.00,2340.00,2360.00,3998700
16-Aug-17,2370.00,2380.00,2290.00,2350.00,4697900
15-Aug-17,2400.00,2430.00,2360.00,2370.00,2634700
