Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,8100.00,0
28-Dec-17,-,-,-,8100.00,0
27-Dec-17,-,-,-,8100.00,0
22-Dec-17,-,-,-,8100.00,0
21-Dec-17,-,-,-,8100.00,0
20-Dec-17,-,-,-,8100.00,0
19-Dec-17,8100.00,8100.00,8100.00,8100.00,100
18-Dec-17,-,-,-,8100.00,0
15-Dec-17,8000.00,8100.00,8000.00,8100.00,200
14-Dec-17,-,-,-,8550.00,0
13-Dec-17,-,-,-,8550.00,0
12-Dec-17,-,-,-,8550.00,0
11-Dec-17,-,-,-,8550.00,0
8-Dec-17,-,-,-,8550.00,0
7-Dec-17,-,-,-,8550.00,0
6-Dec-17,-,-,-,8550.00,0
5-Dec-17,8550.00,8550.00,8550.00,8550.00,500
4-Dec-17,9400.00,9400.00,9400.00,9400.00,47100
30-Nov-17,9400.00,9400.00,9400.00,9400.00,54600
29-Nov-17,9400.00,9400.00,9400.00,9400.00,51200
28-Nov-17,-,-,-,9600.00,0
27-Nov-17,9600.00,9600.00,9600.00,9600.00,40000
24-Nov-17,9600.00,9600.00,9600.00,9600.00,1600
23-Nov-17,9600.00,9600.00,9600.00,9600.00,1600
22-Nov-17,9600.00,9600.00,9600.00,9600.00,2000
21-Nov-17,9600.00,9600.00,9600.00,9600.00,9200
20-Nov-17,9600.00,9600.00,9600.00,9600.00,7000
17-Nov-17,9600.00,9600.00,9600.00,9600.00,6000
16-Nov-17,9600.00,9600.00,9600.00,9600.00,24000
15-Nov-17,9600.00,9700.00,9600.00,9600.00,9900
14-Nov-17,9600.00,9600.00,9600.00,9600.00,21800
13-Nov-17,9600.00,9600.00,9600.00,9600.00,15000
10-Nov-17,9600.00,9625.00,9600.00,9625.00,3300
9-Nov-17,9600.00,9600.00,9600.00,9600.00,3400
8-Nov-17,9600.00,9600.00,9600.00,9600.00,2400
7-Nov-17,-,-,-,9700.00,0
6-Nov-17,9700.00,9700.00,9700.00,9700.00,1000
3-Nov-17,9600.00,9700.00,9600.00,9625.00,8600
2-Nov-17,9600.00,9900.00,9600.00,9900.00,22300
1-Nov-17,9700.00,9900.00,9600.00,9800.00,168000
31-Oct-17,9700.00,9700.00,9600.00,9700.00,30900
30-Oct-17,9700.00,9800.00,9700.00,9800.00,42600
27-Oct-17,9700.00,9800.00,9500.00,9700.00,147200
26-Oct-17,9600.00,9700.00,9600.00,9600.00,77700
25-Oct-17,9500.00,9600.00,9250.00,9600.00,108700
24-Oct-17,8900.00,9700.00,8900.00,9500.00,18000
