Date,Open,High,Low,Close,Volume
22-Mar-17,73.00,73.00,72.00,73.00,5000
21-Mar-17,73.00,75.00,71.00,73.00,35800
20-Mar-17,71.00,72.00,71.00,71.00,20700
17-Mar-17,74.00,75.00,74.00,74.00,54900
16-Mar-17,70.00,75.00,67.00,74.00,324000
15-Mar-17,64.00,73.00,64.00,69.00,48100
14-Mar-17,75.00,79.00,72.00,73.00,112300
13-Mar-17,66.00,70.00,57.00,69.00,124900
10-Mar-17,72.00,72.00,72.00,72.00,100
9-Mar-17,73.00,73.00,68.00,68.00,2900
8-Mar-17,75.00,75.00,68.00,68.00,37800
7-Mar-17,67.00,76.00,67.00,69.00,66500
6-Mar-17,75.00,75.00,75.00,75.00,50100
3-Mar-17,-,-,-,78.00,0
2-Mar-17,65.00,80.00,65.00,78.00,20700
1-Mar-17,63.00,65.00,63.00,65.00,109100
28-Feb-17,70.00,70.00,62.00,62.00,1900
27-Feb-17,70.00,72.00,50.00,68.00,9200
24-Feb-17,71.00,73.00,71.00,71.00,269800
23-Feb-17,71.00,71.00,70.00,70.00,198500
22-Feb-17,82.00,82.00,65.00,72.00,263700
21-Feb-17,77.00,77.00,71.00,72.00,153200
20-Feb-17,-,-,-,80.00,0
17-Feb-17,80.00,80.00,80.00,80.00,59800
16-Feb-17,79.00,82.00,79.00,82.00,600
14-Feb-17,77.00,78.00,77.00,78.00,47000
13-Feb-17,80.00,81.00,80.00,81.00,59600
10-Feb-17,78.00,81.00,78.00,81.00,101400
9-Feb-17,79.00,84.00,79.00,80.00,239300
8-Feb-17,80.00,82.00,79.00,79.00,978500
7-Feb-17,78.00,78.00,78.00,78.00,101400
6-Feb-17,78.00,79.00,78.00,78.00,222900
3-Feb-17,76.00,79.00,76.00,77.00,1083500
2-Feb-17,79.00,79.00,78.00,79.00,745600
1-Feb-17,80.00,80.00,78.00,80.00,124600
31-Jan-17,82.00,82.00,80.00,80.00,106800
30-Jan-17,83.00,83.00,81.00,83.00,69800
27-Jan-17,84.00,84.00,82.00,83.00,207900
26-Jan-17,86.00,87.00,85.00,86.00,200000
25-Jan-17,83.00,87.00,83.00,87.00,77000
24-Jan-17,85.00,86.00,82.00,82.00,375500
23-Jan-17,91.00,93.00,86.00,86.00,2176200
20-Jan-17,84.00,98.00,84.00,90.00,8609900
19-Jan-17,76.00,85.00,76.00,82.00,2548100
18-Jan-17,76.00,81.00,75.00,77.00,3091900
17-Jan-17,73.00,75.00,72.00,74.00,3198700
16-Jan-17,71.00,71.00,71.00,71.00,1000
13-Jan-17,73.00,73.00,70.00,70.00,50100
12-Jan-17,72.00,72.00,72.00,72.00,2500
11-Jan-17,71.00,71.00,71.00,71.00,71500
10-Jan-17,78.00,78.00,72.00,72.00,10200
9-Jan-17,71.00,75.00,71.00,75.00,1200
6-Jan-17,-,-,-,71.00,0
5-Jan-17,71.00,71.00,71.00,71.00,27100
4-Jan-17,71.00,71.00,71.00,71.00,53700
3-Jan-17,71.00,71.00,70.00,71.00,6000
30-Dec-16,73.00,73.00,71.00,71.00,14200
29-Dec-16,72.00,74.00,72.00,72.00,682100
28-Dec-16,79.00,79.00,79.00,79.00,100
27-Dec-16,71.00,82.00,68.00,68.00,5300
23-Dec-16,65.00,73.00,65.00,73.00,300
22-Dec-16,70.00,70.00,69.00,70.00,276600
21-Dec-16,73.00,73.00,73.00,73.00,2000
20-Dec-16,74.00,80.00,73.00,73.00,243800
19-Dec-16,75.00,75.00,74.00,74.00,377200
16-Dec-16,79.00,82.00,77.00,77.00,300100
15-Dec-16,78.00,83.00,78.00,79.00,1750200
14-Dec-16,-,-,-,73.00,0
13-Dec-16,77.00,77.00,73.00,73.00,2100
9-Dec-16,-,-,-,77.00,0
8-Dec-16,82.00,82.00,73.00,77.00,50100
7-Dec-16,76.00,79.00,76.00,79.00,5800
6-Dec-16,81.00,81.00,71.00,76.00,16600
