Date,Open,High,Low,Close,Volume
29-Dec-17,314.00,314.00,304.00,314.00,1700
28-Dec-17,312.00,312.00,312.00,312.00,30700
27-Dec-17,306.00,314.00,300.00,314.00,29900
22-Dec-17,310.00,310.00,306.00,306.00,800
21-Dec-17,310.00,310.00,308.00,310.00,1400
20-Dec-17,306.00,312.00,306.00,312.00,500
19-Dec-17,318.00,318.00,300.00,312.00,42100
18-Dec-17,-,-,-,320.00,0
15-Dec-17,320.00,320.00,320.00,320.00,100
14-Dec-17,-,-,-,318.00,0
13-Dec-17,318.00,320.00,302.00,318.00,27400
12-Dec-17,320.00,320.00,300.00,320.00,1200
11-Dec-17,-,-,-,320.00,0
8-Dec-17,318.00,320.00,318.00,320.00,18400
7-Dec-17,314.00,326.00,298.00,320.00,146600
6-Dec-17,316.00,316.00,316.00,316.00,100
5-Dec-17,314.00,332.00,314.00,318.00,17700
4-Dec-17,314.00,314.00,314.00,314.00,600
30-Nov-17,310.00,316.00,310.00,316.00,600
29-Nov-17,314.00,316.00,314.00,316.00,5800
28-Nov-17,308.00,316.00,308.00,316.00,200
27-Nov-17,306.00,318.00,306.00,318.00,3000
24-Nov-17,320.00,320.00,318.00,320.00,5800
23-Nov-17,-,-,-,320.00,0
22-Nov-17,318.00,320.00,318.00,320.00,8100
21-Nov-17,300.00,320.00,300.00,320.00,32200
20-Nov-17,314.00,314.00,300.00,300.00,4100
17-Nov-17,320.00,320.00,308.00,318.00,31900
16-Nov-17,300.00,302.00,298.00,302.00,26800
15-Nov-17,300.00,320.00,300.00,300.00,9400
14-Nov-17,300.00,304.00,300.00,300.00,28900
13-Nov-17,300.00,304.00,300.00,304.00,32600
10-Nov-17,326.00,330.00,300.00,300.00,15300
9-Nov-17,336.00,338.00,302.00,310.00,64900
8-Nov-17,342.00,344.00,316.00,316.00,52500
7-Nov-17,324.00,330.00,322.00,322.00,133600
6-Nov-17,326.00,336.00,326.00,336.00,31300
3-Nov-17,344.00,344.00,324.00,336.00,6000
2-Nov-17,326.00,336.00,326.00,336.00,3400
1-Nov-17,344.00,352.00,340.00,340.00,53500
31-Oct-17,346.00,346.00,328.00,344.00,6900
30-Oct-17,336.00,346.00,334.00,346.00,11200
27-Oct-17,346.00,348.00,344.00,344.00,5500
26-Oct-17,358.00,358.00,340.00,344.00,31300
25-Oct-17,334.00,380.00,324.00,364.00,3900
24-Oct-17,340.00,342.00,340.00,340.00,8100
23-Oct-17,336.00,342.00,332.00,342.00,8100
20-Oct-17,330.00,338.00,328.00,338.00,6100
19-Oct-17,330.00,332.00,326.00,332.00,18300
18-Oct-17,340.00,340.00,330.00,330.00,200
17-Oct-17,344.00,344.00,326.00,326.00,20200
16-Oct-17,324.00,390.00,324.00,342.00,54000
13-Oct-17,326.00,328.00,324.00,328.00,36600
12-Oct-17,326.00,326.00,326.00,326.00,2600
11-Oct-17,332.00,332.00,326.00,326.00,14000
10-Oct-17,332.00,334.00,332.00,334.00,37700
9-Oct-17,330.00,332.00,330.00,332.00,5200
6-Oct-17,330.00,334.00,324.00,332.00,67200
5-Oct-17,336.00,340.00,334.00,334.00,12800
4-Oct-17,322.00,336.00,322.00,330.00,19600
