Date,Open,High,Low,Close,Volume
29-Dec-17,1090.00,1095.00,1075.00,1090.00,523300
28-Dec-17,1090.00,1090.00,1090.00,1090.00,517700
27-Dec-17,1080.00,1090.00,1060.00,1090.00,666900
22-Dec-17,1080.00,1080.00,1080.00,1080.00,229200
21-Dec-17,1075.00,1085.00,1075.00,1080.00,488700
20-Dec-17,1075.00,1080.00,1075.00,1075.00,326600
19-Dec-17,1065.00,1080.00,1065.00,1075.00,442900
18-Dec-17,1070.00,1070.00,1060.00,1065.00,211400
15-Dec-17,1070.00,1070.00,1060.00,1070.00,176700
14-Dec-17,1055.00,1070.00,1055.00,1070.00,287400
13-Dec-17,1050.00,1055.00,1050.00,1055.00,212000
12-Dec-17,1040.00,1060.00,1040.00,1050.00,360500
11-Dec-17,1035.00,1040.00,1030.00,1040.00,225100
8-Dec-17,1025.00,1035.00,1015.00,1035.00,307700
7-Dec-17,1030.00,1035.00,1025.00,1030.00,257100
6-Dec-17,1030.00,1035.00,1030.00,1035.00,183600
5-Dec-17,1035.00,1035.00,1030.00,1035.00,206200
4-Dec-17,1030.00,1035.00,1030.00,1035.00,132200
30-Nov-17,1030.00,1030.00,1020.00,1030.00,311700
29-Nov-17,1030.00,1035.00,1030.00,1030.00,412000
28-Nov-17,1030.00,1035.00,1025.00,1030.00,207900
27-Nov-17,1035.00,1040.00,1030.00,1035.00,161600
24-Nov-17,1035.00,1040.00,1030.00,1035.00,225200
23-Nov-17,1030.00,1040.00,1020.00,1035.00,394200
22-Nov-17,1030.00,1035.00,1030.00,1035.00,321700
21-Nov-17,1045.00,1045.00,1030.00,1030.00,188100
20-Nov-17,1050.00,1050.00,1040.00,1050.00,216900
17-Nov-17,1050.00,1055.00,1050.00,1050.00,162900
16-Nov-17,1050.00,1050.00,1045.00,1050.00,153300
15-Nov-17,1045.00,1050.00,1045.00,1050.00,329500
14-Nov-17,1040.00,1045.00,1040.00,1045.00,296600
13-Nov-17,1035.00,1040.00,1035.00,1040.00,168500
10-Nov-17,1035.00,1035.00,1020.00,1035.00,86000
9-Nov-17,1020.00,1035.00,1020.00,1035.00,388800
8-Nov-17,1015.00,1020.00,1000.00,1020.00,91700
7-Nov-17,1015.00,1015.00,1015.00,1015.00,177400
6-Nov-17,1005.00,1015.00,1005.00,1015.00,210800
3-Nov-17,1000.00,1010.00,1000.00,1005.00,212800
2-Nov-17,995.00,1005.00,985.00,1000.00,254800
1-Nov-17,995.00,995.00,995.00,995.00,207700
31-Oct-17,995.00,995.00,995.00,995.00,129400
30-Oct-17,990.00,995.00,990.00,995.00,143700
27-Oct-17,990.00,995.00,990.00,990.00,208500
26-Oct-17,990.00,995.00,990.00,990.00,133900
