Date,Open,High,Low,Close,Volume
29-Dec-17,406.00,408.00,406.00,408.00,59100
28-Dec-17,404.00,408.00,400.00,408.00,61700
27-Dec-17,408.00,408.00,402.00,408.00,3000
22-Dec-17,416.00,416.00,410.00,410.00,1700
21-Dec-17,408.00,416.00,408.00,416.00,49800
20-Dec-17,400.00,408.00,400.00,406.00,37500
19-Dec-17,400.00,406.00,400.00,406.00,85200
18-Dec-17,406.00,406.00,402.00,404.00,6300
15-Dec-17,404.00,406.00,404.00,406.00,15600
14-Dec-17,402.00,406.00,402.00,406.00,37000
13-Dec-17,402.00,408.00,402.00,408.00,5900
12-Dec-17,406.00,406.00,406.00,406.00,100
11-Dec-17,408.00,408.00,400.00,408.00,42800
8-Dec-17,412.00,412.00,408.00,408.00,600
7-Dec-17,416.00,416.00,406.00,414.00,9300
6-Dec-17,414.00,420.00,410.00,416.00,79300
5-Dec-17,400.00,418.00,400.00,410.00,29900
4-Dec-17,400.00,410.00,400.00,410.00,3600
30-Nov-17,410.00,410.00,408.00,410.00,20300
29-Nov-17,410.00,410.00,408.00,410.00,500
28-Nov-17,410.00,412.00,408.00,412.00,2700
27-Nov-17,400.00,412.00,400.00,410.00,1505600
24-Nov-17,430.00,430.00,400.00,400.00,596200
23-Nov-17,430.00,430.00,430.00,430.00,6100
22-Nov-17,426.00,428.00,426.00,428.00,88800
21-Nov-17,422.00,428.00,422.00,428.00,1400
20-Nov-17,420.00,424.00,410.00,420.00,27000
17-Nov-17,428.00,428.00,420.00,424.00,28400
16-Nov-17,438.00,438.00,402.00,402.00,16600
15-Nov-17,448.00,448.00,442.00,442.00,1100
14-Nov-17,432.00,442.00,430.00,442.00,300
13-Nov-17,446.00,446.00,444.00,444.00,3800
10-Nov-17,416.00,446.00,402.00,446.00,301200
9-Nov-17,424.00,426.00,424.00,426.00,300
8-Nov-17,420.00,426.00,410.00,426.00,283900
7-Nov-17,418.00,424.00,412.00,422.00,9000
6-Nov-17,408.00,420.00,406.00,420.00,21000
3-Nov-17,406.00,408.00,406.00,408.00,10200
2-Nov-17,408.00,408.00,400.00,400.00,437200
1-Nov-17,408.00,408.00,402.00,408.00,2800
31-Oct-17,-,-,-,408.00,0
30-Oct-17,408.00,408.00,406.00,408.00,2000
27-Oct-17,400.00,408.00,400.00,408.00,17500
26-Oct-17,400.00,408.00,400.00,408.00,700
25-Oct-17,400.00,410.00,390.00,400.00,54300
24-Oct-17,400.00,410.00,400.00,410.00,3600
23-Oct-17,410.00,410.00,400.00,402.00,11000
20-Oct-17,-,-,-,412.00,0
19-Oct-17,400.00,412.00,400.00,412.00,100600
18-Oct-17,400.00,410.00,400.00,410.00,108900
17-Oct-17,412.00,412.00,400.00,412.00,12600
16-Oct-17,410.00,410.00,410.00,410.00,36600
13-Oct-17,398.00,410.00,398.00,410.00,5900
12-Oct-17,-,-,-,410.00,0
11-Oct-17,-,-,-,410.00,0
10-Oct-17,-,-,-,410.00,0
