Date,Open,High,Low,Close,Volume
29-Dec-17,2850.00,2910.00,2850.00,2890.00,9727700
28-Dec-17,2860.00,2860.00,2810.00,2830.00,5024800
27-Dec-17,2800.00,2830.00,2750.00,2830.00,3778800
22-Dec-17,2840.00,2850.00,2790.00,2800.00,4185500
21-Dec-17,2870.00,2890.00,2840.00,2840.00,5395600
20-Dec-17,2900.00,2900.00,2830.00,2850.00,10485500
19-Dec-17,2940.00,2940.00,2890.00,2920.00,4371500
18-Dec-17,2900.00,2950.00,2880.00,2900.00,8315300
15-Dec-17,2840.00,2850.00,2770.00,2850.00,5283400
14-Dec-17,2880.00,2900.00,2790.00,2820.00,7972200
13-Dec-17,2680.00,2860.00,2650.00,2850.00,13508300
12-Dec-17,2700.00,2710.00,2650.00,2680.00,6052500
11-Dec-17,2680.00,2690.00,2570.00,2610.00,4781800
8-Dec-17,2720.00,2740.00,2690.00,2690.00,2505900
7-Dec-17,2650.00,2730.00,2650.00,2700.00,4609400
6-Dec-17,2650.00,2690.00,2610.00,2680.00,4545600
5-Dec-17,2750.00,2790.00,2690.00,2690.00,11680100
4-Dec-17,2760.00,2800.00,2740.00,2790.00,5276500
30-Nov-17,2750.00,2790.00,2710.00,2760.00,11728200
29-Nov-17,2780.00,2810.00,2750.00,2780.00,10811400
28-Nov-17,2850.00,2850.00,2760.00,2780.00,12095500
27-Nov-17,2940.00,2940.00,2880.00,2900.00,8148600
24-Nov-17,2940.00,2950.00,2890.00,2940.00,10931900
23-Nov-17,2970.00,2980.00,2860.00,2900.00,6786200
22-Nov-17,2960.00,3010.00,2920.00,2950.00,14962100
21-Nov-17,2960.00,3000.00,2910.00,2920.00,8392600
20-Nov-17,3000.00,3040.00,2900.00,2900.00,8133200
17-Nov-17,2990.00,3040.00,2950.00,2970.00,8486100
16-Nov-17,3010.00,3040.00,2980.00,3010.00,5364300
15-Nov-17,3050.00,3080.00,3000.00,3040.00,11697300
14-Nov-17,3200.00,3220.00,3140.00,3150.00,11444700
13-Nov-17,3100.00,3170.00,3090.00,3130.00,10128500
10-Nov-17,3120.00,3170.00,3110.00,3120.00,10263100
9-Nov-17,3260.00,3260.00,3150.00,3180.00,9739300
8-Nov-17,3250.00,3250.00,3190.00,3210.00,9174600
7-Nov-17,3200.00,3340.00,3180.00,3290.00,24080100
6-Nov-17,3100.00,3180.00,3060.00,3170.00,22304000
3-Nov-17,3060.00,3090.00,3040.00,3080.00,7395200
2-Nov-17,3060.00,3090.00,3030.00,3050.00,18824600
1-Nov-17,3100.00,3120.00,3020.00,3020.00,35291800
31-Oct-17,2920.00,2960.00,2890.00,2940.00,10924600
30-Oct-17,2870.00,2930.00,2820.00,2920.00,11900100
27-Oct-17,2880.00,2920.00,2780.00,2800.00,20030500
26-Oct-17,2950.00,2980.00,2890.00,2890.00,8963100
25-Oct-17,3030.00,3050.00,2940.00,2970.00,14764300
24-Oct-17,3010.00,3050.00,2970.00,3030.00,10219100
23-Oct-17,2980.00,2990.00,2890.00,2990.00,7222500
20-Oct-17,2880.00,3030.00,2880.00,2990.00,12615400
19-Oct-17,2800.00,2880.00,2750.00,2870.00,13228900
18-Oct-17,2880.00,2900.00,2820.00,2820.00,9791300
17-Oct-17,3000.00,3050.00,2880.00,2880.00,9123700
16-Oct-17,3050.00,3060.00,2970.00,2970.00,5652600
13-Oct-17,3030.00,3080.00,2990.00,3000.00,13922500
12-Oct-17,2980.00,3010.00,2940.00,2990.00,7983000
11-Oct-17,2950.00,2980.00,2920.00,2970.00,11065900
10-Oct-17,2900.00,2960.00,2870.00,2920.00,20892400
9-Oct-17,2820.00,2880.00,2790.00,2800.00,8591000
6-Oct-17,2820.00,2850.00,2750.00,2820.00,9162800
5-Oct-17,2900.00,2900.00,2780.00,2790.00,10347300
4-Oct-17,2800.00,2920.00,2770.00,2910.00,29917900
3-Oct-17,2630.00,2750.00,2610.00,2750.00,15556100
2-Oct-17,2610.00,2660.00,2600.00,2600.00,8141000
29-Sep-17,2550.00,2600.00,2540.00,2590.00,10663500
28-Sep-17,2580.00,2600.00,2510.00,2520.00,8031000
27-Sep-17,2600.00,2630.00,2560.00,2600.00,3332500
26-Sep-17,2640.00,2680.00,2610.00,2640.00,5768200
25-Sep-17,2580.00,2650.00,2540.00,2650.00,6102500
22-Sep-17,2690.00,2700.00,2560.00,2600.00,24669100
20-Sep-17,2700.00,2830.00,2700.00,2790.00,11419400
19-Sep-17,2760.00,2780.00,2660.00,2680.00,11202300
18-Sep-17,2720.00,2790.00,2650.00,2760.00,11896400
15-Sep-17,2840.00,2860.00,2690.00,2730.00,10036700
14-Sep-17,2950.00,2970.00,2820.00,2840.00,10922300
13-Sep-17,3020.00,3040.00,2940.00,2970.00,5276600
12-Sep-17,3020.00,3040.00,3000.00,3020.00,13127300
11-Sep-17,2850.00,3010.00,2850.00,2980.00,10584300
8-Sep-17,2990.00,3000.00,2930.00,2980.00,7065100
7-Sep-17,3010.00,3020.00,2970.00,3000.00,16367700
6-Sep-17,2950.00,3020.00,2930.00,2990.00,11856800
5-Sep-17,3020.00,3030.00,2890.00,2980.00,13353500
4-Sep-17,3090.00,3100.00,2980.00,3010.00,29862300
31-Aug-17,3060.00,3070.00,2970.00,2970.00,20749000
30-Aug-17,2980.00,3140.00,2930.00,3080.00,53749000
29-Aug-17,3000.00,3020.00,2930.00,2960.00,15034700
28-Aug-17,2830.00,2970.00,2790.00,2930.00,10492700
25-Aug-17,2900.00,2940.00,2870.00,2890.00,8079400
24-Aug-17,3050.00,3120.00,2920.00,2920.00,28179000
23-Aug-17,2990.00,3020.00,2880.00,2980.00,27686300
22-Aug-17,2850.00,3000.00,2840.00,2990.00,41250200
21-Aug-17,2780.00,2830.00,2770.00,2800.00,25329400
18-Aug-17,2580.00,2720.00,2580.00,2720.00,27394600
16-Aug-17,2550.00,2570.00,2510.00,2550.00,6214400
15-Aug-17,2540.00,2590.00,2510.00,2550.00,11371200
14-Aug-17,2510.00,2560.00,2500.00,2540.00,6626600
11-Aug-17,2620.00,2640.00,2530.00,2550.00,19645300
10-Aug-17,2670.00,2690.00,2590.00,2610.00,14260100
9-Aug-17,2520.00,2640.00,2520.00,2640.00,42149800
8-Aug-17,2400.00,2460.00,2380.00,2440.00,13989100
7-Aug-17,2460.00,2460.00,2340.00,2370.00,9214100
4-Aug-17,2430.00,2460.00,2390.00,2460.00,4645900
3-Aug-17,2460.00,2490.00,2420.00,2430.00,6212800
2-Aug-17,2470.00,2470.00,2420.00,2430.00,5817100
1-Aug-17,2430.00,2480.00,2380.00,2450.00,15252600
31-Jul-17,2500.00,2510.00,2410.00,2420.00,7944600
28-Jul-17,2390.00,2500.00,2340.00,2490.00,34261600
27-Jul-17,2370.00,2410.00,2330.00,2390.00,13410600
26-Jul-17,2350.00,2420.00,2350.00,2380.00,46531800
25-Jul-17,2200.00,2340.00,2200.00,2300.00,33838700
24-Jul-17,2190.00,2200.00,2090.00,2170.00,6211200
21-Jul-17,2130.00,2200.00,2120.00,2190.00,20651700
20-Jul-17,2140.00,2180.00,2120.00,2150.00,9486100
19-Jul-17,2090.00,2160.00,2070.00,2130.00,23060400
18-Jul-17,2110.00,2110.00,2050.00,2050.00,7266300
17-Jul-17,1980.00,2120.00,1980.00,2090.00,43491200
14-Jul-17,1960.00,1975.00,1935.00,1960.00,5944700
13-Jul-17,1920.00,1960.00,1905.00,1960.00,10462900
12-Jul-17,1850.00,1945.00,1850.00,1910.00,10997500
11-Jul-17,1870.00,1875.00,1835.00,1845.00,3502600
10-Jul-17,1870.00,1870.00,1860.00,1865.00,3287900
7-Jul-17,1860.00,1875.00,1840.00,1865.00,6357600
6-Jul-17,1880.00,1885.00,1855.00,1860.00,1655000
5-Jul-17,1860.00,1890.00,1860.00,1885.00,11751800
4-Jul-17,1885.00,1890.00,1855.00,1855.00,2203400
3-Jul-17,1900.00,1910.00,1875.00,1880.00,4255500
22-Jun-17,1875.00,1880.00,1840.00,1850.00,10271200
21-Jun-17,1890.00,1895.00,1880.00,1885.00,3826200
20-Jun-17,1905.00,1920.00,1895.00,1895.00,1917200
19-Jun-17,1910.00,1925.00,1880.00,1895.00,5823700
16-Jun-17,1980.00,2000.00,1895.00,1895.00,8280600
15-Jun-17,1950.00,2020.00,1950.00,1980.00,11372400
14-Jun-17,1970.00,1985.00,1950.00,1955.00,9489000
13-Jun-17,1890.00,1970.00,1875.00,1965.00,19191100
12-Jun-17,1885.00,1890.00,1880.00,1890.00,5486000
9-Jun-17,1875.00,1880.00,1865.00,1870.00,3934900
8-Jun-17,1865.00,1875.00,1855.00,1865.00,5876900
7-Jun-17,1855.00,1890.00,1855.00,1880.00,6229900
6-Jun-17,1865.00,1865.00,1845.00,1850.00,7131700
5-Jun-17,1895.00,1895.00,1855.00,1865.00,6207400
2-Jun-17,1905.00,1905.00,1875.00,1880.00,6450800
31-May-17,1875.00,1915.00,1840.00,1905.00,21794200
30-May-17,1890.00,1895.00,1865.00,1865.00,5153700
29-May-17,1900.00,1920.00,1865.00,1875.00,9386700
26-May-17,1880.00,1895.00,1875.00,1890.00,4977300
24-May-17,1910.00,1910.00,1875.00,1875.00,7683800
23-May-17,1960.00,1965.00,1905.00,1905.00,8932700
22-May-17,1955.00,1985.00,1940.00,1945.00,8292800
19-May-17,1930.00,1935.00,1900.00,1930.00,4995100
18-May-17,1900.00,1925.00,1890.00,1900.00,4384700
17-May-17,1990.00,2000.00,1900.00,1910.00,11581600
16-May-17,1910.00,1995.00,1875.00,1990.00,24390900
15-May-17,1900.00,1910.00,1865.00,1885.00,7781300
12-May-17,1920.00,1930.00,1870.00,1885.00,5292500
10-May-17,1930.00,1960.00,1900.00,1900.00,8256900
9-May-17,1985.00,2000.00,1925.00,1930.00,7718200
8-May-17,2000.00,2040.00,1965.00,1975.00,12431200
5-May-17,2040.00,2060.00,1960.00,1980.00,21043500
4-May-17,2060.00,2140.00,2030.00,2050.00,13065500
3-May-17,2270.00,2290.00,2100.00,2110.00,14523600
2-May-17,2250.00,2300.00,2250.00,2260.00,17264200
28-Apr-17,2170.00,2250.00,2170.00,2220.00,18219500
27-Apr-17,2150.00,2180.00,2150.00,2170.00,3496700
26-Apr-17,2150.00,2170.00,2140.00,2150.00,3837700
25-Apr-17,2150.00,2180.00,2150.00,2150.00,4734300
21-Apr-17,2190.00,2200.00,2150.00,2150.00,5589000
20-Apr-17,2190.00,2210.00,2180.00,2180.00,3986600
18-Apr-17,2220.00,2240.00,2200.00,2200.00,7470900
17-Apr-17,2230.00,2260.00,2220.00,2230.00,4882200
13-Apr-17,2250.00,2280.00,2220.00,2230.00,12671700
12-Apr-17,2250.00,2290.00,2230.00,2250.00,12646500
11-Apr-17,2290.00,2290.00,2260.00,2270.00,6462600
10-Apr-17,2310.00,2310.00,2280.00,2280.00,9521600
7-Apr-17,2300.00,2310.00,2270.00,2280.00,13084100
6-Apr-17,2350.00,2370.00,2320.00,2330.00,14755800
5-Apr-17,2310.00,2350.00,2290.00,2310.00,12301200
4-Apr-17,2300.00,2330.00,2270.00,2280.00,11189500
3-Apr-17,2390.00,2420.00,2310.00,2310.00,14824500
31-Mar-17,2330.00,2420.00,2320.00,2390.00,29251700
30-Mar-17,2340.00,2340.00,2290.00,2300.00,10081600
29-Mar-17,2300.00,2350.00,2290.00,2310.00,7845300
27-Mar-17,2300.00,2330.00,2270.00,2270.00,9697200
24-Mar-17,2370.00,2370.00,2300.00,2320.00,6997900
23-Mar-17,2360.00,2370.00,2330.00,2350.00,7689300
22-Mar-17,2320.00,2340.00,2300.00,2330.00,7649200
21-Mar-17,2370.00,2370.00,2330.00,2340.00,7521600
20-Mar-17,2380.00,2380.00,2330.00,2360.00,9325500
17-Mar-17,2340.00,2410.00,2320.00,2340.00,21337100
16-Mar-17,2330.00,2360.00,2290.00,2320.00,13363800
15-Mar-17,2300.00,2330.00,2280.00,2290.00,6001200
14-Mar-17,2350.00,2370.00,2300.00,2300.00,16157200
13-Mar-17,2320.00,2380.00,2300.00,2320.00,19537900
10-Mar-17,2370.00,2380.00,2310.00,2320.00,7533900
9-Mar-17,2400.00,2400.00,2340.00,2350.00,24411400
8-Mar-17,2450.00,2490.00,2440.00,2460.00,8988200
7-Mar-17,2550.00,2570.00,2500.00,2500.00,5083400
6-Mar-17,2560.00,2580.00,2530.00,2550.00,8157400
3-Mar-17,2500.00,2560.00,2490.00,2520.00,11398700
2-Mar-17,2550.00,2560.00,2490.00,2560.00,8713600
1-Mar-17,2560.00,2560.00,2480.00,2510.00,7398300
28-Feb-17,2600.00,2600.00,2530.00,2550.00,12323700
27-Feb-17,2500.00,2580.00,2500.00,2560.00,29423600
24-Feb-17,2500.00,2500.00,2420.00,2460.00,28605000
23-Feb-17,2660.00,2670.00,2580.00,2590.00,18343200
22-Feb-17,2700.00,2720.00,2640.00,2670.00,15215100
