Date,Open,High,Low,Close,Volume
29-Dec-17,7700.00,7775.00,7600.00,7625.00,12848100
28-Dec-17,7650.00,7700.00,7600.00,7700.00,10295800
27-Dec-17,7625.00,7625.00,7575.00,7625.00,3274600
22-Dec-17,7600.00,7625.00,7575.00,7625.00,4686000
21-Dec-17,7525.00,7600.00,7475.00,7600.00,10857700
20-Dec-17,7650.00,7700.00,7425.00,7550.00,14606300
19-Dec-17,7500.00,7700.00,7475.00,7650.00,15706100
18-Dec-17,7400.00,7500.00,7375.00,7500.00,9181300
15-Dec-17,7525.00,7525.00,7400.00,7450.00,16750900
14-Dec-17,7475.00,7675.00,7475.00,7525.00,15601800
13-Dec-17,7350.00,7475.00,7325.00,7475.00,18456700
12-Dec-17,7350.00,7400.00,7275.00,7350.00,12214700
11-Dec-17,7400.00,7425.00,7350.00,7375.00,6757400
8-Dec-17,7400.00,7425.00,7300.00,7375.00,9393400
7-Dec-17,7300.00,7400.00,7300.00,7325.00,8866800
6-Dec-17,7350.00,7400.00,7300.00,7325.00,8356500
5-Dec-17,7400.00,7400.00,7275.00,7300.00,13366800
4-Dec-17,7500.00,7525.00,7300.00,7300.00,14221600
30-Nov-17,7550.00,7675.00,7325.00,7325.00,27027000
29-Nov-17,7700.00,7750.00,7600.00,7600.00,11133500
28-Nov-17,7850.00,7850.00,7650.00,7700.00,14653400
27-Nov-17,7750.00,7825.00,7700.00,7825.00,12473100
24-Nov-17,7750.00,7775.00,7675.00,7700.00,9343400
23-Nov-17,7775.00,7900.00,7725.00,7800.00,10216400
22-Nov-17,7675.00,7800.00,7675.00,7725.00,7497000
21-Nov-17,7775.00,7825.00,7700.00,7725.00,9885300
20-Nov-17,7875.00,7975.00,7800.00,7800.00,9330600
17-Nov-17,7775.00,7925.00,7750.00,7800.00,13645600
16-Nov-17,7850.00,7900.00,7750.00,7750.00,10602100
15-Nov-17,8000.00,8025.00,7875.00,7875.00,4615700
14-Nov-17,8000.00,8050.00,7950.00,7950.00,2857300
