Date,Open,High,Low,Close,Volume
29-Dec-17,1250.00,1250.00,1250.00,1250.00,1000
28-Dec-17,1255.00,1290.00,1250.00,1290.00,1200
27-Dec-17,1250.00,1290.00,1250.00,1290.00,400
22-Dec-17,1280.00,1280.00,1250.00,1250.00,10000
21-Dec-17,1290.00,1290.00,1290.00,1290.00,200
20-Dec-17,1290.00,1290.00,1290.00,1290.00,100
19-Dec-17,1280.00,1280.00,1250.00,1250.00,5100
18-Dec-17,1300.00,1300.00,1250.00,1290.00,1700
15-Dec-17,1300.00,1300.00,1300.00,1300.00,100
14-Dec-17,1300.00,1300.00,1300.00,1300.00,200
13-Dec-17,1300.00,1300.00,1300.00,1300.00,100
12-Dec-17,1290.00,1300.00,1290.00,1300.00,593600
11-Dec-17,1290.00,1300.00,1290.00,1300.00,500200
8-Dec-17,1290.00,1300.00,1290.00,1300.00,1000000
7-Dec-17,1300.00,1300.00,1290.00,1300.00,1000000
6-Dec-17,1280.00,1300.00,975.00,1300.00,1000700
5-Dec-17,1290.00,1300.00,1290.00,1300.00,2500200
4-Dec-17,1290.00,1300.00,1290.00,1300.00,1000300
30-Nov-17,1300.00,1300.00,1290.00,1300.00,2700100
29-Nov-17,1300.00,1320.00,1300.00,1300.00,6000800
28-Nov-17,1300.00,1300.00,1290.00,1300.00,12300
27-Nov-17,1300.00,1310.00,1290.00,1300.00,1533000
24-Nov-17,1300.00,1300.00,1280.00,1280.00,150800
23-Nov-17,1300.00,1300.00,1280.00,1300.00,1012500
22-Nov-17,1300.00,1300.00,1300.00,1300.00,7001600
21-Nov-17,1300.00,1300.00,1300.00,1300.00,5155200
20-Nov-17,1300.00,1300.00,1300.00,1300.00,7301400
17-Nov-17,1340.00,1340.00,1300.00,1300.00,302700
16-Nov-17,1320.00,1320.00,1300.00,1300.00,2800
15-Nov-17,1320.00,1320.00,1300.00,1320.00,1400
14-Nov-17,1310.00,1330.00,1310.00,1310.00,1100
13-Nov-17,1300.00,1330.00,1300.00,1330.00,50800
10-Nov-17,1300.00,1300.00,1300.00,1300.00,114300
9-Nov-17,1300.00,1300.00,1300.00,1300.00,251700
8-Nov-17,-,-,-,1300.00,0
7-Nov-17,-,-,-,1300.00,0
