Date,Open,High,Low,Close,Volume
29-Dec-17,1260.00,1285.00,1255.00,1260.00,40300
28-Dec-17,1260.00,1270.00,1235.00,1255.00,46400
27-Dec-17,1250.00,1280.00,1250.00,1260.00,36200
22-Dec-17,1255.00,1295.00,1245.00,1250.00,376000
21-Dec-17,1235.00,1255.00,1235.00,1255.00,672700
20-Dec-17,1265.00,1270.00,1190.00,1235.00,483900
19-Dec-17,1295.00,1295.00,1260.00,1260.00,113700
18-Dec-17,1265.00,1300.00,1260.00,1280.00,91100
15-Dec-17,1280.00,1310.00,1235.00,1265.00,178400
14-Dec-17,1245.00,1270.00,1200.00,1250.00,102500
13-Dec-17,1300.00,1300.00,1200.00,1245.00,365600
12-Dec-17,1255.00,1355.00,1245.00,1255.00,79300
11-Dec-17,1310.00,1350.00,1240.00,1255.00,487300
8-Dec-17,1325.00,1350.00,1305.00,1305.00,100300
7-Dec-17,1305.00,1395.00,1265.00,1325.00,170900
6-Dec-17,1300.00,1340.00,1280.00,1285.00,431000
5-Dec-17,1410.00,1410.00,1260.00,1300.00,1588500
4-Dec-17,1485.00,1485.00,1415.00,1420.00,288600
30-Nov-17,1465.00,1490.00,1420.00,1485.00,133900
29-Nov-17,1500.00,1520.00,1470.00,1495.00,159500
28-Nov-17,1535.00,1570.00,1465.00,1500.00,275500
27-Nov-17,1540.00,1600.00,1500.00,1535.00,374800
24-Nov-17,1560.00,1575.00,1540.00,1540.00,193600
23-Nov-17,1600.00,1600.00,1540.00,1560.00,496000
22-Nov-17,1640.00,1665.00,1585.00,1600.00,365500
21-Nov-17,1510.00,1680.00,1510.00,1630.00,752200
20-Nov-17,1485.00,1520.00,1485.00,1500.00,297300
17-Nov-17,1440.00,1485.00,1410.00,1485.00,394700
16-Nov-17,1450.00,1470.00,1400.00,1440.00,297600
15-Nov-17,1490.00,1505.00,1440.00,1450.00,239800
14-Nov-17,1520.00,1520.00,1495.00,1500.00,98000
13-Nov-17,1520.00,1540.00,1485.00,1520.00,145100
10-Nov-17,1520.00,1555.00,1520.00,1520.00,270600
9-Nov-17,1570.00,1570.00,1515.00,1520.00,307900
8-Nov-17,1545.00,1575.00,1540.00,1550.00,135100
7-Nov-17,1545.00,1580.00,1530.00,1545.00,253100
6-Nov-17,1540.00,1545.00,1515.00,1530.00,134800
3-Nov-17,1520.00,1560.00,1500.00,1515.00,244400
2-Nov-17,1550.00,1575.00,1505.00,1525.00,323500
1-Nov-17,1470.00,1555.00,1455.00,1545.00,1334400
31-Oct-17,1285.00,1485.00,1270.00,1445.00,994200
30-Oct-17,1300.00,1320.00,1280.00,1290.00,193200
27-Oct-17,1295.00,1335.00,1270.00,1300.00,270400
26-Oct-17,1330.00,1350.00,1290.00,1300.00,221000
25-Oct-17,1300.00,1350.00,1300.00,1335.00,161400
24-Oct-17,1360.00,1395.00,1300.00,1310.00,274900
23-Oct-17,1400.00,1430.00,1350.00,1350.00,305500
20-Oct-17,1330.00,1400.00,1320.00,1400.00,602800
19-Oct-17,1350.00,1410.00,1345.00,1350.00,1333700
18-Oct-17,1250.00,1340.00,1235.00,1340.00,1314100
17-Oct-17,1330.00,1330.00,1215.00,1240.00,703700
16-Oct-17,1155.00,1375.00,1155.00,1310.00,1646300
13-Oct-17,1170.00,1175.00,1140.00,1155.00,92200
12-Oct-17,1190.00,1210.00,1150.00,1175.00,475900
11-Oct-17,1070.00,1245.00,1070.00,1180.00,2012200
10-Oct-17,1070.00,1080.00,1050.00,1060.00,87000
9-Oct-17,1045.00,1120.00,1045.00,1050.00,196400
6-Oct-17,1045.00,1055.00,1020.00,1045.00,135500
5-Oct-17,1035.00,1055.00,1025.00,1045.00,171800
4-Oct-17,1035.00,1040.00,1015.00,1020.00,55800
3-Oct-17,1020.00,1080.00,1020.00,1020.00,221800
2-Oct-17,1000.00,1020.00,1000.00,1005.00,63100
29-Sep-17,1005.00,1025.00,1000.00,1000.00,49500
28-Sep-17,1005.00,1015.00,1000.00,1005.00,112600
27-Sep-17,1020.00,1025.00,1005.00,1005.00,199000
26-Sep-17,1020.00,1030.00,1010.00,1020.00,168700
25-Sep-17,1030.00,1035.00,1020.00,1025.00,99900
22-Sep-17,1040.00,1040.00,1020.00,1025.00,33300
20-Sep-17,1040.00,1050.00,1010.00,1025.00,151600
19-Sep-17,1040.00,1040.00,1020.00,1030.00,265700
18-Sep-17,1035.00,1050.00,1010.00,1020.00,110800
15-Sep-17,1015.00,1045.00,1010.00,1025.00,57200
14-Sep-17,1025.00,1055.00,1015.00,1015.00,103000
13-Sep-17,1050.00,1065.00,1025.00,1025.00,187000
12-Sep-17,1030.00,1070.00,1020.00,1045.00,976500
11-Sep-17,1010.00,1040.00,1005.00,1010.00,377700
8-Sep-17,1020.00,1040.00,1010.00,1010.00,420200
7-Sep-17,1010.00,1035.00,1005.00,1020.00,122500
6-Sep-17,1000.00,1010.00,995.00,1010.00,91900
5-Sep-17,1005.00,1010.00,995.00,1000.00,186200
4-Sep-17,995.00,1010.00,985.00,1005.00,297900
31-Aug-17,1040.00,1040.00,990.00,995.00,389800
30-Aug-17,1020.00,1045.00,1020.00,1025.00,178800
29-Aug-17,1030.00,1050.00,1020.00,1025.00,210300
28-Aug-17,1070.00,1070.00,1040.00,1040.00,90800
25-Aug-17,1085.00,1100.00,1050.00,1055.00,233800
24-Aug-17,1030.00,1090.00,1015.00,1080.00,513700
23-Aug-17,1050.00,1050.00,1020.00,1030.00,508700
22-Aug-17,1055.00,1080.00,1040.00,1045.00,662400
21-Aug-17,1085.00,1110.00,1050.00,1055.00,344300
18-Aug-17,1095.00,1120.00,1020.00,1085.00,617800
16-Aug-17,1080.00,1125.00,1060.00,1080.00,1090000
15-Aug-17,960.00,1135.00,960.00,1070.00,2968700
14-Aug-17,945.00,990.00,945.00,960.00,212400
11-Aug-17,980.00,980.00,930.00,940.00,228100
10-Aug-17,960.00,1000.00,955.00,980.00,308800
9-Aug-17,940.00,955.00,935.00,950.00,203200
8-Aug-17,955.00,955.00,930.00,940.00,87400
7-Aug-17,970.00,975.00,935.00,950.00,354600
4-Aug-17,925.00,960.00,925.00,960.00,432300
3-Aug-17,965.00,980.00,890.00,920.00,1009900
2-Aug-17,980.00,990.00,955.00,970.00,495600
1-Aug-17,920.00,995.00,920.00,960.00,2111300
31-Jul-17,890.00,945.00,890.00,920.00,920100
