Date,Open,High,Low,Close,Volume
29-Dec-17,5375.00,5425.00,5350.00,5400.00,6918600
28-Dec-17,5400.00,5400.00,5250.00,5400.00,14697800
27-Dec-17,5400.00,5425.00,5100.00,5400.00,8341000
22-Dec-17,5375.00,5425.00,5350.00,5400.00,2128200
21-Dec-17,5400.00,5425.00,5325.00,5375.00,3726700
20-Dec-17,5425.00,5425.00,5300.00,5400.00,6821300
19-Dec-17,5400.00,5525.00,5325.00,5400.00,10893000
18-Dec-17,5200.00,5400.00,5075.00,5400.00,8489100
15-Dec-17,5200.00,5275.00,4940.00,5200.00,12738600
14-Dec-17,5075.00,5200.00,5025.00,5200.00,4151300
13-Dec-17,4920.00,5100.00,4910.00,5025.00,4773800
12-Dec-17,4910.00,4930.00,4780.00,4910.00,4475500
11-Dec-17,4940.00,4970.00,4870.00,4910.00,2143900
8-Dec-17,4890.00,4950.00,4850.00,4930.00,2316400
7-Dec-17,4850.00,4970.00,4800.00,4890.00,4696000
6-Dec-17,4840.00,4870.00,4720.00,4850.00,9707800
5-Dec-17,4990.00,5000.00,4550.00,4850.00,15074200
4-Dec-17,5250.00,5275.00,4950.00,4990.00,7146200
30-Nov-17,5150.00,5325.00,5150.00,5225.00,7339100
29-Nov-17,4940.00,5225.00,4850.00,5175.00,9430400
28-Nov-17,4900.00,5250.00,4650.00,4890.00,27959600
27-Nov-17,5700.00,5700.00,4700.00,4870.00,14152700
24-Nov-17,5700.00,5700.00,5650.00,5675.00,1650400
23-Nov-17,5700.00,5750.00,5650.00,5675.00,1952600
22-Nov-17,5675.00,5700.00,5625.00,5675.00,3030400
21-Nov-17,5700.00,5700.00,5625.00,5675.00,1950600
20-Nov-17,5700.00,5775.00,5600.00,5675.00,2192100
17-Nov-17,5675.00,5750.00,5575.00,5675.00,2791100
16-Nov-17,5600.00,5700.00,5550.00,5625.00,4641000
15-Nov-17,5675.00,5775.00,5550.00,5600.00,4910200
14-Nov-17,5725.00,5775.00,5650.00,5675.00,2420400
13-Nov-17,5750.00,5825.00,5625.00,5725.00,5432700
10-Nov-17,5700.00,5725.00,5525.00,5700.00,8662500
9-Nov-17,5900.00,6000.00,5550.00,5700.00,13619100
8-Nov-17,5475.00,5900.00,5375.00,5800.00,6250100
7-Nov-17,5450.00,5575.00,5450.00,5475.00,2458000
6-Nov-17,5475.00,5600.00,5425.00,5450.00,4481900
3-Nov-17,5450.00,5500.00,5200.00,5425.00,6961400
2-Nov-17,5500.00,5625.00,5350.00,5400.00,5996800
1-Nov-17,5400.00,5525.00,5325.00,5475.00,5219600
31-Oct-17,5175.00,5275.00,5050.00,5275.00,4551900
30-Oct-17,4970.00,5150.00,4970.00,5150.00,4863700
27-Oct-17,4830.00,5025.00,4800.00,4990.00,8461900
26-Oct-17,4820.00,4870.00,4760.00,4820.00,2470200
25-Oct-17,4820.00,4880.00,4800.00,4830.00,2945300
24-Oct-17,4650.00,4800.00,4590.00,4800.00,5074000
23-Oct-17,4640.00,4700.00,4580.00,4650.00,2657300
20-Oct-17,4690.00,4720.00,4640.00,4640.00,2686500
19-Oct-17,4700.00,4800.00,4640.00,4670.00,6031900
18-Oct-17,4530.00,4740.00,4510.00,4710.00,6269800
17-Oct-17,4540.00,4600.00,4510.00,4550.00,4812900
16-Oct-17,4450.00,4580.00,4350.00,4540.00,5922300
13-Oct-17,4440.00,4540.00,4410.00,4440.00,5493600
12-Oct-17,4380.00,4490.00,4240.00,4430.00,11342500
11-Oct-17,4130.00,4370.00,4130.00,4350.00,7377200
10-Oct-17,4230.00,4250.00,4110.00,4130.00,5242600
9-Oct-17,4310.00,4360.00,4220.00,4240.00,2361400
6-Oct-17,4300.00,4400.00,4250.00,4310.00,4598200
5-Oct-17,4390.00,4440.00,4300.00,4300.00,2584000
4-Oct-17,4390.00,4450.00,4300.00,4390.00,2930200
3-Oct-17,4400.00,4540.00,4370.00,4390.00,6209400
2-Oct-17,4210.00,4480.00,4210.00,4390.00,9440800
29-Sep-17,3880.00,4200.00,3850.00,4190.00,10566500
28-Sep-17,3970.00,4030.00,3870.00,3880.00,3168000
27-Sep-17,3830.00,4030.00,3640.00,3960.00,16505400
26-Sep-17,3980.00,3980.00,3720.00,3760.00,13263800
25-Sep-17,4300.00,4350.00,3960.00,3990.00,11478300
22-Sep-17,4240.00,4390.00,4230.00,4300.00,5463100
20-Sep-17,3940.00,4250.00,3860.00,4240.00,12328000
19-Sep-17,3890.00,3980.00,3810.00,3920.00,3965700
18-Sep-17,3750.00,3940.00,3720.00,3890.00,9354100
15-Sep-17,3290.00,3940.00,3290.00,3710.00,27537600
14-Sep-17,3230.00,3310.00,3220.00,3310.00,13880300
13-Sep-17,3230.00,3300.00,3190.00,3230.00,7642600
12-Sep-17,3190.00,3300.00,3180.00,3230.00,7427900
11-Sep-17,3200.00,3230.00,3120.00,3190.00,8403100
8-Sep-17,3240.00,3330.00,3160.00,3200.00,13405500
7-Sep-17,3160.00,3330.00,3130.00,3260.00,18503000
6-Sep-17,3180.00,3210.00,3110.00,3160.00,7207800
5-Sep-17,3140.00,3150.00,3070.00,3120.00,3853300
4-Sep-17,3100.00,3150.00,3060.00,3110.00,4925500
31-Aug-17,3050.00,3090.00,3010.00,3080.00,6093300
30-Aug-17,2960.00,3010.00,2920.00,3010.00,7523400
29-Aug-17,2960.00,3050.00,2940.00,2960.00,15143800
28-Aug-17,2950.00,2970.00,2930.00,2960.00,1994900
25-Aug-17,2940.00,2950.00,2900.00,2930.00,3004500
24-Aug-17,2920.00,2950.00,2810.00,2930.00,20169800
23-Aug-17,2920.00,2950.00,2890.00,2930.00,2961900
22-Aug-17,2880.00,2970.00,2810.00,2900.00,9153600
21-Aug-17,2850.00,2890.00,2830.00,2860.00,1446200
18-Aug-17,2830.00,2890.00,2810.00,2850.00,1793900
16-Aug-17,2830.00,2860.00,2770.00,2830.00,8765500
15-Aug-17,2740.00,2900.00,2740.00,2830.00,15673100
14-Aug-17,2720.00,2750.00,2680.00,2740.00,3953900
11-Aug-17,2730.00,2750.00,2630.00,2720.00,13124200
10-Aug-17,2690.00,2730.00,2660.00,2730.00,3562300
9-Aug-17,2680.00,2720.00,2660.00,2690.00,2167300
8-Aug-17,2680.00,2700.00,2640.00,2680.00,5458100
7-Aug-17,2660.00,2720.00,2660.00,2680.00,2218500
4-Aug-17,2670.00,2670.00,2630.00,2660.00,1375300
3-Aug-17,2690.00,2690.00,2610.00,2660.00,7046000
2-Aug-17,2740.00,2740.00,2680.00,2680.00,3818800
1-Aug-17,2760.00,2770.00,2700.00,2740.00,9896700
31-Jul-17,2710.00,2770.00,2580.00,2770.00,13056400
28-Jul-17,2630.00,2700.00,2610.00,2670.00,2949700
27-Jul-17,2650.00,2660.00,2620.00,2630.00,1138300
26-Jul-17,2620.00,2660.00,2610.00,2620.00,1615400
25-Jul-17,2670.00,2680.00,2610.00,2620.00,1647000
24-Jul-17,2600.00,2690.00,2600.00,2660.00,2846700
21-Jul-17,2640.00,2690.00,2570.00,2620.00,6611200
20-Jul-17,2690.00,2700.00,2640.00,2650.00,1015100
19-Jul-17,2740.00,2770.00,2660.00,2690.00,7333100
18-Jul-17,2600.00,2760.00,2560.00,2720.00,9425300
17-Jul-17,2580.00,2640.00,2560.00,2600.00,1663200
14-Jul-17,2660.00,2720.00,2560.00,2580.00,9884200
13-Jul-17,2520.00,2660.00,2470.00,2660.00,8177600
12-Jul-17,2490.00,2530.00,2460.00,2520.00,1727700
11-Jul-17,2480.00,2530.00,2480.00,2490.00,1086200
10-Jul-17,3050.00,3050.00,2460.00,2490.00,2532800
7-Jul-17,2440.00,2460.00,2400.00,2440.00,7302700
6-Jul-17,2400.00,2460.00,2400.00,2450.00,1829700
5-Jul-17,2450.00,2450.00,2410.00,2410.00,1305600
4-Jul-17,2480.00,2490.00,2410.00,2410.00,1483800
3-Jul-17,2550.00,2550.00,2490.00,2490.00,839000
22-Jun-17,2450.00,2550.00,2400.00,2550.00,3261400
21-Jun-17,2390.00,2480.00,2350.00,2470.00,3207700
