Date,Open,High,Low,Close,Volume
29-Dec-17,645.00,650.00,645.00,650.00,1674200
28-Dec-17,650.00,650.00,645.00,645.00,4400200
27-Dec-17,640.00,650.00,640.00,645.00,2877300
22-Dec-17,645.00,665.00,640.00,640.00,4561000
21-Dec-17,645.00,645.00,645.00,645.00,2728100
20-Dec-17,650.00,650.00,645.00,645.00,3535300
19-Dec-17,650.00,650.00,650.00,650.00,3324100
18-Dec-17,655.00,655.00,650.00,650.00,3869600
15-Dec-17,665.00,665.00,655.00,655.00,3432600
14-Dec-17,670.00,670.00,665.00,665.00,132700
13-Dec-17,670.00,670.00,670.00,670.00,20000
12-Dec-17,670.00,670.00,670.00,670.00,3000
11-Dec-17,700.00,700.00,680.00,680.00,452700
8-Dec-17,715.00,715.00,715.00,715.00,1700000
7-Dec-17,715.00,715.00,705.00,705.00,3367900
6-Dec-17,720.00,720.00,700.00,720.00,2461000
5-Dec-17,700.00,725.00,700.00,720.00,1946800
4-Dec-17,720.00,720.00,715.00,715.00,1943700
30-Nov-17,690.00,715.00,690.00,715.00,1157600
29-Nov-17,710.00,710.00,690.00,690.00,4200100
28-Nov-17,725.00,735.00,705.00,715.00,1593800
27-Nov-17,710.00,735.00,710.00,725.00,5198400
24-Nov-17,720.00,735.00,705.00,705.00,4940700
23-Nov-17,705.00,725.00,705.00,720.00,4464300
22-Nov-17,715.00,730.00,710.00,710.00,3398100
21-Nov-17,715.00,735.00,715.00,720.00,3684400
20-Nov-17,730.00,735.00,720.00,720.00,2939200
17-Nov-17,725.00,740.00,725.00,730.00,3059600
16-Nov-17,760.00,765.00,730.00,730.00,3586500
15-Nov-17,775.00,785.00,765.00,765.00,3171300
14-Nov-17,785.00,800.00,770.00,775.00,2929700
13-Nov-17,690.00,800.00,690.00,780.00,19600600
10-Nov-17,690.00,700.00,690.00,690.00,3676500
9-Nov-17,695.00,705.00,695.00,695.00,3238300
8-Nov-17,695.00,710.00,690.00,695.00,2846500
7-Nov-17,695.00,715.00,695.00,695.00,8107300
6-Nov-17,665.00,705.00,660.00,695.00,15444600
3-Nov-17,645.00,670.00,640.00,665.00,4355600
2-Nov-17,650.00,655.00,635.00,645.00,2645600
