Date,Open,High,Low,Close,Volume
29-Dec-17,286.00,286.00,282.00,286.00,213100
28-Dec-17,270.00,294.00,270.00,288.00,27900
27-Dec-17,294.00,310.00,270.00,270.00,500
22-Dec-17,288.00,300.00,280.00,288.00,22300
21-Dec-17,310.00,310.00,288.00,288.00,3200
20-Dec-17,282.00,312.00,250.00,274.00,25400
19-Dec-17,286.00,286.00,284.00,284.00,800
18-Dec-17,282.00,298.00,282.00,286.00,10600
15-Dec-17,-,-,-,302.00,0
14-Dec-17,300.00,302.00,300.00,302.00,2500
13-Dec-17,300.00,300.00,300.00,300.00,2100
12-Dec-17,300.00,300.00,300.00,300.00,100
11-Dec-17,218.00,252.00,218.00,252.00,300
8-Dec-17,-,-,-,290.00,0
7-Dec-17,282.00,290.00,280.00,290.00,29100
6-Dec-17,300.00,300.00,286.00,286.00,17700
5-Dec-17,330.00,330.00,300.00,300.00,7300
4-Dec-17,326.00,326.00,322.00,322.00,114000
30-Nov-17,302.00,326.00,302.00,326.00,3000
29-Nov-17,320.00,320.00,320.00,320.00,100
28-Nov-17,324.00,324.00,304.00,320.00,18100
27-Nov-17,330.00,330.00,310.00,328.00,10800
24-Nov-17,330.00,330.00,330.00,330.00,100
23-Nov-17,324.00,324.00,324.00,324.00,32100
22-Nov-17,320.00,320.00,320.00,320.00,100
21-Nov-17,-,-,-,324.00,0
20-Nov-17,318.00,324.00,318.00,324.00,9100
17-Nov-17,320.00,320.00,320.00,320.00,6000
16-Nov-17,306.00,320.00,306.00,318.00,3300
15-Nov-17,304.00,306.00,290.00,294.00,56500
14-Nov-17,322.00,332.00,322.00,324.00,12300
13-Nov-17,308.00,318.00,308.00,316.00,6400
10-Nov-17,296.00,308.00,296.00,308.00,8500
9-Nov-17,294.00,304.00,294.00,302.00,900
8-Nov-17,-,-,-,296.00,0
7-Nov-17,296.00,296.00,296.00,296.00,100
6-Nov-17,292.00,296.00,290.00,296.00,7300
3-Nov-17,-,-,-,308.00,0
2-Nov-17,308.00,308.00,308.00,308.00,1000
1-Nov-17,-,-,-,308.00,0
31-Oct-17,302.00,310.00,298.00,308.00,174500
30-Oct-17,294.00,294.00,294.00,294.00,1700
27-Oct-17,292.00,308.00,292.00,304.00,29500
26-Oct-17,-,-,-,292.00,0
25-Oct-17,314.00,324.00,292.00,292.00,89500
24-Oct-17,-,-,-,306.00,0
23-Oct-17,314.00,316.00,306.00,306.00,12300
20-Oct-17,316.00,316.00,304.00,312.00,22600
19-Oct-17,320.00,320.00,304.00,304.00,27900
18-Oct-17,306.00,314.00,302.00,302.00,152500
17-Oct-17,-,-,-,326.00,0
16-Oct-17,328.00,328.00,306.00,326.00,3500
13-Oct-17,330.00,330.00,330.00,330.00,1100
12-Oct-17,316.00,316.00,314.00,314.00,200
11-Oct-17,314.00,314.00,314.00,314.00,100
10-Oct-17,296.00,326.00,296.00,306.00,1800
9-Oct-17,310.00,328.00,290.00,324.00,27500
6-Oct-17,314.00,314.00,306.00,310.00,19900
5-Oct-17,316.00,316.00,310.00,310.00,400
4-Oct-17,310.00,310.00,310.00,310.00,1100
3-Oct-17,318.00,318.00,290.00,316.00,5300
2-Oct-17,324.00,324.00,314.00,314.00,200
29-Sep-17,324.00,334.00,294.00,300.00,69400
28-Sep-17,320.00,320.00,318.00,320.00,4100
27-Sep-17,318.00,318.00,314.00,314.00,9800
26-Sep-17,324.00,324.00,310.00,310.00,5500
25-Sep-17,328.00,328.00,300.00,310.00,16300
22-Sep-17,324.00,324.00,296.00,318.00,46500
20-Sep-17,310.00,338.00,296.00,324.00,329800
19-Sep-17,318.00,350.00,308.00,318.00,6800
18-Sep-17,320.00,320.00,246.00,318.00,29000
15-Sep-17,340.00,340.00,328.00,328.00,41100
14-Sep-17,346.00,346.00,340.00,340.00,8100
13-Sep-17,358.00,358.00,310.00,354.00,24400
12-Sep-17,340.00,358.00,340.00,350.00,1100
11-Sep-17,330.00,348.00,306.00,330.00,12700
8-Sep-17,-,-,-,360.00,0
7-Sep-17,370.00,370.00,350.00,360.00,10300
6-Sep-17,310.00,368.00,304.00,358.00,31000
5-Sep-17,300.00,300.00,300.00,300.00,100
4-Sep-17,332.00,332.00,332.00,332.00,3300
31-Aug-17,332.00,332.00,332.00,332.00,2100
30-Aug-17,352.00,352.00,352.00,352.00,500
29-Aug-17,358.00,368.00,352.00,352.00,8900
28-Aug-17,354.00,354.00,352.00,354.00,13900
25-Aug-17,346.00,352.00,346.00,350.00,7200
24-Aug-17,348.00,348.00,344.00,346.00,8200
23-Aug-17,328.00,356.00,328.00,350.00,14000
22-Aug-17,330.00,330.00,328.00,328.00,300
21-Aug-17,342.00,342.00,330.00,330.00,300
18-Aug-17,334.00,334.00,330.00,330.00,11300
16-Aug-17,342.00,342.00,340.00,340.00,4300
15-Aug-17,362.00,362.00,340.00,342.00,30000
14-Aug-17,342.00,360.00,320.00,356.00,15900
11-Aug-17,330.00,330.00,330.00,330.00,188700
10-Aug-17,330.00,330.00,330.00,330.00,10400
9-Aug-17,330.00,330.00,330.00,330.00,94900
8-Aug-17,330.00,340.00,330.00,340.00,6700
7-Aug-17,330.00,330.00,330.00,330.00,17800
4-Aug-17,330.00,330.00,330.00,330.00,102000
3-Aug-17,330.00,330.00,330.00,330.00,243600
2-Aug-17,332.00,334.00,332.00,334.00,10400
1-Aug-17,342.00,342.00,330.00,330.00,6100
31-Jul-17,330.00,336.00,330.00,336.00,28900
28-Jul-17,338.00,342.00,336.00,338.00,68700
27-Jul-17,330.00,336.00,324.00,336.00,141600
26-Jul-17,330.00,336.00,316.00,330.00,1977100
25-Jul-17,320.00,330.00,304.00,330.00,748100
24-Jul-17,300.00,322.00,300.00,300.00,184200
