Date,Open,High,Low,Close,Volume
12-Feb-15,112.00,121.00,110.00,117.00,114030300
11-Feb-15,111.00,112.00,107.00,109.00,31911000
10-Feb-15,108.00,111.00,105.00,110.00,22742400
9-Feb-15,110.00,112.00,108.00,108.00,12121000
6-Feb-15,112.00,116.00,107.00,108.00,57499200
5-Feb-15,108.00,111.00,106.00,108.00,15136100
4-Feb-15,111.00,112.00,105.00,108.00,21779400
3-Feb-15,115.00,116.00,109.00,110.00,34240500
2-Feb-15,119.00,119.00,114.00,114.00,18140200
30-Jan-15,121.00,123.00,118.00,118.00,24925400
29-Jan-15,119.00,123.00,117.00,120.00,38401400
28-Jan-15,118.00,122.00,115.00,117.00,65470200
27-Jan-15,117.00,120.00,113.00,115.00,43352100
26-Jan-15,121.00,127.00,113.00,116.00,93063800
23-Jan-15,98.00,128.00,94.00,119.00,278580000
22-Jan-15,104.00,107.00,90.00,95.00,99386400
21-Jan-15,118.00,118.00,99.00,104.00,99881500
20-Jan-15,134.00,136.00,111.00,114.00,87727500
19-Jan-15,138.00,140.00,133.00,133.00,21140400
16-Jan-15,139.00,150.00,135.00,137.00,155849800
15-Jan-15,132.00,146.00,130.00,142.00,134523800
14-Jan-15,138.00,147.00,130.00,131.00,133711000
13-Jan-15,138.00,152.00,131.00,138.00,277288500
12-Jan-15,151.00,153.00,136.00,138.00,145576100
9-Jan-15,165.00,172.00,147.00,150.00,208834900
8-Jan-15,175.00,190.00,160.00,163.00,291083200
7-Jan-15,160.00,201.00,147.00,175.00,565982300
6-Jan-15,139.00,161.00,139.00,150.00,195618400
2-Jan-15,168.00,170.00,127.00,140.00,88630300
30-Dec-14,210.00,210.00,169.00,169.00,29214400
29-Dec-14,300.00,300.00,225.00,225.00,17069200
24-Dec-14,309.00,309.00,297.00,300.00,7967000
23-Dec-14,340.00,342.00,300.00,310.00,21708700
22-Dec-14,460.00,460.00,342.00,342.00,9760600
19-Dec-14,480.00,494.00,455.00,455.00,17077700
18-Dec-14,468.00,475.00,463.00,473.00,54157400
17-Dec-14,470.00,479.00,462.00,464.00,18275800
16-Dec-14,482.00,482.00,464.00,470.00,11515200
15-Dec-14,483.00,489.00,477.00,480.00,1730800
12-Dec-14,480.00,495.00,472.00,480.00,8275400
11-Dec-14,485.00,493.00,475.00,477.00,12614500
10-Dec-14,480.00,500.00,454.00,484.00,23452800
9-Dec-14,479.00,481.00,471.00,477.00,21875100
8-Dec-14,490.00,493.00,470.00,480.00,17749700
5-Dec-14,493.00,493.00,482.00,486.00,15465400
4-Dec-14,495.00,497.00,487.00,490.00,12891000
3-Dec-14,505.00,505.00,484.00,493.00,11521900
2-Dec-14,499.00,505.00,492.00,499.00,18201300
1-Dec-14,500.00,505.00,495.00,499.00,19866900
28-Nov-14,510.00,520.00,499.00,500.00,10499800
27-Nov-14,500.00,535.00,498.00,500.00,18841000
26-Nov-14,498.00,505.00,496.00,498.00,18015500
25-Nov-14,525.00,525.00,500.00,500.00,19472100
24-Nov-14,510.00,520.00,500.00,520.00,13815300
21-Nov-14,515.00,520.00,500.00,505.00,13959900
20-Nov-14,530.00,530.00,505.00,505.00,15453500
19-Nov-14,555.00,560.00,525.00,525.00,11686100
18-Nov-14,505.00,550.00,493.00,550.00,10714200
17-Nov-14,505.00,510.00,492.00,505.00,10489600
14-Nov-14,510.00,520.00,499.00,500.00,15110700
13-Nov-14,510.00,535.00,499.00,505.00,9830700
12-Nov-14,525.00,535.00,505.00,505.00,11988100
11-Nov-14,530.00,550.00,515.00,515.00,10425800
10-Nov-14,570.00,570.00,525.00,525.00,9316100
7-Nov-14,540.00,620.00,520.00,565.00,13421200
6-Nov-14,575.00,575.00,515.00,535.00,9743100
5-Nov-14,600.00,600.00,510.00,580.00,12937400
4-Nov-14,610.00,650.00,595.00,600.00,21270600
3-Nov-14,525.00,650.00,499.00,605.00,33241400
31-Oct-14,496.00,520.00,490.00,520.00,11352800
30-Oct-14,515.00,520.00,485.00,495.00,8760400
29-Oct-14,482.00,525.00,477.00,510.00,15916200
28-Oct-14,485.00,485.00,470.00,482.00,17072600
27-Oct-14,486.00,486.00,471.00,479.00,18155600
24-Oct-14,510.00,510.00,485.00,485.00,15325200
23-Oct-14,484.00,530.00,470.00,505.00,11296400
22-Oct-14,492.00,492.00,480.00,483.00,18302200
21-Oct-14,500.00,500.00,484.00,492.00,17554900
20-Oct-14,500.00,515.00,489.00,498.00,17595100
