Date,Open,High,Low,Close,Volume
29-Dec-17,4760.00,4800.00,4750.00,4800.00,101200
28-Dec-17,4800.00,4900.00,4750.00,4760.00,290900
27-Dec-17,4780.00,4780.00,4750.00,4750.00,92600
22-Dec-17,4750.00,4780.00,4700.00,4780.00,150400
21-Dec-17,4800.00,4800.00,4750.00,4750.00,187700
20-Dec-17,4900.00,4910.00,4660.00,4850.00,3795900
19-Dec-17,5000.00,5000.00,4900.00,4920.00,105600
18-Dec-17,4950.00,5000.00,4950.00,4990.00,55400
15-Dec-17,4950.00,5000.00,4900.00,4950.00,168400
14-Dec-17,5000.00,5000.00,4880.00,4880.00,175800
13-Dec-17,4970.00,4980.00,4870.00,4910.00,144700
12-Dec-17,4840.00,4960.00,4840.00,4920.00,701900
11-Dec-17,4840.00,4920.00,4800.00,4870.00,765600
8-Dec-17,4920.00,4920.00,4800.00,4850.00,416700
7-Dec-17,5000.00,5100.00,4900.00,4910.00,161500
6-Dec-17,5250.00,5250.00,5000.00,5000.00,1288600
5-Dec-17,5375.00,5375.00,5250.00,5250.00,1358900
4-Dec-17,5350.00,5400.00,5250.00,5350.00,1069400
30-Nov-17,5400.00,5475.00,5350.00,5350.00,117000
29-Nov-17,5400.00,5450.00,5375.00,5400.00,179000
28-Nov-17,5275.00,5375.00,5275.00,5350.00,138200
27-Nov-17,5275.00,5300.00,5250.00,5275.00,430800
24-Nov-17,5350.00,5350.00,5250.00,5275.00,621600
23-Nov-17,5350.00,5425.00,5300.00,5300.00,319000
22-Nov-17,5400.00,5450.00,5300.00,5300.00,2055500
21-Nov-17,5525.00,5525.00,5400.00,5400.00,1790600
20-Nov-17,5550.00,5600.00,5500.00,5500.00,715200
17-Nov-17,5700.00,5725.00,5525.00,5525.00,415300
16-Nov-17,5725.00,5875.00,5600.00,5600.00,397500
15-Nov-17,5800.00,5825.00,5600.00,5650.00,238200
14-Nov-17,5625.00,5750.00,5625.00,5750.00,760500
13-Nov-17,5650.00,5800.00,5650.00,5650.00,169200
10-Nov-17,5725.00,5725.00,5600.00,5600.00,491700
9-Nov-17,5700.00,5750.00,5700.00,5700.00,1167100
8-Nov-17,5700.00,5700.00,5675.00,5675.00,696400
7-Nov-17,5750.00,5750.00,5650.00,5650.00,289900
6-Nov-17,5825.00,5900.00,5750.00,5750.00,930800
3-Nov-17,5850.00,5875.00,5800.00,5825.00,138400
2-Nov-17,6000.00,6000.00,5800.00,5850.00,390200
1-Nov-17,5975.00,6000.00,5875.00,6000.00,1013400
31-Oct-17,6000.00,6000.00,5800.00,6000.00,1182100
30-Oct-17,6000.00,6175.00,5975.00,6000.00,1313000
27-Oct-17,6175.00,6175.00,5975.00,6000.00,263300
26-Oct-17,6000.00,6050.00,5950.00,5975.00,1318800
25-Oct-17,6200.00,6225.00,5900.00,5975.00,853500
24-Oct-17,6100.00,6200.00,6050.00,6200.00,464900
23-Oct-17,6075.00,6200.00,6025.00,6100.00,69300
20-Oct-17,6150.00,6175.00,6050.00,6100.00,660300
19-Oct-17,6100.00,6150.00,6025.00,6150.00,352900
18-Oct-17,6150.00,6175.00,6075.00,6100.00,76200
17-Oct-17,6225.00,6225.00,6075.00,6200.00,527000
16-Oct-17,6200.00,6300.00,6200.00,6200.00,415900
13-Oct-17,6300.00,6300.00,6200.00,6200.00,722300
12-Oct-17,6400.00,6400.00,6100.00,6300.00,1519000
11-Oct-17,6225.00,6400.00,6175.00,6400.00,223800
10-Oct-17,6175.00,6250.00,6150.00,6225.00,521600
9-Oct-17,6175.00,6175.00,6100.00,6175.00,834300
6-Oct-17,6275.00,6275.00,6100.00,6175.00,1317100
5-Oct-17,6325.00,6375.00,6250.00,6275.00,63200
4-Oct-17,6325.00,6400.00,6300.00,6325.00,2025400
3-Oct-17,6250.00,6400.00,6250.00,6275.00,1224200
2-Oct-17,6375.00,6375.00,6250.00,6250.00,25700
29-Sep-17,6300.00,6375.00,6250.00,6250.00,356100
28-Sep-17,6400.00,6400.00,6300.00,6300.00,326900
27-Sep-17,6400.00,6425.00,6200.00,6400.00,817300
26-Sep-17,6400.00,6400.00,6225.00,6400.00,217200
25-Sep-17,6375.00,6400.00,6300.00,6400.00,351000
22-Sep-17,6400.00,6400.00,6200.00,6400.00,651200
20-Sep-17,6225.00,6400.00,6225.00,6400.00,99200
19-Sep-17,-,-,-,6300.00,11900
18-Sep-17,6200.00,6350.00,6125.00,6300.00,583500
15-Sep-17,6350.00,6375.00,5825.00,6100.00,1548000
14-Sep-17,6400.00,6425.00,6300.00,6350.00,2953500
13-Sep-17,6375.00,6400.00,6300.00,6300.00,199500
12-Sep-17,6400.00,6450.00,6375.00,6375.00,435700
11-Sep-17,6375.00,6500.00,6375.00,6450.00,264200
8-Sep-17,6500.00,6575.00,6375.00,6375.00,34500
7-Sep-17,6500.00,6600.00,6450.00,6500.00,759200
6-Sep-17,6475.00,6500.00,6475.00,6475.00,71100
5-Sep-17,6425.00,6525.00,6400.00,6475.00,57400
4-Sep-17,6475.00,6525.00,6400.00,6450.00,367300
31-Aug-17,6475.00,6475.00,6400.00,6450.00,347400
30-Aug-17,6450.00,6500.00,6375.00,6475.00,174500
29-Aug-17,6400.00,6500.00,6400.00,6450.00,345600
28-Aug-17,6375.00,6525.00,6375.00,6400.00,2122500
25-Aug-17,6400.00,6425.00,6350.00,6375.00,791000
24-Aug-17,6550.00,6575.00,6400.00,6400.00,55400
23-Aug-17,6425.00,6600.00,6425.00,6550.00,465300
22-Aug-17,6450.00,6475.00,6375.00,6425.00,359400
21-Aug-17,6475.00,6500.00,6400.00,6450.00,213100
18-Aug-17,6750.00,6800.00,6400.00,6450.00,204500
16-Aug-17,6625.00,6700.00,6625.00,6700.00,134900
15-Aug-17,6700.00,6800.00,6600.00,6625.00,168600
14-Aug-17,6725.00,6775.00,6650.00,6700.00,193700
11-Aug-17,6750.00,6775.00,6625.00,6725.00,4562400
10-Aug-17,6700.00,6850.00,6650.00,6750.00,359900
9-Aug-17,6500.00,6675.00,6400.00,6650.00,600800
8-Aug-17,6225.00,6450.00,6225.00,6450.00,210400
7-Aug-17,6525.00,6550.00,6150.00,6200.00,310800
4-Aug-17,6500.00,6550.00,6500.00,6525.00,135900
3-Aug-17,6525.00,6550.00,6325.00,6500.00,842800
2-Aug-17,6300.00,6550.00,6300.00,6525.00,869000
1-Aug-17,6500.00,6550.00,6350.00,6400.00,34400
31-Jul-17,6400.00,6600.00,6325.00,6500.00,1266000
28-Jul-17,6300.00,6400.00,6250.00,6400.00,873900
27-Jul-17,6250.00,6400.00,6250.00,6325.00,787000
26-Jul-17,6300.00,6300.00,6225.00,6275.00,108500
25-Jul-17,6300.00,6325.00,6200.00,6300.00,689900
24-Jul-17,6225.00,6275.00,6225.00,6250.00,39500
21-Jul-17,6275.00,6300.00,6225.00,6275.00,133000
20-Jul-17,6275.00,6300.00,6225.00,6250.00,202800
19-Jul-17,6300.00,6350.00,6250.00,6275.00,341600
18-Jul-17,6325.00,6350.00,6300.00,6300.00,592000
17-Jul-17,6300.00,6350.00,6275.00,6300.00,235300
14-Jul-17,6200.00,6300.00,6200.00,6300.00,60900
13-Jul-17,6300.00,6300.00,6150.00,6200.00,1267000
12-Jul-17,6100.00,6375.00,6100.00,6325.00,886900
11-Jul-17,6175.00,6200.00,6100.00,6100.00,53500
10-Jul-17,6000.00,6200.00,6000.00,6175.00,67200
7-Jul-17,6325.00,6325.00,5900.00,6000.00,1213500
6-Jul-17,6325.00,6350.00,6300.00,6325.00,779400
5-Jul-17,6300.00,6400.00,6300.00,6325.00,593000
