Date,Open,High,Low,Close,Volume
29-Dec-17,121.00,122.00,114.00,115.00,7138100
28-Dec-17,123.00,127.00,120.00,122.00,9017900
27-Dec-17,124.00,125.00,120.00,122.00,712600
22-Dec-17,136.00,136.00,122.00,122.00,3542900
21-Dec-17,129.00,132.00,126.00,131.00,236200
20-Dec-17,129.00,135.00,129.00,129.00,11600
19-Dec-17,136.00,136.00,130.00,130.00,805400
18-Dec-17,132.00,132.00,129.00,130.00,621000
15-Dec-17,133.00,133.00,130.00,132.00,66300
14-Dec-17,128.00,133.00,125.00,133.00,66300
13-Dec-17,135.00,138.00,130.00,130.00,1449300
12-Dec-17,132.00,137.00,130.00,130.00,253200
11-Dec-17,134.00,140.00,131.00,135.00,177900
8-Dec-17,136.00,136.00,131.00,135.00,316300
7-Dec-17,136.00,138.00,135.00,136.00,66900
6-Dec-17,138.00,140.00,132.00,135.00,209500
5-Dec-17,147.00,147.00,131.00,136.00,986900
4-Dec-17,152.00,153.00,147.00,147.00,228200
30-Nov-17,159.00,159.00,151.00,152.00,113600
29-Nov-17,154.00,158.00,150.00,156.00,111300
28-Nov-17,153.00,156.00,150.00,152.00,515000
27-Nov-17,156.00,157.00,155.00,157.00,303000
24-Nov-17,158.00,159.00,155.00,157.00,1005400
23-Nov-17,161.00,161.00,158.00,158.00,577200
22-Nov-17,161.00,161.00,159.00,160.00,72700
21-Nov-17,161.00,163.00,159.00,161.00,547300
20-Nov-17,163.00,163.00,159.00,159.00,538900
17-Nov-17,164.00,164.00,160.00,162.00,130400
16-Nov-17,160.00,163.00,159.00,159.00,549500
15-Nov-17,163.00,163.00,160.00,162.00,120200
14-Nov-17,163.00,165.00,160.00,164.00,224000
13-Nov-17,160.00,164.00,160.00,163.00,316400
10-Nov-17,161.00,162.00,160.00,162.00,94600
9-Nov-17,161.00,167.00,160.00,164.00,706700
8-Nov-17,161.00,164.00,160.00,160.00,1183900
7-Nov-17,165.00,166.00,159.00,161.00,4808100
6-Nov-17,165.00,166.00,162.00,165.00,169000
3-Nov-17,168.00,181.00,161.00,165.00,1679300
2-Nov-17,166.00,168.00,160.00,165.00,353900
1-Nov-17,165.00,168.00,161.00,167.00,272600
31-Oct-17,167.00,169.00,165.00,166.00,368500
30-Oct-17,169.00,169.00,167.00,168.00,61800
27-Oct-17,170.00,172.00,166.00,169.00,48300
26-Oct-17,170.00,170.00,167.00,169.00,121300
25-Oct-17,172.00,172.00,166.00,169.00,644500
24-Oct-17,174.00,174.00,172.00,172.00,69200
23-Oct-17,172.00,172.00,171.00,172.00,27900
20-Oct-17,172.00,173.00,172.00,172.00,255600
19-Oct-17,172.00,174.00,172.00,174.00,53800
18-Oct-17,174.00,174.00,172.00,174.00,274800
17-Oct-17,176.00,180.00,174.00,174.00,108900
16-Oct-17,175.00,180.00,172.00,176.00,30000
13-Oct-17,175.00,175.00,171.00,175.00,345200
12-Oct-17,176.00,180.00,175.00,175.00,132800
11-Oct-17,181.00,181.00,175.00,176.00,464500
10-Oct-17,182.00,190.00,181.00,181.00,442300
9-Oct-17,178.00,184.00,178.00,178.00,86600
6-Oct-17,180.00,182.00,180.00,181.00,707200
5-Oct-17,181.00,184.00,180.00,180.00,46100
4-Oct-17,178.00,181.00,176.00,181.00,293800
3-Oct-17,178.00,181.00,178.00,178.00,136500
2-Oct-17,185.00,185.00,176.00,179.00,822600
29-Sep-17,185.00,185.00,181.00,185.00,117300
28-Sep-17,187.00,187.00,178.00,185.00,15700
27-Sep-17,187.00,187.00,185.00,187.00,28100
26-Sep-17,185.00,189.00,185.00,187.00,66100
25-Sep-17,183.00,187.00,181.00,185.00,202400
22-Sep-17,183.00,183.00,182.00,183.00,204300
20-Sep-17,180.00,183.00,180.00,182.00,159900
19-Sep-17,180.00,181.00,174.00,180.00,231800
18-Sep-17,185.00,185.00,175.00,182.00,711200
15-Sep-17,186.00,187.00,184.00,185.00,64900
14-Sep-17,186.00,186.00,184.00,186.00,158100
13-Sep-17,191.00,194.00,185.00,189.00,284700
12-Sep-17,192.00,193.00,188.00,191.00,204100
11-Sep-17,188.00,194.00,186.00,192.00,378900
8-Sep-17,194.00,194.00,188.00,188.00,69900
7-Sep-17,188.00,190.00,186.00,189.00,137500
6-Sep-17,190.00,190.00,187.00,188.00,1536000
5-Sep-17,193.00,197.00,190.00,190.00,1248200
4-Sep-17,196.00,197.00,191.00,193.00,1253000
31-Aug-17,198.00,200.00,195.00,196.00,338600
30-Aug-17,200.00,202.00,198.00,198.00,323700
29-Aug-17,198.00,206.00,196.00,200.00,2361800
28-Aug-17,200.00,200.00,198.00,198.00,170000
25-Aug-17,198.00,200.00,197.00,200.00,486700
24-Aug-17,196.00,200.00,196.00,198.00,707900
23-Aug-17,200.00,200.00,194.00,194.00,805400
22-Aug-17,198.00,202.00,198.00,198.00,394100
21-Aug-17,200.00,200.00,197.00,198.00,33000
18-Aug-17,200.00,200.00,197.00,200.00,291100
16-Aug-17,196.00,200.00,196.00,200.00,338000
15-Aug-17,200.00,200.00,196.00,196.00,722000
14-Aug-17,200.00,200.00,198.00,198.00,1255600
11-Aug-17,202.00,204.00,199.00,200.00,333200
10-Aug-17,198.00,204.00,198.00,204.00,770700
9-Aug-17,204.00,204.00,197.00,199.00,2199300
8-Aug-17,206.00,206.00,204.00,204.00,453500
7-Aug-17,210.00,210.00,206.00,208.00,450500
4-Aug-17,214.00,214.00,210.00,210.00,2397600
3-Aug-17,216.00,216.00,212.00,212.00,659900
2-Aug-17,216.00,216.00,214.00,216.00,274100
1-Aug-17,218.00,220.00,214.00,216.00,4909400
31-Jul-17,218.00,224.00,216.00,218.00,2013400
28-Jul-17,220.00,222.00,216.00,218.00,1531300
27-Jul-17,220.00,224.00,220.00,220.00,2076500
26-Jul-17,224.00,224.00,220.00,220.00,1930600
25-Jul-17,226.00,226.00,224.00,224.00,148200
24-Jul-17,226.00,226.00,224.00,224.00,51600
21-Jul-17,226.00,228.00,224.00,226.00,308100
20-Jul-17,230.00,230.00,224.00,226.00,292300
19-Jul-17,228.00,238.00,228.00,230.00,7979400
