Date,Open,High,Low,Close,Volume
29-Dec-17,635.00,790.00,590.00,790.00,416000
28-Dec-17,640.00,640.00,635.00,635.00,9700
27-Dec-17,675.00,675.00,640.00,640.00,2500
22-Dec-17,635.00,670.00,635.00,640.00,7500
21-Dec-17,670.00,670.00,635.00,635.00,2300
20-Dec-17,670.00,670.00,620.00,620.00,126900
19-Dec-17,645.00,665.00,625.00,635.00,73600
18-Dec-17,680.00,690.00,625.00,680.00,47000
15-Dec-17,565.00,705.00,545.00,660.00,367000
14-Dec-17,590.00,590.00,545.00,565.00,899600
13-Dec-17,660.00,700.00,590.00,590.00,256100
12-Dec-17,685.00,690.00,630.00,630.00,31200
11-Dec-17,730.00,730.00,685.00,690.00,148600
8-Dec-17,775.00,795.00,715.00,750.00,29800
7-Dec-17,800.00,820.00,770.00,790.00,79800
6-Dec-17,820.00,820.00,795.00,820.00,7700
5-Dec-17,810.00,825.00,795.00,820.00,25700
4-Dec-17,820.00,820.00,810.00,810.00,7600
30-Nov-17,820.00,820.00,815.00,820.00,8700
29-Nov-17,820.00,835.00,820.00,835.00,2400
28-Nov-17,835.00,835.00,810.00,820.00,2700
27-Nov-17,835.00,835.00,835.00,835.00,600
24-Nov-17,835.00,835.00,835.00,835.00,600
23-Nov-17,830.00,830.00,820.00,820.00,2200
22-Nov-17,830.00,835.00,830.00,830.00,468800
21-Nov-17,835.00,835.00,820.00,835.00,6500
20-Nov-17,830.00,840.00,830.00,835.00,16300
17-Nov-17,820.00,825.00,820.00,820.00,14600
16-Nov-17,845.00,845.00,845.00,845.00,500
15-Nov-17,830.00,860.00,820.00,830.00,64400
14-Nov-17,830.00,840.00,820.00,830.00,54000
13-Nov-17,840.00,840.00,815.00,820.00,13500
10-Nov-17,830.00,840.00,815.00,825.00,62900
9-Nov-17,850.00,875.00,845.00,870.00,7300
8-Nov-17,860.00,865.00,850.00,850.00,8800
7-Nov-17,850.00,870.00,840.00,860.00,13600
6-Nov-17,850.00,875.00,825.00,850.00,7700
3-Nov-17,865.00,945.00,815.00,830.00,84500
2-Nov-17,860.00,870.00,860.00,870.00,200
1-Nov-17,825.00,870.00,815.00,855.00,27000
31-Oct-17,860.00,860.00,860.00,860.00,100
30-Oct-17,860.00,860.00,810.00,855.00,48300
27-Oct-17,845.00,875.00,815.00,845.00,30100
26-Oct-17,840.00,840.00,830.00,835.00,16000
25-Oct-17,830.00,850.00,805.00,825.00,175300
24-Oct-17,805.00,855.00,805.00,805.00,153400
23-Oct-17,850.00,850.00,850.00,850.00,7200
20-Oct-17,840.00,870.00,840.00,840.00,4500
