Date,Open,High,Low,Close,Volume
29-Dec-17,460.00,460.00,460.00,460.00,100
28-Dec-17,490.00,490.00,490.00,490.00,100
27-Dec-17,490.00,490.00,472.00,472.00,1080600
22-Dec-17,472.00,472.00,472.00,472.00,1100
21-Dec-17,470.00,472.00,460.00,472.00,31100
20-Dec-17,460.00,472.00,460.00,470.00,319300
19-Dec-17,460.00,460.00,460.00,460.00,100
18-Dec-17,476.00,480.00,476.00,480.00,10100
15-Dec-17,460.00,500.00,460.00,476.00,285800
14-Dec-17,494.00,494.00,456.00,456.00,300
13-Dec-17,-,-,-,480.00,0
12-Dec-17,450.00,490.00,450.00,480.00,298200
11-Dec-17,440.00,440.00,440.00,440.00,100
8-Dec-17,-,-,-,482.00,0
7-Dec-17,482.00,482.00,482.00,482.00,5500
6-Dec-17,470.00,490.00,470.00,482.00,290100
5-Dec-17,645.00,645.00,456.00,462.00,21500
4-Dec-17,500.00,600.00,500.00,600.00,3400
30-Nov-17,-,-,-,500.00,0
29-Nov-17,-,-,-,500.00,0
28-Nov-17,498.00,500.00,498.00,500.00,3100
27-Nov-17,500.00,500.00,500.00,500.00,20500
24-Nov-17,500.00,500.00,500.00,500.00,3000
23-Nov-17,-,-,-,510.00,0
22-Nov-17,510.00,510.00,510.00,510.00,100
21-Nov-17,-,-,-,505.00,0
20-Nov-17,510.00,510.00,500.00,505.00,62800
17-Nov-17,515.00,515.00,500.00,500.00,5100
16-Nov-17,510.00,510.00,505.00,505.00,10700
15-Nov-17,500.00,500.00,500.00,500.00,200
14-Nov-17,510.00,510.00,505.00,510.00,11200
13-Nov-17,630.00,630.00,468.00,500.00,18700
10-Nov-17,500.00,505.00,500.00,505.00,20000
9-Nov-17,496.00,496.00,496.00,496.00,1200
8-Nov-17,-,-,-,494.00,0
7-Nov-17,494.00,494.00,494.00,494.00,200
6-Nov-17,498.00,498.00,496.00,496.00,1300
3-Nov-17,498.00,600.00,498.00,498.00,30500
2-Nov-17,494.00,498.00,494.00,498.00,1000
1-Nov-17,494.00,496.00,494.00,494.00,11100
31-Oct-17,510.00,510.00,490.00,490.00,40100
30-Oct-17,510.00,510.00,450.00,510.00,80600
27-Oct-17,510.00,510.00,500.00,500.00,1500
26-Oct-17,505.00,510.00,505.00,510.00,7700
25-Oct-17,-,-,-,500.00,0
24-Oct-17,500.00,500.00,500.00,500.00,3000
23-Oct-17,500.00,500.00,500.00,500.00,1800
20-Oct-17,505.00,505.00,500.00,505.00,13300
