Date,Open,High,Low,Close,Volume
18-Jul-17,110.00,128.00,90.00,97.00,3128100
17-Jul-17,75.00,101.00,75.00,101.00,2456500
14-Jul-17,86.00,88.00,75.00,75.00,202100
13-Jul-17,107.00,115.00,83.00,86.00,805600
12-Jul-17,81.00,109.00,81.00,102.00,2735600
11-Jul-17,63.00,81.00,61.00,81.00,915000
10-Jul-17,60.00,63.00,55.00,60.00,38800
7-Jul-17,72.00,72.00,64.00,64.00,1400
6-Jul-17,69.00,72.00,69.00,72.00,41300
5-Jul-17,64.00,75.00,64.00,72.00,26600
4-Jul-17,-,-,-,60.00,0
3-Jul-17,60.00,60.00,60.00,60.00,3500
22-Jun-17,62.00,63.00,62.00,63.00,1200
21-Jun-17,63.00,63.00,62.00,62.00,16000
20-Jun-17,62.00,62.00,62.00,62.00,2300
19-Jun-17,58.00,64.00,56.00,60.00,4100
16-Jun-17,63.00,63.00,62.00,62.00,9000
15-Jun-17,63.00,63.00,63.00,63.00,100
14-Jun-17,64.00,64.00,62.00,62.00,46200
13-Jun-17,64.00,64.00,64.00,64.00,1500
12-Jun-17,64.00,64.00,62.00,62.00,23900
9-Jun-17,65.00,65.00,64.00,64.00,5400
8-Jun-17,65.00,65.00,65.00,65.00,1100
7-Jun-17,69.00,69.00,68.00,68.00,300
6-Jun-17,71.00,72.00,70.00,70.00,104200
5-Jun-17,68.00,72.00,68.00,70.00,4800
2-Jun-17,75.00,75.00,68.00,68.00,6200
31-May-17,60.00,80.00,60.00,75.00,1438900
30-May-17,59.00,63.00,59.00,62.00,5900
29-May-17,60.00,60.00,58.00,59.00,11000
26-May-17,62.00,63.00,62.00,63.00,2800
24-May-17,64.00,64.00,63.00,63.00,1300
23-May-17,64.00,64.00,64.00,64.00,200
22-May-17,64.00,64.00,63.00,63.00,2600
19-May-17,62.00,69.00,62.00,65.00,2300
18-May-17,63.00,63.00,63.00,63.00,8300
17-May-17,66.00,66.00,63.00,63.00,500
16-May-17,63.00,64.00,63.00,63.00,6800
15-May-17,-,-,-,62.00,0
12-May-17,63.00,63.00,60.00,62.00,18000
10-May-17,68.00,68.00,58.00,65.00,23700
9-May-17,63.00,68.00,62.00,68.00,9900
8-May-17,70.00,75.00,65.00,70.00,148700
5-May-17,-,-,-,57.00,0
4-May-17,55.00,63.00,54.00,57.00,13700
3-May-17,57.00,58.00,57.00,57.00,10700
2-May-17,57.00,57.00,55.00,57.00,3000
28-Apr-17,62.00,63.00,60.00,60.00,6600
27-Apr-17,59.00,60.00,59.00,60.00,1100
26-Apr-17,62.00,65.00,59.00,60.00,51700
25-Apr-17,60.00,60.00,60.00,60.00,3900
21-Apr-17,64.00,64.00,59.00,59.00,20600
20-Apr-17,67.00,67.00,67.00,67.00,100
18-Apr-17,67.00,67.00,67.00,67.00,300
17-Apr-17,65.00,76.00,65.00,67.00,30700
13-Apr-17,-,-,-,64.00,0
12-Apr-17,-,-,-,64.00,0
11-Apr-17,-,-,-,64.00,0
10-Apr-17,-,-,-,64.00,0
7-Apr-17,-,-,-,64.00,0
6-Apr-17,64.00,64.00,64.00,64.00,19500
5-Apr-17,-,-,-,65.00,0
4-Apr-17,-,-,-,65.00,0
3-Apr-17,-,-,-,65.00,0
31-Mar-17,-,-,-,65.00,0
30-Mar-17,-,-,-,65.00,0
29-Mar-17,69.00,69.00,65.00,65.00,13600
27-Mar-17,70.00,76.00,69.00,69.00,28300
24-Mar-17,70.00,70.00,70.00,70.00,1100
23-Mar-17,70.00,70.00,69.00,70.00,21100
22-Mar-17,74.00,75.00,70.00,70.00,9500
21-Mar-17,73.00,75.00,73.00,75.00,2600
20-Mar-17,-,-,-,73.00,0
17-Mar-17,75.00,76.00,72.00,73.00,7500
16-Mar-17,69.00,69.00,69.00,69.00,6000
15-Mar-17,70.00,70.00,69.00,70.00,16800
14-Mar-17,70.00,70.00,70.00,70.00,9500
13-Mar-17,74.00,74.00,74.00,74.00,100
10-Mar-17,71.00,71.00,71.00,71.00,5400
9-Mar-17,70.00,72.00,69.00,72.00,35400
8-Mar-17,78.00,78.00,72.00,72.00,200
7-Mar-17,84.00,84.00,80.00,80.00,60200
6-Mar-17,68.00,91.00,68.00,91.00,16100
3-Mar-17,-,-,-,68.00,0
2-Mar-17,68.00,68.00,68.00,68.00,7000
1-Mar-17,-,-,-,68.00,0
28-Feb-17,63.00,68.00,63.00,68.00,11900
27-Feb-17,-,-,-,69.00,0
24-Feb-17,-,-,-,69.00,0
23-Feb-17,-,-,-,69.00,0
22-Feb-17,-,-,-,69.00,0
21-Feb-17,-,-,-,69.00,0
20-Feb-17,69.00,69.00,69.00,69.00,3000
17-Feb-17,-,-,-,69.00,0
16-Feb-17,-,-,-,69.00,0
14-Feb-17,-,-,-,69.00,0
13-Feb-17,69.00,69.00,69.00,69.00,100
10-Feb-17,-,-,-,69.00,0
9-Feb-17,-,-,-,69.00,0
8-Feb-17,-,-,-,69.00,0
7-Feb-17,-,-,-,69.00,0
6-Feb-17,-,-,-,69.00,0
3-Feb-17,-,-,-,69.00,0
2-Feb-17,-,-,-,69.00,0
1-Feb-17,-,-,-,69.00,0
31-Jan-17,-,-,-,69.00,0
30-Jan-17,69.00,69.00,69.00,69.00,100
27-Jan-17,66.00,68.00,66.00,68.00,152300
26-Jan-17,-,-,-,70.00,0
25-Jan-17,70.00,70.00,70.00,70.00,24600
24-Jan-17,71.00,71.00,71.00,71.00,700
23-Jan-17,70.00,72.00,70.00,72.00,13500
20-Jan-17,73.00,73.00,73.00,73.00,5100
19-Jan-17,72.00,74.00,71.00,71.00,1700
18-Jan-17,67.00,67.00,67.00,67.00,1500
17-Jan-17,-,-,-,67.00,0
16-Jan-17,67.00,67.00,67.00,67.00,700
13-Jan-17,-,-,-,68.00,0
12-Jan-17,75.00,75.00,68.00,68.00,1200
11-Jan-17,68.00,68.00,68.00,68.00,700
10-Jan-17,-,-,-,68.00,0
9-Jan-17,62.00,68.00,62.00,68.00,11300
6-Jan-17,74.00,74.00,67.00,67.00,300
5-Jan-17,-,-,-,75.00,0
4-Jan-17,-,-,-,75.00,0
3-Jan-17,-,-,-,75.00,0
30-Dec-16,-,-,-,75.00,0
29-Dec-16,75.00,75.00,75.00,75.00,100
28-Dec-16,68.00,68.00,68.00,68.00,8000
27-Dec-16,68.00,68.00,68.00,68.00,12800
23-Dec-16,74.00,74.00,74.00,74.00,1100
22-Dec-16,-,-,-,66.00,0
21-Dec-16,66.00,66.00,66.00,66.00,300
20-Dec-16,68.00,68.00,68.00,68.00,1000
19-Dec-16,-,-,-,74.00,0
16-Dec-16,-,-,-,74.00,0
15-Dec-16,-,-,-,74.00,0
14-Dec-16,75.00,76.00,74.00,74.00,300
13-Dec-16,68.00,73.00,68.00,70.00,10100
9-Dec-16,76.00,76.00,74.00,74.00,700
8-Dec-16,70.00,70.00,70.00,70.00,100
7-Dec-16,71.00,71.00,71.00,71.00,100
6-Dec-16,72.00,72.00,70.00,70.00,23600
5-Dec-16,70.00,72.00,70.00,72.00,11200
2-Dec-16,80.00,80.00,71.00,73.00,61300
1-Dec-16,62.00,81.00,62.00,78.00,86100
30-Nov-16,-,-,-,64.00,0
29-Nov-16,63.00,72.00,63.00,64.00,18300
28-Nov-16,72.00,72.00,63.00,63.00,400
25-Nov-16,-,-,-,66.00,0
24-Nov-16,73.00,73.00,66.00,66.00,20100
23-Nov-16,61.00,71.00,61.00,71.00,15500
22-Nov-16,-,-,-,63.00,0
21-Nov-16,-,-,-,63.00,0
18-Nov-16,63.00,63.00,63.00,63.00,100
17-Nov-16,66.00,66.00,66.00,66.00,2000
16-Nov-16,66.00,66.00,66.00,66.00,500
15-Nov-16,66.00,66.00,65.00,66.00,1600
14-Nov-16,75.00,75.00,70.00,70.00,7900
11-Nov-16,64.00,64.00,64.00,64.00,13000
10-Nov-16,64.00,64.00,64.00,64.00,100
9-Nov-16,-,-,-,70.00,0
8-Nov-16,70.00,70.00,70.00,70.00,7500
7-Nov-16,77.00,77.00,77.00,77.00,1000
4-Nov-16,-,-,-,77.00,0
3-Nov-16,-,-,-,77.00,0
2-Nov-16,-,-,-,77.00,0
1-Nov-16,-,-,-,77.00,0
31-Oct-16,64.00,80.00,64.00,77.00,25100
28-Oct-16,-,-,-,64.00,0
27-Oct-16,65.00,65.00,64.00,64.00,3100
26-Oct-16,-,-,-,66.00,0
25-Oct-16,66.00,66.00,66.00,66.00,500
24-Oct-16,66.00,66.00,66.00,66.00,500
21-Oct-16,72.00,72.00,65.00,69.00,8500
20-Oct-16,69.00,73.00,69.00,69.00,300
19-Oct-16,69.00,69.00,69.00,69.00,1100
18-Oct-16,72.00,72.00,65.00,65.00,1000
17-Oct-16,79.00,79.00,65.00,65.00,700
14-Oct-16,70.00,70.00,70.00,70.00,100
13-Oct-16,61.00,65.00,60.00,61.00,36100
12-Oct-16,-,-,-,66.00,0
11-Oct-16,63.00,66.00,63.00,66.00,13400
10-Oct-16,75.00,75.00,63.00,63.00,200
7-Oct-16,66.00,66.00,66.00,66.00,100
6-Oct-16,-,-,-,72.00,0
5-Oct-16,72.00,72.00,72.00,72.00,200
4-Oct-16,-,-,-,72.00,0
3-Oct-16,73.00,73.00,72.00,72.00,4100
30-Sep-16,80.00,80.00,72.00,74.00,74800
29-Sep-16,80.00,80.00,80.00,80.00,100
28-Sep-16,64.00,70.00,64.00,70.00,200
27-Sep-16,64.00,64.00,64.00,64.00,100
26-Sep-16,-,-,-,64.00,0
23-Sep-16,-,-,-,64.00,0
22-Sep-16,-,-,-,64.00,0
21-Sep-16,-,-,-,64.00,0
20-Sep-16,-,-,-,64.00,0
19-Sep-16,71.00,71.00,64.00,64.00,10200
16-Sep-16,61.00,61.00,61.00,61.00,10000
15-Sep-16,61.00,61.00,61.00,61.00,5000
14-Sep-16,-,-,-,61.00,0
13-Sep-16,62.00,62.00,61.00,61.00,43100
9-Sep-16,67.00,67.00,67.00,67.00,10100
8-Sep-16,-,-,-,65.00,0
7-Sep-16,61.00,65.00,61.00,65.00,3000
6-Sep-16,-,-,-,65.00,0
5-Sep-16,75.00,75.00,65.00,65.00,22600
2-Sep-16,68.00,68.00,63.00,65.00,51000
1-Sep-16,68.00,68.00,64.00,68.00,7300
31-Aug-16,60.00,60.00,56.00,56.00,300
30-Aug-16,70.00,70.00,60.00,60.00,1100
29-Aug-16,70.00,70.00,60.00,60.00,200
26-Aug-16,62.00,62.00,62.00,62.00,1400
25-Aug-16,63.00,63.00,63.00,63.00,400
24-Aug-16,67.00,67.00,62.00,62.00,12500
23-Aug-16,68.00,68.00,59.00,61.00,800
22-Aug-16,-,-,-,64.00,0
19-Aug-16,64.00,64.00,64.00,64.00,22000
18-Aug-16,65.00,65.00,65.00,65.00,2466000
16-Aug-16,62.00,62.00,62.00,62.00,100
15-Aug-16,62.00,62.00,62.00,62.00,18500
12-Aug-16,-,-,-,65.00,0
11-Aug-16,65.00,65.00,65.00,65.00,8000
10-Aug-16,66.00,66.00,66.00,66.00,10000
9-Aug-16,-,-,-,69.00,0
8-Aug-16,69.00,69.00,69.00,69.00,1000
5-Aug-16,60.00,67.00,60.00,65.00,22600
4-Aug-16,65.00,65.00,65.00,65.00,7300
3-Aug-16,66.00,66.00,66.00,66.00,1000
2-Aug-16,65.00,69.00,62.00,66.00,91600
1-Aug-16,70.00,78.00,63.00,63.00,92600
29-Jul-16,-,-,-,61.00,0
28-Jul-16,61.00,61.00,61.00,61.00,1100
27-Jul-16,58.00,63.00,58.00,61.00,5600
26-Jul-16,-,-,-,59.00,0
25-Jul-16,59.00,59.00,59.00,59.00,100
22-Jul-16,59.00,59.00,59.00,59.00,200
21-Jul-16,63.00,63.00,59.00,59.00,18100
20-Jul-16,59.00,59.00,59.00,59.00,300
19-Jul-16,57.00,57.00,57.00,57.00,100
18-Jul-16,56.00,57.00,56.00,57.00,4900
15-Jul-16,-,-,-,59.00,0
14-Jul-16,57.00,59.00,55.00,59.00,114600
13-Jul-16,-,-,-,61.00,0
12-Jul-16,-,-,-,61.00,0
11-Jul-16,-,-,-,61.00,0
1-Jul-16,61.00,61.00,61.00,61.00,100
30-Jun-16,-,-,-,61.00,0
29-Jun-16,-,-,-,61.00,0
28-Jun-16,-,-,-,61.00,0
27-Jun-16,-,-,-,61.00,0
24-Jun-16,60.00,61.00,59.00,61.00,25100
23-Jun-16,-,-,-,64.00,0
22-Jun-16,64.00,64.00,64.00,64.00,100
21-Jun-16,-,-,-,60.00,0
20-Jun-16,-,-,-,60.00,0
17-Jun-16,-,-,-,60.00,0
16-Jun-16,-,-,-,60.00,0
15-Jun-16,-,-,-,60.00,0
14-Jun-16,61.00,61.00,60.00,60.00,50000
13-Jun-16,-,-,-,63.00,0
10-Jun-16,-,-,-,63.00,0
9-Jun-16,63.00,63.00,63.00,63.00,100
8-Jun-16,-,-,-,63.00,0
7-Jun-16,-,-,-,63.00,0
6-Jun-16,60.00,63.00,60.00,63.00,122100
3-Jun-16,-,-,-,62.00,0
2-Jun-16,61.00,62.00,61.00,62.00,4300
1-Jun-16,-,-,-,61.00,0
31-May-16,61.00,61.00,61.00,61.00,200
30-May-16,61.00,61.00,61.00,61.00,100
27-May-16,-,-,-,60.00,0
26-May-16,-,-,-,60.00,0
25-May-16,-,-,-,60.00,0
24-May-16,-,-,-,60.00,0
23-May-16,-,-,-,60.00,0
20-May-16,-,-,-,60.00,0
19-May-16,-,-,-,60.00,0
18-May-16,-,-,-,60.00,0
17-May-16,-,-,-,60.00,0
16-May-16,62.00,63.00,60.00,60.00,36800
13-May-16,66.00,66.00,59.00,61.00,400
12-May-16,-,-,-,63.00,0
11-May-16,-,-,-,63.00,0
10-May-16,63.00,63.00,63.00,63.00,100
9-May-16,59.00,59.00,59.00,59.00,5000
4-May-16,-,-,-,60.00,0
3-May-16,60.00,60.00,60.00,60.00,500
2-May-16,62.00,62.00,62.00,62.00,5000
29-Apr-16,60.00,64.00,60.00,63.00,34200
28-Apr-16,57.00,60.00,57.00,60.00,4100
27-Apr-16,-,-,-,63.00,0
26-Apr-16,63.00,63.00,63.00,63.00,200
25-Apr-16,62.00,63.00,62.00,63.00,5100
22-Apr-16,-,-,-,63.00,0
21-Apr-16,63.00,63.00,63.00,63.00,100
20-Apr-16,-,-,-,63.00,0
19-Apr-16,63.00,63.00,63.00,63.00,100
18-Apr-16,68.00,68.00,59.00,67.00,2400
15-Apr-16,63.00,63.00,63.00,63.00,33600
14-Apr-16,66.00,68.00,65.00,66.00,69700
13-Apr-16,63.00,64.00,63.00,64.00,4300
12-Apr-16,63.00,63.00,63.00,63.00,16000
11-Apr-16,-,-,-,63.00,0
8-Apr-16,-,-,-,63.00,0
7-Apr-16,63.00,63.00,63.00,63.00,600
6-Apr-16,80.00,80.00,63.00,63.00,56700
5-Apr-16,65.00,65.00,62.00,62.00,200
4-Apr-16,61.00,61.00,61.00,61.00,300
1-Apr-16,63.00,63.00,63.00,63.00,11000
31-Mar-16,61.00,85.00,61.00,63.00,146700
30-Mar-16,62.00,71.00,62.00,66.00,135900
29-Mar-16,65.00,65.00,62.00,62.00,15100
28-Mar-16,-,-,-,65.00,0
24-Mar-16,64.00,65.00,64.00,65.00,12800
23-Mar-16,-,-,-,70.00,0
22-Mar-16,69.00,70.00,69.00,70.00,700
21-Mar-16,-,-,-,75.00,0
18-Mar-16,-,-,-,75.00,0
17-Mar-16,75.00,75.00,75.00,75.00,100
16-Mar-16,64.00,65.00,64.00,64.00,9900
15-Mar-16,61.00,72.00,61.00,71.00,20200
14-Mar-16,-,-,-,67.00,0
11-Mar-16,-,-,-,67.00,0
10-Mar-16,68.00,68.00,67.00,67.00,22100
8-Mar-16,67.00,67.00,67.00,67.00,1000
7-Mar-16,72.00,72.00,72.00,72.00,500
4-Mar-16,77.00,77.00,77.00,77.00,100
3-Mar-16,78.00,78.00,78.00,78.00,100
2-Mar-16,60.00,67.00,60.00,66.00,45100
1-Mar-16,62.00,66.00,62.00,66.00,300
29-Feb-16,61.00,69.00,59.00,68.00,50400
26-Feb-16,-,-,-,65.00,0
25-Feb-16,65.00,65.00,65.00,65.00,1300
24-Feb-16,-,-,-,72.00,0
23-Feb-16,-,-,-,72.00,0
22-Feb-16,-,-,-,72.00,0
19-Feb-16,-,-,-,72.00,0
18-Feb-16,-,-,-,72.00,0
17-Feb-16,72.00,72.00,72.00,72.00,7100
16-Feb-16,-,-,-,72.00,0
15-Feb-16,-,-,-,72.00,0
12-Feb-16,-,-,-,72.00,0
11-Feb-16,-,-,-,72.00,0
10-Feb-16,-,-,-,72.00,0
9-Feb-16,-,-,-,72.00,0
5-Feb-16,-,-,-,72.00,0
4-Feb-16,67.00,72.00,67.00,72.00,2700
3-Feb-16,-,-,-,72.00,0
2-Feb-16,-,-,-,72.00,0
1-Feb-16,71.00,72.00,71.00,72.00,8100
29-Jan-16,73.00,73.00,73.00,73.00,500
28-Jan-16,72.00,74.00,69.00,73.00,35400
27-Jan-16,68.00,69.00,68.00,69.00,22000
26-Jan-16,68.00,68.00,68.00,68.00,81800
25-Jan-16,72.00,79.00,72.00,75.00,132200
22-Jan-16,-,-,-,79.00,0
21-Jan-16,-,-,-,79.00,0
20-Jan-16,79.00,79.00,79.00,79.00,100
19-Jan-16,68.00,73.00,67.00,71.00,4600
18-Jan-16,74.00,74.00,74.00,74.00,100
15-Jan-16,69.00,70.00,69.00,69.00,5100
14-Jan-16,-,-,-,76.00,0
13-Jan-16,76.00,76.00,76.00,76.00,100
12-Jan-16,71.00,71.00,71.00,71.00,19000
11-Jan-16,78.00,78.00,78.00,78.00,100
8-Jan-16,63.00,63.00,63.00,63.00,28200
7-Jan-16,-,-,-,68.00,0
6-Jan-16,-,-,-,68.00,0
5-Jan-16,67.00,68.00,67.00,68.00,300
4-Jan-16,63.00,63.00,63.00,63.00,9900
30-Dec-15,64.00,68.00,64.00,68.00,400
29-Dec-15,-,-,-,68.00,0
28-Dec-15,68.00,68.00,68.00,68.00,100
23-Dec-15,65.00,65.00,63.00,63.00,21400
22-Dec-15,-,-,-,69.00,0
21-Dec-15,-,-,-,69.00,0
18-Dec-15,-,-,-,69.00,0
17-Dec-15,69.00,69.00,69.00,69.00,100
16-Dec-15,70.00,70.00,66.00,66.00,300
15-Dec-15,-,-,-,65.00,0
14-Dec-15,65.00,65.00,65.00,65.00,11300
11-Dec-15,-,-,-,72.00,0
10-Dec-15,-,-,-,72.00,0
8-Dec-15,78.00,78.00,72.00,72.00,300
7-Dec-15,-,-,-,71.00,0
4-Dec-15,77.00,77.00,60.00,71.00,400
3-Dec-15,64.00,64.00,64.00,64.00,500
2-Dec-15,-,-,-,69.00,0
1-Dec-15,64.00,69.00,63.00,69.00,15200
30-Nov-15,-,-,-,69.00,0
27-Nov-15,75.00,75.00,69.00,69.00,13800
26-Nov-15,75.00,75.00,75.00,75.00,100
25-Nov-15,70.00,70.00,70.00,70.00,100
24-Nov-15,66.00,66.00,66.00,66.00,107500
23-Nov-15,72.00,72.00,72.00,72.00,100
20-Nov-15,72.00,92.00,66.00,72.00,21800
19-Nov-15,72.00,72.00,72.00,72.00,100
18-Nov-15,-,-,-,72.00,0
17-Nov-15,79.00,79.00,72.00,72.00,17600
16-Nov-15,-,-,-,80.00,0
13-Nov-15,-,-,-,80.00,0
12-Nov-15,77.00,80.00,77.00,80.00,2700
11-Nov-15,85.00,85.00,80.00,80.00,200
10-Nov-15,66.00,66.00,65.00,65.00,10000
9-Nov-15,65.00,65.00,65.00,65.00,100
6-Nov-15,-,-,-,70.00,0
5-Nov-15,70.00,70.00,70.00,70.00,13500
4-Nov-15,71.00,72.00,71.00,71.00,83300
3-Nov-15,72.00,78.00,72.00,78.00,4100
2-Nov-15,-,-,-,72.00,0
30-Oct-15,-,-,-,72.00,0
29-Oct-15,-,-,-,72.00,0
28-Oct-15,69.00,72.00,69.00,72.00,17700
27-Oct-15,69.00,69.00,69.00,69.00,100
26-Oct-15,68.00,76.00,68.00,76.00,47400
23-Oct-15,66.00,68.00,66.00,68.00,6100
22-Oct-15,69.00,69.00,61.00,66.00,1600
21-Oct-15,68.00,69.00,65.00,65.00,37700
20-Oct-15,-,-,-,70.00,0
19-Oct-15,-,-,-,70.00,0
16-Oct-15,68.00,70.00,67.00,70.00,15400
15-Oct-15,-,-,-,74.00,0
13-Oct-15,-,-,-,74.00,0
12-Oct-15,74.00,74.00,74.00,74.00,6500
9-Oct-15,77.00,97.00,71.00,73.00,26800
8-Oct-15,77.00,77.00,77.00,77.00,100
7-Oct-15,72.00,77.00,72.00,77.00,9600
6-Oct-15,78.00,78.00,72.00,76.00,38200
5-Oct-15,70.00,80.00,70.00,80.00,4100
2-Oct-15,65.00,65.00,65.00,65.00,200
1-Oct-15,65.00,65.00,65.00,65.00,4600
30-Sep-15,64.00,67.00,64.00,67.00,4400
29-Sep-15,67.00,67.00,67.00,67.00,14000
28-Sep-15,78.00,78.00,69.00,73.00,23200
25-Sep-15,80.00,80.00,73.00,73.00,5100
23-Sep-15,77.00,77.00,76.00,76.00,1800
22-Sep-15,85.00,85.00,71.00,72.00,53600
21-Sep-15,-,-,-,78.00,0
18-Sep-15,74.00,78.00,74.00,78.00,15100
17-Sep-15,68.00,68.00,68.00,68.00,0
16-Sep-15,70.00,74.00,70.00,74.00,200
15-Sep-15,77.00,77.00,70.00,70.00,20900
14-Sep-15,78.00,78.00,72.00,77.00,40600
11-Sep-15,79.00,79.00,79.00,79.00,1400
10-Sep-15,88.00,88.00,73.00,73.00,1200
9-Sep-15,99.00,99.00,74.00,81.00,27600
8-Sep-15,83.00,83.00,77.00,79.00,800
7-Sep-15,85.00,85.00,67.00,73.00,32900
4-Sep-15,92.00,92.00,65.00,65.00,104900
3-Sep-15,66.00,66.00,66.00,66.00,0
2-Sep-15,72.00,72.00,72.00,72.00,25500
1-Sep-15,70.00,80.00,70.00,80.00,34500
31-Aug-15,68.00,68.00,68.00,68.00,0
28-Aug-15,68.00,68.00,68.00,68.00,0
27-Aug-15,70.00,70.00,70.00,70.00,0
26-Aug-15,-,-,-,75.00,0
25-Aug-15,75.00,75.00,75.00,75.00,100
24-Aug-15,75.00,75.00,75.00,75.00,100
21-Aug-15,60.00,60.00,60.00,60.00,4000
20-Aug-15,60.00,60.00,60.00,60.00,0
19-Aug-15,68.00,79.00,68.00,68.00,4300
18-Aug-15,84.00,84.00,81.00,81.00,5400
14-Aug-15,61.00,61.00,61.00,61.00,0
13-Aug-15,65.00,65.00,65.00,65.00,0
12-Aug-15,65.00,65.00,65.00,65.00,10000
11-Aug-15,65.00,65.00,65.00,65.00,0
10-Aug-15,67.00,67.00,67.00,67.00,0
7-Aug-15,70.00,70.00,70.00,70.00,1100
6-Aug-15,70.00,71.00,70.00,71.00,200
5-Aug-15,62.00,79.00,61.00,79.00,3000
4-Aug-15,70.00,70.00,70.00,70.00,0
3-Aug-15,61.00,61.00,61.00,61.00,0
31-Jul-15,76.00,76.00,76.00,76.00,500
30-Jul-15,94.00,94.00,76.00,76.00,2100
29-Jul-15,75.00,77.00,75.00,77.00,5400
28-Jul-15,71.00,79.00,71.00,79.00,18100
27-Jul-15,84.00,87.00,83.00,83.00,116900
24-Jul-15,84.00,84.00,76.00,84.00,31500
23-Jul-15,100.00,100.00,80.00,85.00,187200
22-Jul-15,80.00,100.00,75.00,100.00,56800
15-Jul-15,76.00,77.00,76.00,77.00,5400
14-Jul-15,76.00,76.00,76.00,76.00,100
13-Jul-15,87.00,87.00,85.00,85.00,5900
10-Jul-15,81.00,84.00,81.00,81.00,20300
9-Jul-15,80.00,81.00,80.00,81.00,6300
8-Jul-15,80.00,80.00,80.00,80.00,100
7-Jul-15,81.00,88.00,81.00,86.00,1100
6-Jul-15,82.00,88.00,82.00,88.00,8100
3-Jul-15,85.00,88.00,81.00,81.00,2800
2-Jul-15,85.00,85.00,85.00,85.00,500
1-Jul-15,85.00,85.00,85.00,85.00,200
30-Jun-15,80.00,85.00,80.00,85.00,1200
29-Jun-15,84.00,84.00,80.00,80.00,2800
26-Jun-15,82.00,85.00,82.00,84.00,25300
25-Jun-15,82.00,92.00,82.00,90.00,80000
24-Jun-15,99.00,99.00,99.00,99.00,100
23-Jun-15,80.00,80.00,80.00,80.00,70000
22-Jun-15,83.00,83.00,83.00,83.00,7400
19-Jun-15,100.00,100.00,81.00,81.00,9900
18-Jun-15,83.00,83.00,83.00,83.00,1200
17-Jun-15,83.00,83.00,83.00,83.00,0
16-Jun-15,89.00,100.00,89.00,100.00,5100
15-Jun-15,86.00,86.00,86.00,86.00,3600
12-Jun-15,83.00,83.00,83.00,83.00,600
11-Jun-15,83.00,83.00,80.00,80.00,29700
10-Jun-15,81.00,83.00,81.00,83.00,25200
9-Jun-15,81.00,95.00,80.00,92.00,16900
8-Jun-15,81.00,82.00,80.00,82.00,46400
5-Jun-15,85.00,85.00,85.00,85.00,100
4-Jun-15,80.00,85.00,80.00,85.00,169500
3-Jun-15,82.00,82.00,82.00,82.00,0
1-Jun-15,97.00,97.00,81.00,82.00,31300
29-May-15,83.00,83.00,83.00,83.00,9100
28-May-15,82.00,82.00,82.00,82.00,20000
27-May-15,81.00,81.00,81.00,81.00,100
26-May-15,85.00,92.00,85.00,90.00,21500
25-May-15,83.00,84.00,83.00,84.00,40000
22-May-15,80.00,80.00,80.00,80.00,100
21-May-15,80.00,80.00,80.00,80.00,0
