Date,Open,High,Low,Close,Volume
29-Dec-17,890.00,900.00,865.00,900.00,3080800
28-Dec-17,885.00,890.00,880.00,890.00,2044600
27-Dec-17,860.00,885.00,860.00,885.00,1576300
22-Dec-17,860.00,860.00,850.00,860.00,1800100
21-Dec-17,860.00,860.00,835.00,860.00,1620100
20-Dec-17,860.00,860.00,840.00,860.00,2720300
19-Dec-17,835.00,860.00,825.00,860.00,2305400
18-Dec-17,835.00,840.00,835.00,840.00,1106300
15-Dec-17,835.00,845.00,835.00,840.00,2965400
14-Dec-17,840.00,840.00,840.00,840.00,740000
13-Dec-17,840.00,840.00,840.00,840.00,1859800
12-Dec-17,840.00,840.00,835.00,835.00,4845000
11-Dec-17,850.00,850.00,840.00,840.00,2264700
8-Dec-17,845.00,845.00,845.00,845.00,1853200
7-Dec-17,855.00,855.00,815.00,850.00,2230600
6-Dec-17,855.00,855.00,835.00,855.00,1944000
5-Dec-17,860.00,860.00,845.00,855.00,2089300
4-Dec-17,880.00,880.00,850.00,860.00,2166200
30-Nov-17,880.00,880.00,860.00,860.00,1842900
29-Nov-17,875.00,880.00,860.00,880.00,1496400
28-Nov-17,880.00,880.00,865.00,870.00,2074900
27-Nov-17,875.00,890.00,870.00,880.00,2362600
24-Nov-17,880.00,880.00,870.00,875.00,2095500
23-Nov-17,880.00,880.00,860.00,880.00,3046300
22-Nov-17,885.00,885.00,875.00,880.00,1928300
21-Nov-17,885.00,885.00,880.00,885.00,1698900
20-Nov-17,895.00,895.00,885.00,890.00,1817900
17-Nov-17,890.00,895.00,890.00,895.00,2083000
16-Nov-17,890.00,905.00,885.00,895.00,3093600
15-Nov-17,895.00,895.00,885.00,895.00,3659200
14-Nov-17,905.00,905.00,900.00,900.00,3166600
13-Nov-17,900.00,905.00,890.00,905.00,2551000
10-Nov-17,890.00,900.00,890.00,900.00,2193400
9-Nov-17,905.00,905.00,885.00,890.00,4064800
8-Nov-17,900.00,905.00,885.00,885.00,2252100
7-Nov-17,910.00,910.00,880.00,880.00,2542600
6-Nov-17,910.00,910.00,900.00,905.00,6094000
3-Nov-17,910.00,910.00,905.00,910.00,1652600
2-Nov-17,910.00,910.00,905.00,910.00,6469300
1-Nov-17,905.00,910.00,900.00,910.00,7574400
31-Oct-17,905.00,910.00,905.00,905.00,8909300
30-Oct-17,910.00,910.00,900.00,910.00,2647300
27-Oct-17,915.00,915.00,900.00,910.00,1928900
26-Oct-17,910.00,915.00,905.00,910.00,2710400
25-Oct-17,910.00,915.00,910.00,910.00,5056200
24-Oct-17,915.00,920.00,910.00,915.00,1609500
23-Oct-17,910.00,910.00,905.00,910.00,2042900
20-Oct-17,910.00,915.00,900.00,910.00,3619000
19-Oct-17,895.00,905.00,890.00,905.00,2058500
18-Oct-17,885.00,895.00,880.00,890.00,2612000
17-Oct-17,860.00,880.00,860.00,880.00,5900400
16-Oct-17,860.00,870.00,860.00,860.00,3261600
