Date,Open,High,Low,Close,Volume
29-Dec-17,6325.00,6400.00,6275.00,6400.00,7635800
28-Dec-17,6325.00,6350.00,6225.00,6300.00,5677700
27-Dec-17,6300.00,6325.00,6200.00,6325.00,8610200
22-Dec-17,6300.00,6325.00,6225.00,6300.00,2944100
21-Dec-17,6100.00,6350.00,6100.00,6300.00,7636600
20-Dec-17,6225.00,6250.00,6100.00,6200.00,12464100
19-Dec-17,6175.00,6250.00,6125.00,6225.00,8633900
18-Dec-17,6150.00,6225.00,6100.00,6175.00,6148900
15-Dec-17,6350.00,6425.00,6150.00,6150.00,12049400
14-Dec-17,6300.00,6400.00,6300.00,6375.00,8909100
13-Dec-17,6375.00,6400.00,6275.00,6375.00,10686900
12-Dec-17,6425.00,6450.00,6375.00,6375.00,9991300
11-Dec-17,6375.00,6425.00,6325.00,6400.00,14164300
8-Dec-17,6375.00,6425.00,6300.00,6425.00,6118900
7-Dec-17,6225.00,6325.00,6175.00,6275.00,11598200
6-Dec-17,6350.00,6375.00,6150.00,6275.00,24995500
5-Dec-17,6425.00,6475.00,6200.00,6425.00,18778000
4-Dec-17,6425.00,6550.00,6400.00,6425.00,11860900
30-Nov-17,6500.00,6600.00,6375.00,6375.00,11893700
29-Nov-17,6450.00,6550.00,6425.00,6500.00,8981600
28-Nov-17,6475.00,6500.00,6200.00,6475.00,9740500
27-Nov-17,6450.00,6525.00,6400.00,6475.00,9208200
24-Nov-17,6750.00,6750.00,6375.00,6425.00,10358600
23-Nov-17,6700.00,6775.00,6675.00,6700.00,4751600
22-Nov-17,6600.00,6750.00,6550.00,6725.00,6356900
21-Nov-17,6525.00,6575.00,6400.00,6525.00,7025700
20-Nov-17,6600.00,6675.00,6450.00,6450.00,2463200
17-Nov-17,6475.00,6675.00,6475.00,6600.00,4914400
16-Nov-17,6400.00,6475.00,6400.00,6450.00,8974400
15-Nov-17,6425.00,6475.00,6400.00,6425.00,5433200
14-Nov-17,6400.00,6525.00,6400.00,6400.00,14687600
13-Nov-17,6525.00,6600.00,6425.00,6425.00,8359800
10-Nov-17,6700.00,6750.00,6450.00,6500.00,7884000
9-Nov-17,6700.00,6750.00,6600.00,6725.00,7883300
8-Nov-17,6700.00,6700.00,6600.00,6700.00,5244600
7-Nov-17,6600.00,6700.00,6575.00,6675.00,5295600
6-Nov-17,6525.00,6600.00,6525.00,6575.00,5316600
3-Nov-17,6475.00,6550.00,6425.00,6525.00,8958800
2-Nov-17,6350.00,6475.00,6350.00,6425.00,2898800
1-Nov-17,6500.00,6500.00,6400.00,6425.00,2439300
31-Oct-17,6550.00,6550.00,6250.00,6500.00,6838100
30-Oct-17,6500.00,6550.00,6400.00,6450.00,14891700
27-Oct-17,6425.00,6600.00,6425.00,6500.00,16689400
26-Oct-17,6350.00,6475.00,6300.00,6425.00,8447900
25-Oct-17,6150.00,6500.00,6100.00,6350.00,20625300
24-Oct-17,6000.00,6175.00,6000.00,6050.00,8485900
23-Oct-17,6150.00,6175.00,5950.00,5950.00,6213200
20-Oct-17,6200.00,6200.00,5975.00,6050.00,4513500
19-Oct-17,6250.00,6300.00,6100.00,6100.00,8301600
18-Oct-17,6300.00,6350.00,6075.00,6100.00,6461500
17-Oct-17,6125.00,6300.00,6100.00,6300.00,19965000
16-Oct-17,6075.00,6100.00,6075.00,6100.00,5473100
12-Oct-17,6150.00,6150.00,6025.00,6075.00,18874200
11-Oct-17,5975.00,6250.00,5925.00,6075.00,20031700
10-Oct-17,5900.00,5950.00,5875.00,5925.00,5839100
9-Oct-17,5850.00,5900.00,5825.00,5850.00,2792200
6-Oct-17,5825.00,5850.00,5800.00,5825.00,2482100
5-Oct-17,5825.00,5825.00,5725.00,5750.00,5738000
4-Oct-17,5725.00,5825.00,5725.00,5825.00,2855400
3-Oct-17,5725.00,5800.00,5675.00,5725.00,9939900
2-Oct-17,5675.00,5700.00,5625.00,5675.00,4747800
29-Sep-17,5525.00,5650.00,5525.00,5600.00,6353900
28-Sep-17,5600.00,5725.00,5525.00,5525.00,7189400
27-Sep-17,5725.00,5725.00,5625.00,5625.00,5853200
26-Sep-17,5675.00,5725.00,5625.00,5700.00,4841800
25-Sep-17,5750.00,5775.00,5650.00,5700.00,3623500
22-Sep-17,5800.00,5825.00,5600.00,5750.00,12709100
20-Sep-17,5925.00,5975.00,5750.00,5850.00,3803100
19-Sep-17,5950.00,6000.00,5900.00,5925.00,4668500
18-Sep-17,5975.00,6000.00,5925.00,5950.00,2929600
15-Sep-17,6000.00,6000.00,5900.00,6000.00,4991300
14-Sep-17,5950.00,6000.00,5900.00,5900.00,5282100
13-Sep-17,5950.00,6025.00,5925.00,5975.00,4040300
12-Sep-17,5925.00,6050.00,5900.00,5950.00,12679300
11-Sep-17,5975.00,5975.00,5800.00,5925.00,8162700
8-Sep-17,6000.00,6000.00,5875.00,5925.00,7360900
7-Sep-17,5900.00,5975.00,5875.00,5950.00,11360900
6-Sep-17,5850.00,5925.00,5825.00,5900.00,11818600
5-Sep-17,5850.00,5875.00,5725.00,5850.00,9669200
4-Sep-17,5825.00,5875.00,5675.00,5800.00,3851800
31-Aug-17,5825.00,5875.00,5750.00,5825.00,5370100
30-Aug-17,5625.00,5850.00,5550.00,5775.00,11662100
29-Aug-17,5625.00,5625.00,5500.00,5625.00,4032300
28-Aug-17,5575.00,5575.00,5525.00,5575.00,3656500
25-Aug-17,5575.00,5600.00,5500.00,5575.00,5904300
24-Aug-17,5475.00,5600.00,5450.00,5575.00,3814200
23-Aug-17,5475.00,5500.00,5425.00,5475.00,3754600
22-Aug-17,5475.00,5475.00,5400.00,5450.00,7897200
21-Aug-17,5525.00,5575.00,5400.00,5450.00,5969000
18-Aug-17,5575.00,5625.00,5450.00,5500.00,3270200
16-Aug-17,5575.00,5600.00,5475.00,5575.00,4145600
15-Aug-17,5500.00,5550.00,5400.00,5500.00,10208500
14-Aug-17,5525.00,5550.00,5400.00,5450.00,2828000
11-Aug-17,5625.00,5625.00,5400.00,5500.00,5259600
10-Aug-17,5625.00,5650.00,5550.00,5575.00,1768500
9-Aug-17,5525.00,5625.00,5475.00,5600.00,6785500
8-Aug-17,5375.00,5575.00,5375.00,5475.00,4639300
7-Aug-17,5425.00,5500.00,5275.00,5350.00,12767300
4-Aug-17,5600.00,5625.00,5450.00,5475.00,3823300
3-Aug-17,5675.00,5675.00,5550.00,5550.00,3140100
2-Aug-17,5700.00,5725.00,5550.00,5675.00,4821900
1-Aug-17,5850.00,5850.00,5625.00,5650.00,7419900
31-Jul-17,5700.00,5850.00,5650.00,5850.00,7807500
28-Jul-17,5475.00,5750.00,5425.00,5700.00,19256900
27-Jul-17,5400.00,5500.00,5350.00,5475.00,8940300
26-Jul-17,5375.00,5425.00,5325.00,5325.00,2628800
25-Jul-17,5375.00,5425.00,5350.00,5400.00,6839900
24-Jul-17,5300.00,5350.00,5225.00,5350.00,3138100
21-Jul-17,5300.00,5350.00,5250.00,5275.00,2596800
20-Jul-17,5275.00,5300.00,5225.00,5250.00,8447000
19-Jul-17,5275.00,5300.00,5225.00,5250.00,2643800
18-Jul-17,5325.00,5325.00,5200.00,5300.00,2681600
17-Jul-17,5275.00,5325.00,5250.00,5275.00,3342400
14-Jul-17,5300.00,5325.00,5225.00,5225.00,3633500
13-Jul-17,5375.00,5375.00,5250.00,5300.00,2590100
12-Jul-17,5200.00,5400.00,5200.00,5350.00,4527500
11-Jul-17,5200.00,5250.00,5175.00,5200.00,11241900
10-Jul-17,5250.00,5275.00,5150.00,5200.00,2756900
7-Jul-17,5350.00,5450.00,5250.00,5275.00,7539400
6-Jul-17,5400.00,5450.00,5325.00,5450.00,1940700
5-Jul-17,5500.00,5500.00,5375.00,5400.00,8277900
4-Jul-17,5375.00,5500.00,5375.00,5475.00,13990000
3-Jul-17,5425.00,5425.00,5225.00,5375.00,12977000
22-Jun-17,5450.00,5450.00,5275.00,5350.00,5483400
21-Jun-17,5350.00,5425.00,5275.00,5425.00,6601500
20-Jun-17,5200.00,5375.00,5200.00,5350.00,27107500
19-Jun-17,5175.00,5225.00,5150.00,5225.00,2336600
16-Jun-17,5150.00,5250.00,5150.00,5150.00,7880000
15-Jun-17,5300.00,5300.00,5200.00,5250.00,3612800
14-Jun-17,5175.00,5300.00,5175.00,5300.00,7661600
13-Jun-17,5150.00,5250.00,5125.00,5175.00,6351700
12-Jun-17,5150.00,5200.00,5100.00,5150.00,3922100
9-Jun-17,5150.00,5175.00,5100.00,5125.00,8324900
8-Jun-17,5100.00,5125.00,5050.00,5100.00,9695000
7-Jun-17,5000.00,5100.00,5000.00,5050.00,9226500
6-Jun-17,5100.00,5150.00,4980.00,5000.00,14321500
5-Jun-17,5250.00,5250.00,5100.00,5100.00,4610900
2-Jun-17,5275.00,5300.00,5200.00,5200.00,5373000
31-May-17,5075.00,5250.00,5050.00,5250.00,19335600
30-May-17,5075.00,5100.00,5025.00,5050.00,5551400
29-May-17,5125.00,5150.00,5000.00,5050.00,4916600
26-May-17,5100.00,5150.00,5025.00,5075.00,8744100
24-May-17,4980.00,5100.00,4960.00,5075.00,7154800
23-May-17,5050.00,5075.00,4940.00,4980.00,15383300
22-May-17,5075.00,5150.00,5000.00,5075.00,23148600
19-May-17,4800.00,5050.00,4790.00,5000.00,23505300
18-May-17,4780.00,4810.00,4740.00,4800.00,6017900
17-May-17,4800.00,4830.00,4770.00,4800.00,6668100
16-May-17,4810.00,4830.00,4800.00,4800.00,6987200
15-May-17,4830.00,4850.00,4770.00,4830.00,6622700
12-May-17,4680.00,4820.00,4680.00,4810.00,8685600
10-May-17,4780.00,4790.00,4660.00,4680.00,5709400
9-May-17,4840.00,4860.00,4750.00,4780.00,7989000
8-May-17,4750.00,4900.00,4750.00,4840.00,25406000
5-May-17,4660.00,4750.00,4600.00,4740.00,7969500
4-May-17,4620.00,4660.00,4550.00,4650.00,4865100
3-May-17,4640.00,4640.00,4590.00,4610.00,5011700
2-May-17,4660.00,4680.00,4620.00,4620.00,5928000
28-Apr-17,4670.00,4700.00,4610.00,4640.00,11834400
27-Apr-17,4460.00,4690.00,4450.00,4660.00,24931200
26-Apr-17,4460.00,4490.00,4400.00,4460.00,11533700
25-Apr-17,4470.00,4490.00,4430.00,4460.00,6562700
21-Apr-17,4520.00,4540.00,4440.00,4470.00,12189500
20-Apr-17,4660.00,4660.00,4500.00,4510.00,12230200
18-Apr-17,4600.00,4690.00,4600.00,4670.00,6666400
17-Apr-17,4600.00,4640.00,4600.00,4610.00,2491500
13-Apr-17,4700.00,4700.00,4620.00,4640.00,2372000
12-Apr-17,4640.00,4680.00,4630.00,4680.00,4437900
11-Apr-17,4660.00,4670.00,4620.00,4640.00,3567800
10-Apr-17,4720.00,4740.00,4650.00,4660.00,6642600
7-Apr-17,4630.00,4740.00,4620.00,4720.00,10386300
6-Apr-17,4710.00,4710.00,4640.00,4660.00,4578700
5-Apr-17,4710.00,4720.00,4670.00,4710.00,6714200
4-Apr-17,4580.00,4710.00,4570.00,4710.00,11276700
3-Apr-17,4610.00,4640.00,4580.00,4580.00,2527400
31-Mar-17,4620.00,4630.00,4570.00,4620.00,5159500
30-Mar-17,4530.00,4630.00,4530.00,4630.00,9247000
29-Mar-17,4550.00,4590.00,4520.00,4540.00,7704900
27-Mar-17,4570.00,4570.00,4490.00,4570.00,5629400
24-Mar-17,4630.00,4660.00,4530.00,4550.00,10103400
23-Mar-17,4640.00,4670.00,4600.00,4660.00,6000900
22-Mar-17,4660.00,4670.00,4630.00,4660.00,8919600
21-Mar-17,4720.00,4750.00,4650.00,4660.00,5814200
20-Mar-17,4740.00,4750.00,4690.00,4740.00,6784400
17-Mar-17,4650.00,4740.00,4640.00,4740.00,9634500
16-Mar-17,4630.00,4630.00,4570.00,4630.00,5150300
15-Mar-17,4630.00,4640.00,4570.00,4590.00,2854200
14-Mar-17,4550.00,4650.00,4520.00,4630.00,9457400
13-Mar-17,4440.00,4540.00,4440.00,4510.00,3692100
10-Mar-17,4540.00,4560.00,4430.00,4440.00,9945300
9-Mar-17,4620.00,4620.00,4520.00,4530.00,5856900
8-Mar-17,4510.00,4590.00,4490.00,4580.00,8283100
7-Mar-17,4580.00,4640.00,4500.00,4510.00,11408500
6-Mar-17,4680.00,4690.00,4570.00,4580.00,11191100
3-Mar-17,4810.00,4810.00,4660.00,4680.00,10542500
2-Mar-17,4670.00,4820.00,4670.00,4810.00,7477400
1-Mar-17,4770.00,4770.00,4660.00,4660.00,8153600
28-Feb-17,4860.00,4890.00,4760.00,4780.00,8103000
27-Feb-17,4860.00,4900.00,4840.00,4860.00,6655200
24-Feb-17,4990.00,4990.00,4860.00,4860.00,12252600
23-Feb-17,4730.00,4990.00,4730.00,4960.00,26860800
22-Feb-17,4690.00,4750.00,4640.00,4730.00,11189100
21-Feb-17,4750.00,4760.00,4670.00,4670.00,3510400
20-Feb-17,4700.00,4750.00,4650.00,4750.00,6570600
17-Feb-17,4750.00,4750.00,4680.00,4700.00,5671900
16-Feb-17,4790.00,4800.00,4690.00,4760.00,11977600
14-Feb-17,4790.00,4830.00,4770.00,4780.00,11045100
13-Feb-17,4770.00,4830.00,4730.00,4790.00,17015600
10-Feb-17,4710.00,4810.00,4610.00,4770.00,25757200
9-Feb-17,4410.00,4680.00,4410.00,4680.00,31242900
8-Feb-17,4260.00,4420.00,4260.00,4380.00,24036900
7-Feb-17,4250.00,4260.00,4220.00,4230.00,6925700
6-Feb-17,4270.00,4290.00,4250.00,4250.00,4238200
3-Feb-17,4250.00,4270.00,4240.00,4260.00,4086200
2-Feb-17,4220.00,4260.00,4220.00,4250.00,4129300
1-Feb-17,4220.00,4260.00,4210.00,4240.00,5179000
31-Jan-17,4250.00,4280.00,4210.00,4220.00,6595900
30-Jan-17,4210.00,4250.00,4180.00,4230.00,3173700
27-Jan-17,4240.00,4250.00,4200.00,4220.00,2716500
26-Jan-17,4220.00,4280.00,4200.00,4240.00,7710500
25-Jan-17,4220.00,4220.00,4170.00,4180.00,3749900
24-Jan-17,4150.00,4210.00,4150.00,4190.00,4114800
23-Jan-17,4170.00,4210.00,4150.00,4150.00,3042900
20-Jan-17,4250.00,4250.00,4170.00,4170.00,5285500
19-Jan-17,4220.00,4250.00,4190.00,4250.00,3039800
18-Jan-17,4200.00,4240.00,4190.00,4190.00,3968300
17-Jan-17,4230.00,4230.00,4180.00,4180.00,6026900
16-Jan-17,4250.00,4270.00,4230.00,4230.00,4675000
13-Jan-17,4250.00,4260.00,4210.00,4250.00,1580100
12-Jan-17,4250.00,4270.00,4210.00,4250.00,6936500
11-Jan-17,4300.00,4310.00,4220.00,4270.00,4688400
10-Jan-17,4270.00,4300.00,4250.00,4260.00,5152100
9-Jan-17,4340.00,4390.00,4270.00,4280.00,4853300
6-Jan-17,4330.00,4360.00,4300.00,4350.00,4263200
5-Jan-17,4350.00,4360.00,4310.00,4330.00,5095900
4-Jan-17,4300.00,4340.00,4300.00,4330.00,5040200
3-Jan-17,4300.00,4360.00,4280.00,4320.00,2691200
30-Dec-16,4350.00,4400.00,4300.00,4320.00,6963200
29-Dec-16,4300.00,4400.00,4260.00,4350.00,8932300
28-Dec-16,4140.00,4280.00,4140.00,4280.00,5820800
27-Dec-16,4170.00,4240.00,4120.00,4140.00,5876600
23-Dec-16,4180.00,4250.00,4110.00,4170.00,9672900
22-Dec-16,4300.00,4300.00,4110.00,4130.00,10011000
21-Dec-16,4330.00,4380.00,4280.00,4280.00,5976400
20-Dec-16,4400.00,4450.00,4320.00,4330.00,5190400
19-Dec-16,4510.00,4510.00,4430.00,4430.00,2639700
16-Dec-16,4480.00,4520.00,4470.00,4510.00,7799700
15-Dec-16,4500.00,4570.00,4450.00,4480.00,9896800
14-Dec-16,4500.00,4570.00,4490.00,4530.00,15092100
13-Dec-16,4360.00,4510.00,4340.00,4490.00,26971400
9-Dec-16,4360.00,4370.00,4300.00,4360.00,8164300
8-Dec-16,4340.00,4390.00,4320.00,4380.00,10837600
7-Dec-16,4330.00,4360.00,4270.00,4330.00,11806200
6-Dec-16,4400.00,4430.00,4300.00,4300.00,18330700
5-Dec-16,4260.00,4410.00,4230.00,4360.00,29402700
2-Dec-16,4170.00,4270.00,4160.00,4260.00,12821500
1-Dec-16,4150.00,4260.00,4150.00,4160.00,13526300
30-Nov-16,4200.00,4230.00,4120.00,4150.00,17523600
29-Nov-16,3920.00,4280.00,3920.00,4180.00,62427800
28-Nov-16,4040.00,4050.00,3900.00,3910.00,21904600
25-Nov-16,4100.00,4170.00,4010.00,4050.00,19241200
24-Nov-16,4220.00,4240.00,4080.00,4080.00,12291900
23-Nov-16,4270.00,4300.00,4210.00,4210.00,7658500
22-Nov-16,4300.00,4430.00,4230.00,4250.00,15347800
21-Nov-16,4300.00,4300.00,4190.00,4220.00,7705700
18-Nov-16,4310.00,4320.00,4260.00,4270.00,4634100
17-Nov-16,4320.00,4360.00,4280.00,4300.00,4587500
16-Nov-16,4270.00,4320.00,4260.00,4300.00,8514200
15-Nov-16,4380.00,4430.00,4220.00,4220.00,7973300
14-Nov-16,4470.00,4500.00,4350.00,4350.00,12759200
11-Nov-16,4630.00,4630.00,4540.00,4550.00,11730800
10-Nov-16,4560.00,4750.00,4540.00,4700.00,17662300
9-Nov-16,4520.00,4540.00,4490.00,4540.00,4754200
8-Nov-16,4530.00,4540.00,4500.00,4520.00,3101800
7-Nov-16,4500.00,4520.00,4470.00,4490.00,2902300
4-Nov-16,4500.00,4530.00,4490.00,4490.00,4974300
3-Nov-16,4580.00,4590.00,4470.00,4500.00,5606000
2-Nov-16,4590.00,4590.00,4550.00,4590.00,2927700
1-Nov-16,4560.00,4580.00,4540.00,4570.00,5948500
31-Oct-16,4570.00,4580.00,4530.00,4530.00,7092100
28-Oct-16,4610.00,4620.00,4550.00,4570.00,7255400
27-Oct-16,4590.00,4650.00,4590.00,4610.00,6595200
26-Oct-16,4620.00,4650.00,4590.00,4590.00,7713300
25-Oct-16,4610.00,4640.00,4560.00,4580.00,6089600
24-Oct-16,4530.00,4620.00,4530.00,4610.00,8826800
21-Oct-16,4520.00,4580.00,4500.00,4510.00,8845300
20-Oct-16,4520.00,4550.00,4500.00,4500.00,5996400
19-Oct-16,4580.00,4600.00,4520.00,4520.00,9141500
18-Oct-16,4600.00,4620.00,4580.00,4590.00,4313100
17-Oct-16,4640.00,4660.00,4560.00,4560.00,5307000
14-Oct-16,4640.00,4660.00,4610.00,4640.00,4003700
13-Oct-16,4610.00,4650.00,4600.00,4640.00,4401300
12-Oct-16,4600.00,4660.00,4600.00,4610.00,3672900
11-Oct-16,4680.00,4700.00,4600.00,4670.00,3864300
10-Oct-16,4690.00,4750.00,4660.00,4670.00,7594600
7-Oct-16,4660.00,4690.00,4660.00,4680.00,5496500
6-Oct-16,4600.00,4700.00,4600.00,4680.00,11081900
5-Oct-16,4650.00,4650.00,4580.00,4600.00,10688200
4-Oct-16,4690.00,4690.00,4630.00,4650.00,6874900
3-Oct-16,4630.00,4680.00,4630.00,4670.00,6742900
30-Sep-16,4690.00,4720.00,4600.00,4600.00,9417900
29-Sep-16,4710.00,4730.00,4680.00,4710.00,6525400
28-Sep-16,4690.00,4710.00,4650.00,4690.00,5431000
27-Sep-16,4670.00,4740.00,4640.00,4690.00,11782400
26-Sep-16,4800.00,4810.00,4680.00,4680.00,10852000
