Date,Open,High,Low,Close,Volume
29-Dec-17,282.00,282.00,270.00,274.00,1209900
28-Dec-17,288.00,288.00,282.00,282.00,466200
27-Dec-17,292.00,300.00,282.00,288.00,593700
22-Dec-17,308.00,310.00,300.00,300.00,3919400
21-Dec-17,308.00,322.00,308.00,308.00,4800500
20-Dec-17,302.00,308.00,302.00,308.00,1576800
19-Dec-17,306.00,306.00,300.00,300.00,819000
18-Dec-17,306.00,306.00,304.00,306.00,921400
15-Dec-17,306.00,308.00,302.00,306.00,1365700
14-Dec-17,304.00,308.00,304.00,306.00,2035700
13-Dec-17,304.00,306.00,304.00,304.00,575300
12-Dec-17,306.00,308.00,298.00,304.00,2530500
11-Dec-17,308.00,312.00,304.00,306.00,2361700
8-Dec-17,302.00,308.00,302.00,308.00,749100
7-Dec-17,306.00,306.00,300.00,302.00,232500
6-Dec-17,310.00,310.00,308.00,308.00,170500
5-Dec-17,312.00,312.00,310.00,310.00,266300
4-Dec-17,312.00,314.00,312.00,312.00,521600
30-Nov-17,308.00,314.00,308.00,312.00,2304900
29-Nov-17,306.00,310.00,306.00,308.00,280700
28-Nov-17,304.00,310.00,304.00,306.00,697600
27-Nov-17,302.00,304.00,302.00,304.00,126000
24-Nov-17,302.00,304.00,302.00,302.00,317600
23-Nov-17,300.00,302.00,300.00,302.00,465800
22-Nov-17,300.00,300.00,300.00,300.00,155700
21-Nov-17,300.00,300.00,300.00,300.00,238200
20-Nov-17,302.00,302.00,298.00,300.00,526000
17-Nov-17,300.00,302.00,300.00,302.00,213400
16-Nov-17,300.00,302.00,300.00,302.00,148700
15-Nov-17,300.00,300.00,298.00,298.00,6100
14-Nov-17,296.00,300.00,296.00,300.00,240900
13-Nov-17,292.00,296.00,288.00,296.00,315400
10-Nov-17,302.00,302.00,288.00,292.00,506600
9-Nov-17,304.00,304.00,298.00,302.00,223200
8-Nov-17,306.00,306.00,300.00,306.00,243000
7-Nov-17,306.00,306.00,306.00,306.00,124800
6-Nov-17,306.00,306.00,300.00,306.00,244200
3-Nov-17,308.00,308.00,306.00,306.00,95600
2-Nov-17,308.00,308.00,308.00,308.00,62000
1-Nov-17,308.00,310.00,308.00,310.00,258000
31-Oct-17,310.00,310.00,306.00,308.00,441000
30-Oct-17,308.00,308.00,308.00,308.00,177200
27-Oct-17,306.00,308.00,306.00,306.00,159900
26-Oct-17,308.00,308.00,304.00,308.00,245600
25-Oct-17,308.00,310.00,308.00,308.00,279100
24-Oct-17,308.00,310.00,308.00,308.00,382200
23-Oct-17,310.00,310.00,310.00,310.00,220100
20-Oct-17,310.00,310.00,310.00,310.00,156000
19-Oct-17,308.00,308.00,306.00,306.00,90000
18-Oct-17,310.00,310.00,308.00,308.00,124900
17-Oct-17,308.00,310.00,308.00,310.00,117300
16-Oct-17,308.00,310.00,308.00,308.00,162600
13-Oct-17,308.00,310.00,308.00,308.00,185400
12-Oct-17,310.00,312.00,308.00,308.00,184800
11-Oct-17,310.00,322.00,306.00,310.00,1615400
10-Oct-17,310.00,312.00,302.00,310.00,510200
9-Oct-17,308.00,318.00,308.00,312.00,1269600
6-Oct-17,310.00,310.00,308.00,308.00,191900
5-Oct-17,310.00,312.00,310.00,310.00,261500
4-Oct-17,308.00,310.00,308.00,310.00,631600
3-Oct-17,308.00,308.00,308.00,308.00,12100
2-Oct-17,308.00,308.00,308.00,308.00,30100
29-Sep-17,308.00,308.00,308.00,308.00,8000
28-Sep-17,308.00,310.00,308.00,308.00,238200
27-Sep-17,306.00,310.00,306.00,308.00,388500
26-Sep-17,306.00,308.00,306.00,306.00,135000
25-Sep-17,306.00,308.00,306.00,308.00,265900
22-Sep-17,306.00,306.00,306.00,306.00,119600
20-Sep-17,304.00,306.00,304.00,306.00,13300
19-Sep-17,306.00,306.00,306.00,306.00,234600
18-Sep-17,304.00,306.00,304.00,306.00,30300
15-Sep-17,308.00,308.00,304.00,304.00,109900
14-Sep-17,304.00,308.00,304.00,308.00,132600
13-Sep-17,306.00,308.00,304.00,306.00,94500
12-Sep-17,306.00,308.00,306.00,306.00,35400
11-Sep-17,306.00,308.00,306.00,306.00,153500
8-Sep-17,308.00,308.00,304.00,306.00,309100
7-Sep-17,308.00,308.00,308.00,308.00,118000
6-Sep-17,306.00,308.00,306.00,308.00,70200
5-Sep-17,306.00,308.00,306.00,306.00,45200
4-Sep-17,308.00,308.00,306.00,306.00,101000
