Date,Open,High,Low,Close,Volume
29-Dec-17,91.00,93.00,90.00,91.00,87300
28-Dec-17,90.00,94.00,90.00,93.00,891700
27-Dec-17,90.00,91.00,89.00,89.00,271800
22-Dec-17,94.00,95.00,90.00,91.00,547000
21-Dec-17,92.00,98.00,90.00,94.00,999800
20-Dec-17,90.00,92.00,90.00,91.00,354600
19-Dec-17,92.00,92.00,90.00,90.00,463600
18-Dec-17,92.00,93.00,90.00,92.00,129400
15-Dec-17,92.00,93.00,90.00,92.00,407600
14-Dec-17,92.00,93.00,89.00,90.00,919000
13-Dec-17,90.00,97.00,85.00,91.00,4527500
12-Dec-17,89.00,91.00,87.00,87.00,401700
11-Dec-17,90.00,92.00,88.00,91.00,506400
8-Dec-17,90.00,94.00,89.00,91.00,1439000
7-Dec-17,90.00,98.00,89.00,91.00,4092200
6-Dec-17,93.00,94.00,89.00,90.00,1302200
5-Dec-17,107.00,107.00,90.00,93.00,1315700
4-Dec-17,124.00,125.00,106.00,107.00,3945700
30-Nov-17,115.00,129.00,115.00,124.00,5761400
29-Nov-17,124.00,128.00,111.00,114.00,4731500
28-Nov-17,156.00,171.00,120.00,123.00,5342200
27-Nov-17,112.00,148.00,111.00,148.00,7838700
24-Nov-17,112.00,113.00,110.00,110.00,213400
23-Nov-17,112.00,114.00,111.00,112.00,513500
22-Nov-17,119.00,121.00,111.00,113.00,1297200
21-Nov-17,104.00,122.00,102.00,118.00,3454100
20-Nov-17,103.00,107.00,101.00,103.00,124500
17-Nov-17,109.00,112.00,107.00,107.00,43000
16-Nov-17,110.00,111.00,110.00,110.00,1800
15-Nov-17,109.00,111.00,108.00,111.00,10600
14-Nov-17,114.00,115.00,109.00,110.00,140400
13-Nov-17,111.00,113.00,108.00,113.00,116400
10-Nov-17,112.00,115.00,110.00,111.00,97500
9-Nov-17,126.00,127.00,112.00,112.00,806200
8-Nov-17,138.00,138.00,118.00,118.00,1324800
7-Nov-17,135.00,149.00,128.00,138.00,930900
6-Nov-17,153.00,153.00,134.00,140.00,456500
3-Nov-17,148.00,148.00,139.00,140.00,7300
2-Nov-17,140.00,140.00,140.00,140.00,100
1-Nov-17,145.00,145.00,135.00,140.00,16700
31-Oct-17,134.00,143.00,134.00,137.00,38400
30-Oct-17,139.00,140.00,133.00,133.00,50100
27-Oct-17,143.00,143.00,139.00,140.00,34100
26-Oct-17,134.00,141.00,134.00,139.00,76300
25-Oct-17,142.00,142.00,138.00,141.00,20600
24-Oct-17,138.00,142.00,131.00,142.00,43700
23-Oct-17,137.00,139.00,137.00,138.00,65100
20-Oct-17,136.00,144.00,136.00,138.00,62800
19-Oct-17,151.00,151.00,141.00,143.00,23400
18-Oct-17,144.00,149.00,142.00,147.00,87600
17-Oct-17,138.00,150.00,137.00,149.00,225500
16-Oct-17,143.00,144.00,136.00,138.00,119900
13-Oct-17,142.00,142.00,135.00,137.00,23700
12-Oct-17,143.00,143.00,135.00,137.00,16300
11-Oct-17,132.00,144.00,132.00,135.00,21900
10-Oct-17,133.00,133.00,130.00,131.00,1500
9-Oct-17,133.00,135.00,131.00,131.00,6400
6-Oct-17,135.00,135.00,128.00,133.00,13700
5-Oct-17,133.00,135.00,130.00,135.00,304200
4-Oct-17,143.00,143.00,132.00,135.00,231300
3-Oct-17,142.00,143.00,142.00,143.00,6900
2-Oct-17,139.00,155.00,139.00,145.00,10000
29-Sep-17,148.00,148.00,137.00,139.00,33500
28-Sep-17,140.00,150.00,138.00,138.00,75100
27-Sep-17,150.00,150.00,138.00,138.00,262200
26-Sep-17,160.00,161.00,152.00,157.00,8700
25-Sep-17,158.00,160.00,153.00,160.00,27400
22-Sep-17,163.00,165.00,153.00,158.00,230100
20-Sep-17,170.00,176.00,156.00,163.00,393100
19-Sep-17,170.00,170.00,169.00,170.00,79000
18-Sep-17,175.00,178.00,170.00,170.00,8800
15-Sep-17,174.00,181.00,174.00,175.00,1600
14-Sep-17,181.00,190.00,171.00,171.00,11000
13-Sep-17,176.00,176.00,172.00,174.00,16100
12-Sep-17,175.00,180.00,172.00,176.00,14500
11-Sep-17,184.00,184.00,170.00,175.00,22500
8-Sep-17,183.00,184.00,182.00,184.00,9100
7-Sep-17,179.00,182.00,178.00,182.00,15200
6-Sep-17,183.00,185.00,178.00,179.00,38200
5-Sep-17,191.00,191.00,183.00,183.00,17200
4-Sep-17,192.00,200.00,190.00,190.00,38400
31-Aug-17,196.00,196.00,192.00,192.00,7100
30-Aug-17,196.00,199.00,196.00,196.00,2800
29-Aug-17,195.00,196.00,195.00,196.00,900
28-Aug-17,199.00,200.00,195.00,195.00,4500
25-Aug-17,210.00,210.00,198.00,198.00,2800
24-Aug-17,206.00,206.00,200.00,200.00,306000
23-Aug-17,202.00,208.00,202.00,202.00,16900
22-Aug-17,218.00,218.00,202.00,202.00,1700
21-Aug-17,206.00,216.00,197.00,206.00,5000
18-Aug-17,206.00,206.00,200.00,206.00,500
16-Aug-17,202.00,204.00,197.00,198.00,11400
15-Aug-17,194.00,204.00,190.00,200.00,4500
14-Aug-17,200.00,204.00,194.00,204.00,36000
11-Aug-17,206.00,206.00,200.00,204.00,6200
10-Aug-17,202.00,204.00,202.00,204.00,20700
9-Aug-17,206.00,214.00,202.00,202.00,500
8-Aug-17,206.00,222.00,206.00,206.00,500
7-Aug-17,216.00,216.00,200.00,214.00,16600
4-Aug-17,226.00,226.00,210.00,210.00,19000
3-Aug-17,226.00,226.00,210.00,210.00,50600
2-Aug-17,210.00,212.00,202.00,210.00,12300
1-Aug-17,218.00,228.00,204.00,210.00,114600
31-Jul-17,214.00,224.00,214.00,222.00,8500
28-Jul-17,220.00,220.00,214.00,214.00,18900
27-Jul-17,220.00,220.00,212.00,212.00,21500
26-Jul-17,220.00,250.00,202.00,220.00,55100
25-Jul-17,220.00,222.00,200.00,200.00,17400
24-Jul-17,220.00,224.00,220.00,222.00,2300
21-Jul-17,224.00,224.00,222.00,222.00,7000
20-Jul-17,220.00,230.00,220.00,222.00,400
19-Jul-17,222.00,226.00,220.00,220.00,6000
18-Jul-17,228.00,228.00,220.00,226.00,10200
17-Jul-17,220.00,226.00,220.00,222.00,2000
14-Jul-17,220.00,226.00,220.00,220.00,2400
13-Jul-17,230.00,230.00,218.00,220.00,600
12-Jul-17,230.00,230.00,218.00,218.00,5400
11-Jul-17,216.00,222.00,216.00,222.00,2300
10-Jul-17,230.00,230.00,214.00,214.00,7600
7-Jul-17,226.00,228.00,210.00,210.00,700
6-Jul-17,222.00,222.00,222.00,222.00,100
5-Jul-17,220.00,220.00,218.00,218.00,19000
4-Jul-17,228.00,228.00,220.00,220.00,3300
3-Jul-17,230.00,230.00,220.00,224.00,4700
22-Jun-17,224.00,230.00,200.00,228.00,15000
21-Jun-17,208.00,228.00,208.00,226.00,5200
20-Jun-17,226.00,226.00,226.00,226.00,1100
19-Jun-17,210.00,228.00,210.00,228.00,13800
16-Jun-17,214.00,216.00,210.00,210.00,93500
15-Jun-17,212.00,222.00,210.00,222.00,10600
14-Jun-17,-,-,-,230.00,0
13-Jun-17,210.00,230.00,200.00,230.00,30000
12-Jun-17,210.00,216.00,208.00,216.00,9100
9-Jun-17,210.00,210.00,200.00,210.00,22000
8-Jun-17,206.00,210.00,202.00,210.00,44000
7-Jun-17,208.00,214.00,202.00,208.00,22200
6-Jun-17,226.00,230.00,208.00,208.00,122100
5-Jun-17,240.00,240.00,226.00,228.00,21700
2-Jun-17,222.00,238.00,222.00,222.00,1500
31-May-17,246.00,246.00,220.00,222.00,189800
30-May-17,246.00,246.00,224.00,236.00,24500
29-May-17,232.00,238.00,226.00,238.00,14000
26-May-17,252.00,252.00,228.00,246.00,2700
24-May-17,250.00,250.00,230.00,242.00,37800
23-May-17,236.00,240.00,230.00,238.00,6400
22-May-17,258.00,258.00,244.00,244.00,37100
19-May-17,258.00,258.00,236.00,250.00,6400
18-May-17,246.00,246.00,246.00,246.00,1100
17-May-17,258.00,258.00,238.00,248.00,14700
16-May-17,258.00,258.00,258.00,258.00,1100
15-May-17,260.00,260.00,250.00,258.00,21600
12-May-17,240.00,254.00,240.00,254.00,40000
10-May-17,260.00,260.00,238.00,238.00,174800
9-May-17,272.00,280.00,240.00,250.00,683600
8-May-17,248.00,268.00,248.00,268.00,625400
5-May-17,234.00,246.00,234.00,246.00,4900
4-May-17,246.00,248.00,246.00,248.00,2100
3-May-17,250.00,250.00,248.00,248.00,13600
2-May-17,246.00,246.00,234.00,234.00,200
28-Apr-17,230.00,242.00,230.00,242.00,14300
27-Apr-17,238.00,244.00,234.00,236.00,306300
26-Apr-17,248.00,248.00,224.00,230.00,19000
25-Apr-17,236.00,238.00,228.00,230.00,193500
21-Apr-17,248.00,248.00,248.00,248.00,100
20-Apr-17,234.00,238.00,224.00,238.00,4000
18-Apr-17,254.00,254.00,228.00,234.00,82200
17-Apr-17,250.00,250.00,238.00,238.00,300
13-Apr-17,254.00,254.00,232.00,232.00,600
12-Apr-17,240.00,260.00,240.00,258.00,46000
11-Apr-17,254.00,254.00,236.00,240.00,102900
10-Apr-17,242.00,252.00,222.00,252.00,24600
7-Apr-17,258.00,260.00,242.00,254.00,8600
6-Apr-17,234.00,262.00,234.00,256.00,38500
5-Apr-17,248.00,250.00,240.00,248.00,52800
4-Apr-17,246.00,246.00,236.00,240.00,62000
3-Apr-17,212.00,240.00,212.00,232.00,134100
31-Mar-17,-,-,-,230.00,0
30-Mar-17,200.00,230.00,200.00,230.00,23000
29-Mar-17,202.00,216.00,191.00,216.00,4000
27-Mar-17,195.00,218.00,195.00,200.00,800
24-Mar-17,206.00,206.00,198.00,200.00,1100
23-Mar-17,195.00,218.00,195.00,196.00,18500
22-Mar-17,200.00,206.00,200.00,204.00,102700
21-Mar-17,204.00,216.00,200.00,206.00,160300
20-Mar-17,202.00,214.00,200.00,212.00,17300
17-Mar-17,218.00,218.00,195.00,218.00,2900
16-Mar-17,200.00,210.00,200.00,210.00,47200
15-Mar-17,191.00,210.00,191.00,210.00,22200
14-Mar-17,191.00,202.00,191.00,193.00,129900
13-Mar-17,200.00,220.00,200.00,206.00,51100
10-Mar-17,220.00,220.00,220.00,220.00,200
9-Mar-17,216.00,216.00,204.00,216.00,300
8-Mar-17,210.00,212.00,200.00,212.00,30900
7-Mar-17,220.00,220.00,204.00,220.00,4200
6-Mar-17,220.00,220.00,204.00,206.00,25800
3-Mar-17,204.00,220.00,204.00,206.00,1100
2-Mar-17,200.00,212.00,200.00,210.00,7100
1-Mar-17,206.00,212.00,206.00,212.00,200
28-Feb-17,204.00,212.00,204.00,212.00,9700
27-Feb-17,220.00,220.00,204.00,212.00,47600
24-Feb-17,212.00,212.00,208.00,210.00,6200
23-Feb-17,212.00,216.00,212.00,212.00,13100
22-Feb-17,220.00,220.00,210.00,212.00,31300
21-Feb-17,224.00,224.00,216.00,222.00,80700
20-Feb-17,222.00,236.00,218.00,224.00,35100
17-Feb-17,226.00,234.00,220.00,224.00,29100
16-Feb-17,238.00,238.00,224.00,230.00,2000
14-Feb-17,240.00,240.00,220.00,234.00,68600
13-Feb-17,240.00,240.00,228.00,234.00,14600
10-Feb-17,240.00,240.00,238.00,240.00,33000
9-Feb-17,228.00,236.00,228.00,236.00,25400
8-Feb-17,244.00,244.00,220.00,226.00,4700
7-Feb-17,238.00,240.00,238.00,240.00,5100
6-Feb-17,236.00,236.00,236.00,236.00,1200
3-Feb-17,226.00,238.00,220.00,238.00,32700
2-Feb-17,246.00,246.00,230.00,230.00,36300
1-Feb-17,226.00,236.00,216.00,230.00,42100
31-Jan-17,226.00,236.00,226.00,236.00,10100
30-Jan-17,-,-,-,240.00,0
27-Jan-17,220.00,240.00,218.00,240.00,106300
26-Jan-17,230.00,238.00,210.00,238.00,370400
25-Jan-17,224.00,236.00,224.00,236.00,1100
24-Jan-17,238.00,238.00,236.00,236.00,5100
23-Jan-17,238.00,238.00,234.00,234.00,10100
20-Jan-17,238.00,238.00,230.00,230.00,13100
19-Jan-17,238.00,238.00,230.00,234.00,13400
18-Jan-17,240.00,240.00,226.00,234.00,187800
17-Jan-17,234.00,242.00,230.00,242.00,30900
16-Jan-17,228.00,236.00,226.00,236.00,27100
13-Jan-17,228.00,234.00,228.00,234.00,87800
12-Jan-17,234.00,236.00,228.00,236.00,48800
11-Jan-17,220.00,236.00,220.00,236.00,133700
10-Jan-17,232.00,236.00,218.00,236.00,454000
9-Jan-17,234.00,240.00,234.00,240.00,10200
6-Jan-17,236.00,238.00,232.00,234.00,34000
5-Jan-17,242.00,242.00,242.00,242.00,200
4-Jan-17,-,-,-,240.00,0
3-Jan-17,246.00,246.00,238.00,240.00,6800
30-Dec-16,244.00,246.00,220.00,246.00,390100
29-Dec-16,242.00,246.00,240.00,244.00,47600
28-Dec-16,254.00,254.00,240.00,242.00,82300
27-Dec-16,256.00,256.00,240.00,254.00,66300
23-Dec-16,254.00,256.00,254.00,256.00,60200
22-Dec-16,248.00,252.00,240.00,252.00,95800
21-Dec-16,252.00,260.00,240.00,260.00,66700
20-Dec-16,254.00,260.00,254.00,260.00,10100
19-Dec-16,250.00,252.00,230.00,252.00,81900
16-Dec-16,248.00,252.00,242.00,252.00,14700
15-Dec-16,258.00,258.00,248.00,248.00,2200
14-Dec-16,252.00,256.00,250.00,254.00,35300
13-Dec-16,252.00,252.00,250.00,252.00,31200
9-Dec-16,252.00,252.00,240.00,252.00,6800
8-Dec-16,262.00,280.00,252.00,252.00,6200
7-Dec-16,258.00,262.00,252.00,262.00,21200
6-Dec-16,268.00,268.00,246.00,264.00,3500
5-Dec-16,250.00,258.00,248.00,258.00,36200
2-Dec-16,250.00,258.00,250.00,258.00,2900
1-Dec-16,260.00,260.00,250.00,260.00,48300
30-Nov-16,270.00,270.00,254.00,264.00,41600
29-Nov-16,242.00,264.00,242.00,252.00,80500
28-Nov-16,240.00,242.00,240.00,242.00,21700
25-Nov-16,254.00,254.00,240.00,244.00,57100
24-Nov-16,256.00,256.00,246.00,246.00,134200
23-Nov-16,248.00,254.00,246.00,246.00,59300
22-Nov-16,300.00,300.00,252.00,256.00,81500
21-Nov-16,250.00,266.00,242.00,252.00,124100
18-Nov-16,242.00,290.00,230.00,244.00,162600
17-Nov-16,238.00,242.00,230.00,238.00,32600
16-Nov-16,238.00,238.00,230.00,238.00,106700
15-Nov-16,238.00,238.00,224.00,238.00,107200
14-Nov-16,220.00,238.00,220.00,238.00,31400
11-Nov-16,230.00,238.00,230.00,238.00,12000
10-Nov-16,228.00,238.00,228.00,238.00,26900
9-Nov-16,234.00,234.00,220.00,234.00,175200
8-Nov-16,234.00,240.00,230.00,240.00,106600
7-Nov-16,234.00,244.00,230.00,240.00,3100
4-Nov-16,240.00,246.00,238.00,238.00,14400
3-Nov-16,236.00,242.00,228.00,242.00,47800
2-Nov-16,240.00,250.00,230.00,238.00,59300
1-Nov-16,242.00,242.00,236.00,238.00,6500
31-Oct-16,226.00,236.00,226.00,236.00,44400
28-Oct-16,230.00,238.00,220.00,232.00,24800
27-Oct-16,232.00,248.00,230.00,230.00,108600
26-Oct-16,220.00,246.00,220.00,240.00,54900
25-Oct-16,240.00,240.00,230.00,230.00,36000
24-Oct-16,232.00,244.00,230.00,236.00,71900
21-Oct-16,250.00,256.00,232.00,248.00,77700
20-Oct-16,240.00,248.00,232.00,248.00,78600
19-Oct-16,256.00,264.00,244.00,250.00,238100
18-Oct-16,264.00,278.00,260.00,266.00,110200
17-Oct-16,296.00,300.00,264.00,264.00,362000
14-Oct-16,266.00,300.00,262.00,292.00,824300
13-Oct-16,220.00,266.00,220.00,260.00,727400
12-Oct-16,212.00,220.00,210.00,214.00,23000
11-Oct-16,232.00,232.00,212.00,220.00,35100
10-Oct-16,238.00,238.00,208.00,222.00,296300
7-Oct-16,232.00,248.00,210.00,230.00,174500
6-Oct-16,242.00,250.00,230.00,232.00,67500
5-Oct-16,-,-,-,252.00,0
4-Oct-16,274.00,274.00,252.00,252.00,382400
3-Oct-16,262.00,280.00,262.00,280.00,82000
30-Sep-16,310.00,310.00,282.00,284.00,170600
29-Sep-16,324.00,324.00,292.00,312.00,348300
5-Sep-16,290.00,336.00,290.00,324.00,2623500
2-Sep-16,282.00,290.00,272.00,288.00,432200
1-Sep-16,284.00,292.00,280.00,292.00,656000
31-Aug-16,292.00,300.00,282.00,292.00,256700
30-Aug-16,302.00,310.00,280.00,292.00,1845500
29-Aug-16,276.00,330.00,276.00,300.00,2301700
25-Aug-16,224.00,276.00,222.00,276.00,4361500
24-Aug-16,224.00,224.00,210.00,222.00,92800
23-Aug-16,214.00,218.00,204.00,218.00,97700
22-Aug-16,210.00,224.00,210.00,216.00,2800
19-Aug-16,208.00,218.00,208.00,218.00,72000
18-Aug-16,218.00,218.00,210.00,216.00,325700
16-Aug-16,218.00,218.00,212.00,218.00,55200
15-Aug-16,220.00,220.00,210.00,212.00,94300
12-Aug-16,218.00,224.00,204.00,218.00,336500
11-Aug-16,214.00,218.00,212.00,218.00,109200
10-Aug-16,218.00,220.00,208.00,218.00,180700
9-Aug-16,216.00,218.00,206.00,218.00,182300
8-Aug-16,206.00,218.00,206.00,216.00,357600
5-Aug-16,210.00,216.00,202.00,204.00,73400
4-Aug-16,210.00,214.00,192.00,208.00,44600
3-Aug-16,224.00,230.00,198.00,212.00,723000
2-Aug-16,192.00,240.00,192.00,216.00,2123200
1-Aug-16,150.00,187.00,150.00,187.00,1291500
29-Jul-16,103.00,139.00,100.00,139.00,606800
28-Jul-16,106.00,106.00,100.00,103.00,176700
27-Jul-16,99.00,100.00,99.00,100.00,27300
26-Jul-16,97.00,106.00,97.00,99.00,3300
25-Jul-16,100.00,100.00,98.00,99.00,16000
22-Jul-16,94.00,102.00,93.00,102.00,15400
21-Jul-16,105.00,105.00,100.00,100.00,12200
20-Jul-16,106.00,106.00,103.00,103.00,300
19-Jul-16,100.00,103.00,100.00,102.00,24000
18-Jul-16,106.00,106.00,99.00,103.00,9000
15-Jul-16,95.00,106.00,95.00,103.00,132300
14-Jul-16,92.00,95.00,92.00,95.00,2100
13-Jul-16,110.00,110.00,95.00,96.00,6500
12-Jul-16,94.00,102.00,94.00,100.00,98200
11-Jul-16,95.00,104.00,94.00,102.00,1000
1-Jul-16,94.00,104.00,94.00,104.00,200
30-Jun-16,105.00,105.00,90.00,97.00,21300
29-Jun-16,100.00,100.00,96.00,97.00,68800
28-Jun-16,105.00,105.00,92.00,95.00,17100
27-Jun-16,98.00,103.00,98.00,101.00,5600
24-Jun-16,107.00,107.00,98.00,98.00,600
23-Jun-16,102.00,110.00,102.00,103.00,21900
22-Jun-16,104.00,104.00,96.00,101.00,19500
21-Jun-16,105.00,105.00,95.00,103.00,800
20-Jun-16,96.00,102.00,96.00,102.00,1600
17-Jun-16,96.00,100.00,95.00,96.00,74200
16-Jun-16,91.00,103.00,91.00,103.00,84300
15-Jun-16,101.00,101.00,101.00,101.00,100
14-Jun-16,103.00,104.00,97.00,98.00,139900
13-Jun-16,97.00,99.00,92.00,99.00,150600
10-Jun-16,90.00,105.00,90.00,100.00,331300
9-Jun-16,84.00,94.00,84.00,94.00,27200
8-Jun-16,84.00,90.00,83.00,83.00,499400
7-Jun-16,85.00,85.00,81.00,83.00,40400
6-Jun-16,82.00,86.00,82.00,84.00,83100
3-Jun-16,88.00,88.00,82.00,83.00,30200
2-Jun-16,78.00,85.00,78.00,84.00,20400
1-Jun-16,85.00,85.00,85.00,85.00,100
31-May-16,77.00,84.00,77.00,83.00,15800
30-May-16,85.00,85.00,85.00,85.00,200
27-May-16,87.00,87.00,82.00,82.00,5700
26-May-16,85.00,89.00,81.00,85.00,8700
25-May-16,81.00,85.00,81.00,85.00,33000
24-May-16,80.00,82.00,80.00,82.00,3100
23-May-16,81.00,81.00,80.00,80.00,23200
20-May-16,78.00,82.00,77.00,79.00,126900
19-May-16,85.00,85.00,85.00,85.00,100
18-May-16,83.00,83.00,83.00,83.00,100
17-May-16,84.00,84.00,75.00,79.00,5400
16-May-16,80.00,82.00,80.00,80.00,13000
13-May-16,82.00,82.00,80.00,80.00,800
12-May-16,80.00,80.00,80.00,80.00,4500
11-May-16,77.00,83.00,77.00,80.00,6700
10-May-16,85.00,85.00,84.00,84.00,300
9-May-16,-,-,-,80.00,0
4-May-16,77.00,83.00,76.00,80.00,537100
3-May-16,83.00,83.00,83.00,83.00,10200
2-May-16,81.00,83.00,76.00,82.00,14900
29-Apr-16,76.00,81.00,75.00,81.00,70200
28-Apr-16,75.00,84.00,75.00,82.00,2000
27-Apr-16,79.00,79.00,76.00,79.00,4200
26-Apr-16,76.00,78.00,75.00,78.00,43000
25-Apr-16,81.00,81.00,75.00,79.00,81300
22-Apr-16,83.00,83.00,80.00,83.00,900
21-Apr-16,83.00,83.00,80.00,83.00,5400
20-Apr-16,-,-,-,85.00,0
19-Apr-16,90.00,90.00,81.00,85.00,21600
18-Apr-16,87.00,87.00,87.00,87.00,2100
15-Apr-16,86.00,86.00,81.00,81.00,2100
14-Apr-16,88.00,88.00,88.00,88.00,100
13-Apr-16,84.00,86.00,83.00,83.00,3600
12-Apr-16,77.00,95.00,77.00,84.00,61300
11-Apr-16,75.00,79.00,73.00,78.00,78100
8-Apr-16,78.00,79.00,77.00,79.00,83600
7-Apr-16,87.00,87.00,78.00,78.00,372800
6-Apr-16,85.00,89.00,82.00,85.00,168500
5-Apr-16,89.00,89.00,85.00,88.00,254500
4-Apr-16,88.00,89.00,87.00,89.00,200600
1-Apr-16,88.00,88.00,83.00,87.00,18600
31-Mar-16,89.00,90.00,86.00,86.00,200100
30-Mar-16,90.00,90.00,87.00,88.00,33200
29-Mar-16,90.00,90.00,87.00,89.00,192700
28-Mar-16,89.00,90.00,87.00,87.00,345000
24-Mar-16,85.00,90.00,85.00,86.00,456500
23-Mar-16,85.00,85.00,83.00,84.00,113800
22-Mar-16,85.00,85.00,83.00,85.00,28900
21-Mar-16,85.00,85.00,83.00,84.00,45500
18-Mar-16,89.00,89.00,83.00,83.00,108500
17-Mar-16,89.00,89.00,83.00,87.00,316400
16-Mar-16,90.00,91.00,82.00,84.00,751300
15-Mar-16,82.00,90.00,82.00,90.00,1060500
14-Mar-16,74.00,85.00,72.00,82.00,709700
11-Mar-16,70.00,75.00,69.00,74.00,244400
10-Mar-16,69.00,70.00,69.00,70.00,24500
8-Mar-16,69.00,70.00,69.00,69.00,21700
7-Mar-16,67.00,70.00,67.00,69.00,26900
4-Mar-16,66.00,68.00,66.00,67.00,313700
3-Mar-16,68.00,68.00,67.00,68.00,25400
2-Mar-16,69.00,70.00,68.00,69.00,54200
1-Mar-16,69.00,70.00,69.00,69.00,54700
29-Feb-16,67.00,70.00,66.00,69.00,48300
26-Feb-16,71.00,72.00,65.00,70.00,95300
25-Feb-16,69.00,71.00,68.00,71.00,15900
24-Feb-16,77.00,77.00,68.00,70.00,301700
23-Feb-16,78.00,78.00,71.00,75.00,140800
22-Feb-16,75.00,75.00,73.00,75.00,17200
19-Feb-16,77.00,77.00,75.00,75.00,1000
18-Feb-16,80.00,80.00,77.00,77.00,1500
17-Feb-16,80.00,80.00,74.00,76.00,73100
16-Feb-16,84.00,84.00,73.00,77.00,28500
15-Feb-16,78.00,80.00,74.00,77.00,41100
12-Feb-16,82.00,82.00,75.00,82.00,30800
11-Feb-16,85.00,85.00,78.00,82.00,57600
10-Feb-16,78.00,78.00,78.00,78.00,500
9-Feb-16,79.00,86.00,79.00,85.00,4500
5-Feb-16,-,-,-,87.00,0
4-Feb-16,-,-,-,87.00,0
3-Feb-16,87.00,87.00,87.00,87.00,100
2-Feb-16,88.00,88.00,81.00,87.00,900
