Date,Open,High,Low,Close,Volume
29-Dec-17,535.00,550.00,530.00,550.00,4200
28-Dec-17,530.00,530.00,530.00,530.00,49900
27-Dec-17,520.00,530.00,520.00,530.00,21000
22-Dec-17,525.00,530.00,515.00,530.00,20100
21-Dec-17,530.00,530.00,530.00,530.00,5000
20-Dec-17,530.00,530.00,530.00,530.00,110000
19-Dec-17,530.00,530.00,530.00,530.00,10000
18-Dec-17,535.00,535.00,530.00,530.00,19100
15-Dec-17,535.00,535.00,525.00,530.00,34800
14-Dec-17,-,-,-,545.00,0
13-Dec-17,545.00,545.00,545.00,545.00,100000
12-Dec-17,540.00,540.00,540.00,540.00,9100
11-Dec-17,540.00,540.00,540.00,540.00,300
8-Dec-17,540.00,545.00,540.00,540.00,50000
7-Dec-17,530.00,545.00,530.00,530.00,76400
6-Dec-17,525.00,525.00,510.00,510.00,20600
5-Dec-17,525.00,555.00,525.00,555.00,12200
4-Dec-17,540.00,540.00,540.00,540.00,6300
30-Nov-17,545.00,545.00,540.00,540.00,94100
29-Nov-17,545.00,545.00,545.00,545.00,10100
28-Nov-17,565.00,565.00,545.00,545.00,58200
27-Nov-17,560.00,570.00,550.00,570.00,11000
24-Nov-17,565.00,580.00,560.00,565.00,130200
23-Nov-17,570.00,580.00,550.00,580.00,105200
22-Nov-17,560.00,575.00,535.00,575.00,169000
21-Nov-17,555.00,560.00,555.00,560.00,28600
20-Nov-17,560.00,560.00,530.00,555.00,63800
17-Nov-17,560.00,560.00,560.00,560.00,100
16-Nov-17,545.00,545.00,545.00,545.00,20000
15-Nov-17,545.00,560.00,545.00,560.00,11100
14-Nov-17,555.00,560.00,555.00,560.00,11000
13-Nov-17,570.00,570.00,555.00,555.00,89100
10-Nov-17,555.00,570.00,555.00,570.00,1500
9-Nov-17,-,-,-,585.00,0
8-Nov-17,-,-,-,585.00,0
7-Nov-17,585.00,585.00,585.00,585.00,100
6-Nov-17,555.00,570.00,555.00,570.00,167900
3-Nov-17,540.00,600.00,540.00,565.00,384000
2-Nov-17,540.00,540.00,540.00,540.00,100
1-Nov-17,525.00,535.00,525.00,535.00,43400
31-Oct-17,580.00,580.00,530.00,530.00,37900
30-Oct-17,525.00,565.00,525.00,560.00,303100
27-Oct-17,520.00,520.00,510.00,520.00,600
26-Oct-17,-,-,-,520.00,0
25-Oct-17,515.00,520.00,515.00,520.00,55100
24-Oct-17,505.00,520.00,505.00,520.00,16700
23-Oct-17,500.00,510.00,500.00,500.00,16600
20-Oct-17,-,-,-,510.00,0
19-Oct-17,505.00,510.00,500.00,510.00,700
18-Oct-17,500.00,500.00,500.00,500.00,47600
17-Oct-17,486.00,505.00,486.00,486.00,65600
16-Oct-17,488.00,488.00,476.00,476.00,300
13-Oct-17,486.00,486.00,486.00,486.00,2500
12-Oct-17,-,-,-,480.00,0
11-Oct-17,480.00,480.00,480.00,480.00,92500
10-Oct-17,480.00,480.00,480.00,480.00,35200
9-Oct-17,484.00,484.00,480.00,484.00,7400
6-Oct-17,-,-,-,480.00,0
5-Oct-17,484.00,490.00,470.00,480.00,538000
4-Oct-17,500.00,500.00,490.00,490.00,31100
3-Oct-17,464.00,500.00,464.00,500.00,3600
2-Oct-17,456.00,456.00,456.00,456.00,1000
29-Sep-17,-,-,-,456.00,0
28-Sep-17,-,-,-,456.00,0
27-Sep-17,454.00,456.00,454.00,456.00,300
26-Sep-17,474.00,474.00,474.00,474.00,200
25-Sep-17,-,-,-,474.00,0
22-Sep-17,480.00,480.00,474.00,474.00,10600
20-Sep-17,460.00,480.00,460.00,480.00,49300
19-Sep-17,450.00,450.00,450.00,450.00,5000
18-Sep-17,448.00,448.00,446.00,448.00,41100
15-Sep-17,446.00,446.00,446.00,446.00,5200
14-Sep-17,474.00,474.00,444.00,444.00,40200
13-Sep-17,-,-,-,454.00,0
12-Sep-17,-,-,-,454.00,0
11-Sep-17,452.00,454.00,452.00,454.00,50500
8-Sep-17,-,-,-,452.00,0
7-Sep-17,452.00,452.00,452.00,452.00,2500
6-Sep-17,478.00,478.00,450.00,452.00,621100
5-Sep-17,480.00,480.00,478.00,478.00,2600
4-Sep-17,486.00,486.00,418.00,484.00,83700
31-Aug-17,450.00,450.00,436.00,436.00,333400
30-Aug-17,450.00,450.00,450.00,450.00,32100
29-Aug-17,462.00,462.00,462.00,462.00,17900
28-Aug-17,482.00,482.00,482.00,482.00,2500
25-Aug-17,482.00,482.00,480.00,482.00,300
24-Aug-17,-,-,-,488.00,0
23-Aug-17,488.00,488.00,488.00,488.00,5100
22-Aug-17,488.00,490.00,488.00,488.00,500
21-Aug-17,492.00,492.00,482.00,482.00,12600
18-Aug-17,492.00,492.00,492.00,492.00,100
16-Aug-17,486.00,492.00,486.00,492.00,10800
15-Aug-17,490.00,505.00,490.00,498.00,10700
14-Aug-17,486.00,486.00,486.00,486.00,200
11-Aug-17,486.00,486.00,486.00,486.00,500
10-Aug-17,-,-,-,486.00,0
9-Aug-17,486.00,486.00,486.00,486.00,15300
8-Aug-17,484.00,486.00,484.00,486.00,9900
7-Aug-17,484.00,488.00,484.00,488.00,33900
4-Aug-17,482.00,482.00,482.00,482.00,8200
3-Aug-17,486.00,486.00,486.00,486.00,11800
2-Aug-17,490.00,500.00,486.00,486.00,89700
1-Aug-17,530.00,530.00,482.00,486.00,169800
31-Jul-17,530.00,530.00,515.00,530.00,4300
28-Jul-17,515.00,525.00,515.00,525.00,500
27-Jul-17,-,-,-,520.00,0
26-Jul-17,520.00,520.00,520.00,520.00,8800
25-Jul-17,520.00,520.00,520.00,520.00,300
24-Jul-17,520.00,520.00,520.00,520.00,200
21-Jul-17,515.00,520.00,515.00,520.00,54000
20-Jul-17,520.00,525.00,515.00,515.00,20600
19-Jul-17,530.00,530.00,530.00,530.00,74500
18-Jul-17,535.00,535.00,530.00,530.00,41400
17-Jul-17,550.00,550.00,535.00,535.00,900
14-Jul-17,545.00,545.00,545.00,545.00,6900
13-Jul-17,545.00,550.00,545.00,545.00,1800
12-Jul-17,530.00,535.00,525.00,535.00,9500
11-Jul-17,530.00,530.00,530.00,530.00,5300
10-Jul-17,525.00,525.00,525.00,525.00,1700
7-Jul-17,525.00,525.00,525.00,525.00,2500
6-Jul-17,525.00,525.00,520.00,520.00,27000
5-Jul-17,525.00,525.00,525.00,525.00,500
4-Jul-17,535.00,545.00,535.00,545.00,25100
3-Jul-17,525.00,535.00,515.00,535.00,60800
22-Jun-17,535.00,535.00,520.00,520.00,4400
21-Jun-17,540.00,540.00,525.00,530.00,6400
20-Jun-17,540.00,540.00,535.00,540.00,10700
19-Jun-17,525.00,540.00,525.00,540.00,22700
16-Jun-17,520.00,530.00,520.00,520.00,72700
15-Jun-17,520.00,520.00,520.00,520.00,5400
14-Jun-17,530.00,530.00,530.00,530.00,6200
13-Jun-17,525.00,525.00,515.00,520.00,40600
12-Jun-17,545.00,545.00,515.00,535.00,109800
9-Jun-17,545.00,545.00,530.00,530.00,3700
8-Jun-17,540.00,540.00,530.00,530.00,10800
7-Jun-17,540.00,545.00,540.00,545.00,700
6-Jun-17,530.00,540.00,530.00,540.00,4300
5-Jun-17,540.00,540.00,540.00,540.00,5700
2-Jun-17,530.00,550.00,530.00,540.00,3800
31-May-17,530.00,550.00,530.00,550.00,13100
30-May-17,535.00,535.00,515.00,535.00,92500
29-May-17,530.00,535.00,520.00,535.00,9100
26-May-17,530.00,530.00,525.00,530.00,106300
24-May-17,525.00,525.00,515.00,525.00,166300
23-May-17,515.00,525.00,515.00,525.00,3800
22-May-17,515.00,520.00,515.00,515.00,21000
19-May-17,515.00,515.00,515.00,515.00,1000
18-May-17,525.00,525.00,510.00,510.00,9400
17-May-17,505.00,525.00,505.00,525.00,11000
16-May-17,525.00,530.00,505.00,510.00,41600
15-May-17,505.00,530.00,505.00,530.00,36800
12-May-17,550.00,550.00,530.00,540.00,1700
10-May-17,545.00,560.00,525.00,530.00,29800
9-May-17,540.00,555.00,540.00,545.00,27400
8-May-17,565.00,590.00,560.00,560.00,241400
5-May-17,525.00,560.00,520.00,555.00,125300
4-May-17,560.00,570.00,510.00,525.00,86100
3-May-17,545.00,560.00,535.00,555.00,157300
2-May-17,580.00,595.00,500.00,545.00,219600
28-Apr-17,476.00,590.00,476.00,580.00,1049600
27-Apr-17,442.00,500.00,442.00,472.00,252900
26-Apr-17,470.00,470.00,452.00,458.00,16700
25-Apr-17,458.00,470.00,454.00,456.00,19000
21-Apr-17,450.00,454.00,450.00,454.00,600
20-Apr-17,456.00,456.00,444.00,456.00,5900
18-Apr-17,450.00,454.00,450.00,454.00,5100
17-Apr-17,456.00,480.00,454.00,454.00,46800
13-Apr-17,458.00,470.00,454.00,456.00,6100
12-Apr-17,450.00,458.00,450.00,458.00,20200
11-Apr-17,438.00,458.00,430.00,454.00,49800
10-Apr-17,424.00,438.00,424.00,438.00,13400
7-Apr-17,430.00,438.00,430.00,438.00,20100
6-Apr-17,-,-,-,430.00,0
5-Apr-17,430.00,450.00,430.00,430.00,65100
4-Apr-17,434.00,450.00,430.00,430.00,27200
3-Apr-17,436.00,436.00,418.00,420.00,298700
31-Mar-17,420.00,460.00,410.00,420.00,306300
30-Mar-17,384.00,450.00,380.00,410.00,239400
29-Mar-17,350.00,384.00,350.00,384.00,300
27-Mar-17,360.00,360.00,360.00,360.00,100
