Date,Open,High,Low,Close,Volume
29-Dec-17,167.00,171.00,167.00,171.00,80900
28-Dec-17,175.00,175.00,170.00,170.00,11400
27-Dec-17,167.00,173.00,164.00,170.00,37100
22-Dec-17,171.00,171.00,167.00,167.00,87500
21-Dec-17,-,-,-,173.00,0
20-Dec-17,173.00,173.00,173.00,173.00,100
19-Dec-17,173.00,173.00,173.00,173.00,100
18-Dec-17,173.00,173.00,173.00,173.00,1200
15-Dec-17,176.00,179.00,175.00,176.00,33500
14-Dec-17,161.00,167.00,161.00,166.00,50200
13-Dec-17,178.00,178.00,170.00,170.00,67800
12-Dec-17,174.00,186.00,174.00,178.00,7900
11-Dec-17,167.00,170.00,167.00,170.00,700
8-Dec-17,170.00,170.00,167.00,167.00,12600
7-Dec-17,174.00,176.00,173.00,173.00,5100
6-Dec-17,170.00,176.00,169.00,169.00,91200
5-Dec-17,180.00,189.00,173.00,176.00,5900
4-Dec-17,176.00,180.00,170.00,173.00,46200
30-Nov-17,178.00,178.00,171.00,175.00,45300
29-Nov-17,180.00,180.00,179.00,179.00,21600
28-Nov-17,183.00,189.00,172.00,181.00,21700
27-Nov-17,194.00,194.00,179.00,182.00,355600
24-Nov-17,173.00,199.00,170.00,194.00,831100
23-Nov-17,168.00,200.00,167.00,171.00,387800
22-Nov-17,162.00,169.00,160.00,168.00,503000
21-Nov-17,170.00,170.00,164.00,165.00,73000
20-Nov-17,170.00,170.00,164.00,170.00,76300
17-Nov-17,-,-,-,167.00,0
16-Nov-17,172.00,172.00,167.00,167.00,20500
15-Nov-17,163.00,169.00,163.00,167.00,172500
14-Nov-17,167.00,167.00,163.00,163.00,334500
13-Nov-17,167.00,167.00,167.00,167.00,39100
10-Nov-17,170.00,172.00,167.00,167.00,78500
9-Nov-17,168.00,168.00,166.00,166.00,118100
8-Nov-17,163.00,171.00,163.00,167.00,197100
7-Nov-17,171.00,171.00,164.00,168.00,428900
6-Nov-17,167.00,170.00,167.00,170.00,55100
3-Nov-17,169.00,171.00,165.00,165.00,112700
2-Nov-17,174.00,177.00,170.00,171.00,201800
1-Nov-17,173.00,178.00,168.00,172.00,147100
