Date,Open,High,Low,Close,Volume
29-Dec-17,2070.00,2120.00,2070.00,2120.00,3100
28-Dec-17,2200.00,2260.00,2160.00,2160.00,607800
27-Dec-17,2030.00,2280.00,2030.00,2200.00,28600
22-Dec-17,2070.00,2070.00,2070.00,2070.00,500
21-Dec-17,2010.00,2020.00,2000.00,2020.00,28500
20-Dec-17,2010.00,2030.00,2010.00,2020.00,10000
19-Dec-17,2030.00,2040.00,2010.00,2030.00,5600
18-Dec-17,2010.00,2080.00,2010.00,2020.00,5700
15-Dec-17,2000.00,2060.00,2000.00,2030.00,6800
14-Dec-17,2000.00,2000.00,2000.00,2000.00,5100
13-Dec-17,2000.00,2000.00,1995.00,2000.00,80900
12-Dec-17,2000.00,2000.00,1990.00,2000.00,336600
11-Dec-17,2000.00,2090.00,1990.00,2000.00,52300
8-Dec-17,2100.00,2100.00,2000.00,2100.00,1500
7-Dec-17,2000.00,2010.00,2000.00,2000.00,40500
6-Dec-17,2030.00,2050.00,1995.00,1995.00,164100
5-Dec-17,2180.00,2180.00,1955.00,2000.00,147800
4-Dec-17,2160.00,2190.00,2160.00,2170.00,9200
30-Nov-17,2200.00,2220.00,2170.00,2170.00,28700
29-Nov-17,2280.00,2300.00,2200.00,2200.00,51700
28-Nov-17,2320.00,2320.00,2250.00,2300.00,12500
27-Nov-17,2400.00,2450.00,2300.00,2310.00,181000
24-Nov-17,2420.00,2450.00,2360.00,2360.00,22500
23-Nov-17,2510.00,2530.00,2420.00,2420.00,189600
22-Nov-17,2370.00,2490.00,2370.00,2430.00,406200
21-Nov-17,2300.00,2350.00,2300.00,2330.00,44300
20-Nov-17,2300.00,2350.00,2280.00,2300.00,21700
17-Nov-17,2340.00,2360.00,2240.00,2300.00,179700
16-Nov-17,2310.00,2380.00,2310.00,2370.00,20600
15-Nov-17,2410.00,2410.00,2300.00,2310.00,35200
14-Nov-17,2450.00,2520.00,2400.00,2410.00,554600
13-Nov-17,2430.00,2550.00,2390.00,2520.00,108500
10-Nov-17,2570.00,2610.00,2410.00,2440.00,116700
9-Nov-17,2670.00,2670.00,2570.00,2580.00,127700
8-Nov-17,2830.00,2890.00,2570.00,2640.00,308700
7-Nov-17,2510.00,2950.00,2510.00,2830.00,1025300
6-Nov-17,2320.00,2600.00,2320.00,2510.00,432800
3-Nov-17,2100.00,2430.00,2100.00,2250.00,367700
2-Nov-17,2110.00,2170.00,2100.00,2120.00,60900
1-Nov-17,2000.00,2120.00,1995.00,2090.00,357600
31-Oct-17,1940.00,2000.00,1900.00,2000.00,57100
30-Oct-17,1975.00,2010.00,1950.00,1950.00,9700
27-Oct-17,1990.00,1990.00,1975.00,1975.00,17300
26-Oct-17,1950.00,2030.00,1940.00,1990.00,235100
25-Oct-17,1935.00,1940.00,1930.00,1935.00,14900
24-Oct-17,1935.00,1970.00,1935.00,1950.00,58100
23-Oct-17,1930.00,1965.00,1920.00,1965.00,106900
20-Oct-17,1970.00,1970.00,1950.00,1950.00,133000
19-Oct-17,1950.00,1990.00,1910.00,1970.00,262900
18-Oct-17,1990.00,2010.00,1935.00,1935.00,11500
17-Oct-17,1990.00,2000.00,1955.00,1965.00,30500
16-Oct-17,1950.00,2030.00,1950.00,1990.00,138800
13-Oct-17,1965.00,1965.00,1945.00,1950.00,2816100
12-Oct-17,1960.00,1985.00,1960.00,1965.00,98500
11-Oct-17,1970.00,2000.00,1920.00,1965.00,378600
10-Oct-17,1960.00,2000.00,1960.00,1985.00,88100
9-Oct-17,1840.00,2050.00,1835.00,1950.00,365200
6-Oct-17,1820.00,1845.00,1820.00,1840.00,63400
5-Oct-17,1725.00,1840.00,1720.00,1820.00,310400
4-Oct-17,1735.00,1735.00,1715.00,1725.00,20100
3-Oct-17,1680.00,1745.00,1670.00,1735.00,96500
2-Oct-17,1680.00,1690.00,1680.00,1685.00,13400
29-Sep-17,1720.00,1720.00,1660.00,1680.00,83700
28-Sep-17,1750.00,1750.00,1700.00,1720.00,71000
27-Sep-17,1740.00,1765.00,1715.00,1725.00,140500
26-Sep-17,1700.00,1780.00,1680.00,1745.00,102700
25-Sep-17,1690.00,1700.00,1680.00,1700.00,277100
22-Sep-17,1665.00,1750.00,1665.00,1720.00,47800
20-Sep-17,1665.00,1690.00,1655.00,1665.00,12000
19-Sep-17,1670.00,1670.00,1640.00,1665.00,32500
18-Sep-17,1690.00,1690.00,1660.00,1660.00,6000
15-Sep-17,1670.00,1700.00,1660.00,1670.00,294000
14-Sep-17,1680.00,1690.00,1670.00,1670.00,22100
13-Sep-17,1660.00,1720.00,1660.00,1690.00,26300
12-Sep-17,1700.00,1710.00,1695.00,1710.00,109300
11-Sep-17,1685.00,1695.00,1685.00,1695.00,11700
8-Sep-17,1685.00,1695.00,1685.00,1685.00,29700
7-Sep-17,1700.00,1700.00,1690.00,1695.00,53200
6-Sep-17,1700.00,1720.00,1680.00,1690.00,91300
5-Sep-17,1760.00,1760.00,1700.00,1705.00,31200
4-Sep-17,1770.00,1780.00,1695.00,1780.00,51100
31-Aug-17,1775.00,1785.00,1760.00,1770.00,53200
30-Aug-17,1765.00,1770.00,1760.00,1770.00,14800
29-Aug-17,1770.00,1770.00,1755.00,1765.00,8700
28-Aug-17,1790.00,1800.00,1775.00,1775.00,31600
25-Aug-17,1830.00,1830.00,1780.00,1790.00,6300
24-Aug-17,1810.00,1840.00,1775.00,1775.00,11400
23-Aug-17,1780.00,1820.00,1770.00,1800.00,23000
22-Aug-17,1770.00,1820.00,1760.00,1770.00,20100
21-Aug-17,1820.00,1850.00,1770.00,1780.00,13700
18-Aug-17,1740.00,1820.00,1735.00,1820.00,35700
16-Aug-17,1725.00,1745.00,1700.00,1730.00,84200
15-Aug-17,1770.00,1770.00,1725.00,1735.00,105000
14-Aug-17,1815.00,1825.00,1790.00,1790.00,32500
11-Aug-17,1900.00,1900.00,1750.00,1790.00,196000
10-Aug-17,1935.00,1935.00,1890.00,1900.00,108700
9-Aug-17,1975.00,1990.00,1930.00,1935.00,22700
8-Aug-17,1970.00,1970.00,1920.00,1965.00,124800
7-Aug-17,1980.00,2000.00,1970.00,1980.00,30900
4-Aug-17,1980.00,2040.00,1980.00,1990.00,16800
3-Aug-17,2020.00,2050.00,1925.00,2010.00,98200
2-Aug-17,2120.00,2120.00,2000.00,2020.00,69400
1-Aug-17,2100.00,2120.00,2030.00,2120.00,74500
31-Jul-17,2180.00,2180.00,2100.00,2140.00,23000
28-Jul-17,2120.00,2160.00,2100.00,2100.00,63900
27-Jul-17,2120.00,2170.00,2120.00,2160.00,25800
26-Jul-17,2170.00,2170.00,2100.00,2150.00,12800
25-Jul-17,2170.00,2170.00,2100.00,2160.00,29100
24-Jul-17,2160.00,2170.00,2130.00,2170.00,15000
21-Jul-17,2190.00,2190.00,2160.00,2170.00,15700
20-Jul-17,2190.00,2200.00,2180.00,2180.00,16000
19-Jul-17,2190.00,2200.00,2190.00,2190.00,9600
18-Jul-17,2210.00,2210.00,2200.00,2200.00,1500
17-Jul-17,2200.00,2220.00,2160.00,2210.00,4200
14-Jul-17,2300.00,2300.00,2100.00,2200.00,88500
13-Jul-17,2200.00,2210.00,2200.00,2200.00,6200
12-Jul-17,2210.00,2280.00,2200.00,2200.00,4300
11-Jul-17,2200.00,2210.00,2200.00,2200.00,12100
10-Jul-17,2200.00,2200.00,2200.00,2200.00,1000
7-Jul-17,2190.00,2200.00,2190.00,2200.00,3600
6-Jul-17,2220.00,2220.00,2190.00,2210.00,6600
5-Jul-17,2210.00,2220.00,2200.00,2200.00,17600
4-Jul-17,2350.00,2350.00,2200.00,2200.00,40700
3-Jul-17,2300.00,2370.00,2280.00,2350.00,10500
22-Jun-17,2300.00,2420.00,2240.00,2280.00,44200
21-Jun-17,2210.00,2500.00,2210.00,2230.00,90400
20-Jun-17,2210.00,2210.00,2200.00,2210.00,50200
19-Jun-17,2200.00,2220.00,2190.00,2200.00,25000
16-Jun-17,2210.00,2210.00,2200.00,2200.00,20400
15-Jun-17,2200.00,2210.00,2200.00,2200.00,43400
14-Jun-17,2220.00,2220.00,2190.00,2190.00,60700
13-Jun-17,2190.00,2210.00,2190.00,2200.00,26300
12-Jun-17,2150.00,2190.00,2150.00,2190.00,38700
9-Jun-17,2190.00,2230.00,2150.00,2150.00,15900
8-Jun-17,2200.00,2250.00,2190.00,2190.00,12800
7-Jun-17,2200.00,2210.00,2190.00,2200.00,342700
6-Jun-17,2220.00,2250.00,2200.00,2200.00,31900
5-Jun-17,2270.00,2300.00,2200.00,2200.00,172500
2-Jun-17,2220.00,2220.00,2190.00,2190.00,319700
31-May-17,2250.00,2250.00,2220.00,2220.00,11000
30-May-17,2250.00,2250.00,2210.00,2210.00,31400
29-May-17,2270.00,2270.00,2200.00,2200.00,39000
26-May-17,2300.00,2380.00,2260.00,2270.00,95200
24-May-17,2270.00,2300.00,2250.00,2250.00,23900
23-May-17,2270.00,2300.00,2230.00,2230.00,81900
22-May-17,2230.00,2280.00,2200.00,2200.00,32400
19-May-17,2200.00,2230.00,2190.00,2230.00,48700
18-May-17,2190.00,2210.00,2190.00,2200.00,21300
17-May-17,2190.00,2220.00,2190.00,2190.00,535600
16-May-17,2200.00,2220.00,2190.00,2190.00,276900
15-May-17,2220.00,2230.00,2180.00,2200.00,38300
12-May-17,2200.00,2220.00,2200.00,2220.00,19400
10-May-17,2250.00,2250.00,2200.00,2200.00,298000
9-May-17,2270.00,2280.00,2240.00,2250.00,628700
8-May-17,2200.00,2340.00,2190.00,2270.00,160700
5-May-17,2230.00,2230.00,2190.00,2200.00,584400
4-May-17,2250.00,2250.00,2200.00,2220.00,600800
3-May-17,2310.00,2310.00,2250.00,2250.00,1252400
2-May-17,2400.00,2400.00,2290.00,2310.00,488600
28-Apr-17,2430.00,2450.00,2400.00,2400.00,524300
27-Apr-17,2420.00,2440.00,2410.00,2430.00,12900
26-Apr-17,2460.00,2460.00,2430.00,2430.00,13400
25-Apr-17,2460.00,2480.00,2420.00,2440.00,19300
21-Apr-17,2440.00,2460.00,2440.00,2460.00,1300
20-Apr-17,2440.00,2460.00,2440.00,2440.00,16800
18-Apr-17,2490.00,2490.00,2440.00,2460.00,28400
17-Apr-17,2480.00,2510.00,2440.00,2480.00,33400
13-Apr-17,2500.00,2520.00,2480.00,2480.00,79600
12-Apr-17,2430.00,2500.00,2420.00,2500.00,67100
11-Apr-17,2480.00,2480.00,2400.00,2430.00,72900
10-Apr-17,2410.00,2460.00,2400.00,2430.00,61700
7-Apr-17,2420.00,2460.00,2400.00,2430.00,16300
6-Apr-17,2450.00,2470.00,2420.00,2420.00,38600
5-Apr-17,2490.00,2490.00,2440.00,2450.00,160800
4-Apr-17,2450.00,2510.00,2450.00,2490.00,179300
3-Apr-17,2510.00,2560.00,2430.00,2450.00,146000
31-Mar-17,2420.00,2600.00,2400.00,2510.00,256900
30-Mar-17,2410.00,2500.00,2400.00,2430.00,134200
29-Mar-17,2480.00,2480.00,2410.00,2410.00,513500
27-Mar-17,2550.00,2550.00,2490.00,2490.00,165000
24-Mar-17,2590.00,2610.00,2550.00,2550.00,61400
23-Mar-17,2580.00,2600.00,2570.00,2580.00,114200
22-Mar-17,2580.00,2580.00,2550.00,2570.00,49100
21-Mar-17,2660.00,2670.00,2580.00,2580.00,214200
20-Mar-17,2700.00,2700.00,2640.00,2650.00,78000
17-Mar-17,2740.00,2740.00,2630.00,2680.00,352300
16-Mar-17,2850.00,2850.00,2730.00,2730.00,609600
15-Mar-17,2840.00,2860.00,2810.00,2850.00,173100
14-Mar-17,2770.00,2850.00,2760.00,2840.00,491600
13-Mar-17,2800.00,2800.00,2740.00,2760.00,251700
10-Mar-17,2810.00,2810.00,2770.00,2800.00,127700
9-Mar-17,2790.00,2810.00,2780.00,2810.00,124100
8-Mar-17,2850.00,2850.00,2790.00,2790.00,190900
7-Mar-17,2850.00,2860.00,2820.00,2850.00,125900
6-Mar-17,2860.00,2860.00,2830.00,2850.00,22400
3-Mar-17,2850.00,2860.00,2840.00,2850.00,122300
2-Mar-17,2950.00,2950.00,2810.00,2850.00,192300
1-Mar-17,2950.00,2970.00,2940.00,2950.00,1866300
28-Feb-17,2900.00,2960.00,2900.00,2950.00,64000
27-Feb-17,2910.00,2910.00,2860.00,2910.00,31300
24-Feb-17,2910.00,2920.00,2910.00,2910.00,104400
23-Feb-17,2930.00,2930.00,2910.00,2910.00,204000
22-Feb-17,2970.00,2970.00,2900.00,2910.00,100400
21-Feb-17,2980.00,2980.00,2880.00,2900.00,43500
20-Feb-17,3100.00,3120.00,2900.00,2980.00,60900
17-Feb-17,3100.00,3110.00,3000.00,3100.00,210800
16-Feb-17,3090.00,3140.00,3090.00,3100.00,212900
14-Feb-17,2990.00,3050.00,2980.00,3040.00,987600
13-Feb-17,2840.00,2940.00,2840.00,2910.00,883200
10-Feb-17,2850.00,2850.00,2820.00,2840.00,116100
9-Feb-17,2860.00,2860.00,2830.00,2850.00,68100
8-Feb-17,2870.00,2900.00,2850.00,2860.00,29000
7-Feb-17,2830.00,2890.00,2830.00,2870.00,42600
6-Feb-17,2900.00,2900.00,2820.00,2870.00,77100
3-Feb-17,2920.00,2920.00,2880.00,2900.00,132700
2-Feb-17,2930.00,2990.00,2890.00,2900.00,135300
1-Feb-17,2970.00,2970.00,2890.00,2910.00,139000
31-Jan-17,3060.00,3090.00,2950.00,2970.00,436000
30-Jan-17,3190.00,3190.00,3100.00,3110.00,91400
27-Jan-17,3130.00,3200.00,2980.00,3170.00,83300
26-Jan-17,3190.00,3220.00,3160.00,3180.00,86400
25-Jan-17,3270.00,3280.00,3190.00,3190.00,280600
24-Jan-17,3280.00,3280.00,3200.00,3270.00,132600
23-Jan-17,3350.00,3370.00,3230.00,3280.00,221500
20-Jan-17,3220.00,3330.00,3190.00,3300.00,319700
19-Jan-17,3190.00,3240.00,3180.00,3220.00,251300
18-Jan-17,3320.00,3330.00,3160.00,3190.00,320500
17-Jan-17,3250.00,3430.00,3250.00,3300.00,863400
16-Jan-17,3140.00,3300.00,3140.00,3240.00,887800
13-Jan-17,3060.00,3160.00,3060.00,3120.00,393000
12-Jan-17,2870.00,3080.00,2870.00,3050.00,643300
11-Jan-17,2880.00,2900.00,2830.00,2870.00,101200
10-Jan-17,2900.00,2900.00,2820.00,2880.00,225500
9-Jan-17,2900.00,2950.00,2900.00,2910.00,200200
6-Jan-17,2940.00,2980.00,2900.00,2900.00,289000
5-Jan-17,2710.00,2990.00,2640.00,2920.00,746200
4-Jan-17,2750.00,2810.00,2590.00,2710.00,679700
3-Jan-17,3030.00,3030.00,2730.00,2790.00,726000
30-Dec-16,3200.00,3350.00,3030.00,3030.00,2015500
29-Dec-16,2750.00,3290.00,2730.00,3180.00,3632100
28-Dec-16,2300.00,2830.00,2270.00,2750.00,841200
27-Dec-16,2320.00,2360.00,2300.00,2300.00,55900
23-Dec-16,2310.00,2310.00,2250.00,2300.00,145400
22-Dec-16,2460.00,2460.00,2300.00,2310.00,426500
21-Dec-16,2480.00,2480.00,2450.00,2450.00,66300
20-Dec-16,2520.00,2550.00,2450.00,2460.00,540800
19-Dec-16,2550.00,2560.00,2530.00,2530.00,894900
16-Dec-16,2550.00,2600.00,2530.00,2560.00,807400
15-Dec-16,2540.00,2580.00,2520.00,2530.00,956600
14-Dec-16,2610.00,2650.00,2540.00,2550.00,720800
13-Dec-16,2810.00,2810.00,2600.00,2620.00,1116900
9-Dec-16,2870.00,2870.00,2790.00,2800.00,269700
8-Dec-16,2870.00,2870.00,2810.00,2810.00,763200
7-Dec-16,2840.00,2880.00,2800.00,2870.00,258500
6-Dec-16,2810.00,2890.00,2800.00,2840.00,1388800
5-Dec-16,2920.00,2920.00,2800.00,2800.00,1305600
2-Dec-16,2870.00,2890.00,2850.00,2870.00,307400
1-Dec-16,2750.00,2910.00,2750.00,2850.00,1068600
30-Nov-16,2780.00,2900.00,2740.00,2750.00,237900
29-Nov-16,2910.00,2960.00,2780.00,2780.00,597400
28-Nov-16,2950.00,2960.00,2900.00,2910.00,130900
25-Nov-16,2950.00,2960.00,2920.00,2940.00,163800
24-Nov-16,3000.00,3000.00,2950.00,2950.00,322000
23-Nov-16,3000.00,3040.00,2990.00,3000.00,330900
22-Nov-16,3010.00,3010.00,2980.00,3000.00,253400
21-Nov-16,3000.00,3030.00,2970.00,3000.00,314300
18-Nov-16,3030.00,3030.00,2930.00,3000.00,635200
17-Nov-16,3060.00,3070.00,3020.00,3030.00,432400
16-Nov-16,3000.00,3050.00,2990.00,3040.00,679900
15-Nov-16,3100.00,3130.00,2990.00,2990.00,985700
14-Nov-16,3230.00,3230.00,3060.00,3060.00,212500
11-Nov-16,3300.00,3300.00,3190.00,3230.00,555300
10-Nov-16,3370.00,3390.00,3290.00,3350.00,745400
9-Nov-16,3360.00,3390.00,3230.00,3270.00,544200
8-Nov-16,3300.00,3370.00,3220.00,3350.00,729900
7-Nov-16,3200.00,3270.00,3180.00,3210.00,580600
4-Nov-16,3310.00,3310.00,3110.00,3200.00,490700
3-Nov-16,3350.00,3350.00,3150.00,3310.00,703900
2-Nov-16,3400.00,3430.00,3360.00,3370.00,268800
1-Nov-16,3400.00,3440.00,3390.00,3400.00,762400
31-Oct-16,3390.00,3510.00,3360.00,3380.00,529700
28-Oct-16,3660.00,3680.00,3350.00,3380.00,2503700
27-Oct-16,3790.00,3790.00,3680.00,3680.00,724300
26-Oct-16,3810.00,3870.00,3780.00,3790.00,581400
25-Oct-16,3870.00,3900.00,3810.00,3810.00,941300
24-Oct-16,3880.00,3920.00,3860.00,3870.00,498000
21-Oct-16,3880.00,3880.00,3810.00,3870.00,627600
20-Oct-16,3900.00,3930.00,3800.00,3870.00,500300
19-Oct-16,4050.00,4050.00,3870.00,3870.00,1275500
18-Oct-16,4020.00,4060.00,4000.00,4000.00,601100
17-Oct-16,4110.00,4110.00,4010.00,4050.00,412800
14-Oct-16,4020.00,4190.00,3990.00,4080.00,1658600
13-Oct-16,4010.00,4010.00,3950.00,3990.00,577700
12-Oct-16,4000.00,4000.00,3870.00,4000.00,852800
11-Oct-16,4170.00,4170.00,3950.00,4000.00,862400
10-Oct-16,4200.00,4220.00,4160.00,4160.00,976500
7-Oct-16,4260.00,4360.00,4150.00,4170.00,1347500
6-Oct-16,4210.00,4270.00,4200.00,4260.00,853700
5-Oct-16,4260.00,4290.00,4170.00,4200.00,1589100
4-Oct-16,4210.00,4300.00,4160.00,4250.00,2028700
3-Oct-16,4300.00,4320.00,4090.00,4170.00,1739200
30-Sep-16,4400.00,4400.00,4100.00,4200.00,4611700
29-Sep-16,4700.00,4750.00,4360.00,4380.00,2307600
28-Sep-16,4820.00,4870.00,4630.00,4660.00,1383500
27-Sep-16,4930.00,5000.00,4800.00,4800.00,2470200
26-Sep-16,4990.00,4990.00,4930.00,4930.00,2157000
23-Sep-16,5250.00,5250.00,4920.00,4990.00,4124800
22-Sep-16,5150.00,5325.00,5150.00,5225.00,532400
21-Sep-16,5175.00,5250.00,5000.00,5150.00,469600
20-Sep-16,5050.00,5550.00,5050.00,5175.00,3945300
19-Sep-16,4750.00,5150.00,4600.00,5075.00,2715800
16-Sep-16,5300.00,5300.00,4750.00,4750.00,1896500
15-Sep-16,5350.00,5350.00,5250.00,5275.00,963000
14-Sep-16,5600.00,5625.00,5250.00,5350.00,452200
13-Sep-16,6000.00,6000.00,5500.00,5625.00,575000
9-Sep-16,5975.00,6150.00,5900.00,5975.00,566900
8-Sep-16,6050.00,6050.00,5975.00,5975.00,539300
7-Sep-16,6075.00,6075.00,5975.00,6000.00,1144300
6-Sep-16,6175.00,6175.00,6075.00,6075.00,552100
5-Sep-16,6100.00,6225.00,6100.00,6100.00,1012400
2-Sep-16,5800.00,6200.00,5800.00,6075.00,803400
1-Sep-16,5800.00,5950.00,5800.00,5800.00,1015700
31-Aug-16,5925.00,5925.00,5775.00,5800.00,568900
30-Aug-16,5750.00,5925.00,5750.00,5875.00,1161700
29-Aug-16,5925.00,6000.00,5700.00,5750.00,595100
26-Aug-16,5625.00,5925.00,5625.00,5925.00,1311900
25-Aug-16,5675.00,5775.00,5525.00,5600.00,713200
24-Aug-16,5600.00,5800.00,5475.00,5675.00,1148200
23-Aug-16,5800.00,5800.00,5600.00,5600.00,948200
22-Aug-16,6000.00,6000.00,5775.00,5800.00,451800
19-Aug-16,6075.00,6075.00,5825.00,5850.00,707700
18-Aug-16,5900.00,6075.00,5850.00,6000.00,572500
16-Aug-16,6075.00,6075.00,5850.00,5900.00,544600
15-Aug-16,6275.00,6275.00,5950.00,6025.00,424700
12-Aug-16,6300.00,6300.00,6150.00,6275.00,657400
11-Aug-16,6350.00,6400.00,6175.00,6275.00,626100
10-Aug-16,6100.00,6325.00,6100.00,6275.00,1032900
9-Aug-16,5950.00,6100.00,5900.00,6100.00,616600
8-Aug-16,6025.00,6200.00,5800.00,5850.00,1102900
5-Aug-16,6300.00,6300.00,6000.00,6025.00,1148200
4-Aug-16,6350.00,6425.00,6275.00,6300.00,671600
3-Aug-16,6475.00,6475.00,6325.00,6400.00,584700
2-Aug-16,6575.00,6625.00,6450.00,6450.00,785100
1-Aug-16,6300.00,6600.00,6300.00,6575.00,891100
29-Jul-16,6525.00,6525.00,6350.00,6350.00,603400
28-Jul-16,6550.00,6550.00,6450.00,6500.00,656600
27-Jul-16,6500.00,6625.00,6475.00,6550.00,719200
26-Jul-16,6625.00,6700.00,6425.00,6500.00,737400
25-Jul-16,6775.00,6975.00,6625.00,6625.00,571300
22-Jul-16,6925.00,6925.00,6625.00,6650.00,675700
21-Jul-16,6975.00,7000.00,6800.00,6925.00,653900
20-Jul-16,7125.00,7125.00,6750.00,6950.00,595900
19-Jul-16,7000.00,7175.00,7000.00,7075.00,544500
18-Jul-16,7000.00,7000.00,6950.00,7000.00,601700
15-Jul-16,6750.00,7150.00,6750.00,7000.00,1373300
14-Jul-16,6600.00,6775.00,6600.00,6700.00,1502300
13-Jul-16,6625.00,6625.00,6550.00,6575.00,1009600
12-Jul-16,6550.00,6750.00,6350.00,6625.00,687800
11-Jul-16,6700.00,6700.00,6025.00,6550.00,720900
1-Jul-16,6675.00,6750.00,6650.00,6650.00,832900
30-Jun-16,6400.00,6775.00,6400.00,6675.00,1608000
29-Jun-16,6175.00,6450.00,6100.00,6300.00,1051600
28-Jun-16,6200.00,6300.00,6000.00,6000.00,635000
27-Jun-16,6175.00,6175.00,6050.00,6050.00,649500
24-Jun-16,6175.00,6250.00,6000.00,6150.00,609900
23-Jun-16,6225.00,6225.00,6125.00,6175.00,661800
22-Jun-16,6150.00,6400.00,6150.00,6225.00,705500
21-Jun-16,6375.00,6375.00,6100.00,6150.00,857700
20-Jun-16,6550.00,6600.00,6325.00,6400.00,679600
17-Jun-16,6500.00,6550.00,6300.00,6550.00,723700
16-Jun-16,6400.00,6500.00,6400.00,6500.00,1107500
15-Jun-16,6100.00,6400.00,6025.00,6375.00,1268700
14-Jun-16,6100.00,6175.00,6075.00,6075.00,853200
13-Jun-16,6000.00,6125.00,6000.00,6100.00,711800
10-Jun-16,5925.00,6050.00,5725.00,6025.00,1531700
9-Jun-16,5875.00,6075.00,5875.00,5950.00,1266400
8-Jun-16,5675.00,5875.00,5675.00,5875.00,1831200
7-Jun-16,5500.00,5675.00,5475.00,5675.00,1514200
6-Jun-16,5575.00,5650.00,5350.00,5450.00,1209800
3-Jun-16,5625.00,5675.00,5475.00,5550.00,1215700
2-Jun-16,5700.00,5725.00,5625.00,5675.00,1365300
1-Jun-16,5575.00,5600.00,5425.00,5525.00,1196400
31-May-16,5775.00,5775.00,5550.00,5575.00,1231900
30-May-16,5875.00,5875.00,5750.00,5775.00,1017300
27-May-16,5950.00,5975.00,5875.00,5875.00,1028900
26-May-16,5925.00,6025.00,5875.00,5925.00,1180300
25-May-16,6000.00,6100.00,5925.00,5925.00,1201400
24-May-16,5875.00,6025.00,5850.00,6000.00,1651300
