Date,Open,High,Low,Close,Volume
29-Dec-17,310.00,354.00,302.00,324.00,778400
28-Dec-17,310.00,312.00,300.00,310.00,239100
27-Dec-17,312.00,312.00,302.00,310.00,43800
22-Dec-17,306.00,310.00,304.00,310.00,223800
21-Dec-17,312.00,312.00,306.00,310.00,588400
20-Dec-17,308.00,310.00,308.00,310.00,32700
19-Dec-17,308.00,322.00,300.00,310.00,161900
18-Dec-17,312.00,316.00,300.00,306.00,482300
15-Dec-17,314.00,314.00,310.00,312.00,3700
14-Dec-17,314.00,320.00,308.00,314.00,134100
13-Dec-17,330.00,330.00,312.00,314.00,73100
12-Dec-17,318.00,324.00,310.00,312.00,324500
11-Dec-17,320.00,334.00,314.00,318.00,45600
8-Dec-17,344.00,346.00,320.00,320.00,328800
7-Dec-17,328.00,348.00,328.00,334.00,3421100
6-Dec-17,326.00,340.00,322.00,334.00,315800
5-Dec-17,310.00,330.00,310.00,326.00,880600
4-Dec-17,314.00,330.00,310.00,310.00,69100
30-Nov-17,318.00,340.00,310.00,318.00,55300
29-Nov-17,302.00,314.00,300.00,314.00,294300
28-Nov-17,312.00,318.00,300.00,302.00,77400
27-Nov-17,298.00,310.00,298.00,310.00,304900
24-Nov-17,308.00,314.00,294.00,298.00,722200
23-Nov-17,314.00,314.00,308.00,308.00,1466600
22-Nov-17,314.00,316.00,314.00,314.00,209300
21-Nov-17,318.00,318.00,312.00,314.00,149400
20-Nov-17,318.00,318.00,318.00,318.00,49700
17-Nov-17,320.00,320.00,318.00,318.00,138800
16-Nov-17,318.00,318.00,316.00,318.00,178600
15-Nov-17,318.00,318.00,314.00,316.00,303300
14-Nov-17,320.00,320.00,312.00,316.00,368800
13-Nov-17,326.00,326.00,320.00,320.00,266200
10-Nov-17,330.00,332.00,316.00,322.00,251600
9-Nov-17,316.00,326.00,316.00,324.00,92900
8-Nov-17,330.00,330.00,312.00,326.00,794600
7-Nov-17,346.00,346.00,312.00,326.00,4872800
6-Nov-17,354.00,354.00,340.00,344.00,528200
3-Nov-17,354.00,354.00,348.00,348.00,30100
2-Nov-17,350.00,360.00,342.00,350.00,105200
1-Nov-17,350.00,356.00,340.00,350.00,93000
31-Oct-17,354.00,356.00,346.00,356.00,197500
30-Oct-17,352.00,354.00,346.00,352.00,86600
27-Oct-17,350.00,352.00,346.00,352.00,8700
26-Oct-17,354.00,354.00,346.00,350.00,1547700
25-Oct-17,354.00,354.00,342.00,348.00,700600
24-Oct-17,354.00,358.00,344.00,348.00,1220100
23-Oct-17,352.00,354.00,350.00,354.00,75100
20-Oct-17,358.00,360.00,352.00,354.00,266500
19-Oct-17,360.00,362.00,350.00,358.00,2046200
18-Oct-17,366.00,366.00,356.00,364.00,79700
17-Oct-17,358.00,366.00,354.00,360.00,253600
16-Oct-17,360.00,360.00,352.00,358.00,341100
13-Oct-17,356.00,376.00,356.00,360.00,608900
12-Oct-17,358.00,360.00,354.00,356.00,793900
11-Oct-17,360.00,360.00,354.00,358.00,303600
10-Oct-17,370.00,374.00,360.00,360.00,511400
9-Oct-17,370.00,380.00,362.00,370.00,189600
6-Oct-17,370.00,374.00,370.00,370.00,126800
5-Oct-17,378.00,378.00,368.00,370.00,107100
4-Oct-17,370.00,378.00,368.00,370.00,311600
3-Oct-17,368.00,378.00,362.00,370.00,1616900
2-Oct-17,370.00,372.00,352.00,368.00,801600
29-Sep-17,374.00,390.00,360.00,370.00,360800
28-Sep-17,382.00,390.00,372.00,372.00,1207300
27-Sep-17,366.00,384.00,360.00,382.00,1540900
26-Sep-17,356.00,368.00,352.00,362.00,7432200
25-Sep-17,356.00,358.00,354.00,356.00,355400
22-Sep-17,356.00,356.00,354.00,356.00,86500
20-Sep-17,356.00,358.00,354.00,356.00,5804100
19-Sep-17,-,-,-,356.00,2518100
18-Sep-17,356.00,358.00,350.00,356.00,7747200
15-Sep-17,356.00,358.00,350.00,356.00,6292500
14-Sep-17,354.00,358.00,348.00,354.00,11532700
13-Sep-17,356.00,356.00,348.00,354.00,1388900
12-Sep-17,356.00,362.00,354.00,354.00,1254100
11-Sep-17,356.00,358.00,352.00,356.00,470900
8-Sep-17,358.00,358.00,352.00,356.00,6705800
7-Sep-17,354.00,358.00,350.00,356.00,1886500
6-Sep-17,356.00,358.00,354.00,356.00,947900
5-Sep-17,360.00,360.00,350.00,354.00,414500
4-Sep-17,354.00,370.00,352.00,356.00,414600
31-Aug-17,356.00,360.00,352.00,354.00,10290300
30-Aug-17,358.00,360.00,352.00,358.00,17157400
29-Aug-17,356.00,358.00,350.00,356.00,16618800
28-Aug-17,358.00,358.00,354.00,356.00,13640200
25-Aug-17,354.00,370.00,350.00,356.00,1998800
24-Aug-17,352.00,358.00,352.00,356.00,390200
23-Aug-17,348.00,352.00,346.00,352.00,614100
22-Aug-17,350.00,350.00,344.00,350.00,403400
21-Aug-17,350.00,350.00,346.00,348.00,134500
18-Aug-17,350.00,350.00,344.00,350.00,152800
16-Aug-17,352.00,352.00,346.00,350.00,113400
15-Aug-17,350.00,350.00,346.00,348.00,283600
14-Aug-17,352.00,352.00,340.00,348.00,819600
11-Aug-17,350.00,350.00,340.00,348.00,579400
10-Aug-17,350.00,352.00,328.00,350.00,1903600
9-Aug-17,346.00,354.00,342.00,348.00,1522700
8-Aug-17,356.00,356.00,348.00,354.00,179500
7-Aug-17,350.00,356.00,346.00,354.00,976600
4-Aug-17,352.00,354.00,346.00,350.00,270900
3-Aug-17,354.00,354.00,350.00,354.00,111300
2-Aug-17,356.00,356.00,348.00,354.00,201200
1-Aug-17,360.00,368.00,352.00,356.00,1545300
31-Jul-17,352.00,358.00,348.00,352.00,155300
28-Jul-17,362.00,362.00,350.00,354.00,136900
27-Jul-17,352.00,356.00,350.00,354.00,665800
26-Jul-17,356.00,366.00,342.00,350.00,1805800
25-Jul-17,366.00,378.00,350.00,356.00,2961900
24-Jul-17,368.00,372.00,360.00,360.00,2998800
21-Jul-17,370.00,380.00,364.00,368.00,331900
20-Jul-17,368.00,372.00,368.00,370.00,1661400
19-Jul-17,370.00,378.00,368.00,368.00,5700800
18-Jul-17,370.00,374.00,364.00,370.00,766400
17-Jul-17,374.00,378.00,364.00,370.00,1068400
14-Jul-17,372.00,372.00,364.00,370.00,76300
13-Jul-17,372.00,374.00,372.00,372.00,82100
12-Jul-17,368.00,372.00,362.00,372.00,196100
11-Jul-17,366.00,370.00,362.00,368.00,109400
10-Jul-17,370.00,370.00,362.00,368.00,169800
7-Jul-17,376.00,376.00,366.00,370.00,135600
6-Jul-17,370.00,376.00,360.00,374.00,380000
5-Jul-17,378.00,378.00,362.00,370.00,349300
4-Jul-17,378.00,378.00,370.00,372.00,197600
3-Jul-17,372.00,378.00,370.00,376.00,280300
22-Jun-17,378.00,378.00,372.00,372.00,67500
21-Jun-17,370.00,380.00,368.00,370.00,328700
20-Jun-17,374.00,384.00,368.00,372.00,846300
19-Jun-17,376.00,382.00,352.00,370.00,1222500
16-Jun-17,380.00,382.00,370.00,376.00,439000
15-Jun-17,392.00,392.00,378.00,380.00,375500
14-Jun-17,384.00,392.00,382.00,384.00,233400
13-Jun-17,372.00,400.00,372.00,382.00,822600
12-Jun-17,380.00,382.00,372.00,372.00,604000
9-Jun-17,392.00,396.00,380.00,380.00,975000
8-Jun-17,402.00,408.00,380.00,388.00,1810900
7-Jun-17,382.00,404.00,382.00,400.00,1900900
6-Jun-17,358.00,412.00,358.00,378.00,1795400
5-Jun-17,352.00,364.00,352.00,354.00,1820700
2-Jun-17,352.00,370.00,352.00,360.00,3569000
31-May-17,348.00,354.00,348.00,350.00,7034800
30-May-17,350.00,352.00,346.00,348.00,674000
29-May-17,346.00,362.00,346.00,348.00,1372400
26-May-17,340.00,360.00,338.00,344.00,101500
24-May-17,344.00,348.00,330.00,338.00,813400
23-May-17,350.00,352.00,344.00,346.00,441200
22-May-17,350.00,354.00,346.00,346.00,1247700
19-May-17,352.00,370.00,348.00,350.00,1998600
18-May-17,348.00,356.00,346.00,350.00,3366900
17-May-17,350.00,350.00,344.00,346.00,352200
16-May-17,364.00,372.00,350.00,350.00,447000
15-May-17,362.00,386.00,346.00,364.00,1135000
12-May-17,366.00,392.00,360.00,362.00,377000
10-May-17,380.00,390.00,354.00,362.00,1793300
9-May-17,416.00,416.00,376.00,380.00,1565000
8-May-17,416.00,420.00,408.00,410.00,809000
5-May-17,414.00,430.00,410.00,414.00,90300
4-May-17,418.00,438.00,402.00,414.00,1849100
3-May-17,430.00,442.00,424.00,430.00,262900
2-May-17,432.00,434.00,406.00,430.00,840300
28-Apr-17,438.00,444.00,432.00,432.00,236300
27-Apr-17,448.00,448.00,436.00,438.00,489500
26-Apr-17,442.00,446.00,436.00,442.00,510800
25-Apr-17,444.00,452.00,434.00,442.00,192900
21-Apr-17,450.00,450.00,440.00,442.00,263800
20-Apr-17,440.00,458.00,440.00,448.00,447400
18-Apr-17,440.00,452.00,438.00,440.00,365100
17-Apr-17,460.00,468.00,438.00,440.00,723700
13-Apr-17,458.00,472.00,452.00,452.00,470400
12-Apr-17,460.00,460.00,454.00,454.00,145900
11-Apr-17,460.00,470.00,450.00,454.00,706600
