Date,Open,High,Low,Close,Volume
29-Dec-17,1670.00,1700.00,1670.00,1690.00,40084400
28-Dec-17,1685.00,1690.00,1655.00,1685.00,23078400
27-Dec-17,1650.00,1685.00,1645.00,1685.00,13398400
22-Dec-17,1645.00,1665.00,1640.00,1650.00,15280100
21-Dec-17,1685.00,1685.00,1640.00,1645.00,16241700
20-Dec-17,1685.00,1690.00,1640.00,1675.00,30894000
19-Dec-17,1685.00,1700.00,1675.00,1685.00,30166900
18-Dec-17,1660.00,1690.00,1660.00,1685.00,17557500
15-Dec-17,1690.00,1690.00,1660.00,1665.00,33744600
14-Dec-17,1660.00,1700.00,1655.00,1695.00,26765300
13-Dec-17,1660.00,1660.00,1640.00,1660.00,9217600
12-Dec-17,1650.00,1655.00,1650.00,1655.00,17726800
11-Dec-17,1680.00,1680.00,1640.00,1640.00,19634600
8-Dec-17,1660.00,1675.00,1655.00,1675.00,22959800
7-Dec-17,1640.00,1660.00,1635.00,1655.00,12607200
6-Dec-17,1610.00,1645.00,1610.00,1645.00,10990300
5-Dec-17,1625.00,1625.00,1605.00,1610.00,15362400
4-Dec-17,1605.00,1630.00,1600.00,1610.00,33136000
30-Nov-17,1635.00,1635.00,1600.00,1600.00,66936700
29-Nov-17,1640.00,1645.00,1620.00,1635.00,15360200
28-Nov-17,1675.00,1675.00,1630.00,1640.00,24099700
27-Nov-17,1660.00,1675.00,1630.00,1675.00,19269100
24-Nov-17,1635.00,1655.00,1620.00,1655.00,14763300
23-Nov-17,1640.00,1640.00,1620.00,1635.00,8072200
22-Nov-17,1650.00,1655.00,1620.00,1640.00,18293800
21-Nov-17,1630.00,1655.00,1625.00,1650.00,21735900
20-Nov-17,1630.00,1635.00,1615.00,1630.00,14297000
17-Nov-17,1620.00,1635.00,1615.00,1620.00,13292800
16-Nov-17,1610.00,1620.00,1600.00,1600.00,18894900
15-Nov-17,1605.00,1610.00,1595.00,1595.00,34420600
14-Nov-17,1600.00,1610.00,1600.00,1600.00,11884500
13-Nov-17,1620.00,1620.00,1600.00,1600.00,13569500
10-Nov-17,1600.00,1610.00,1600.00,1600.00,28895600
9-Nov-17,1600.00,1610.00,1595.00,1600.00,71432400
8-Nov-17,1620.00,1620.00,1595.00,1600.00,64706400
7-Nov-17,1610.00,1630.00,1610.00,1620.00,18518500
6-Nov-17,1615.00,1630.00,1610.00,1610.00,21551700
3-Nov-17,1600.00,1630.00,1595.00,1610.00,21559800
2-Nov-17,1605.00,1605.00,1590.00,1590.00,29003900
1-Nov-17,1605.00,1610.00,1600.00,1600.00,38455300
31-Oct-17,1650.00,1650.00,1585.00,1600.00,48384000
30-Oct-17,1625.00,1640.00,1610.00,1620.00,14216500
27-Oct-17,1600.00,1640.00,1595.00,1620.00,29880800
26-Oct-17,1655.00,1655.00,1600.00,1600.00,45362000
25-Oct-17,1665.00,1670.00,1645.00,1660.00,20719600
24-Oct-17,1685.00,1685.00,1660.00,1660.00,23653700
23-Oct-17,1720.00,1720.00,1675.00,1685.00,11351500
20-Oct-17,1705.00,1705.00,1685.00,1700.00,11115000
19-Oct-17,1700.00,1700.00,1685.00,1700.00,18305200
18-Oct-17,1705.00,1705.00,1675.00,1700.00,12406100
17-Oct-17,1700.00,1700.00,1675.00,1700.00,15980700
16-Oct-17,1700.00,1700.00,1675.00,1700.00,11001000
13-Oct-17,1700.00,1700.00,1680.00,1700.00,17426800
12-Oct-17,1730.00,1730.00,1685.00,1700.00,13915700
11-Oct-17,1710.00,1730.00,1710.00,1730.00,11555900
10-Oct-17,1715.00,1725.00,1695.00,1725.00,14029400
9-Oct-17,1695.00,1725.00,1680.00,1715.00,13033400
6-Oct-17,1680.00,1705.00,1665.00,1685.00,12184000
5-Oct-17,1715.00,1720.00,1680.00,1680.00,15343000
4-Oct-17,1675.00,1730.00,1675.00,1725.00,21567400
3-Oct-17,1690.00,1710.00,1665.00,1675.00,15004900
2-Oct-17,1665.00,1685.00,1640.00,1675.00,12332500
29-Sep-17,1675.00,1685.00,1660.00,1665.00,18233900
28-Sep-17,1730.00,1745.00,1665.00,1670.00,23265900
27-Sep-17,1680.00,1740.00,1675.00,1740.00,19610300
26-Sep-17,1710.00,1710.00,1670.00,1680.00,8905800
25-Sep-17,1740.00,1740.00,1705.00,1705.00,7547100
22-Sep-17,1745.00,1745.00,1725.00,1740.00,23138900
20-Sep-17,1750.00,1750.00,1725.00,1735.00,8508100
19-Sep-17,1750.00,1750.00,1730.00,1750.00,15865000
18-Sep-17,1730.00,1750.00,1725.00,1750.00,23805600
15-Sep-17,1725.00,1740.00,1720.00,1725.00,42037900
14-Sep-17,1715.00,1730.00,1715.00,1725.00,29636000
13-Sep-17,1725.00,1735.00,1710.00,1720.00,13828100
12-Sep-17,1740.00,1740.00,1710.00,1725.00,6447700
11-Sep-17,1740.00,1745.00,1720.00,1725.00,16400900
8-Sep-17,1700.00,1740.00,1700.00,1730.00,14018000
7-Sep-17,1695.00,1740.00,1690.00,1700.00,17204900
6-Sep-17,1715.00,1720.00,1690.00,1695.00,11635200
5-Sep-17,1710.00,1715.00,1690.00,1715.00,9165500
4-Sep-17,1710.00,1715.00,1680.00,1695.00,15050800
31-Aug-17,1715.00,1715.00,1710.00,1710.00,18655500
30-Aug-17,1745.00,1745.00,1705.00,1715.00,38289500
29-Aug-17,1715.00,1745.00,1710.00,1745.00,18314200
28-Aug-17,1725.00,1725.00,1715.00,1720.00,13636000
25-Aug-17,1725.00,1730.00,1715.00,1725.00,24406700
24-Aug-17,1755.00,1755.00,1725.00,1725.00,9145400
23-Aug-17,1775.00,1775.00,1730.00,1755.00,15351800
22-Aug-17,1765.00,1780.00,1765.00,1775.00,34107000
21-Aug-17,1765.00,1770.00,1740.00,1760.00,13944900
18-Aug-17,1750.00,1795.00,1735.00,1750.00,25075900
16-Aug-17,1725.00,1765.00,1720.00,1755.00,50437400
15-Aug-17,1710.00,1730.00,1710.00,1720.00,47549600
14-Aug-17,1735.00,1735.00,1705.00,1725.00,55186600
11-Aug-17,1720.00,1730.00,1680.00,1725.00,49496400
10-Aug-17,1735.00,1740.00,1705.00,1740.00,44617200
9-Aug-17,1740.00,1740.00,1705.00,1740.00,46034400
8-Aug-17,1705.00,1750.00,1690.00,1740.00,21393500
7-Aug-17,1780.00,1780.00,1695.00,1695.00,21880900
4-Aug-17,1735.00,1780.00,1735.00,1775.00,54651000
3-Aug-17,1720.00,1760.00,1720.00,1735.00,42387400
2-Aug-17,1720.00,1745.00,1705.00,1730.00,48417600
1-Aug-17,1735.00,1745.00,1690.00,1690.00,29328600
31-Jul-17,1720.00,1735.00,1690.00,1735.00,24428400
28-Jul-17,1710.00,1725.00,1695.00,1720.00,25039900
27-Jul-17,1700.00,1720.00,1695.00,1710.00,29718300
26-Jul-17,1700.00,1715.00,1695.00,1700.00,39577700
25-Jul-17,1710.00,1710.00,1690.00,1710.00,49399000
24-Jul-17,1680.00,1715.00,1675.00,1700.00,54816200
21-Jul-17,1675.00,1680.00,1660.00,1680.00,26997000
20-Jul-17,1675.00,1680.00,1650.00,1675.00,10537200
19-Jul-17,1650.00,1675.00,1640.00,1675.00,19454700
18-Jul-17,1630.00,1650.00,1600.00,1650.00,16011200
17-Jul-17,1640.00,1645.00,1625.00,1645.00,10308400
14-Jul-17,1610.00,1640.00,1600.00,1640.00,12839400
13-Jul-17,1605.00,1620.00,1590.00,1610.00,18009600
12-Jul-17,1600.00,1625.00,1585.00,1600.00,9973600
11-Jul-17,1585.00,1600.00,1580.00,1595.00,23017400
10-Jul-17,1600.00,1615.00,1580.00,1585.00,9498500
7-Jul-17,1630.00,1640.00,1610.00,1625.00,21707700
6-Jul-17,1640.00,1645.00,1625.00,1640.00,14005200
5-Jul-17,1660.00,1665.00,1605.00,1640.00,23964300
4-Jul-17,1660.00,1660.00,1645.00,1655.00,19652600
3-Jul-17,1615.00,1655.00,1605.00,1655.00,47567900
22-Jun-17,1625.00,1630.00,1605.00,1625.00,61501600
21-Jun-17,1605.00,1625.00,1600.00,1625.00,57797600
20-Jun-17,1590.00,1610.00,1575.00,1605.00,52913200
19-Jun-17,1580.00,1590.00,1570.00,1590.00,14443800
16-Jun-17,1540.00,1580.00,1540.00,1575.00,40355400
15-Jun-17,1570.00,1580.00,1560.00,1570.00,21575000
14-Jun-17,1550.00,1565.00,1535.00,1565.00,30774600
13-Jun-17,1520.00,1555.00,1520.00,1550.00,43961200
12-Jun-17,1560.00,1565.00,1535.00,1535.00,11886100
9-Jun-17,1545.00,1560.00,1545.00,1550.00,17807800
8-Jun-17,1560.00,1570.00,1550.00,1570.00,13804200
7-Jun-17,1555.00,1560.00,1540.00,1560.00,16642100
6-Jun-17,1535.00,1555.00,1530.00,1555.00,9842200
5-Jun-17,1550.00,1560.00,1535.00,1555.00,11013400
2-Jun-17,1535.00,1550.00,1530.00,1550.00,14899100
31-May-17,1510.00,1540.00,1500.00,1540.00,69435500
30-May-17,1520.00,1540.00,1520.00,1525.00,9837800
29-May-17,1520.00,1535.00,1505.00,1530.00,12906700
26-May-17,1520.00,1530.00,1500.00,1505.00,12246200
24-May-17,1515.00,1530.00,1500.00,1515.00,39995400
23-May-17,1565.00,1570.00,1510.00,1545.00,26022500
22-May-17,1585.00,1585.00,1530.00,1570.00,23475300
19-May-17,1535.00,1590.00,1525.00,1580.00,45626600
18-May-17,1500.00,1535.00,1480.00,1535.00,24185100
17-May-17,1520.00,1525.00,1495.00,1500.00,51780900
16-May-17,1525.00,1535.00,1510.00,1510.00,16010200
15-May-17,1530.00,1560.00,1520.00,1525.00,13673400
12-May-17,1575.00,1580.00,1520.00,1535.00,41574500
10-May-17,1570.00,1575.00,1520.00,1575.00,17496400
9-May-17,1525.00,1560.00,1520.00,1555.00,36231100
8-May-17,1575.00,1575.00,1515.00,1520.00,21666200
5-May-17,1590.00,1595.00,1550.00,1550.00,7789700
4-May-17,1550.00,1575.00,1525.00,1575.00,18806000
3-May-17,1530.00,1555.00,1525.00,1545.00,23416600
2-May-17,1585.00,1585.00,1515.00,1515.00,19271200
28-Apr-17,1595.00,1595.00,1580.00,1585.00,16455300
27-Apr-17,1610.00,1615.00,1580.00,1595.00,16679300
26-Apr-17,1600.00,1610.00,1585.00,1605.00,22280900
25-Apr-17,1565.00,1600.00,1565.00,1600.00,18952000
21-Apr-17,1570.00,1585.00,1560.00,1580.00,8774300
20-Apr-17,1550.00,1605.00,1540.00,1570.00,21104800
18-Apr-17,1550.00,1560.00,1545.00,1550.00,9598900
17-Apr-17,1580.00,1590.00,1540.00,1540.00,7147400
13-Apr-17,1600.00,1600.00,1570.00,1580.00,16394800
12-Apr-17,1575.00,1600.00,1570.00,1595.00,12533500
11-Apr-17,1550.00,1575.00,1545.00,1550.00,12095600
10-Apr-17,1565.00,1570.00,1545.00,1550.00,7872400
7-Apr-17,1600.00,1600.00,1565.00,1565.00,16730200
6-Apr-17,1620.00,1620.00,1580.00,1610.00,11026300
