Date,Open,High,Low,Close,Volume
29-Dec-17,740.00,745.00,740.00,740.00,50600
28-Dec-17,740.00,745.00,740.00,740.00,41100
27-Dec-17,745.00,750.00,740.00,745.00,42700
22-Dec-17,745.00,750.00,745.00,750.00,58500
21-Dec-17,740.00,745.00,740.00,745.00,46000
20-Dec-17,740.00,740.00,740.00,740.00,39100
19-Dec-17,740.00,745.00,740.00,745.00,44500
18-Dec-17,740.00,740.00,740.00,740.00,50300
15-Dec-17,745.00,745.00,745.00,745.00,38000
14-Dec-17,745.00,750.00,745.00,750.00,40000
13-Dec-17,745.00,745.00,745.00,745.00,48800
12-Dec-17,755.00,755.00,745.00,745.00,40000
11-Dec-17,755.00,760.00,755.00,755.00,46500
8-Dec-17,750.00,755.00,750.00,755.00,38600
7-Dec-17,750.00,750.00,745.00,750.00,34200
6-Dec-17,755.00,760.00,755.00,755.00,42500
5-Dec-17,750.00,750.00,750.00,750.00,43000
4-Dec-17,740.00,750.00,740.00,750.00,51300
30-Nov-17,745.00,745.00,740.00,740.00,43300
29-Nov-17,745.00,745.00,745.00,745.00,40900
28-Nov-17,745.00,750.00,745.00,745.00,44900
27-Nov-17,750.00,755.00,750.00,750.00,55500
24-Nov-17,755.00,755.00,755.00,755.00,41200
23-Nov-17,760.00,760.00,760.00,760.00,32500
22-Nov-17,755.00,760.00,755.00,760.00,48800
21-Nov-17,760.00,760.00,755.00,755.00,51800
20-Nov-17,755.00,760.00,755.00,760.00,38500
17-Nov-17,760.00,780.00,750.00,755.00,85600
16-Nov-17,750.00,755.00,750.00,755.00,51000
15-Nov-17,750.00,750.00,750.00,750.00,35500
14-Nov-17,750.00,750.00,750.00,750.00,35700
13-Nov-17,745.00,750.00,745.00,750.00,59100
10-Nov-17,750.00,750.00,745.00,745.00,51900
9-Nov-17,745.00,750.00,745.00,750.00,49100
8-Nov-17,745.00,745.00,745.00,745.00,52100
7-Nov-17,750.00,750.00,750.00,750.00,50100
6-Nov-17,740.00,745.00,740.00,745.00,47900
3-Nov-17,750.00,750.00,745.00,745.00,46300
2-Nov-17,755.00,765.00,745.00,755.00,64400
1-Nov-17,750.00,755.00,750.00,755.00,42800
31-Oct-17,745.00,750.00,745.00,750.00,46300
30-Oct-17,745.00,750.00,745.00,745.00,52100
27-Oct-17,750.00,750.00,745.00,745.00,38300
26-Oct-17,750.00,755.00,750.00,750.00,46800
25-Oct-17,745.00,755.00,745.00,755.00,52200
24-Oct-17,750.00,750.00,745.00,745.00,37000
23-Oct-17,740.00,745.00,740.00,745.00,45900
20-Oct-17,740.00,745.00,740.00,740.00,56200
19-Oct-17,735.00,740.00,730.00,740.00,51700
18-Oct-17,735.00,735.00,725.00,725.00,40000
17-Oct-17,745.00,745.00,735.00,735.00,52200
16-Oct-17,740.00,745.00,740.00,745.00,51600
13-Oct-17,740.00,745.00,740.00,740.00,56600
12-Oct-17,735.00,740.00,735.00,740.00,51700
11-Oct-17,735.00,735.00,735.00,735.00,54200
10-Oct-17,740.00,745.00,740.00,740.00,53000
9-Oct-17,740.00,740.00,735.00,740.00,46100
6-Oct-17,740.00,745.00,740.00,740.00,55200
5-Oct-17,750.00,750.00,740.00,740.00,45200
4-Oct-17,750.00,750.00,745.00,750.00,52100
3-Oct-17,750.00,750.00,745.00,750.00,42600
2-Oct-17,750.00,755.00,750.00,750.00,43100
29-Sep-17,740.00,750.00,740.00,750.00,51700
28-Sep-17,735.00,740.00,735.00,740.00,50100
27-Sep-17,740.00,740.00,740.00,740.00,48500
26-Sep-17,740.00,745.00,740.00,740.00,42500
25-Sep-17,740.00,740.00,740.00,740.00,41400
22-Sep-17,745.00,745.00,745.00,745.00,58000
20-Sep-17,750.00,750.00,745.00,745.00,59700
19-Sep-17,745.00,750.00,745.00,745.00,45700
18-Sep-17,750.00,750.00,745.00,745.00,77500
15-Sep-17,750.00,755.00,750.00,750.00,74000
14-Sep-17,750.00,750.00,750.00,750.00,39600
13-Sep-17,750.00,755.00,750.00,750.00,43100
12-Sep-17,750.00,755.00,750.00,750.00,40600
11-Sep-17,745.00,750.00,745.00,750.00,46500
8-Sep-17,745.00,750.00,745.00,745.00,68300
7-Sep-17,740.00,745.00,740.00,745.00,57000
6-Sep-17,740.00,740.00,730.00,740.00,39200
5-Sep-17,735.00,740.00,735.00,740.00,54800
4-Sep-17,730.00,730.00,720.00,730.00,57100
31-Aug-17,735.00,735.00,730.00,730.00,50100
30-Aug-17,740.00,740.00,735.00,735.00,52700
29-Aug-17,735.00,735.00,730.00,735.00,56100
28-Aug-17,740.00,740.00,740.00,740.00,31400
25-Aug-17,740.00,740.00,740.00,740.00,47400
24-Aug-17,745.00,745.00,740.00,740.00,46600
23-Aug-17,750.00,750.00,745.00,750.00,59700
22-Aug-17,745.00,750.00,745.00,750.00,44600
21-Aug-17,745.00,750.00,745.00,745.00,62000
18-Aug-17,745.00,745.00,730.00,745.00,77500
16-Aug-17,740.00,745.00,735.00,745.00,51600
15-Aug-17,735.00,740.00,735.00,740.00,62300
14-Aug-17,725.00,735.00,725.00,735.00,60000
11-Aug-17,730.00,730.00,725.00,725.00,58300
10-Aug-17,730.00,735.00,730.00,730.00,52200
9-Aug-17,740.00,740.00,730.00,730.00,58800
8-Aug-17,735.00,740.00,735.00,740.00,48100
7-Aug-17,735.00,740.00,735.00,735.00,63100
4-Aug-17,730.00,740.00,730.00,735.00,57500
3-Aug-17,735.00,735.00,735.00,735.00,44000
2-Aug-17,730.00,740.00,730.00,735.00,68000
1-Aug-17,740.00,745.00,730.00,730.00,85300
31-Jul-17,735.00,735.00,735.00,735.00,36100
