Date,Open,High,Low,Close,Volume
29-Dec-17,430.00,444.00,422.00,424.00,38540500
28-Dec-17,400.00,450.00,392.00,428.00,116559600
27-Dec-17,362.00,402.00,362.00,396.00,38268500
22-Dec-17,368.00,374.00,362.00,362.00,6871400
21-Dec-17,374.00,376.00,368.00,368.00,4607000
20-Dec-17,384.00,388.00,368.00,374.00,11910700
19-Dec-17,390.00,392.00,380.00,382.00,13297400
18-Dec-17,394.00,398.00,386.00,386.00,5570000
15-Dec-17,394.00,400.00,386.00,394.00,12488700
14-Dec-17,390.00,406.00,384.00,392.00,39952600
13-Dec-17,340.00,392.00,340.00,390.00,88377600
12-Dec-17,340.00,352.00,334.00,340.00,22589800
11-Dec-17,380.00,386.00,340.00,340.00,69328400
8-Dec-17,406.00,410.00,376.00,378.00,37121100
7-Dec-17,408.00,416.00,404.00,406.00,8949000
6-Dec-17,410.00,416.00,400.00,402.00,13232800
5-Dec-17,430.00,434.00,410.00,410.00,9463000
4-Dec-17,454.00,454.00,430.00,430.00,18220000
30-Nov-17,460.00,464.00,448.00,454.00,12180600
29-Nov-17,466.00,468.00,460.00,460.00,9633900
28-Nov-17,474.00,478.00,464.00,464.00,10261700
27-Nov-17,484.00,484.00,474.00,474.00,11355400
24-Nov-17,486.00,488.00,482.00,484.00,6327000
23-Nov-17,484.00,490.00,484.00,486.00,3863500
22-Nov-17,490.00,492.00,484.00,484.00,8260600
21-Nov-17,488.00,492.00,486.00,488.00,2474500
20-Nov-17,488.00,498.00,484.00,488.00,12842900
17-Nov-17,488.00,490.00,484.00,484.00,5782000
16-Nov-17,488.00,490.00,484.00,486.00,5825300
15-Nov-17,490.00,494.00,486.00,486.00,9194800
14-Nov-17,492.00,496.00,490.00,490.00,7011300
13-Nov-17,500.00,500.00,490.00,492.00,18537500
10-Nov-17,510.00,520.00,498.00,498.00,29529500
9-Nov-17,500.00,545.00,498.00,505.00,92354800
8-Nov-17,498.00,505.00,498.00,498.00,7859700
7-Nov-17,494.00,505.00,494.00,496.00,7471600
6-Nov-17,496.00,498.00,492.00,494.00,3458400
3-Nov-17,498.00,500.00,494.00,496.00,2104200
2-Nov-17,500.00,505.00,498.00,498.00,7176800
1-Nov-17,492.00,510.00,492.00,500.00,21165200
31-Oct-17,496.00,500.00,492.00,492.00,5588700
30-Oct-17,500.00,500.00,496.00,496.00,5422300
27-Oct-17,500.00,505.00,494.00,496.00,10639900
26-Oct-17,500.00,505.00,498.00,498.00,3591100
25-Oct-17,500.00,505.00,498.00,498.00,3385800
24-Oct-17,498.00,505.00,498.00,498.00,5745100
23-Oct-17,505.00,505.00,498.00,498.00,5348600
20-Oct-17,505.00,505.00,500.00,500.00,9829900
19-Oct-17,505.00,510.00,500.00,500.00,7149100
18-Oct-17,505.00,515.00,505.00,505.00,5002700
17-Oct-17,515.00,520.00,505.00,505.00,8864100
16-Oct-17,500.00,520.00,500.00,510.00,16435200
13-Oct-17,500.00,505.00,498.00,498.00,3167800
12-Oct-17,500.00,510.00,498.00,498.00,5562600
11-Oct-17,505.00,505.00,498.00,500.00,6412400
10-Oct-17,505.00,510.00,500.00,500.00,3723700
9-Oct-17,505.00,510.00,500.00,505.00,2043700
6-Oct-17,510.00,515.00,500.00,505.00,4908500
5-Oct-17,515.00,520.00,510.00,510.00,2591900
4-Oct-17,515.00,535.00,510.00,515.00,16054500
3-Oct-17,505.00,520.00,505.00,515.00,4978500
2-Oct-17,515.00,525.00,498.00,505.00,9072400
29-Sep-17,520.00,530.00,515.00,515.00,5567300
28-Sep-17,520.00,530.00,515.00,515.00,2356700
27-Sep-17,525.00,530.00,520.00,520.00,2472800
26-Sep-17,530.00,530.00,520.00,520.00,2982800
25-Sep-17,535.00,535.00,520.00,530.00,8460900
22-Sep-17,545.00,550.00,535.00,535.00,7764100
20-Sep-17,555.00,565.00,545.00,545.00,12005600
19-Sep-17,535.00,560.00,535.00,550.00,9239700
18-Sep-17,535.00,540.00,530.00,535.00,2378900
15-Sep-17,545.00,545.00,535.00,535.00,3932900
14-Sep-17,540.00,545.00,535.00,545.00,2789500
13-Sep-17,545.00,550.00,535.00,540.00,5642600
12-Sep-17,545.00,555.00,540.00,545.00,9187000
11-Sep-17,535.00,550.00,535.00,540.00,6062200
8-Sep-17,540.00,545.00,535.00,535.00,2497000
7-Sep-17,550.00,555.00,535.00,535.00,8031300
6-Sep-17,545.00,550.00,545.00,545.00,2454200
5-Sep-17,560.00,560.00,540.00,545.00,5752700
4-Sep-17,560.00,560.00,550.00,550.00,7274500
31-Aug-17,570.00,570.00,555.00,555.00,4801200
30-Aug-17,570.00,580.00,555.00,565.00,21433700
29-Aug-17,575.00,585.00,570.00,570.00,14773100
28-Aug-17,580.00,580.00,570.00,570.00,3339700
25-Aug-17,590.00,590.00,575.00,580.00,5395300
24-Aug-17,575.00,595.00,575.00,585.00,16133900
23-Aug-17,590.00,595.00,575.00,575.00,9413500
22-Aug-17,575.00,605.00,570.00,585.00,29445700
21-Aug-17,565.00,580.00,565.00,570.00,4871700
18-Aug-17,565.00,575.00,565.00,565.00,2270100
16-Aug-17,575.00,575.00,560.00,570.00,5216800
15-Aug-17,585.00,585.00,570.00,570.00,7709200
14-Aug-17,565.00,605.00,560.00,575.00,33606600
11-Aug-17,575.00,580.00,560.00,565.00,2989600
10-Aug-17,590.00,590.00,575.00,575.00,7652400
9-Aug-17,575.00,595.00,570.00,585.00,8518100
8-Aug-17,565.00,575.00,565.00,575.00,1954500
7-Aug-17,570.00,590.00,565.00,565.00,8703800
4-Aug-17,580.00,585.00,570.00,570.00,3310700
3-Aug-17,590.00,590.00,575.00,580.00,3905900
2-Aug-17,600.00,600.00,585.00,590.00,4750600
1-Aug-17,595.00,605.00,590.00,600.00,5867500
31-Jul-17,600.00,610.00,590.00,595.00,3582600
28-Jul-17,605.00,615.00,600.00,600.00,3098400
27-Jul-17,615.00,615.00,600.00,605.00,2731100
26-Jul-17,600.00,625.00,600.00,610.00,9455200
25-Jul-17,595.00,610.00,590.00,595.00,2824300
24-Jul-17,605.00,610.00,595.00,595.00,3360100
21-Jul-17,615.00,615.00,600.00,605.00,4135600
20-Jul-17,610.00,630.00,610.00,610.00,6339600
19-Jul-17,590.00,635.00,585.00,610.00,22361500
18-Jul-17,600.00,605.00,590.00,590.00,2204600
17-Jul-17,605.00,610.00,600.00,600.00,3318300
14-Jul-17,590.00,605.00,585.00,600.00,3698700
13-Jul-17,590.00,600.00,580.00,585.00,2323600
12-Jul-17,595.00,610.00,590.00,590.00,6707500
11-Jul-17,605.00,605.00,590.00,595.00,4875900
10-Jul-17,620.00,620.00,595.00,600.00,2473900
7-Jul-17,610.00,615.00,605.00,610.00,3479300
6-Jul-17,610.00,620.00,610.00,610.00,1999400
5-Jul-17,620.00,625.00,610.00,610.00,2267100
4-Jul-17,620.00,635.00,605.00,615.00,6515000
3-Jul-17,620.00,625.00,610.00,620.00,1734600
22-Jun-17,615.00,635.00,615.00,615.00,4387800
21-Jun-17,620.00,625.00,610.00,615.00,4512000
20-Jun-17,625.00,640.00,610.00,620.00,5938900
19-Jun-17,640.00,650.00,620.00,620.00,10597400
16-Jun-17,660.00,660.00,635.00,640.00,6878200
15-Jun-17,645.00,670.00,640.00,655.00,12187900
14-Jun-17,660.00,670.00,640.00,645.00,29218200
13-Jun-17,605.00,665.00,605.00,655.00,37175200
12-Jun-17,635.00,640.00,600.00,600.00,10434600
9-Jun-17,645.00,645.00,630.00,630.00,3994900
8-Jun-17,630.00,665.00,625.00,640.00,18664400
7-Jun-17,650.00,660.00,630.00,630.00,6128100
6-Jun-17,655.00,675.00,650.00,650.00,10152100
5-Jun-17,675.00,685.00,645.00,655.00,48447800
2-Jun-17,665.00,690.00,640.00,670.00,102427100
