Date,Open,High,Low,Close,Volume
29-Dec-17,5450.00,5525.00,5450.00,5500.00,2007500
28-Dec-17,5325.00,5400.00,5250.00,5400.00,133600
27-Dec-17,5200.00,5375.00,5150.00,5350.00,345800
22-Dec-17,5100.00,5225.00,5100.00,5200.00,2782400
21-Dec-17,5200.00,5200.00,5000.00,5125.00,2793700
20-Dec-17,5375.00,5400.00,5125.00,5200.00,1679300
19-Dec-17,5650.00,5650.00,5300.00,5625.00,174400
18-Dec-17,5625.00,5750.00,5600.00,5650.00,9500
15-Dec-17,5500.00,5650.00,5300.00,5650.00,271500
14-Dec-17,5300.00,5525.00,5300.00,5450.00,542800
13-Dec-17,5225.00,5500.00,5200.00,5300.00,490300
12-Dec-17,5300.00,5300.00,5125.00,5200.00,211400
11-Dec-17,5300.00,5300.00,5150.00,5200.00,184600
8-Dec-17,5000.00,5475.00,5000.00,5475.00,160400
7-Dec-17,5000.00,5025.00,4850.00,4990.00,547700
6-Dec-17,5000.00,5000.00,4990.00,5000.00,195300
5-Dec-17,4990.00,4990.00,4990.00,4990.00,243500
4-Dec-17,4990.00,5075.00,4990.00,4990.00,703000
30-Nov-17,4990.00,5050.00,4870.00,4990.00,1327300
29-Nov-17,4980.00,5000.00,4820.00,5000.00,783800
28-Nov-17,4990.00,5000.00,4900.00,4950.00,630300
27-Nov-17,4950.00,4990.00,4950.00,4950.00,70000
24-Nov-17,4940.00,4940.00,4930.00,4930.00,1170100
23-Nov-17,4900.00,4960.00,4900.00,4920.00,26600
22-Nov-17,4940.00,4950.00,4920.00,4950.00,173400
21-Nov-17,4990.00,4990.00,4990.00,4990.00,24300
20-Nov-17,4920.00,4960.00,4920.00,4950.00,216300
17-Nov-17,4950.00,4960.00,4900.00,4950.00,666800
16-Nov-17,4890.00,4950.00,4890.00,4950.00,564600
15-Nov-17,4950.00,4960.00,4890.00,4950.00,647400
14-Nov-17,4900.00,4950.00,4880.00,4950.00,186900
13-Nov-17,4940.00,4960.00,4870.00,4890.00,238100
10-Nov-17,4930.00,4950.00,4930.00,4950.00,7900
9-Nov-17,4900.00,5000.00,4900.00,5000.00,216800
8-Nov-17,4990.00,4990.00,4860.00,4980.00,405300
7-Nov-17,4900.00,5000.00,4890.00,4950.00,1676300
6-Nov-17,4900.00,4930.00,4840.00,4890.00,1380100
3-Nov-17,5000.00,5000.00,4840.00,4880.00,1255400
2-Nov-17,4990.00,5050.00,4980.00,5050.00,940500
1-Nov-17,5000.00,5000.00,4900.00,4990.00,195000
31-Oct-17,4990.00,5000.00,4820.00,4990.00,1110400
30-Oct-17,4980.00,5000.00,4970.00,4990.00,1378400
27-Oct-17,5000.00,5000.00,4810.00,4990.00,5268900
26-Oct-17,4890.00,5000.00,4860.00,4990.00,344600
25-Oct-17,4950.00,4950.00,4830.00,4890.00,372200
24-Oct-17,4940.00,4970.00,4810.00,4900.00,243200
23-Oct-17,4980.00,4990.00,4910.00,4940.00,185800
20-Oct-17,5000.00,5000.00,4920.00,4970.00,340900
19-Oct-17,5000.00,5025.00,4950.00,5000.00,431300
18-Oct-17,4910.00,5050.00,4880.00,5000.00,519500
17-Oct-17,5200.00,5200.00,4930.00,5000.00,453400
16-Oct-17,5100.00,5200.00,4960.00,5200.00,181500
12-Oct-17,4970.00,4970.00,4710.00,4860.00,2569200
11-Oct-17,4920.00,4980.00,4910.00,4960.00,549900
10-Oct-17,4940.00,4940.00,4850.00,4900.00,1690100
9-Oct-17,4950.00,5000.00,4840.00,4900.00,174400
6-Oct-17,5100.00,5125.00,4910.00,4950.00,644400
5-Oct-17,5150.00,5200.00,5025.00,5100.00,1031700
4-Oct-17,5150.00,5200.00,5150.00,5150.00,175000
3-Oct-17,5200.00,5200.00,5025.00,5150.00,273500
2-Oct-17,5200.00,5200.00,5075.00,5175.00,44300
29-Sep-17,5200.00,5350.00,4960.00,5175.00,1942300
28-Sep-17,5150.00,5200.00,5125.00,5200.00,334400
27-Sep-17,5150.00,5200.00,5125.00,5200.00,604200
26-Sep-17,5150.00,5150.00,5125.00,5150.00,334300
25-Sep-17,5025.00,5150.00,5000.00,5150.00,140100
22-Sep-17,5200.00,5200.00,5000.00,5200.00,353600
20-Sep-17,5200.00,5200.00,5175.00,5200.00,200000
19-Sep-17,5200.00,5225.00,5100.00,5200.00,361000
18-Sep-17,5200.00,5200.00,5175.00,5200.00,1203000
15-Sep-17,5200.00,5250.00,5175.00,5250.00,654100
14-Sep-17,5000.00,5250.00,5000.00,5200.00,136200
13-Sep-17,5100.00,5250.00,5100.00,5225.00,59400
12-Sep-17,4930.00,5350.00,4930.00,5100.00,518500
11-Sep-17,4850.00,4990.00,4850.00,4940.00,487600
8-Sep-17,4850.00,4850.00,4820.00,4850.00,1593400
7-Sep-17,4900.00,4930.00,4810.00,4850.00,1256900
6-Sep-17,4860.00,4950.00,4800.00,4860.00,3529100
5-Sep-17,4930.00,4940.00,4850.00,4930.00,511100
4-Sep-17,4950.00,4990.00,4870.00,4910.00,310000
31-Aug-17,4980.00,4980.00,4920.00,4980.00,203500
30-Aug-17,4890.00,4960.00,4830.00,4960.00,67700
29-Aug-17,4900.00,5000.00,4800.00,4860.00,721800
28-Aug-17,5000.00,5025.00,4990.00,4990.00,263800
25-Aug-17,5000.00,5175.00,4990.00,5000.00,375800
24-Aug-17,4990.00,5050.00,4990.00,5000.00,424400
23-Aug-17,5150.00,5150.00,4980.00,4990.00,537000
22-Aug-17,5175.00,5175.00,5125.00,5175.00,7500
21-Aug-17,5300.00,5300.00,5100.00,5200.00,147700
18-Aug-17,5250.00,5275.00,5150.00,5200.00,799000
16-Aug-17,5275.00,5300.00,5225.00,5250.00,373500
15-Aug-17,5150.00,5300.00,5125.00,5250.00,77200
14-Aug-17,5075.00,5275.00,5075.00,5150.00,1396900
11-Aug-17,5075.00,5075.00,5000.00,5075.00,101700
10-Aug-17,4990.00,5100.00,4860.00,5025.00,250000
9-Aug-17,4890.00,4970.00,4880.00,4900.00,1591900
8-Aug-17,4990.00,4990.00,4890.00,4890.00,692600
7-Aug-17,4900.00,5000.00,4900.00,4990.00,492800
4-Aug-17,5075.00,5100.00,4990.00,5000.00,1173300
3-Aug-17,4820.00,5075.00,4800.00,5075.00,701600
2-Aug-17,4750.00,4860.00,4750.00,4820.00,1310500
1-Aug-17,5100.00,5300.00,4620.00,4660.00,1338600
31-Jul-17,5100.00,5175.00,5025.00,5050.00,609100
28-Jul-17,5200.00,5200.00,5175.00,5175.00,112600
27-Jul-17,5300.00,5300.00,5125.00,5275.00,121600
26-Jul-17,5300.00,5325.00,5300.00,5300.00,201500
25-Jul-17,5400.00,5400.00,5300.00,5300.00,40400
24-Jul-17,5400.00,5400.00,5300.00,5300.00,180500
21-Jul-17,5100.00,5400.00,5100.00,5400.00,233200
20-Jul-17,5350.00,5350.00,5100.00,5100.00,161000
19-Jul-17,5275.00,5350.00,5250.00,5350.00,1218300
