Date,Open,High,Low,Close,Volume
29-Dec-17,725.00,765.00,700.00,765.00,19500
28-Dec-17,700.00,760.00,700.00,760.00,11000
27-Dec-17,750.00,750.00,750.00,750.00,7500
22-Dec-17,-,-,-,700.00,0
21-Dec-17,690.00,700.00,690.00,700.00,19300
20-Dec-17,700.00,700.00,700.00,700.00,100
19-Dec-17,660.00,660.00,650.00,650.00,13200
18-Dec-17,660.00,660.00,660.00,660.00,1300
15-Dec-17,720.00,720.00,720.00,720.00,100
14-Dec-17,695.00,695.00,650.00,695.00,6400
13-Dec-17,-,-,-,695.00,0
12-Dec-17,680.00,695.00,655.00,695.00,10100
11-Dec-17,730.00,730.00,700.00,700.00,6700
8-Dec-17,730.00,730.00,730.00,730.00,100
7-Dec-17,685.00,735.00,685.00,735.00,300
6-Dec-17,-,-,-,750.00,0
5-Dec-17,-,-,-,750.00,0
4-Dec-17,750.00,750.00,750.00,750.00,500
30-Nov-17,680.00,750.00,680.00,750.00,700
29-Nov-17,740.00,790.00,700.00,700.00,1700
28-Nov-17,-,-,-,740.00,0
27-Nov-17,-,-,-,740.00,0
24-Nov-17,-,-,-,740.00,0
23-Nov-17,740.00,740.00,740.00,740.00,700
22-Nov-17,720.00,735.00,720.00,730.00,5700
21-Nov-17,760.00,760.00,750.00,750.00,4400
20-Nov-17,800.00,800.00,750.00,750.00,26500
17-Nov-17,-,-,-,780.00,0
16-Nov-17,780.00,805.00,780.00,780.00,3100
15-Nov-17,800.00,800.00,795.00,800.00,1400
14-Nov-17,780.00,800.00,760.00,800.00,3600
13-Nov-17,790.00,790.00,785.00,785.00,1200
10-Nov-17,810.00,810.00,810.00,810.00,100
9-Nov-17,780.00,780.00,780.00,780.00,600
8-Nov-17,785.00,785.00,780.00,780.00,1000
7-Nov-17,785.00,785.00,785.00,785.00,500
6-Nov-17,835.00,835.00,795.00,795.00,2000
3-Nov-17,835.00,835.00,805.00,805.00,200
2-Nov-17,835.00,835.00,785.00,815.00,3500
1-Nov-17,800.00,845.00,780.00,805.00,16300
31-Oct-17,800.00,800.00,780.00,780.00,3600
30-Oct-17,830.00,830.00,780.00,800.00,18300
27-Oct-17,810.00,810.00,790.00,810.00,3100
26-Oct-17,845.00,845.00,780.00,795.00,29100
25-Oct-17,835.00,835.00,800.00,820.00,2500
24-Oct-17,845.00,845.00,805.00,805.00,6100
23-Oct-17,845.00,845.00,805.00,810.00,5200
20-Oct-17,850.00,870.00,805.00,805.00,3600
19-Oct-17,835.00,840.00,805.00,805.00,1500
18-Oct-17,840.00,990.00,805.00,845.00,5100
17-Oct-17,850.00,1050.00,810.00,810.00,11200
16-Oct-17,840.00,840.00,840.00,840.00,14500
13-Oct-17,830.00,840.00,810.00,840.00,3700
12-Oct-17,850.00,850.00,840.00,840.00,200
11-Oct-17,-,-,-,835.00,0
10-Oct-17,-,-,-,835.00,0
9-Oct-17,850.00,850.00,810.00,835.00,800
6-Oct-17,850.00,860.00,840.00,840.00,500
5-Oct-17,845.00,845.00,810.00,810.00,300
4-Oct-17,810.00,845.00,810.00,815.00,600
3-Oct-17,815.00,850.00,800.00,810.00,1800
2-Oct-17,820.00,820.00,810.00,810.00,3900
29-Sep-17,-,-,-,805.00,0
28-Sep-17,805.00,805.00,805.00,805.00,400
27-Sep-17,815.00,815.00,815.00,815.00,800
26-Sep-17,810.00,815.00,810.00,815.00,4200
25-Sep-17,805.00,805.00,805.00,805.00,300
22-Sep-17,850.00,850.00,850.00,850.00,100
20-Sep-17,850.00,850.00,810.00,810.00,300
19-Sep-17,845.00,845.00,820.00,820.00,300
18-Sep-17,845.00,845.00,810.00,820.00,4200
15-Sep-17,820.00,845.00,820.00,845.00,200
14-Sep-17,820.00,820.00,820.00,820.00,1600
13-Sep-17,820.00,820.00,800.00,820.00,800
12-Sep-17,-,-,-,800.00,0
11-Sep-17,830.00,830.00,800.00,800.00,5200
8-Sep-17,-,-,-,815.00,0
7-Sep-17,-,-,-,815.00,0
6-Sep-17,830.00,830.00,805.00,815.00,1000
