Date,Open,High,Low,Close,Volume
29-Dec-17,63.00,63.00,61.00,62.00,551900
28-Dec-17,62.00,62.00,61.00,62.00,682300
27-Dec-17,62.00,62.00,62.00,62.00,689000
22-Dec-17,62.00,63.00,61.00,61.00,530900
21-Dec-17,61.00,63.00,61.00,62.00,1312800
20-Dec-17,61.00,62.00,61.00,61.00,819900
19-Dec-17,62.00,63.00,62.00,62.00,1082700
18-Dec-17,63.00,63.00,62.00,62.00,1019800
15-Dec-17,64.00,64.00,63.00,63.00,762100
14-Dec-17,64.00,64.00,63.00,64.00,647500
13-Dec-17,62.00,64.00,62.00,63.00,969200
12-Dec-17,62.00,64.00,62.00,62.00,2564000
11-Dec-17,63.00,65.00,63.00,63.00,1719900
8-Dec-17,65.00,66.00,63.00,65.00,30742600
7-Dec-17,65.00,66.00,63.00,65.00,6823300
6-Dec-17,65.00,65.00,64.00,65.00,2725300
5-Dec-17,66.00,67.00,65.00,65.00,4583800
4-Dec-17,65.00,67.00,65.00,67.00,5297200
30-Nov-17,67.00,70.00,64.00,65.00,23633000
29-Nov-17,66.00,68.00,65.00,67.00,15016700
28-Nov-17,63.00,67.00,63.00,66.00,7090100
27-Nov-17,63.00,64.00,63.00,64.00,1849500
24-Nov-17,63.00,65.00,63.00,64.00,826300
23-Nov-17,64.00,64.00,63.00,63.00,583800
22-Nov-17,62.00,64.00,62.00,64.00,465400
21-Nov-17,64.00,64.00,62.00,62.00,625400
20-Nov-17,62.00,64.00,61.00,64.00,1494700
17-Nov-17,59.00,64.00,59.00,62.00,663800
16-Nov-17,61.00,64.00,60.00,62.00,1247900
15-Nov-17,63.00,63.00,61.00,61.00,1939200
14-Nov-17,65.00,65.00,62.00,63.00,2140400
13-Nov-17,67.00,76.00,64.00,65.00,105892000
10-Nov-17,64.00,68.00,64.00,68.00,4537100
9-Nov-17,65.00,66.00,64.00,64.00,613500
8-Nov-17,68.00,68.00,64.00,64.00,1434400
7-Nov-17,65.00,68.00,65.00,67.00,11327300
6-Nov-17,64.00,66.00,64.00,65.00,7078800
3-Nov-17,64.00,65.00,63.00,65.00,2832600
2-Nov-17,63.00,65.00,63.00,63.00,2560800
1-Nov-17,63.00,64.00,63.00,63.00,758000
31-Oct-17,62.00,64.00,62.00,63.00,1120100
30-Oct-17,63.00,64.00,61.00,62.00,1647500
27-Oct-17,63.00,65.00,63.00,63.00,501100
26-Oct-17,64.00,65.00,63.00,63.00,483000
25-Oct-17,63.00,64.00,63.00,64.00,707600
24-Oct-17,65.00,66.00,62.00,63.00,965000
23-Oct-17,67.00,69.00,62.00,65.00,5451300
20-Oct-17,67.00,70.00,66.00,67.00,412100
19-Oct-17,68.00,70.00,66.00,67.00,1208700
18-Oct-17,71.00,73.00,68.00,68.00,22435500
17-Oct-17,66.00,71.00,66.00,71.00,16528600
16-Oct-17,63.00,68.00,62.00,65.00,8454800
13-Oct-17,63.00,64.00,62.00,63.00,1994700
12-Oct-17,60.00,64.00,59.00,62.00,3628400
11-Oct-17,61.00,62.00,60.00,61.00,883200
10-Oct-17,62.00,63.00,61.00,61.00,974400
9-Oct-17,63.00,64.00,60.00,62.00,2549900
6-Oct-17,67.00,68.00,62.00,63.00,4686800
5-Oct-17,70.00,76.00,65.00,67.00,74682300
4-Oct-17,69.00,70.00,68.00,69.00,2134700
3-Oct-17,68.00,69.00,67.00,69.00,11560300
2-Oct-17,67.00,70.00,66.00,68.00,13322700
29-Sep-17,68.00,68.00,66.00,67.00,4077000
28-Sep-17,66.00,68.00,66.00,67.00,5842400
27-Sep-17,67.00,70.00,65.00,65.00,13631900
26-Sep-17,67.00,73.00,61.00,70.00,39617200
25-Sep-17,59.00,68.00,59.00,68.00,21969300
22-Sep-17,59.00,60.00,59.00,59.00,1231900
20-Sep-17,60.00,60.00,59.00,60.00,607800
19-Sep-17,59.00,60.00,59.00,60.00,1207600
18-Sep-17,60.00,62.00,58.00,60.00,6148900
15-Sep-17,60.00,60.00,59.00,60.00,1194300
14-Sep-17,60.00,61.00,59.00,59.00,556200
13-Sep-17,60.00,60.00,58.00,60.00,2809800
12-Sep-17,58.00,60.00,57.00,60.00,1635100
11-Sep-17,60.00,61.00,58.00,58.00,4035200
8-Sep-17,60.00,62.00,58.00,60.00,3584300
7-Sep-17,58.00,60.00,56.00,59.00,1996600
6-Sep-17,59.00,60.00,57.00,58.00,1349900
5-Sep-17,58.00,61.00,56.00,58.00,3715000
4-Sep-17,58.00,61.00,54.00,57.00,6129400
31-Aug-17,62.00,65.00,58.00,58.00,33319700
30-Aug-17,56.00,62.00,56.00,62.00,15047000
29-Aug-17,59.00,61.00,55.00,56.00,29712400
28-Aug-17,57.00,63.00,57.00,59.00,16886900
25-Aug-17,58.00,60.00,56.00,57.00,12924500
24-Aug-17,57.00,58.00,50.00,57.00,15390300
23-Aug-17,51.00,57.00,51.00,57.00,26505800
22-Aug-17,50.00,52.00,50.00,51.00,559200
21-Aug-17,50.00,51.00,50.00,51.00,578300
18-Aug-17,50.00,50.00,50.00,50.00,6900
16-Aug-17,50.00,51.00,50.00,50.00,650100
15-Aug-17,50.00,50.00,50.00,50.00,10900
14-Aug-17,50.00,50.00,50.00,50.00,297300
11-Aug-17,50.00,50.00,50.00,50.00,33200
10-Aug-17,50.00,51.00,50.00,50.00,2465900
9-Aug-17,52.00,52.00,50.00,50.00,2761500
8-Aug-17,52.00,52.00,50.00,51.00,787300
7-Aug-17,52.00,52.00,50.00,52.00,688300
4-Aug-17,51.00,53.00,51.00,51.00,1025100
3-Aug-17,52.00,54.00,52.00,52.00,2314200
2-Aug-17,54.00,54.00,51.00,53.00,833400
1-Aug-17,52.00,53.00,50.00,52.00,860000
31-Jul-17,54.00,54.00,50.00,51.00,796300
28-Jul-17,55.00,55.00,52.00,53.00,1776000
27-Jul-17,54.00,59.00,52.00,54.00,7250900
26-Jul-17,56.00,56.00,52.00,54.00,413500
25-Jul-17,55.00,57.00,54.00,54.00,247200
24-Jul-17,56.00,56.00,53.00,55.00,613400
21-Jul-17,56.00,56.00,54.00,55.00,398000
20-Jul-17,55.00,57.00,54.00,55.00,723800
19-Jul-17,57.00,58.00,55.00,55.00,1768500
18-Jul-17,57.00,58.00,56.00,56.00,1057400
17-Jul-17,58.00,59.00,57.00,58.00,768900
14-Jul-17,60.00,60.00,58.00,58.00,186600
13-Jul-17,61.00,61.00,58.00,58.00,456500
12-Jul-17,59.00,61.00,59.00,60.00,515900
11-Jul-17,64.00,64.00,59.00,59.00,532000
10-Jul-17,60.00,70.00,60.00,61.00,1000700
7-Jul-17,59.00,61.00,58.00,60.00,93000
6-Jul-17,58.00,61.00,58.00,60.00,33000
5-Jul-17,58.00,59.00,58.00,58.00,228500
4-Jul-17,60.00,61.00,58.00,59.00,262300
3-Jul-17,62.00,63.00,60.00,61.00,306800
22-Jun-17,63.00,63.00,60.00,62.00,692300
21-Jun-17,68.00,68.00,63.00,63.00,298500
20-Jun-17,69.00,69.00,63.00,65.00,2055200
19-Jun-17,70.00,70.00,65.00,66.00,579000
16-Jun-17,70.00,70.00,66.00,66.00,1166700
15-Jun-17,71.00,71.00,67.00,68.00,273300
14-Jun-17,69.00,69.00,67.00,68.00,531600
13-Jun-17,71.00,71.00,67.00,70.00,540200
12-Jun-17,72.00,72.00,68.00,68.00,2258800
9-Jun-17,71.00,71.00,68.00,69.00,1134600
8-Jun-17,71.00,71.00,68.00,69.00,1702400
7-Jun-17,72.00,72.00,68.00,70.00,2077300
6-Jun-17,71.00,73.00,69.00,69.00,2697100
5-Jun-17,72.00,73.00,70.00,70.00,1399700
2-Jun-17,75.00,75.00,70.00,71.00,2789000
31-May-17,78.00,78.00,72.00,73.00,7564400
30-May-17,70.00,83.00,70.00,76.00,38984500
29-May-17,72.00,72.00,69.00,69.00,747400
26-May-17,73.00,73.00,69.00,70.00,1237700
24-May-17,73.00,73.00,70.00,70.00,557500
23-May-17,73.00,73.00,70.00,70.00,637000
22-May-17,73.00,74.00,70.00,71.00,1851600
19-May-17,73.00,73.00,70.00,70.00,221000
18-May-17,71.00,73.00,70.00,72.00,744500
17-May-17,73.00,73.00,71.00,71.00,1889100
16-May-17,74.00,76.00,71.00,72.00,24288400
15-May-17,71.00,75.00,71.00,75.00,2004600
12-May-17,72.00,72.00,71.00,72.00,1595500
10-May-17,72.00,72.00,71.00,72.00,5004400
9-May-17,71.00,72.00,71.00,72.00,4229100
8-May-17,75.00,75.00,70.00,72.00,14534400
5-May-17,83.00,87.00,71.00,73.00,145498800
4-May-17,76.00,82.00,76.00,82.00,31490500
3-May-17,76.00,79.00,76.00,76.00,7266900
2-May-17,76.00,77.00,76.00,76.00,2374600
28-Apr-17,78.00,78.00,76.00,77.00,1938400
27-Apr-17,79.00,80.00,75.00,76.00,17801100
26-Apr-17,78.00,80.00,78.00,78.00,2169600
25-Apr-17,76.00,78.00,76.00,78.00,2902400
21-Apr-17,76.00,76.00,76.00,76.00,536000
20-Apr-17,77.00,79.00,76.00,76.00,9110500
18-Apr-17,78.00,78.00,77.00,77.00,5961700
17-Apr-17,76.00,82.00,75.00,77.00,17733600
13-Apr-17,76.00,76.00,74.00,76.00,2511700
12-Apr-17,76.00,79.00,74.00,75.00,14821000
11-Apr-17,72.00,76.00,72.00,76.00,4408200
10-Apr-17,71.00,73.00,70.00,72.00,1030800
7-Apr-17,74.00,74.00,71.00,72.00,2290200
6-Apr-17,76.00,78.00,72.00,74.00,8502900
5-Apr-17,82.00,87.00,76.00,76.00,54825800
4-Apr-17,77.00,81.00,77.00,81.00,19344400
3-Apr-17,81.00,86.00,74.00,77.00,51444900
31-Mar-17,80.00,82.00,79.00,81.00,12923100
30-Mar-17,72.00,79.00,72.00,79.00,9675800
29-Mar-17,75.00,75.00,70.00,72.00,1295700
27-Mar-17,74.00,75.00,72.00,73.00,1580400
24-Mar-17,79.00,79.00,74.00,74.00,2193300
23-Mar-17,81.00,83.00,73.00,78.00,19038300
22-Mar-17,71.00,81.00,71.00,80.00,23608200
21-Mar-17,72.00,75.00,71.00,71.00,1591200
20-Mar-17,68.00,77.00,68.00,72.00,8747700
17-Mar-17,70.00,72.00,68.00,69.00,1453900
16-Mar-17,69.00,70.00,64.00,68.00,1394800
15-Mar-17,69.00,73.00,69.00,71.00,2434100
14-Mar-17,72.00,77.00,67.00,71.00,3860800
13-Mar-17,68.00,74.00,65.00,72.00,2333200
10-Mar-17,75.00,75.00,67.00,68.00,1084100
9-Mar-17,77.00,79.00,69.00,75.00,820200
8-Mar-17,79.00,80.00,77.00,77.00,5876900
7-Mar-17,77.00,83.00,74.00,80.00,35191600
6-Mar-17,78.00,78.00,77.00,78.00,1134600
3-Mar-17,78.00,78.00,77.00,78.00,1941200
2-Mar-17,75.00,80.00,75.00,78.00,4849500
1-Mar-17,75.00,77.00,73.00,75.00,3168400
28-Feb-17,77.00,79.00,73.00,75.00,2895700
27-Feb-17,81.00,81.00,76.00,77.00,823500
24-Feb-17,86.00,86.00,81.00,81.00,2196100
23-Feb-17,88.00,90.00,83.00,86.00,70527400
22-Feb-17,90.00,90.00,87.00,89.00,11203000
21-Feb-17,89.00,90.00,88.00,90.00,6320500
20-Feb-17,90.00,91.00,88.00,88.00,16277500
17-Feb-17,87.00,90.00,87.00,89.00,15620000
16-Feb-17,93.00,98.00,82.00,87.00,112753900
14-Feb-17,90.00,92.00,87.00,92.00,16509000
13-Feb-17,89.00,91.00,86.00,90.00,12124000
10-Feb-17,90.00,93.00,87.00,89.00,45968600
9-Feb-17,87.00,96.00,85.00,88.00,89802400
8-Feb-17,90.00,91.00,84.00,86.00,38545200
7-Feb-17,84.00,95.00,79.00,89.00,73702200
6-Feb-17,86.00,89.00,83.00,88.00,17586900
3-Feb-17,84.00,88.00,84.00,85.00,5692800
2-Feb-17,88.00,91.00,84.00,84.00,6653800
1-Feb-17,87.00,89.00,81.00,88.00,11126600
31-Jan-17,91.00,92.00,82.00,86.00,8738700
30-Jan-17,87.00,100.00,85.00,88.00,206908300
27-Jan-17,86.00,89.00,85.00,87.00,23908000
26-Jan-17,91.00,92.00,80.00,85.00,75197600
25-Jan-17,81.00,105.00,80.00,90.00,321607100
24-Jan-17,77.00,85.00,75.00,80.00,122057000
23-Jan-17,70.00,85.00,63.00,76.00,162732700
20-Jan-17,70.00,80.00,59.00,66.00,89784700
19-Jan-17,50.00,67.00,50.00,67.00,145652500
18-Jan-17,-,-,-,50.00,0
17-Jan-17,50.00,50.00,50.00,50.00,500
16-Jan-17,50.00,50.00,50.00,50.00,100
13-Jan-17,-,-,-,50.00,0
12-Jan-17,-,-,-,50.00,0
11-Jan-17,-,-,-,50.00,0
10-Jan-17,-,-,-,50.00,0
9-Jan-17,50.00,50.00,50.00,50.00,25000
6-Jan-17,50.00,50.00,50.00,50.00,200
5-Jan-17,50.00,50.00,50.00,50.00,100
4-Jan-17,-,-,-,50.00,0
3-Jan-17,-,-,-,50.00,0
30-Dec-16,-,-,-,50.00,0
29-Dec-16,50.00,50.00,50.00,50.00,100
28-Dec-16,50.00,50.00,50.00,50.00,100
27-Dec-16,50.00,50.00,50.00,50.00,100
23-Dec-16,50.00,50.00,50.00,50.00,100
22-Dec-16,50.00,50.00,50.00,50.00,100
21-Dec-16,-,-,-,50.00,0
20-Dec-16,50.00,50.00,50.00,50.00,100
19-Dec-16,50.00,50.00,50.00,50.00,100
16-Dec-16,-,-,-,50.00,0
15-Dec-16,50.00,50.00,50.00,50.00,100
14-Dec-16,50.00,50.00,50.00,50.00,200
13-Dec-16,50.00,50.00,50.00,50.00,200
9-Dec-16,50.00,50.00,50.00,50.00,300
8-Dec-16,50.00,50.00,50.00,50.00,300100
7-Dec-16,50.00,50.00,50.00,50.00,320600
6-Dec-16,50.00,50.00,50.00,50.00,500
5-Dec-16,50.00,50.00,50.00,50.00,371800
2-Dec-16,-,-,-,50.00,0
1-Dec-16,50.00,50.00,50.00,50.00,200
30-Nov-16,50.00,50.00,50.00,50.00,100
29-Nov-16,50.00,50.00,50.00,50.00,200
28-Nov-16,50.00,50.00,50.00,50.00,100
25-Nov-16,-,-,-,50.00,0
24-Nov-16,50.00,50.00,50.00,50.00,350000
23-Nov-16,-,-,-,50.00,0
22-Nov-16,50.00,50.00,50.00,50.00,170500
21-Nov-16,50.00,50.00,50.00,50.00,290200
18-Nov-16,-,-,-,50.00,0
17-Nov-16,-,-,-,50.00,0
16-Nov-16,-,-,-,50.00,0
15-Nov-16,-,-,-,50.00,0
14-Nov-16,-,-,-,50.00,0
11-Nov-16,50.00,50.00,50.00,50.00,11100
10-Nov-16,-,-,-,50.00,0
9-Nov-16,-,-,-,50.00,0
8-Nov-16,-,-,-,50.00,0
7-Nov-16,-,-,-,50.00,0
4-Nov-16,50.00,50.00,50.00,50.00,100
3-Nov-16,50.00,50.00,50.00,50.00,100
2-Nov-16,50.00,50.00,50.00,50.00,200
1-Nov-16,-,-,-,50.00,0
31-Oct-16,-,-,-,50.00,0
28-Oct-16,50.00,50.00,50.00,50.00,1000
27-Oct-16,-,-,-,50.00,0
26-Oct-16,50.00,50.00,50.00,50.00,900
25-Oct-16,50.00,50.00,50.00,50.00,10500
24-Oct-16,50.00,50.00,50.00,50.00,200
21-Oct-16,-,-,-,50.00,0
20-Oct-16,50.00,50.00,50.00,50.00,20100
19-Oct-16,50.00,50.00,50.00,50.00,3200
18-Oct-16,50.00,50.00,50.00,50.00,150000
17-Oct-16,-,-,-,50.00,0
14-Oct-16,50.00,50.00,50.00,50.00,7100
13-Oct-16,50.00,50.00,50.00,50.00,500
12-Oct-16,-,-,-,50.00,0
11-Oct-16,50.00,50.00,50.00,50.00,120000
10-Oct-16,50.00,55.00,50.00,50.00,403000
7-Oct-16,-,-,-,50.00,0
6-Oct-16,-,-,-,50.00,0
5-Oct-16,-,-,-,50.00,0
4-Oct-16,-,-,-,50.00,0
3-Oct-16,-,-,-,50.00,0
30-Sep-16,-,-,-,50.00,0
29-Sep-16,-,-,-,50.00,0
28-Sep-16,-,-,-,50.00,0
27-Sep-16,-,-,-,50.00,0
26-Sep-16,-,-,-,50.00,0
23-Sep-16,-,-,-,50.00,0
22-Sep-16,-,-,-,50.00,0
21-Sep-16,-,-,-,50.00,0
20-Sep-16,-,-,-,50.00,0
19-Sep-16,-,-,-,50.00,0
16-Sep-16,-,-,-,50.00,0
15-Sep-16,-,-,-,50.00,0
14-Sep-16,-,-,-,50.00,0
13-Sep-16,-,-,-,50.00,0
9-Sep-16,50.00,50.00,50.00,50.00,73300
8-Sep-16,-,-,-,50.00,0
7-Sep-16,-,-,-,50.00,0
6-Sep-16,-,-,-,50.00,0
5-Sep-16,-,-,-,50.00,0
2-Sep-16,-,-,-,50.00,0
1-Sep-16,-,-,-,50.00,0
31-Aug-16,-,-,-,50.00,0
30-Aug-16,50.00,50.00,50.00,50.00,100
29-Aug-16,-,-,-,50.00,0
26-Aug-16,-,-,-,50.00,0
25-Aug-16,50.00,50.00,50.00,50.00,2000
24-Aug-16,-,-,-,50.00,0
23-Aug-16,50.00,50.00,50.00,50.00,10000
22-Aug-16,-,-,-,50.00,0
19-Aug-16,50.00,50.00,50.00,50.00,16000
18-Aug-16,-,-,-,50.00,0
16-Aug-16,50.00,50.00,50.00,50.00,200000
15-Aug-16,50.00,50.00,50.00,50.00,400
12-Aug-16,51.00,51.00,50.00,50.00,553300
11-Aug-16,50.00,52.00,50.00,50.00,3421800
10-Aug-16,50.00,50.00,50.00,50.00,95000
9-Aug-16,50.00,50.00,50.00,50.00,10000
8-Aug-16,-,-,-,50.00,0
5-Aug-16,50.00,50.00,50.00,50.00,400
4-Aug-16,50.00,50.00,50.00,50.00,518100
3-Aug-16,50.00,52.00,50.00,50.00,1888000
2-Aug-16,50.00,50.00,50.00,50.00,123800
1-Aug-16,50.00,50.00,50.00,50.00,60000
29-Jul-16,50.00,51.00,50.00,50.00,256100
28-Jul-16,-,-,-,50.00,0
27-Jul-16,-,-,-,50.00,0
26-Jul-16,50.00,50.00,50.00,50.00,600
25-Jul-16,-,-,-,50.00,0
22-Jul-16,-,-,-,50.00,0
21-Jul-16,50.00,50.00,50.00,50.00,100
20-Jul-16,-,-,-,50.00,0
19-Jul-16,50.00,50.00,50.00,50.00,2700
18-Jul-16,-,-,-,50.00,0
15-Jul-16,-,-,-,50.00,0
14-Jul-16,50.00,50.00,50.00,50.00,100
13-Jul-16,50.00,50.00,50.00,50.00,800
12-Jul-16,-,-,-,50.00,0
11-Jul-16,50.00,50.00,50.00,50.00,100
1-Jul-16,50.00,50.00,50.00,50.00,4300
30-Jun-16,50.00,50.00,50.00,50.00,10000
29-Jun-16,50.00,50.00,50.00,50.00,2000
28-Jun-16,-,-,-,50.00,0
27-Jun-16,50.00,50.00,50.00,50.00,500
24-Jun-16,-,-,-,50.00,0
23-Jun-16,-,-,-,50.00,0
22-Jun-16,50.00,50.00,50.00,50.00,600
21-Jun-16,50.00,50.00,50.00,50.00,300
20-Jun-16,-,-,-,50.00,0
17-Jun-16,-,-,-,50.00,0
16-Jun-16,50.00,50.00,50.00,50.00,400
15-Jun-16,-,-,-,50.00,0
14-Jun-16,-,-,-,50.00,0
13-Jun-16,50.00,50.00,50.00,50.00,2700
10-Jun-16,50.00,50.00,50.00,50.00,200
9-Jun-16,50.00,50.00,50.00,50.00,100
8-Jun-16,-,-,-,50.00,0
7-Jun-16,50.00,50.00,50.00,50.00,100
6-Jun-16,50.00,50.00,50.00,50.00,1000
3-Jun-16,-,-,-,50.00,0
2-Jun-16,50.00,50.00,50.00,50.00,200
1-Jun-16,50.00,50.00,50.00,50.00,100
31-May-16,50.00,50.00,50.00,50.00,100
30-May-16,50.00,50.00,50.00,50.00,20100
27-May-16,50.00,53.00,50.00,50.00,1001500
26-May-16,50.00,50.00,50.00,50.00,100
25-May-16,50.00,50.00,50.00,50.00,110100
24-May-16,50.00,50.00,50.00,50.00,10100
23-May-16,50.00,50.00,50.00,50.00,100
20-May-16,-,-,-,50.00,0
19-May-16,50.00,50.00,50.00,50.00,10500
18-May-16,50.00,50.00,50.00,50.00,100
17-May-16,51.00,51.00,50.00,50.00,75400
16-May-16,50.00,50.00,50.00,50.00,100
13-May-16,50.00,50.00,50.00,50.00,100
12-May-16,50.00,50.00,50.00,50.00,100
11-May-16,50.00,50.00,50.00,50.00,13600
10-May-16,50.00,50.00,50.00,50.00,100
9-May-16,51.00,52.00,50.00,50.00,17700
4-May-16,51.00,51.00,50.00,51.00,104000
3-May-16,50.00,52.00,50.00,51.00,466000
2-May-16,50.00,50.00,50.00,50.00,100
29-Apr-16,50.00,50.00,50.00,50.00,300
28-Apr-16,51.00,52.00,50.00,50.00,10400
27-Apr-16,50.00,50.00,50.00,50.00,100
26-Apr-16,50.00,50.00,50.00,50.00,100
25-Apr-16,50.00,51.00,50.00,50.00,151900
22-Apr-16,50.00,50.00,50.00,50.00,207200
21-Apr-16,50.00,50.00,50.00,50.00,2500
20-Apr-16,50.00,50.00,50.00,50.00,2600
19-Apr-16,50.00,50.00,50.00,50.00,27900
18-Apr-16,52.00,52.00,50.00,50.00,393200
15-Apr-16,52.00,53.00,50.00,51.00,160900
14-Apr-16,50.00,54.00,50.00,51.00,2800000
13-Apr-16,50.00,51.00,50.00,50.00,33200
12-Apr-16,50.00,51.00,50.00,50.00,136200
11-Apr-16,51.00,51.00,50.00,50.00,120200
8-Apr-16,50.00,51.00,50.00,50.00,1410700
7-Apr-16,50.00,51.00,50.00,50.00,354900
6-Apr-16,50.00,51.00,50.00,50.00,2404100
5-Apr-16,53.00,53.00,50.00,50.00,2343900
4-Apr-16,54.00,55.00,52.00,52.00,232000
1-Apr-16,50.00,55.00,50.00,53.00,248200
31-Mar-16,57.00,57.00,53.00,53.00,1401100
30-Mar-16,50.00,56.00,50.00,56.00,4515700
29-Mar-16,50.00,54.00,50.00,50.00,6705700
28-Mar-16,58.00,58.00,50.00,51.00,1736800
24-Mar-16,54.00,62.00,53.00,55.00,23666900
23-Mar-16,52.00,53.00,52.00,53.00,281600
22-Mar-16,50.00,50.00,50.00,50.00,1500
21-Mar-16,50.00,52.00,50.00,50.00,477800
18-Mar-16,51.00,51.00,50.00,50.00,25100
17-Mar-16,51.00,51.00,50.00,50.00,197900
16-Mar-16,50.00,50.00,50.00,50.00,21300
15-Mar-16,50.00,50.00,50.00,50.00,23800
14-Mar-16,50.00,50.00,50.00,50.00,209300
11-Mar-16,50.00,50.00,50.00,50.00,50000
10-Mar-16,50.00,50.00,50.00,50.00,30000
8-Mar-16,50.00,50.00,50.00,50.00,70000
7-Mar-16,50.00,50.00,50.00,50.00,10000
4-Mar-16,50.00,50.00,50.00,50.00,5000
3-Mar-16,51.00,51.00,51.00,51.00,81100
2-Mar-16,-,-,-,51.00,0
1-Mar-16,50.00,51.00,50.00,51.00,495000
29-Feb-16,50.00,50.00,50.00,50.00,10000
26-Feb-16,-,-,-,50.00,0
25-Feb-16,-,-,-,50.00,0
24-Feb-16,-,-,-,50.00,0
23-Feb-16,-,-,-,50.00,0
22-Feb-16,50.00,50.00,50.00,50.00,173300
19-Feb-16,50.00,50.00,50.00,50.00,120000
18-Feb-16,-,-,-,50.00,0
17-Feb-16,-,-,-,50.00,0
16-Feb-16,-,-,-,50.00,0
15-Feb-16,-,-,-,50.00,0
12-Feb-16,-,-,-,50.00,0
11-Feb-16,50.00,50.00,50.00,50.00,620000
10-Feb-16,-,-,-,50.00,0
9-Feb-16,-,-,-,50.00,0
5-Feb-16,-,-,-,50.00,0
4-Feb-16,-,-,-,50.00,0
3-Feb-16,50.00,50.00,50.00,50.00,100600
2-Feb-16,-,-,-,50.00,0
1-Feb-16,-,-,-,50.00,0
29-Jan-16,-,-,-,50.00,0
28-Jan-16,-,-,-,50.00,0
27-Jan-16,50.00,50.00,50.00,50.00,100000
26-Jan-16,-,-,-,50.00,0
25-Jan-16,-,-,-,50.00,0
22-Jan-16,50.00,50.00,50.00,50.00,100
21-Jan-16,-,-,-,50.00,0
20-Jan-16,50.00,50.00,50.00,50.00,100000
19-Jan-16,50.00,50.00,50.00,50.00,200000
18-Jan-16,-,-,-,50.00,0
15-Jan-16,50.00,50.00,50.00,50.00,1503000
14-Jan-16,-,-,-,50.00,0
13-Jan-16,-,-,-,50.00,0
12-Jan-16,-,-,-,50.00,0
11-Jan-16,-,-,-,50.00,0
8-Jan-16,50.00,50.00,50.00,50.00,1200100
7-Jan-16,-,-,-,50.00,0
6-Jan-16,50.00,50.00,50.00,50.00,14000
5-Jan-16,50.00,50.00,50.00,50.00,2100
4-Jan-16,50.00,50.00,50.00,50.00,960900
30-Dec-15,50.00,51.00,50.00,50.00,456500
29-Dec-15,50.00,51.00,50.00,50.00,5400
28-Dec-15,50.00,51.00,50.00,51.00,61600
23-Dec-15,50.00,50.00,50.00,50.00,4004900
22-Dec-15,-,-,-,50.00,0
21-Dec-15,-,-,-,50.00,0
18-Dec-15,-,-,-,50.00,0
17-Dec-15,-,-,-,50.00,0
16-Dec-15,-,-,-,50.00,0
15-Dec-15,-,-,-,50.00,0
14-Dec-15,-,-,-,50.00,0
11-Dec-15,-,-,-,50.00,0
10-Dec-15,-,-,-,50.00,0
8-Dec-15,-,-,-,50.00,0
7-Dec-15,-,-,-,50.00,0
4-Dec-15,-,-,-,50.00,0
3-Dec-15,-,-,-,50.00,0
2-Dec-15,-,-,-,50.00,0
1-Dec-15,-,-,-,50.00,0
30-Nov-15,-,-,-,50.00,0
27-Nov-15,-,-,-,50.00,0
26-Nov-15,-,-,-,50.00,0
25-Nov-15,-,-,-,50.00,0
24-Nov-15,-,-,-,50.00,0
23-Nov-15,-,-,-,50.00,0
20-Nov-15,-,-,-,50.00,0
19-Nov-15,-,-,-,50.00,0
18-Nov-15,-,-,-,50.00,0
17-Nov-15,-,-,-,50.00,0
16-Nov-15,-,-,-,50.00,0
13-Nov-15,-,-,-,50.00,0
12-Nov-15,-,-,-,50.00,0
11-Nov-15,-,-,-,50.00,0
10-Nov-15,-,-,-,50.00,0
9-Nov-15,-,-,-,50.00,0
6-Nov-15,-,-,-,50.00,0
5-Nov-15,-,-,-,50.00,0
4-Nov-15,50.00,50.00,50.00,50.00,200
3-Nov-15,-,-,-,50.00,0
2-Nov-15,-,-,-,50.00,0
30-Oct-15,-,-,-,50.00,0
29-Oct-15,50.00,50.00,50.00,50.00,50000
28-Oct-15,50.00,50.00,50.00,50.00,500
27-Oct-15,50.00,50.00,50.00,50.00,200
26-Oct-15,-,-,-,50.00,0
23-Oct-15,-,-,-,50.00,0
22-Oct-15,50.00,50.00,50.00,50.00,400
21-Oct-15,-,-,-,50.00,0
20-Oct-15,-,-,-,50.00,0
19-Oct-15,-,-,-,50.00,0
16-Oct-15,-,-,-,50.00,0
