Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,4870.00,0
28-Dec-17,-,-,-,4870.00,0
27-Dec-17,-,-,-,4870.00,0
22-Dec-17,-,-,-,4870.00,0
21-Dec-17,-,-,-,4870.00,0
20-Dec-17,-,-,-,4870.00,0
19-Dec-17,4870.00,4870.00,4850.00,4870.00,2400
18-Dec-17,4870.00,4870.00,4870.00,4870.00,300
15-Dec-17,4870.00,4870.00,4870.00,4870.00,600
14-Dec-17,4860.00,4880.00,4860.00,4870.00,2000
13-Dec-17,4860.00,4860.00,4860.00,4860.00,800
12-Dec-17,4880.00,4880.00,4860.00,4860.00,2400
11-Dec-17,4870.00,4880.00,4860.00,4880.00,11400
8-Dec-17,4880.00,4880.00,4870.00,4870.00,1600
7-Dec-17,4870.00,4900.00,4870.00,4880.00,2600
6-Dec-17,4900.00,4900.00,4870.00,4870.00,5600
5-Dec-17,4900.00,5000.00,4850.00,4900.00,13900
4-Dec-17,4940.00,4940.00,4870.00,4900.00,8300
30-Nov-17,4950.00,4950.00,4940.00,4940.00,3700
29-Nov-17,4950.00,4950.00,4940.00,4950.00,2100
28-Nov-17,4950.00,4950.00,4950.00,4950.00,900
27-Nov-17,4950.00,4950.00,4950.00,4950.00,2000
24-Nov-17,4950.00,4950.00,4950.00,4950.00,200
23-Nov-17,4980.00,4980.00,4940.00,4940.00,1500
22-Nov-17,4950.00,5000.00,4950.00,5000.00,1100
21-Nov-17,4980.00,4980.00,4950.00,4950.00,36400
20-Nov-17,4980.00,5000.00,4950.00,5000.00,2900
17-Nov-17,4980.00,5000.00,4950.00,5000.00,1400
16-Nov-17,4950.00,5000.00,4940.00,5000.00,1900
15-Nov-17,5100.00,5100.00,5100.00,5100.00,1500
14-Nov-17,-,-,-,4940.00,0
13-Nov-17,4950.00,4950.00,4940.00,4940.00,1100
10-Nov-17,-,-,-,4990.00,0
9-Nov-17,4990.00,4990.00,4990.00,4990.00,300
8-Nov-17,4950.00,4950.00,4950.00,4950.00,101700
7-Nov-17,4920.00,4970.00,4910.00,4970.00,7300
6-Nov-17,4950.00,4950.00,4900.00,4910.00,5700
3-Nov-17,4900.00,4950.00,4900.00,4950.00,149000
2-Nov-17,4900.00,4950.00,4880.00,4950.00,2200
1-Nov-17,4920.00,4920.00,4900.00,4900.00,5000
31-Oct-17,4910.00,4970.00,4890.00,4950.00,8200
30-Oct-17,4910.00,4950.00,4900.00,4950.00,1500
27-Oct-17,4890.00,4900.00,4890.00,4900.00,1300
26-Oct-17,4890.00,4900.00,4880.00,4900.00,26500
25-Oct-17,4900.00,4900.00,4890.00,4890.00,1900
24-Oct-17,4910.00,4910.00,4900.00,4900.00,2100
23-Oct-17,4940.00,4940.00,4910.00,4910.00,1400
20-Oct-17,4940.00,4940.00,4890.00,4940.00,4900
19-Oct-17,4940.00,4940.00,4900.00,4940.00,4100
18-Oct-17,4940.00,4950.00,4900.00,4940.00,14800
17-Oct-17,4920.00,4950.00,4880.00,4950.00,11100
16-Oct-17,4900.00,4950.00,4890.00,4920.00,8300
13-Oct-17,4980.00,4980.00,4750.00,4750.00,61500
12-Oct-17,4950.00,5500.00,4930.00,5500.00,4800
11-Oct-17,4940.00,4990.00,4910.00,4990.00,4900
10-Oct-17,5000.00,5000.00,4940.00,4940.00,29500
9-Oct-17,5000.00,5000.00,4930.00,4990.00,9400
6-Oct-17,5500.00,5500.00,4950.00,5000.00,17100
5-Oct-17,4950.00,5500.00,4920.00,5500.00,12900
4-Oct-17,4960.00,4960.00,4950.00,4950.00,1900
3-Oct-17,4960.00,4980.00,4940.00,4980.00,1600
2-Oct-17,4990.00,4990.00,4920.00,4960.00,7800
29-Sep-17,5000.00,5000.00,4990.00,4990.00,1800
28-Sep-17,5000.00,5100.00,4940.00,5100.00,5600
27-Sep-17,4960.00,5100.00,4950.00,5100.00,5000
26-Sep-17,4980.00,4980.00,4940.00,4960.00,3700
25-Sep-17,4980.00,4980.00,4980.00,4980.00,500
22-Sep-17,5000.00,5025.00,4980.00,5025.00,2200
20-Sep-17,4990.00,4990.00,4990.00,4990.00,500
19-Sep-17,4990.00,4990.00,4980.00,4980.00,500
18-Sep-17,4990.00,4990.00,4990.00,4990.00,100
15-Sep-17,5000.00,5000.00,5000.00,5000.00,500
14-Sep-17,5175.00,5175.00,5175.00,5175.00,800
13-Sep-17,-,-,-,4980.00,0
12-Sep-17,-,-,-,4980.00,0
11-Sep-17,-,-,-,4980.00,0
8-Sep-17,4980.00,4980.00,4980.00,4980.00,400
7-Sep-17,4980.00,4980.00,4980.00,4980.00,300
6-Sep-17,4980.00,4980.00,4980.00,4980.00,500
5-Sep-17,4990.00,4990.00,4980.00,4980.00,700
4-Sep-17,5000.00,5000.00,4990.00,4990.00,600
31-Aug-17,5000.00,5000.00,5000.00,5000.00,200
30-Aug-17,4990.00,5000.00,4980.00,5000.00,3600
29-Aug-17,5000.00,5000.00,4990.00,4990.00,1400
28-Aug-17,5025.00,5025.00,4990.00,5000.00,6000
25-Aug-17,5025.00,5025.00,4990.00,4990.00,2500
24-Aug-17,5075.00,5075.00,4980.00,5025.00,5500
23-Aug-17,5000.00,5075.00,4990.00,5075.00,8900
22-Aug-17,5000.00,5050.00,4990.00,5050.00,3300
21-Aug-17,5250.00,5250.00,4980.00,5000.00,16600
18-Aug-17,5000.00,5250.00,5000.00,5250.00,400
16-Aug-17,5300.00,5300.00,5000.00,5000.00,18300
