Date,Open,High,Low,Close,Volume
29-Dec-17,120.00,134.00,120.00,130.00,52800
28-Dec-17,136.00,136.00,90.00,120.00,95700
27-Dec-17,147.00,147.00,136.00,136.00,21700
22-Dec-17,144.00,144.00,140.00,140.00,26000
21-Dec-17,144.00,144.00,144.00,144.00,10000
20-Dec-17,-,-,-,147.00,0
19-Dec-17,147.00,147.00,147.00,147.00,35000
18-Dec-17,147.00,147.00,147.00,147.00,100
15-Dec-17,139.00,139.00,138.00,138.00,21900
14-Dec-17,140.00,145.00,138.00,139.00,106000
13-Dec-17,149.00,149.00,149.00,149.00,10900
12-Dec-17,140.00,149.00,140.00,149.00,2000
11-Dec-17,-,-,-,136.00,0
8-Dec-17,133.00,136.00,133.00,136.00,1200
7-Dec-17,-,-,-,133.00,0
6-Dec-17,145.00,145.00,133.00,133.00,47600
5-Dec-17,160.00,160.00,145.00,145.00,104500
4-Dec-17,165.00,173.00,160.00,160.00,300
30-Nov-17,152.00,152.00,152.00,152.00,500
29-Nov-17,150.00,156.00,150.00,152.00,4200
28-Nov-17,159.00,159.00,150.00,151.00,224000
27-Nov-17,164.00,164.00,157.00,159.00,30100
24-Nov-17,158.00,168.00,158.00,164.00,12900
23-Nov-17,158.00,158.00,157.00,158.00,30200
22-Nov-17,160.00,160.00,160.00,160.00,100
21-Nov-17,162.00,162.00,156.00,156.00,14300
20-Nov-17,163.00,163.00,162.00,162.00,2500
17-Nov-17,158.00,158.00,155.00,155.00,34100
16-Nov-17,157.00,158.00,154.00,158.00,67600
15-Nov-17,156.00,156.00,156.00,156.00,45500
14-Nov-17,162.00,162.00,156.00,156.00,398300
13-Nov-17,165.00,165.00,160.00,160.00,280200
10-Nov-17,-,-,-,166.00,0
9-Nov-17,167.00,167.00,165.00,166.00,64500
8-Nov-17,168.00,168.00,166.00,166.00,9500
7-Nov-17,171.00,171.00,171.00,171.00,100
6-Nov-17,168.00,169.00,162.00,169.00,58900
3-Nov-17,168.00,171.00,168.00,169.00,55600
2-Nov-17,170.00,176.00,170.00,176.00,19300
1-Nov-17,177.00,177.00,177.00,177.00,100
31-Oct-17,167.00,170.00,167.00,170.00,113000
30-Oct-17,168.00,171.00,167.00,167.00,23600
27-Oct-17,171.00,171.00,169.00,171.00,47000
26-Oct-17,170.00,171.00,168.00,171.00,90300
25-Oct-17,-,-,-,170.00,0
24-Oct-17,167.00,170.00,167.00,170.00,127900
23-Oct-17,173.00,173.00,168.00,168.00,68100
20-Oct-17,173.00,173.00,173.00,173.00,20000
19-Oct-17,175.00,179.00,173.00,173.00,28000
18-Oct-17,175.00,175.00,175.00,175.00,11500
17-Oct-17,178.00,178.00,172.00,177.00,6000
16-Oct-17,180.00,180.00,175.00,175.00,95800
13-Oct-17,175.00,182.00,175.00,182.00,13400
12-Oct-17,177.00,177.00,177.00,177.00,8900
11-Oct-17,188.00,188.00,171.00,177.00,12200
10-Oct-17,180.00,180.00,180.00,180.00,8500
9-Oct-17,185.00,185.00,173.00,173.00,49200
6-Oct-17,189.00,189.00,189.00,189.00,100
5-Oct-17,181.00,190.00,175.00,190.00,38800
4-Oct-17,180.00,184.00,179.00,184.00,74000
3-Oct-17,182.00,183.00,175.00,183.00,54300
2-Oct-17,185.00,185.00,184.00,184.00,500
29-Sep-17,183.00,184.00,183.00,184.00,12600
28-Sep-17,178.00,184.00,178.00,184.00,1100
27-Sep-17,181.00,181.00,175.00,175.00,13300
26-Sep-17,184.00,184.00,184.00,184.00,500
25-Sep-17,192.00,192.00,192.00,192.00,600
22-Sep-17,181.00,187.00,181.00,187.00,41700
20-Sep-17,188.00,188.00,180.00,181.00,163800
19-Sep-17,175.00,192.00,174.00,192.00,127800
18-Sep-17,175.00,179.00,175.00,175.00,7400
15-Sep-17,177.00,178.00,175.00,178.00,20100
14-Sep-17,179.00,179.00,179.00,179.00,7800
13-Sep-17,176.00,189.00,175.00,189.00,30500
12-Sep-17,180.00,181.00,176.00,176.00,33800
11-Sep-17,176.00,177.00,176.00,176.00,26500
8-Sep-17,180.00,180.00,175.00,175.00,42500
7-Sep-17,182.00,182.00,180.00,180.00,5100
6-Sep-17,-,-,-,182.00,0
5-Sep-17,182.00,182.00,182.00,182.00,24500
4-Sep-17,-,-,-,181.00,0
31-Aug-17,180.00,181.00,180.00,181.00,5300
30-Aug-17,183.00,183.00,180.00,180.00,85000
29-Aug-17,182.00,191.00,182.00,190.00,700
28-Aug-17,193.00,193.00,193.00,193.00,400
25-Aug-17,183.00,194.00,182.00,194.00,61100
24-Aug-17,182.00,182.00,182.00,182.00,100
23-Aug-17,180.00,180.00,180.00,180.00,4000
22-Aug-17,187.00,187.00,187.00,187.00,100
21-Aug-17,199.00,202.00,197.00,197.00,400
18-Aug-17,190.00,199.00,190.00,199.00,84900
16-Aug-17,190.00,190.00,190.00,190.00,1000
15-Aug-17,183.00,183.00,183.00,183.00,100
14-Aug-17,181.00,183.00,178.00,183.00,235600
11-Aug-17,185.00,185.00,185.00,185.00,5000
10-Aug-17,185.00,185.00,185.00,185.00,5000
9-Aug-17,190.00,190.00,190.00,190.00,1500
8-Aug-17,187.00,187.00,185.00,185.00,35000
7-Aug-17,-,-,-,187.00,0
4-Aug-17,-,-,-,187.00,0
3-Aug-17,187.00,187.00,187.00,187.00,20100
2-Aug-17,186.00,196.00,186.00,186.00,70100
1-Aug-17,193.00,193.00,183.00,183.00,20700
31-Jul-17,189.00,194.00,181.00,183.00,103600
28-Jul-17,188.00,188.00,188.00,188.00,2300
27-Jul-17,188.00,188.00,188.00,188.00,100
26-Jul-17,190.00,190.00,190.00,190.00,95800
25-Jul-17,193.00,200.00,193.00,193.00,469100
24-Jul-17,189.00,190.00,189.00,190.00,16400
