Date,Open,High,Low,Close,Volume
29-Dec-17,11000.00,11150.00,10000.00,10000.00,5143600
28-Dec-17,11050.00,11050.00,10775.00,11000.00,1438300
27-Dec-17,10875.00,11100.00,10875.00,11050.00,3182900
22-Dec-17,11000.00,11000.00,10600.00,10875.00,613400
21-Dec-17,10600.00,10925.00,10600.00,10875.00,2691100
20-Dec-17,10700.00,10875.00,10600.00,10600.00,2728000
19-Dec-17,10950.00,11075.00,10550.00,10975.00,2423100
18-Dec-17,10950.00,11100.00,10675.00,11100.00,3146500
15-Dec-17,11225.00,11225.00,10800.00,10950.00,5073600
14-Dec-17,10250.00,11300.00,10250.00,11300.00,4541000
13-Dec-17,9800.00,10250.00,9650.00,10250.00,2452300
12-Dec-17,9850.00,9925.00,9600.00,9650.00,1356600
11-Dec-17,10000.00,10000.00,9850.00,9850.00,1795700
8-Dec-17,10150.00,10250.00,9900.00,10000.00,2460800
7-Dec-17,10250.00,10350.00,10150.00,10275.00,2405600
6-Dec-17,9800.00,10300.00,9800.00,10100.00,4511800
5-Dec-17,10550.00,10550.00,9775.00,9775.00,3185900
4-Dec-17,10600.00,10625.00,10175.00,10500.00,3844200
30-Nov-17,10850.00,11375.00,10600.00,10600.00,8523600
29-Nov-17,11100.00,11600.00,11100.00,11150.00,2665500
28-Nov-17,11100.00,11175.00,10975.00,11175.00,2902700
27-Nov-17,11125.00,11375.00,10850.00,11125.00,2753500
24-Nov-17,11500.00,11575.00,11100.00,11475.00,2380700
23-Nov-17,11425.00,11675.00,11100.00,11600.00,2621600
22-Nov-17,11300.00,11475.00,11200.00,11400.00,3242800
21-Nov-17,11200.00,11350.00,11000.00,11300.00,4708800
20-Nov-17,10975.00,11375.00,10700.00,11300.00,4578000
17-Nov-17,10600.00,11150.00,10575.00,10975.00,4536300
16-Nov-17,10550.00,10825.00,10400.00,10600.00,4452800
15-Nov-17,10550.00,10575.00,10300.00,10400.00,3355500
14-Nov-17,10450.00,10575.00,10225.00,10500.00,6577800
13-Nov-17,9800.00,10425.00,9800.00,10200.00,3543600
10-Nov-17,10000.00,10175.00,9875.00,9900.00,2115800
9-Nov-17,10500.00,10575.00,9850.00,10000.00,8293500
8-Nov-17,10275.00,10625.00,10050.00,10600.00,10704000
7-Nov-17,10350.00,10350.00,10175.00,10275.00,5893200
6-Nov-17,10175.00,10375.00,9975.00,10150.00,7613300
3-Nov-17,10150.00,10425.00,10125.00,10200.00,5897300
2-Nov-17,9700.00,10275.00,9700.00,10150.00,11731500
1-Nov-17,8875.00,9600.00,8875.00,9600.00,11671100
31-Oct-17,8900.00,8900.00,8525.00,8600.00,3678800
30-Oct-17,8600.00,8875.00,8475.00,8675.00,3569000
27-Oct-17,9025.00,9150.00,8600.00,8600.00,5441600
26-Oct-17,9100.00,9250.00,9025.00,9025.00,3002400
25-Oct-17,9500.00,9500.00,9050.00,9100.00,4071200
24-Oct-17,9500.00,9575.00,9425.00,9425.00,2679000
23-Oct-17,9475.00,9525.00,9325.00,9500.00,2560500
20-Oct-17,9900.00,9900.00,9250.00,9250.00,13919200
19-Oct-17,9700.00,9700.00,9600.00,9600.00,3893700
18-Oct-17,9600.00,9750.00,9550.00,9700.00,3239900
17-Oct-17,9650.00,9700.00,9425.00,9650.00,3287100
16-Oct-17,9500.00,9650.00,9350.00,9650.00,5901000
13-Oct-17,9500.00,9500.00,9350.00,9400.00,3679600
12-Oct-17,9200.00,9450.00,9050.00,9350.00,6952500
11-Oct-17,9425.00,9525.00,9000.00,9200.00,8864700
10-Oct-17,9600.00,9725.00,9375.00,9500.00,4390200
9-Oct-17,9875.00,9900.00,9700.00,9725.00,2021700
6-Oct-17,9800.00,9925.00,9725.00,9800.00,6623200
5-Oct-17,9675.00,9775.00,9650.00,9650.00,2756000
4-Oct-17,9825.00,9875.00,9625.00,9675.00,3175500
3-Oct-17,9800.00,9950.00,9600.00,9875.00,2736200
2-Oct-17,9400.00,9725.00,9400.00,9675.00,1742300
29-Sep-17,9475.00,9625.00,9275.00,9275.00,4904500
28-Sep-17,9625.00,9800.00,9400.00,9400.00,2356600
27-Sep-17,10100.00,10100.00,9550.00,9625.00,3801500
26-Sep-17,9750.00,9975.00,9750.00,9950.00,2534100
25-Sep-17,9850.00,9900.00,9600.00,9750.00,2574200
22-Sep-17,10025.00,10075.00,9850.00,9850.00,2799000
20-Sep-17,10325.00,10350.00,9900.00,9900.00,3362300
19-Sep-17,10050.00,10325.00,9925.00,10325.00,4679700
18-Sep-17,10200.00,10225.00,9750.00,9925.00,2998100
15-Sep-17,9925.00,10250.00,9900.00,10200.00,6629800
14-Sep-17,9600.00,9800.00,9575.00,9725.00,13183800
13-Sep-17,9475.00,9525.00,9350.00,9500.00,8336900
12-Sep-17,9750.00,9775.00,9175.00,9350.00,6823600
11-Sep-17,10025.00,10025.00,9450.00,9675.00,7292100
8-Sep-17,10000.00,10075.00,9950.00,10025.00,2311100
7-Sep-17,10050.00,10100.00,9950.00,10000.00,3590700
6-Sep-17,10000.00,10225.00,10000.00,10100.00,4270800
5-Sep-17,10300.00,10300.00,9875.00,10225.00,3016100
4-Sep-17,10125.00,10175.00,10050.00,10150.00,2871500
31-Aug-17,10350.00,10400.00,10000.00,10000.00,7189100
30-Aug-17,10450.00,10475.00,10325.00,10400.00,3037500
29-Aug-17,10500.00,10600.00,10325.00,10375.00,5007800
28-Aug-17,10725.00,10800.00,10525.00,10600.00,2751100
25-Aug-17,10700.00,10850.00,10650.00,10700.00,1567900
24-Aug-17,10950.00,11025.00,10825.00,10900.00,6433300
23-Aug-17,10550.00,10775.00,10550.00,10775.00,5799800
22-Aug-17,10600.00,10775.00,10475.00,10550.00,5138800
21-Aug-17,11000.00,11025.00,10600.00,10600.00,3308100
18-Aug-17,10975.00,11150.00,10900.00,11000.00,3692700
16-Aug-17,11125.00,11175.00,10850.00,11025.00,5790800
15-Aug-17,11075.00,11475.00,11050.00,11250.00,6450700
14-Aug-17,10700.00,11000.00,10625.00,10975.00,4135800
11-Aug-17,10850.00,10900.00,10350.00,10475.00,4239200
10-Aug-17,11300.00,11300.00,10850.00,10850.00,2319100
9-Aug-17,11400.00,11400.00,11075.00,11300.00,4744800
8-Aug-17,11350.00,11400.00,11200.00,11350.00,3063800
7-Aug-17,11375.00,11550.00,11150.00,11200.00,5164900
4-Aug-17,10950.00,11400.00,10850.00,11375.00,8139500
3-Aug-17,10550.00,11075.00,10475.00,10950.00,17835000
2-Aug-17,11000.00,11200.00,10375.00,10550.00,20523100
1-Aug-17,12000.00,12300.00,11450.00,11450.00,16044300
31-Jul-17,12650.00,12825.00,12425.00,12675.00,8396000
28-Jul-17,13025.00,13025.00,12125.00,12200.00,6898700
27-Jul-17,13100.00,13125.00,12675.00,13000.00,4280600
26-Jul-17,13000.00,13050.00,12600.00,13000.00,4057800
25-Jul-17,12600.00,12975.00,12400.00,12975.00,4540100
24-Jul-17,12300.00,12575.00,12175.00,12575.00,3266300
21-Jul-17,12500.00,12525.00,12100.00,12150.00,3632700
20-Jul-17,13150.00,13150.00,12350.00,12350.00,7374600
19-Jul-17,12875.00,13050.00,12525.00,13000.00,3999400
18-Jul-17,12600.00,12600.00,12500.00,12600.00,2297500
17-Jul-17,12275.00,12625.00,12150.00,12625.00,3744400
14-Jul-17,12275.00,12275.00,12000.00,12150.00,2148900
13-Jul-17,12200.00,12275.00,11925.00,12100.00,6324000
12-Jul-17,12175.00,12350.00,11950.00,11950.00,3864600
11-Jul-17,12350.00,12675.00,12025.00,12075.00,6493000
10-Jul-17,12900.00,12900.00,12250.00,12350.00,9269800
7-Jul-17,13350.00,13375.00,12800.00,12800.00,8975900
6-Jul-17,13250.00,13450.00,13125.00,13300.00,7442500
5-Jul-17,13600.00,13750.00,13300.00,13300.00,6094200
4-Jul-17,14200.00,14200.00,13600.00,13800.00,6389100
3-Jul-17,14400.00,14600.00,13875.00,14200.00,11552900
22-Jun-17,14400.00,14400.00,14100.00,14175.00,2883200
21-Jun-17,14325.00,14400.00,14175.00,14250.00,4848400
20-Jun-17,14525.00,14700.00,14325.00,14550.00,2577800
19-Jun-17,14550.00,14675.00,14450.00,14525.00,3057500
16-Jun-17,14825.00,14875.00,14475.00,14500.00,7435400
15-Jun-17,14750.00,15000.00,14600.00,14825.00,2607500
14-Jun-17,14600.00,14675.00,14425.00,14675.00,4356200
13-Jun-17,14450.00,14675.00,14450.00,14675.00,1076500
12-Jun-17,14500.00,14675.00,14500.00,14575.00,2928100
9-Jun-17,14525.00,14775.00,14500.00,14600.00,4805200
8-Jun-17,14775.00,14800.00,14525.00,14525.00,1970400
7-Jun-17,14800.00,14850.00,14500.00,14525.00,6971000
6-Jun-17,14950.00,15150.00,14775.00,14800.00,4542100
5-Jun-17,15300.00,15400.00,14775.00,14800.00,2605100
2-Jun-17,15250.00,15250.00,15000.00,15200.00,3649700
31-May-17,14725.00,15175.00,14650.00,15100.00,12665400
30-May-17,14400.00,14650.00,14400.00,14600.00,2745400
29-May-17,14300.00,14550.00,14300.00,14450.00,5405400
26-May-17,14800.00,14925.00,14250.00,14250.00,7319100
24-May-17,14450.00,15100.00,14400.00,15000.00,2532600
23-May-17,15900.00,15900.00,15350.00,15500.00,2769500
22-May-17,15600.00,15950.00,15450.00,15900.00,4806000
19-May-17,14900.00,15700.00,14775.00,15350.00,5103200
18-May-17,15300.00,15300.00,14550.00,14650.00,2819800
17-May-17,15200.00,15200.00,14600.00,14800.00,4985400
16-May-17,15025.00,15125.00,14950.00,14950.00,5213400
15-May-17,15000.00,15400.00,14950.00,15025.00,6573000
12-May-17,14450.00,14825.00,14400.00,14800.00,12551100
10-May-17,14925.00,15075.00,14200.00,14550.00,9375700
9-May-17,15200.00,15700.00,14900.00,15075.00,4885400
8-May-17,15750.00,15750.00,15425.00,15750.00,1835800
5-May-17,15000.00,15850.00,14875.00,15775.00,8837200
4-May-17,15000.00,15300.00,14975.00,15275.00,6679600
3-May-17,14700.00,15050.00,14625.00,14875.00,2381300
2-May-17,14950.00,15100.00,14800.00,14800.00,7490000
28-Apr-17,14700.00,14900.00,14500.00,14600.00,5551200
27-Apr-17,14250.00,15150.00,14200.00,14750.00,10555100
26-Apr-17,13450.00,14000.00,13450.00,14000.00,5688500
25-Apr-17,13200.00,13675.00,13200.00,13450.00,4973000
21-Apr-17,13050.00,13400.00,13025.00,13300.00,4662900
20-Apr-17,13275.00,13300.00,13175.00,13250.00,5771800
18-Apr-17,13400.00,13400.00,13325.00,13375.00,3399200
17-Apr-17,13400.00,13500.00,13275.00,13350.00,4173100
13-Apr-17,13700.00,13725.00,13350.00,13450.00,5120400
12-Apr-17,13250.00,13875.00,13225.00,13875.00,2922300
11-Apr-17,13425.00,13425.00,13275.00,13300.00,2683300
10-Apr-17,13500.00,13500.00,13225.00,13475.00,3979900
7-Apr-17,13275.00,13275.00,13175.00,13250.00,4762600
6-Apr-17,13550.00,13550.00,13150.00,13400.00,5208200
5-Apr-17,13125.00,13375.00,13125.00,13275.00,5152500
4-Apr-17,13250.00,13400.00,13125.00,13125.00,3239400
3-Apr-17,13200.00,13600.00,13175.00,13500.00,6323900
31-Mar-17,13075.00,13275.00,13075.00,13175.00,5012600
30-Mar-17,13200.00,13200.00,12900.00,13125.00,11208300
29-Mar-17,13500.00,13650.00,13075.00,13325.00,7461000
27-Mar-17,13525.00,13850.00,13525.00,13550.00,2950600
24-Mar-17,14250.00,14250.00,13700.00,13900.00,6325700
23-Mar-17,14300.00,14325.00,14125.00,14250.00,5230600
22-Mar-17,13850.00,14350.00,13850.00,14350.00,9229400
21-Mar-17,13850.00,14175.00,13750.00,14075.00,6452300
20-Mar-17,13700.00,13850.00,13700.00,13750.00,5002100
17-Mar-17,13775.00,13950.00,13575.00,13850.00,65263500
16-Mar-17,13300.00,13575.00,13250.00,13525.00,9174700
15-Mar-17,13100.00,13300.00,13100.00,13225.00,7465000
14-Mar-17,13175.00,13300.00,13075.00,13150.00,10838300
13-Mar-17,13200.00,13200.00,13025.00,13050.00,6561600
10-Mar-17,13225.00,13250.00,13000.00,13200.00,7294400
9-Mar-17,13200.00,13250.00,13025.00,13225.00,3998500
8-Mar-17,13050.00,13375.00,13025.00,13050.00,17529800
7-Mar-17,12800.00,13275.00,12750.00,13200.00,18335700
6-Mar-17,13000.00,13150.00,13000.00,13075.00,13717700
3-Mar-17,12775.00,13225.00,12725.00,13100.00,17349100
2-Mar-17,12200.00,13025.00,12175.00,12925.00,58357700
1-Mar-17,13200.00,13200.00,11175.00,11725.00,57552500
28-Feb-17,13950.00,13950.00,13650.00,13650.00,10387400
27-Feb-17,13775.00,14300.00,13775.00,14000.00,7024400
24-Feb-17,14725.00,14775.00,14275.00,14400.00,8474400
23-Feb-17,14950.00,15050.00,14800.00,14975.00,3891700
22-Feb-17,14500.00,14900.00,14475.00,14750.00,4790000
