Date,Open,High,Low,Close,Volume
29-Dec-17,730.00,750.00,730.00,740.00,124500
28-Dec-17,730.00,740.00,725.00,730.00,90700
27-Dec-17,735.00,750.00,730.00,735.00,47800
22-Dec-17,735.00,735.00,735.00,735.00,15600
21-Dec-17,740.00,765.00,735.00,735.00,230300
20-Dec-17,750.00,750.00,730.00,740.00,101600
19-Dec-17,750.00,760.00,735.00,750.00,412700
18-Dec-17,770.00,770.00,750.00,760.00,306400
15-Dec-17,775.00,775.00,765.00,770.00,38900
14-Dec-17,775.00,780.00,765.00,765.00,254800
13-Dec-17,760.00,770.00,755.00,770.00,726500
12-Dec-17,775.00,775.00,760.00,760.00,191300
11-Dec-17,780.00,785.00,775.00,775.00,34800
8-Dec-17,790.00,820.00,780.00,795.00,82100
7-Dec-17,790.00,805.00,790.00,790.00,33800
6-Dec-17,800.00,810.00,775.00,810.00,131200
5-Dec-17,795.00,805.00,780.00,800.00,112500
4-Dec-17,830.00,830.00,795.00,795.00,72600
30-Nov-17,830.00,835.00,800.00,830.00,57000
29-Nov-17,795.00,835.00,790.00,830.00,253800
28-Nov-17,820.00,820.00,785.00,790.00,450900
27-Nov-17,845.00,845.00,815.00,820.00,76800
24-Nov-17,845.00,845.00,825.00,835.00,142100
23-Nov-17,850.00,855.00,845.00,845.00,184400
22-Nov-17,855.00,860.00,850.00,860.00,7700
21-Nov-17,850.00,855.00,850.00,850.00,9300
20-Nov-17,850.00,860.00,850.00,850.00,91900
17-Nov-17,850.00,860.00,850.00,850.00,188000
16-Nov-17,855.00,860.00,850.00,855.00,129200
15-Nov-17,860.00,860.00,850.00,850.00,232200
14-Nov-17,855.00,855.00,850.00,850.00,488800
13-Nov-17,855.00,860.00,850.00,855.00,75200
10-Nov-17,870.00,870.00,850.00,855.00,223400
9-Nov-17,860.00,860.00,850.00,855.00,376900
8-Nov-17,865.00,865.00,860.00,860.00,224700
7-Nov-17,870.00,870.00,865.00,865.00,78400
6-Nov-17,885.00,900.00,870.00,870.00,97000
3-Nov-17,875.00,885.00,870.00,880.00,92500
2-Nov-17,875.00,900.00,860.00,875.00,623100
1-Nov-17,875.00,880.00,855.00,875.00,1022900
31-Oct-17,885.00,885.00,880.00,880.00,73500
30-Oct-17,900.00,910.00,890.00,895.00,327600
27-Oct-17,915.00,915.00,900.00,900.00,739600
26-Oct-17,875.00,915.00,875.00,915.00,853700
25-Oct-17,880.00,890.00,870.00,875.00,207000
24-Oct-17,870.00,890.00,870.00,870.00,83800
23-Oct-17,865.00,870.00,855.00,865.00,292200
20-Oct-17,875.00,900.00,860.00,860.00,69500
19-Oct-17,895.00,900.00,875.00,875.00,76700
18-Oct-17,870.00,895.00,870.00,890.00,100100
17-Oct-17,870.00,870.00,850.00,865.00,449600
16-Oct-17,870.00,890.00,860.00,880.00,59600
13-Oct-17,870.00,875.00,860.00,870.00,164200
12-Oct-17,880.00,890.00,870.00,880.00,173100
