Date,Open,High,Low,Close,Volume
29-Dec-17,1300.00,1300.00,1300.00,1300.00,100
28-Dec-17,-,-,-,1300.00,0
27-Dec-17,1220.00,1300.00,1220.00,1300.00,202600
22-Dec-17,-,-,-,1225.00,0
21-Dec-17,-,-,-,1225.00,0
20-Dec-17,-,-,-,1225.00,0
19-Dec-17,-,-,-,1225.00,0
18-Dec-17,1250.00,1290.00,1200.00,1225.00,16300
15-Dec-17,1010.00,1250.00,995.00,1250.00,2557400
14-Dec-17,1050.00,1050.00,1010.00,1010.00,342500
13-Dec-17,1100.00,1100.00,1050.00,1050.00,302000
12-Dec-17,1115.00,1155.00,1100.00,1100.00,312800
11-Dec-17,1170.00,1180.00,1110.00,1110.00,459100
8-Dec-17,1180.00,1190.00,1165.00,1190.00,241300
7-Dec-17,1190.00,1190.00,1170.00,1185.00,262000
6-Dec-17,1195.00,1200.00,1150.00,1195.00,773700
5-Dec-17,1195.00,1195.00,1180.00,1195.00,245700
4-Dec-17,1195.00,1200.00,1180.00,1195.00,231700
30-Nov-17,1200.00,1240.00,1190.00,1195.00,290100
29-Nov-17,1205.00,1225.00,1175.00,1200.00,271700
28-Nov-17,1200.00,1200.00,1185.00,1200.00,251200
27-Nov-17,1205.00,1205.00,1195.00,1200.00,240400
24-Nov-17,1210.00,1230.00,1190.00,1205.00,273700
23-Nov-17,1205.00,1235.00,1190.00,1210.00,253300
22-Nov-17,1200.00,1235.00,1190.00,1205.00,988100
21-Nov-17,1200.00,1225.00,1185.00,1200.00,311500
20-Nov-17,1200.00,1235.00,1190.00,1200.00,262800
17-Nov-17,1200.00,1205.00,1185.00,1200.00,256600
16-Nov-17,1200.00,1205.00,1185.00,1200.00,246500
15-Nov-17,1200.00,1235.00,1185.00,1205.00,270000
14-Nov-17,1200.00,1235.00,1185.00,1200.00,283600
13-Nov-17,1205.00,1235.00,1190.00,1205.00,247600
10-Nov-17,1205.00,1235.00,1185.00,1205.00,276100
9-Nov-17,1200.00,1235.00,1185.00,1200.00,283200
8-Nov-17,1210.00,1235.00,1190.00,1210.00,279000
7-Nov-17,1210.00,1235.00,1190.00,1205.00,270200
6-Nov-17,1210.00,1235.00,1200.00,1210.00,260200
3-Nov-17,1215.00,1235.00,1190.00,1210.00,261600
2-Nov-17,1210.00,1235.00,1185.00,1210.00,252800
1-Nov-17,1215.00,1235.00,1200.00,1210.00,250400
31-Oct-17,1225.00,1225.00,1200.00,1215.00,281900
30-Oct-17,1235.00,1235.00,1220.00,1230.00,286400
27-Oct-17,1215.00,1240.00,1185.00,1240.00,380600
26-Oct-17,1220.00,1225.00,1195.00,1210.00,250000
25-Oct-17,1215.00,1225.00,1205.00,1220.00,254100
24-Oct-17,1225.00,1275.00,1220.00,1220.00,307900
23-Oct-17,1225.00,1265.00,1215.00,1225.00,294000
20-Oct-17,1235.00,1270.00,1220.00,1230.00,283100
19-Oct-17,1240.00,1275.00,1230.00,1240.00,355800
18-Oct-17,1240.00,1265.00,1220.00,1235.00,254800
17-Oct-17,1240.00,1270.00,1225.00,1235.00,247500
16-Oct-17,1235.00,1260.00,1225.00,1240.00,229000
13-Oct-17,1235.00,1275.00,1230.00,1235.00,268100
12-Oct-17,1240.00,1280.00,1235.00,1240.00,277500
11-Oct-17,1240.00,1285.00,1230.00,1240.00,389000
10-Oct-17,1240.00,1280.00,1230.00,1235.00,270400
9-Oct-17,1185.00,1290.00,1185.00,1280.00,942300
6-Oct-17,1200.00,1220.00,1185.00,1185.00,254000
5-Oct-17,1245.00,1285.00,1200.00,1245.00,456800
4-Oct-17,1260.00,1295.00,1250.00,1250.00,266000
3-Oct-17,1260.00,1300.00,1255.00,1265.00,244500
2-Oct-17,1260.00,1300.00,1260.00,1260.00,224300
29-Sep-17,1265.00,1290.00,1250.00,1260.00,255900
28-Sep-17,1280.00,1300.00,1260.00,1265.00,241300
27-Sep-17,1280.00,1285.00,1200.00,1285.00,594100
26-Sep-17,1290.00,1330.00,1280.00,1280.00,463500
25-Sep-17,1310.00,1310.00,1285.00,1305.00,275800
22-Sep-17,1330.00,1330.00,1295.00,1310.00,225000
20-Sep-17,1345.00,1370.00,1325.00,1330.00,300800
19-Sep-17,1345.00,1370.00,1325.00,1355.00,240000
18-Sep-17,1355.00,1365.00,1330.00,1345.00,240600
15-Sep-17,1345.00,1365.00,1325.00,1365.00,306300
14-Sep-17,1365.00,1395.00,1305.00,1365.00,861600
13-Sep-17,1360.00,1370.00,1340.00,1365.00,224800
12-Sep-17,1365.00,1390.00,1360.00,1365.00,245100
11-Sep-17,1340.00,1380.00,1340.00,1365.00,251100
8-Sep-17,1335.00,1365.00,1335.00,1340.00,160800
7-Sep-17,1335.00,1370.00,1330.00,1335.00,237900
6-Sep-17,1335.00,1355.00,1320.00,1335.00,218000
5-Sep-17,1230.00,1350.00,1230.00,1350.00,234000
4-Sep-17,1275.00,1275.00,1235.00,1260.00,294500
31-Aug-17,1270.00,1300.00,1225.00,1300.00,728200
30-Aug-17,1300.00,1315.00,1260.00,1290.00,423100
29-Aug-17,1300.00,1305.00,1265.00,1295.00,241900
28-Aug-17,1295.00,1300.00,1260.00,1300.00,222500
25-Aug-17,1315.00,1315.00,1280.00,1300.00,227000
24-Aug-17,1260.00,1320.00,1250.00,1320.00,348400
23-Aug-17,1265.00,1290.00,1250.00,1260.00,366800
