Date,Open,High,Low,Close,Volume
29-Dec-17,3850.00,3850.00,3850.00,3850.00,1200
28-Dec-17,3990.00,3990.00,3990.00,3990.00,200
27-Dec-17,3970.00,3990.00,3970.00,3990.00,5300
22-Dec-17,3990.00,3990.00,3990.00,3990.00,200
21-Dec-17,3990.00,3990.00,3900.00,3990.00,1900
20-Dec-17,4180.00,4280.00,3900.00,3900.00,20000
19-Dec-17,4100.00,4200.00,3960.00,4180.00,7300
18-Dec-17,4500.00,4500.00,4500.00,4500.00,1100
15-Dec-17,4300.00,4400.00,4150.00,4150.00,400
14-Dec-17,4190.00,4900.00,4190.00,4200.00,12100
13-Dec-17,3950.00,4290.00,3900.00,4200.00,19600
12-Dec-17,3950.00,4300.00,3900.00,4100.00,31200
11-Dec-17,4100.00,4450.00,3950.00,4100.00,3300
8-Dec-17,4100.00,4500.00,4100.00,4500.00,500
7-Dec-17,4560.00,4560.00,4560.00,4560.00,300
6-Dec-17,3910.00,4560.00,3910.00,4560.00,11800
5-Dec-17,4000.00,4000.00,3910.00,4000.00,1300
4-Dec-17,3980.00,4050.00,3980.00,4050.00,6500
30-Nov-17,-,-,-,3990.00,0
29-Nov-17,-,-,-,3990.00,0
28-Nov-17,3900.00,3990.00,3900.00,3990.00,4700
27-Nov-17,3940.00,3990.00,3940.00,3990.00,1500
24-Nov-17,4000.00,4000.00,4000.00,4000.00,7000
23-Nov-17,3950.00,3990.00,3950.00,3990.00,1500
22-Nov-17,3960.00,4050.00,3950.00,4050.00,5000
21-Nov-17,3960.00,4070.00,3960.00,4070.00,9500
20-Nov-17,-,-,-,4100.00,0
17-Nov-17,3950.00,4100.00,3950.00,4100.00,25400
16-Nov-17,-,-,-,4100.00,0
15-Nov-17,3950.00,4100.00,3950.00,4100.00,200
14-Nov-17,3920.00,4150.00,3920.00,4150.00,200
13-Nov-17,-,-,-,4140.00,0
10-Nov-17,4100.00,4140.00,4100.00,4140.00,23800
9-Nov-17,4100.00,4100.00,3900.00,4100.00,34300
8-Nov-17,3900.00,4100.00,3900.00,4100.00,31700
7-Nov-17,4000.00,4100.00,4000.00,4100.00,114700
6-Nov-17,4000.00,4100.00,3900.00,4100.00,529700
3-Nov-17,3800.00,4000.00,3800.00,4000.00,89700
2-Nov-17,-,-,-,3800.00,0
1-Nov-17,3790.00,3800.00,3790.00,3800.00,6000
31-Oct-17,3550.00,3800.00,3550.00,3800.00,5300
30-Oct-17,3550.00,3800.00,3550.00,3800.00,700
27-Oct-17,3780.00,3800.00,3780.00,3800.00,1800
26-Oct-17,3750.00,3800.00,3700.00,3800.00,2500
25-Oct-17,3800.00,3800.00,3800.00,3800.00,100
24-Oct-17,3500.00,3800.00,3500.00,3800.00,56300
23-Oct-17,3400.00,3550.00,3400.00,3550.00,19300
20-Oct-17,3450.00,3450.00,3450.00,3450.00,5000
19-Oct-17,3500.00,3630.00,3500.00,3590.00,147400
18-Oct-17,-,-,-,3420.00,0
17-Oct-17,3420.00,3420.00,3420.00,3420.00,500
16-Oct-17,3450.00,3540.00,3400.00,3400.00,143900
13-Oct-17,3450.00,3580.00,3380.00,3580.00,226600
12-Oct-17,3350.00,3600.00,3350.00,3450.00,741100
11-Oct-17,3290.00,3310.00,3290.00,3300.00,519100
10-Oct-17,3250.00,3530.00,3250.00,3290.00,524800
9-Oct-17,2990.00,3520.00,2950.00,3200.00,440500
6-Oct-17,3030.00,3030.00,2900.00,2940.00,468000
5-Oct-17,2830.00,3200.00,2830.00,2850.00,30700
4-Oct-17,3200.00,3200.00,2800.00,2810.00,110900
3-Oct-17,3200.00,3200.00,3200.00,3200.00,3100
2-Oct-17,-,-,-,3210.00,0
29-Sep-17,-,-,-,3210.00,0
28-Sep-17,-,-,-,3210.00,0
27-Sep-17,-,-,-,3210.00,0
26-Sep-17,-,-,-,3210.00,0
25-Sep-17,3210.00,3210.00,3210.00,3210.00,200
22-Sep-17,3210.00,3210.00,3210.00,3210.00,44800
20-Sep-17,3350.00,3350.00,3350.00,3350.00,100
19-Sep-17,-,-,-,3350.00,0
18-Sep-17,-,-,-,3350.00,0
15-Sep-17,3350.00,3350.00,3350.00,3350.00,5000
14-Sep-17,-,-,-,3450.00,0
13-Sep-17,-,-,-,3450.00,0
12-Sep-17,3450.00,3450.00,3450.00,3450.00,400
11-Sep-17,-,-,-,3450.00,0
8-Sep-17,3450.00,3450.00,3450.00,3450.00,100
7-Sep-17,-,-,-,3570.00,0
6-Sep-17,3570.00,3570.00,3570.00,3570.00,600
