Date,Open,High,Low,Close,Volume
29-Dec-17,2980.00,2980.00,2830.00,2900.00,41000
28-Dec-17,2990.00,2990.00,2980.00,2980.00,1300
27-Dec-17,2900.00,2900.00,2810.00,2890.00,12600
22-Dec-17,2990.00,2990.00,2930.00,2930.00,5800
21-Dec-17,2900.00,2990.00,2900.00,2990.00,26700
20-Dec-17,2890.00,2910.00,2800.00,2870.00,89900
19-Dec-17,3010.00,3010.00,2870.00,2890.00,127100
18-Dec-17,2990.00,3000.00,2900.00,3000.00,8800
15-Dec-17,3100.00,3100.00,2850.00,3000.00,31000
14-Dec-17,3000.00,3080.00,2990.00,3000.00,59100
13-Dec-17,3070.00,3130.00,3000.00,3080.00,59300
12-Dec-17,3100.00,3100.00,3000.00,3070.00,6000
11-Dec-17,3040.00,3110.00,2990.00,3100.00,73200
8-Dec-17,3180.00,3180.00,3010.00,3010.00,24400
7-Dec-17,3090.00,3170.00,3010.00,3090.00,13800
6-Dec-17,3110.00,3110.00,3010.00,3100.00,18800
5-Dec-17,3070.00,3150.00,3030.00,3050.00,8900
4-Dec-17,3200.00,3200.00,2820.00,3080.00,25500
30-Nov-17,3200.00,3200.00,3060.00,3160.00,23400
29-Nov-17,3220.00,3220.00,3120.00,3180.00,15400
28-Nov-17,3140.00,3220.00,3120.00,3200.00,11300
27-Nov-17,3150.00,3220.00,3030.00,3140.00,23300
24-Nov-17,3250.00,3250.00,3130.00,3130.00,16300
23-Nov-17,3250.00,3250.00,3050.00,3200.00,64300
22-Nov-17,3300.00,3300.00,3140.00,3160.00,19400
21-Nov-17,3110.00,3170.00,3110.00,3140.00,94100
20-Nov-17,3160.00,3250.00,3110.00,3140.00,77200
17-Nov-17,3160.00,3320.00,3150.00,3160.00,41500
16-Nov-17,3220.00,3340.00,3050.00,3150.00,22900
15-Nov-17,3390.00,3400.00,3200.00,3300.00,98300
14-Nov-17,3560.00,3560.00,3370.00,3400.00,34600
13-Nov-17,3600.00,3680.00,3530.00,3560.00,53600
10-Nov-17,3400.00,3650.00,3400.00,3600.00,14600
9-Nov-17,3480.00,3480.00,3360.00,3390.00,45400
8-Nov-17,3520.00,3800.00,3520.00,3520.00,28300
7-Nov-17,3680.00,3690.00,3500.00,3520.00,49600
6-Nov-17,3770.00,3800.00,3640.00,3680.00,84600
3-Nov-17,3850.00,3850.00,3700.00,3810.00,27400
2-Nov-17,4000.00,4000.00,3670.00,3860.00,31600
1-Nov-17,3780.00,4400.00,3780.00,4000.00,181700
31-Oct-17,3180.00,3930.00,3180.00,3660.00,259500
30-Oct-17,3190.00,3190.00,3110.00,3150.00,11600
27-Oct-17,3120.00,3200.00,3040.00,3190.00,10900
26-Oct-17,3010.00,3230.00,3010.00,3110.00,47600
25-Oct-17,3000.00,3000.00,2960.00,2980.00,84400
24-Oct-17,3020.00,3020.00,2920.00,3000.00,26400
23-Oct-17,3250.00,3250.00,3000.00,3020.00,4300
20-Oct-17,3200.00,3200.00,3120.00,3120.00,102300
19-Oct-17,3180.00,3200.00,3100.00,3200.00,13700
18-Oct-17,3190.00,3190.00,3130.00,3130.00,2100
17-Oct-17,3180.00,3200.00,3050.00,3060.00,21800
16-Oct-17,3180.00,3210.00,3180.00,3190.00,11500
13-Oct-17,3190.00,3400.00,3180.00,3180.00,40300
12-Oct-17,2990.00,3200.00,2890.00,3150.00,173500
11-Oct-17,2800.00,3200.00,2800.00,2930.00,198800
10-Oct-17,2750.00,2760.00,2680.00,2750.00,61800
9-Oct-17,2810.00,2830.00,2760.00,2770.00,160400
6-Oct-17,2800.00,2910.00,2730.00,2810.00,55800
5-Oct-17,2520.00,2950.00,2500.00,2790.00,207100
4-Oct-17,2500.00,2530.00,2450.00,2490.00,150300
3-Oct-17,2300.00,2490.00,2300.00,2470.00,22700
2-Oct-17,2350.00,2380.00,2330.00,2380.00,35600
29-Sep-17,2400.00,2400.00,2260.00,2330.00,2900
28-Sep-17,2340.00,2340.00,2300.00,2310.00,20800
27-Sep-17,2380.00,2380.00,2320.00,2350.00,15900
26-Sep-17,2400.00,2400.00,2300.00,2350.00,8500
25-Sep-17,2500.00,2500.00,2310.00,2400.00,19100
22-Sep-17,2390.00,2480.00,2320.00,2420.00,81900
20-Sep-17,2400.00,2490.00,2370.00,2390.00,40700
19-Sep-17,2640.00,2690.00,2440.00,2540.00,123000
18-Sep-17,2570.00,2700.00,2570.00,2640.00,65100
15-Sep-17,2490.00,2600.00,2440.00,2570.00,125400
14-Sep-17,2350.00,2450.00,2350.00,2390.00,84500
13-Sep-17,2150.00,2490.00,2150.00,2350.00,217500
12-Sep-17,2180.00,2180.00,2130.00,2150.00,22400
11-Sep-17,2400.00,2400.00,2160.00,2180.00,113900
8-Sep-17,2100.00,2490.00,2100.00,2490.00,19800
7-Sep-17,2020.00,2080.00,2020.00,2080.00,43300
6-Sep-17,2100.00,2100.00,2020.00,2100.00,7400
5-Sep-17,2010.00,2140.00,2000.00,2140.00,10500
4-Sep-17,2100.00,2100.00,2030.00,2100.00,3800
31-Aug-17,2100.00,2100.00,2010.00,2050.00,26500
30-Aug-17,2130.00,2130.00,2110.00,2110.00,7700
